dictionary	vortaro
north korea	Koreio Norda
north korea	Nord-Koreio
saudi arabia	Saudarabio
saudi arabia	Saud-Arabio
saint helena	Sent-Heleno
russia	Rusio
russia	Rusujo
russia	Ruslando
réunion	Reunio
palau	Belaŭo
palau	Palaŭo
niue	Niuo
lesotho	Lesoto
kyrgyzstan	Kirgizistano
kyrgyzstan	Kirgizio
genome	genaro
gag	buŝoŝtopilo
indo-european	hindeŭropa
money	mono
night	nokto
army	armeo
jupiter	Jupitero
british virgin islands	Britaj Virgulinsuloj
central african republic	Centr-Afrika Respubliko
central african republic	Centrafriko
cook islands	Kukinsuloj
croatia	Kroatio
croatia	Kroatujo
dominica	Dominiko
eritrea	Eritreo
fiji	Fiĝio
fiji	Fiĝioj
guinea	Gvineo
guinea-bissau	Gvineo-Bisaŭo
guinea-bissau	Gvineo-Bisaŭa
guinea-bissau	Gvineo Bisaŭa
jordan	Jordanio
jordan	Jordano
moldova	Moldavio
moldova	Moldavujo
puerto rico	Portoriko
puerto rico	Puerto-Riko
puerto rico	Porto-Riko
myanmar	Mjanmao
myanmar	Birmo
burma	Birmo
western sahara	Okcidenta Saharo
western sahara	Saharo Okcidenta
baby	bebo
baby	infaneto
yes	jes
saint pierre and miquelon	Sent-Piero kaj Mikelono
new caledonia	Nov-Kaledonio
wallis and futuna	Valiso kaj Futuno
samoa	Okcidenta Samoo
samoa	Samoo
american samoa	Samoo Usona
american samoa	Usona Samoo
bermuda	Bermudo
bermuda	Bermudoj
french guiana	Franca Gviano
stand	stari
stand	stariĝi
stand	elteni
stand	starigi
stand	validi
stand	stativo
stand	stando
micronesia	Mikronezio
guam	Gvamo
grenada	Grenado
falkland islands	Falklandoj
norfolk island	Norfolkinsulo
saint kitts and nevis	Sent-Kristofo kaj Neviso
saint kitts and nevis	Sent-Kit-Neviso
emoticon	miensimbolo
pronunciation	elparolo
pronunciation	prononco
derivative	derivaĵo
yeti	jetio
bigfoot	saskvaĉo
sasquatch	saskvaĉo
icelandic	islanda
icelandic	islandana
yiddish	jida
yiddish	Jido
yiddish	jida lingvo
yiddish	Jidiŝo
id card	identigilo
id card	identiga karto
macedonia	Makedonio
macedonia	Antikva Makedonio
macedonia	Pramakedonio
macedonia	Respubliko de Makedonio
macedonia	Greka Makedonio
northern marianas	Nord-Marianoj
saint vincent and the grenadines	Sent-Vincento kaj la Grenadinoj
us virgin islands	Usonaj Virgulininsuloj
vatican city	Vatikano
taiwan	Tajvano
president	prezidento
president	prezidentino
president	prezidanto
president	virprezidanto
president	prezidantino
web browser	retumilo
thin	maldika
the grass is always greener on the other side	herbaro ĉiam aspektas pli verda trans barilo
indian	barata
indian	baratano
indian	baratanino
indian	hindiano
indian	hindianino
indian	indiano
indian	indianino
o'clock	la unua
create	krei
efficacy	efikeco
after	post
absinthe	absinto
absinthe	absintaĵo
finnish	finna
finnish	suoma
finnish	finna lingvo
catalan	kataluna
banana	banano
banana	bananarbo
banana	bananujo
deoxyribonucleic acid	deoksiribonuklea acido
bomb	bombo
bomb	bombi
brazilian	brazilano
cayman islands	Kajmaninsuloj
church	kirko
church	preĝejo
church	eklezio
small	malgranda
small	juna
tomato	tomato
tomato	tomatujo
union of soviet socialist republics	Unio de Sovetaj Socialismaj Respublikoj
cherry	ĉerizo
cherry	merizo
cherry	dolĉa ĉerizo
cherry	grioto
cherry	ĉerizarbo
cherry	ĉerizujo
cherry	ĉeriza
cherry	ĉerizkolora
japanese	japana
japanese	japano
japanese	japanino
japanese	lingvo
slovene	slovena
slovene	sloveno
slovene	slovenino
academician	akademiano
beige	flavgriza
beige	beĵa
magenta	malva
purple	purpuro
purple	purpura
violet	violkoloro
violet	violo
violet	violkolora
white	blanko
white	blankulo
white	kaŭkazulo
yellow	flava
yellow	flavo
grapefruit	grapfrukto
prime number	primo
fourth	kvara
third	tria
third	triono
third	trito
third	tercio
fifth	kvina
fifth	kvinono
metaphysics	metafiziko
chinese	ĉina
chinese	ĉinoj
chinese	ĥinoj
chinese	ĉino
chinese	ĥino
chinese	ĉinino
chinese	ĥinino
trumpet	trumpeto
cane	kano
cane	vergo
cane	promenkano
cane	promenbastono
cane	blindulbastono
sixth	sesa
sixth	sesono
eighth	oka
eighth	okono
ninth	naŭa
ninth	naŭono
tenth	deka
tenth	dekono
duel	duelo
duel	dueli
italian	itala
italian	itallingva
italian	italo
italian	italino
italian	Itala
musical	muzika
musical	muzikema
musical	muzikalo
football	futbalo
football	piedpilkado
football	futbalpilko
yourself	vi
yourself	vin
yourself	vi mem
yours	la via
your	via
your	viaj
young	juna
young	junulo
written	skriba
would	bonvoli
worthwhile	inda
edible	manĝebla
throne	trono
queen	reĝino
queen	reĝedzino
queen	damo
queen	katino
sausage	kolbaso
korean	Koreana
dollar	dolaro
hawaiian	havaja
hawaiian	havajano
hawaiian	[[havaja]] [[lingvo]]
cast	rolularo
midnight	noktmezo
midnight	noktomezo
mouse	muso
mouse	musino
mouse	musido
mouse	musidino
half past	la unua kaj duono
keyboard	klavaro
dual	duparta
dual	duala
dual	duobla
dual	binara
age	aĝo
age	mondaĝo
age	tempaĝo
age	epoko
age	poko
age	maljuniĝi
weekend	semajnfino
weekend	semajnfina
weekday	labortago
leap year	superjaro
hourglass	sablohorloĝo
penny	penco
nickel	nikelo
symptom	simptomo
nature	naturo
plankton	planktono
person	persono
person	homo
welsh	kimra
welsh	[[kimra]] [[lingvo]]
welsh	kimroj
hebrew	hebrea
hebrew	hebreo
