1<sup>st</sup>	noun	primero	110683	first
←🏃🏃	verb	salvar	110334	to save
📤	verb	enviar	109855	to send
🧍<sub>💎</sub>	adjective	propio	109369	own
🪦	noun	muerte	108821	death
🍀	noun	suerte	108537	luck, fortune
🧑‍🔧	verb	funcionar	108262	to serve; to work
🧍🚪	verb	abrir	108188	to open
🏙️	noun	ciudad	107927	city
	adjective	pronto	107773	prompt, on time
🔜	adverb	pronto	107483	shortly; soon
👰‍♀️	noun	esposa	107326	wife
	verb	disculpar	106955	to excuse
🗡️	noun	punto	106713	point
🪂	verb	cortar	106686	to cut
💧	verb	aguar	105952	to water
→	adjective	justo	105908	just, fair
💧	noun	agua	105794	water
🧑‍💼	noun	jefe	104704	manager; leader; chief
😐	noun	cara	103689	face
	verb	adelantar	103560	to overhaul; to hasten; to overtake
👨‍👩‍👧	noun	hija	102721	daughter
	adjective	difícil	102147	awkward; rough; difficult
🫀	noun	corazón	101594	heart
😴	verb	dormir	101263	to sleep
🎁	noun	toma	100771	take
🏙️	adjective	vivo	100675	alive, living
	adjective	suficiente	100232	sufficient
😨	noun	miedo	100039	fear
🚗	noun	coche	99540	car
	adverb	justo	99224	slap
	verb	empezar	98984	to commence; to begin
←🚶🚶	verb	comenzar	98664	to begin
🧍	noun	cuerpo	97592	body
🏁	noun	fin	97305	end
🥛	verb	beber	97277	to drink
📖	verb	leer	96891	to read
👩‍🍼	noun	cuidado	96876	care
🤑	verb	desear	96070	to wish
⏩	adverb	adelante	95825	forward
5	numeral	cinco	95155	five
→	adjective	derecho	95122	right
	noun	viejo	95118	old man
👮	verb	parar	94944	to stop, halt
↓	preposition	bajo	94932	beneath; below
👶	noun	niño	94802	lad; kid; baby
🚧	noun	cerca	94383	fence
	adverb	cerca	94055	nearby; near
	conjunction	mas	93524	yet [formal]
💒	verb	casar	93498	to marry
🧑‍⚕️	noun	doctor	92699	doctor
🔢	noun	número	92557	number
	adverb	bastante	92410	rather; quite; pretty
🪂	verb	caer	92336	to fall
🗯️	verb	entender	91882	to understand; to see
	verb	culpar	91777	to blame
🚗	noun	auto	91621	car
	verb	equipar	91605	to equip
	noun	escucha	91566	listener
🔞	adjective	puto	91494	fucking, goddamn
😨	verb	temer	91218	to fear
🥳	noun	fiesta	91210	party
⚔️	noun	guerra	90274	war
🌰	noun	loco	90147	madman; nut; fool
🤾‍♂️	verb	jugar	89930	to play
⚙️	noun	equipo	89896	team
	noun	grande	89873	grandee
🎁	verb	durar	89738	to last
🕐?	adverb	cuándo	89670	when
😡	verb	odiar	89095	to hate
🧑‍🏫	noun	clase	88660	class
4	noun	cuatro	88403	four
