#swadesh 207 id	part-of-speech	English	Proto-Indo-European	Proto-Germanic	Proto-Italic	Proto-Indo-Iranian	Proto-Balto-Slavic	Proto-Slavic		 Latin 	Portuguese 	Spanish 	French 	Italian	Romanian
41	noun	husband	*wiHrós, *pótis	*brūdigumô, *weraz, *abô	*wiros, *nēr	*pátiš	*mangjás	*mǫžь		marītus	marido, esposo	marido, esposo	mari, époux	marito, sposo (in the wedding day)	soț, mărit (obs.)
42	noun	mother	*méh₂tēr	*mōdēr	*mātēr	*máHtā	*mā́ˀtē	*mati		māter, mamma (childish)	mãe	madre, mamá	mère, maman	madre, mamma	mamă
43	noun	father	*átta, *ph₂tḗr	*fadēr, *attô	*patēr	*pHtā́	*tet-, *at-	*baťa, *otъ, *otьcь		pater, tata (childish) 	pai	padre, papá, tata	père	padre, papà, tatà (dial)	tată
44	noun	animal	*dʰewsóm, *ǵʰwer-	*deuzą	*anamālis	*páću	*źwēˀrís	*zvěrь		animal	animal	animal	animal	animale	animal
45	noun	fish	*dʰǵʰu-, *peysḱ-	*fiskaz	*piskis	*mátsyas	*źū́ˀs	*ryba		piscis	peixe	pez	poisson	pesce	pește
46	noun	bird	*h₂éwis	*fuglaz	*awis	*Háwiš	*putāˀ	*pъta, *pъtica		avis, aucellus / avicellus (diminutive)	ave, pássaro	ave, pájaro	oiseau	uccello	pasăre
47	noun	dog	*ḱwṓ	*hundaz	*kō	*ćwā́	*śwṓ, *śunas	*pьsъ		canis	cão	perro, can (rare)	chien	cane	câine
48	noun	louse	*ḱ(o)nid-, *lewH-	*lūs	*pezdis	*ćwíšas		*vъšь		pēdis, pēdīculus (diminutive)	piolho	piojo	pou	pidocchio	păduche
49	noun	snake	*h₂éngʷʰis, *(s)neh₁tr-	*snakô, *slangô, *nadraz	*anɣʷis	*sarpás, *nāgás	*angi(o)s, *angi(a)s	*ǫžь, *zmьja		serpēns, (genitive pl : serpentis), anguis, colūbra	serpe, serpente, cobra	serpiente, culebra, sierpe (obs.)	serpent	serpente, serpe	șarpe
50	noun	worm	*wr̥mis	*wurmiz	*wormis	*kŕ̥miš	*kírmis	*čьrvь		vermis	verme	gusano, verme (Zool.)	ver	verme	vierme
51	noun	tree	*dóru*	*trewą	*arðōs	*dā́ru	*dérwa	*dervo		arbor	árvore	árbol	arbre	albero	arbore
52	noun	forest		*furhiþą, *walþuz, *furhō, *skōgaz, *widuz	*selwā		*medja, *medjāˀ	*lěsъ		silva, foresta (vulg.), boscus (vulg.) / (dense wood, bushes)	floresta, bosque, selva	bosque, floresta, selva	forêt, sylve (rare), bois	foresta, bosco, selva (rare)	pădure, silvă (rare)
53	noun	stick	*ǵʰasto-	*stikkô, *stukkaz	*baklom	*waytasás	*kaukas	*drьkolь, *xlǫdъ, *kyjь, *palica, *žьzlъ		fustis, baculum	bastão, pau, vara	palo, vara, bastón (cane)	bâton	bastone, rametto	băț, nuia
54	noun	fruit		*akraną, *ubatją	*poomos			*ovoťe, *plodъ		fructus, frūx	fruto, fruta	fruto, fruta	fruit	frutto	fruct
