				
*yeg- 		ice, icicle		
*yeh 1- 		do, make; act vigorously		
*yeh 1- (WC) 		throw		
*yeh 1 g w eha- (WC) 		power, youthful vigour		
*ye ́h 3 s- 		gird		
*yeh a- 		go, travel		
*yeh a- (E) 		ask for, beg		
*ye ́h a wot(s) (GA) 		as many, as long		
*yek- 		 express, avow		
*yek w r8(t) 		liver		
*yem- (E) 		hold		
*yemos 		twin		
*yes- 		boil		
*yet- 		put in the right place		
*yeu- 		bind, join together		
*yeudh- 		moved, stirred up; fight		
*yeudhmo ́s 	*yeudh- 	fight	fighter	
*yeug- 	*yeu- 	bind	joins, harnesses	
*yeugˆ- 		stir up, incite; be unquiet		
*yeuh x- 		mix something moist		
*ye ́w(e)s- 		order, law		
*ye ́w(e)s- 		grain		
*-yo 		and		
*yoinis (NW) 		reed, rush		
*yo ́kˆu 		(animal) body hair		
*yo ́rks (WC) 		roedeer		
*yo ́s/*ye ́h a/*yo ́d 		who, what, that		
*yoteros (GA) 		which of the two		
*yo ́ti (GA) 		as much, as many		
*yu- (WC) 		 shout (for joy)		
*yugo ́m 	*yeu- 	bind	yoke	
*yuh x-r- (WC) 		water		
*yuh xs  *uswe ́  *swe ́ 		ye		
*yu ́h xs- 	*yeuhx- 	mix	broth	
