						
breath 	*h₁eh₁ tme ́n-, *hₐe ́nh₁mos					
breathe 	*dhwes-, *hₐ e ́nh₁-, *hₐ e ́nh₁ mi, *kˆweshₓ-					
breathe one’s last 			WC *dheu-			
brew 			WC *bhreu -			
bride-price 			WC *wedmo/ehₐ-			
bright 	*dei-, *gˆhers-, *leuko ́s, *(s)koitro ́s		WC *gʷ hₐidro ́s			C *h₂ eug-
bring across 	*terh₂-					
bring forth 	*per-					
bristle 	*gˆhers -, *hₐekˆstı ́-	NW *kˆer(es)-				
broad 	*plet-, *pl̥th₂ u ́-, *we ́rhₓus					
broth 	*korm-, *yu ́hₓ s -					
brother 	*bhre ́hₐ ter-					
brotherhood 	*bhrehₐ trı ́yom					
brother’s wife 	*snuso ́s					
brown 	*bher-, *h₁ el-	NW *badyos				
brush(wood) 		NW *kʷ re ́snos				
bubble 	*bher-					
buck 	*bhugˆos					
build 	*dem(hₐ)-, *dheigˆh-, *kʷ ei-, *kʷ er-					
bulge 	*wels-					
bull 	*domhₐ yos, *tauros					
bundle 		NW *(s)keup-				
burden 	*h₁ o ́nhₓes-					
burn 	*bhleg-, *dehₐu-, *dhegʷ h-, *gˆwelhₓ-, *h₁ eus-, *h₂ ehₓ-, *h₄ elh₁-, *hₐ eidh-, *hₐ el-, *kenk-, *kˆehₐ u-, *kˆeuk-, *kˆseh₁-, *preus-, *swelp-, *wer-	NW *ker-,  *swel-				
burrow 	*bhedh-					
butter 			WC *h₃ e ́ngʷ n̥			
butterfly 		NW *pelpel -				
buttermilk 	*tenkl̥					
buttock 				GA *gˆhn̥ghe ́no/ehₐ-		
buy 	*wes-					
cabbage 	*kaulo ́s					
cackle 			WC *gag-			
call 	*gal-, *gˆar-, *gˆheu(hₓ)-, *kelh₁-					
callosity 	*kl̥nos					
canoe 	*hₓ oldhu-					
captive 		NW *kaptos				
carp 	*kˆo ́phaelos					
carrot 			WC *mr̥k-			
carry 	*bher-, *wegˆh-					
carve 	*del-, *kerd-					
case 	*welutrom					
castrated 	*we ́dhris					
cat 		NW *kat-				
catch 			WC *kagh-			
cauldron 	*kʷ erus					
cave 				GA *ka ́iwr̥(t)		
cavity 	*h₂elwos ,*h₂ e ́ryos					
caw 	*ker-					
cedar 			WC *h₁ elew-			
chaff 	*pelo/ehₐ-		WC *kʷ et-			
chain 	*wo ́rghs					
characteristic 	*s(w)edh-					
charcoal 	*hₓo ́ngl̥	NW *perk-				
charm 	*meng-					
cheat 		NW *meug-				
cherry 			WC *kr̥nom			
chew 	*gˆyeuhₓ-		WC *mandh - or *mant-			
chickpea 			WC *kˆikˆer-			
child 	*teknom					
chin 	*men, *smekˆ-, *smo ́kˆwr̥					
circle 	*a ̄nos, *h₃ e ́rbhis, *serk-					
clan 	*wikˆ-					
clay 	*ml̥dho/ehₐ-, *tkʷ reh₁ yot-		WC *gloiwos			
clean 	*peuhₓ-		WC *kˆleu-			
clear 	*leuko ́s, *(s)koitro ́s					
cliff 	*pel(i)s-					
cloak 	*drap- ~ *drop-	NW *ruk-	WC *baite ́hₐ-			
close the eyes 	*meigh- ~ *meik-					
cloth 	*los-, *p(e)h₂ no/ehₐ-		WC *bhr̥w-,  *lo ̄p-			
clothes 	*drap- ~ *drop-, *wospo/ehₐ-		WC *ke ́ntr/n-			
cloud(y) 	*ne ́bhes–, *sneudh-	NW *bhlendh-				
club 		NW *lorgehₐ-	WC *bak-	GA *wa ́gˆros		
coal 	*g(e)ulo-					
cold 	*kˆelto-, *kʷ ruste ̄n	NW *gel-	WC *h₃ eug-,  *srı ̄ges-			
colour (deep intense shade) 	*kˆyeh₁-					
comb 	*kars-, *kes-					
combat 		NW *nant-				
come 	*gʷ ehₐ-, *gʷ em-					
commit a crime 		NW/PIE? *h₂/3 wergh-				
commotion (be in) 	*dheu(hₓ)-					
companion 	*so ́kʷ-h₂-o ̄i	NW *dhrougho ́s		GA *h₂e ̄pis		
compel 			WC *bheidh-			
compensation 	*kʷ oinehₐ-					
complain 			WC *lehₐ-			
complete 	*serk-					
compress 		NW *greut-	WC *gen-			
compute 			WC *del-			
conceal 			WC *kˆel-			
concern 	*kˆehₐ des-, *(s)mer-, *swerhₓ K-					
concubine 	*parikehₐ-					
confide 			WC *bheidh-			
confidence 	*weh₁ r-					
congealed moisture 		NW *senhₓ dhr-				
conifer 	*pe ́ukˆs , *pit(u)-					
conquer 	*segˆh-					
consecrate 	*weik-					
consider 	*men-					
