animal	inflection
animal	nominative	hayvan
animal	definite accusative	hayvanı
animal	1st singular	hayvanım	hayvanlarım
animal	2nd singular	hayvanın	hayvanların
animal	3rd singular	hayvanı	hayvanları
animal	1st plural	hayvanımız	hayvanlarımız
animal	2nd plural	hayvanınız	hayvanlarınız
animal	3rd plural	hayvanları	hayvanları
animal	definite accusative
animal		singular	plural
animal	1st singular	hayvanımı	hayvanlarımı
animal	2nd singular	hayvanını	hayvanlarını
animal	3rd singular	hayvanını	hayvanlarını
animal	1st plural	hayvanımızı	hayvanlarımızı
animal	2nd plural	hayvanınızı	hayvanlarınızı
animal	3rd plural	hayvanlarını	hayvanlarını
animal	dative
animal		singular	plural
animal	1st singular	hayvanıma	hayvanlarıma
animal	2nd singular	hayvanına	hayvanlarına
animal	3rd singular	hayvanına	hayvanlarına
animal	1st plural	hayvanımıza	hayvanlarımıza
animal	2nd plural	hayvanınıza	hayvanlarınıza
animal	3rd plural	hayvanlarına	hayvanlarına
animal	locative
animal		singular	plural
animal	1st singular	hayvanımda	hayvanlarımda
animal	2nd singular	hayvanında	hayvanlarında
animal	3rd singular	hayvanında	hayvanlarında
animal	1st plural	hayvanımızda	hayvanlarımızda
animal	2nd plural	hayvanınızda	hayvanlarınızda
animal	3rd plural	hayvanlarında	hayvanlarında
animal	ablative
animal		singular	plural
animal	1st singular	hayvanımdan	hayvanlarımdan
animal	2nd singular	hayvanından	hayvanlarından
animal	3rd singular	hayvanından	hayvanlarından
animal	1st plural	hayvanımızdan	hayvanlarımızdan
animal	2nd plural	hayvanınızdan	hayvanlarınızdan
animal	3rd plural	hayvanlarından	hayvanlarından
animal	genitive
animal		singular	plural
animal	1st singular	hayvanımın	hayvanlarımın
animal	2nd singular	hayvanının	hayvanlarının
animal	3rd singular	hayvanının	hayvanlarının
animal	1st plural	hayvanımızın	hayvanlarımızın
animal	2nd plural	hayvanınızın	hayvanlarınızın
animal	3rd plural	hayvanlarının	hayvanlarının
bird	inflection
bird	nominative	kuş
bird	definite accusative	kuşu
bird		singular	plural
bird	nominative	kuş	kuşlar
bird	definite accusative	kuşu	kuşları
bird	dative	kuşa	kuşlara
bird	locative	kuşta	kuşlarda
bird	ablative	kuştan	kuşlardan
bird	genitive	kuşun	kuşların
