appear	infinitive	simple	apparaître											
cool	(compoundtenses)	future perfect	future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle	
cool	(compoundtenses)	conditional perfect	conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle	
cool	(compoundtenses)	past	present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle	
cool	(compoundtenses)	pluperfect2	imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle	
direct	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
direct	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
direct	(compoundtenses)	past anterior2	past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle	
direct	(compoundtenses)	future perfect	future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle	
direct	(compoundtenses)	conditional perfect	conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle	
direct	(compoundtenses)	past	present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle	
displease	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
displease	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
displease	(compoundtenses)	past anterior2	past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle	
displease	(compoundtenses)	future perfect	future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle	
displease	(compoundtenses)	conditional perfect	conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle	
displease	(compoundtenses)	past	present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle	
displease	(compoundtenses)	pluperfect2	imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle	
eat	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
eat	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
eat	(compoundtenses)	past anterior2	past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle	
eat	(compoundtenses)	future perfect	future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle	
eat	(compoundtenses)	conditional perfect	conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle	
eat	(compoundtenses)	past	present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle	
eat	(compoundtenses)	pluperfect2	imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle	
endure	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
endure	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
endure	(compoundtenses)	past anterior2	past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle	
endure	(compoundtenses)	future perfect	future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle	
endure	(compoundtenses)	conditional perfect	conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle	
endure	(compoundtenses)	past	present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle	
endure	(compoundtenses)	pluperfect2	imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle	
fall	(compoundtenses)	present perfect	present indicative of avoir or être + past participle		present indicative of avoir or être + past participle		present indicative of avoir or être + past participle		present indicative of avoir or être + past participle		present indicative of avoir or être + past participle		present indicative of avoir or être + past participle	
fall	(compoundtenses)	pluperfect	imperfect indicative of avoir or être + past participle		imperfect indicative of avoir or être + past participle		imperfect indicative of avoir or être + past participle		imperfect indicative of avoir or être + past participle		imperfect indicative of avoir or être + past participle		imperfect indicative of avoir or être + past participle	
fall	(compoundtenses)	past anterior2	past historic of avoir or être + past participle		past historic of avoir or être + past participle		past historic of avoir or être + past participle		past historic of avoir or être + past participle		past historic of avoir or être + past participle		past historic of avoir or être + past participle	
