*	*	*	*	nominative  	vocative    	accusative  	genitive    	ablative    	dative      	locative    	instrumental	#	declension
upset	positive	feminine	dual	tristéyih₂h₁(e) 	tristéyih₂h₁(e) 	tristéyih₂h₁(e) 	❔	❔	❔	❔	❔	#	proterokinetic
upset	positive	feminine	plural	tristéyih₂es    	tristéyih₂es    	tristéyih₂m̥s   	tristiyéh₂oHom  	tristiyéh₂mos   	tristiyéh₂mos   	tristiyéh₂su    	tristiyéh₂bʰi   	#	proterokinetic
upset	positive	neuter	singular	tréysti       	tréysti       	tréysti       	tristéys      	tristéys      	tristéyey     	tristḗy       	tristíh₁      	#	proterokinetic
upset	positive	neuter	dual	tréystyih₁      	tréystyih₁      	tréystyih₁      	❔	❔	❔	❔	❔	#	proterokinetic
upset	positive	neuter	plural	tréystih₂       	tréystih₂       	tréystih₂       	tristéyoHom     	tristímos       	tristímos       	tristísu        	tristíbʰi       	#	proterokinetic
upset	comparative	masculine	singular	tréyst(é)yōs 	tréyst(é)yos 	tréyst(é)yosm̥ 	tréystisés 	tréystisés 	tréystiséy 	tréystyés, tréystyési 	tréystiséh₁ 	#	
upset	comparative	masculine	dual	tréyst(é)yosh₁(e) 	tréyst(é)yosh₁(e) 	tréyst(é)yosh₁(e) 	❔	❔	❔	❔	❔	#	
upset	comparative	masculine	plural	tréyst(é)yoses	tréyst(é)yoses	tréyst(é)yosm̥s	tréystisóHom	tréystismós	tréystismós	tréystisú	tréystismís 	#	
upset	comparative	feminine	singular	tréystyésih₂ 	tréystyésih₂ 	tréystyésih₂m̥ 	tréystisyéh₂s 	tréystisyéh₂s 	tréystisyéh₂ey 	tréystisyéh₂, tréystisyéh₂i 	tréystisyéh₂h₁ 	#	
upset	comparative	feminine	dual	tréystyésih₂h₁(e) 	tréystyésih₂h₁(e) 	tréystyésih₂h₁(e) 	❔	❔	❔	❔	❔	#	
upset	comparative	feminine	plural	tréystyésih₂es	tréystyésih₂es	tréystyésih₂m̥s	tréystisyéh₂oHom	tréystisyéh₂mos	tréystisyéh₂mos	tréystisyéh₂su	tréystisyéh₂mis 	#	
upset	comparative	neuter	singular	tréyst(é)yos 	tréyst(é)yos 	tréyst(é)yos 	tréystisés 	tréystisés 	tréystiséy 	tréystyés, tréystyési 	tréystiséh₁ 	#	
upset	comparative	neuter	dual	tréyst(é)yosih₁ 	tréyst(é)yosih₁ 	tréyst(é)yosih₁ 	❔	❔	❔	❔	❔	#	
upset	comparative	neuter	plural	tréyst(é)yōs	tréyst(é)yōs	tréyst(é)yōs	tréystisóHom	tréystismós	tréystismós	tréystisú	tréystismís 	#	
