*	*	*	*	present	past	present	present	present	#	
hear	middle	1	singular	ḱluh₂é		—	ḱlewoh₂er	ḱl̥wih₁h₂é	#	
hear	middle	2	singular	ḱluth₂é		ḱlusó	ḱleweth₂er	ḱl̥wih₁th₂é	#	
hear	middle	3	singular	ḱlutó, ḱl̥wó		❔	ḱlewetor	ḱl̥wih₁tó, ḱl̥wih₁ó	#	
hear	middle	1	dual	ḱluwédʰh₂		—	ḱlewowosdʰh₂	ḱl̥wih₁wédʰh₂	#	
hear	middle	2	dual	❔		❔	❔	❔	#	
hear	middle	3	dual	❔		❔	❔	❔	#	
hear	middle	1	plural	ḱlumédʰh₂		—	ḱlewomosdʰh₂	ḱl̥wih₁médʰh₂	#	
hear	middle	2	plural	ḱludʰh₂wé		ḱludʰh₂wé	ḱlewedʰh₂we	ḱl̥wih₁dʰh₂wé	#	
hear	middle	3	plural	ḱluró, ḱl̥wn̥tó		❔	ḱleworor, ḱlewontor	ḱl̥wih₁ró, ḱl̥wih₁n̥tó	#	
occupy	active	1	singular	tḱéymi	tḱḗm	—	tḱéyoh₂	tḱiyéh₁m̥	#	imperfective, athematic
occupy	active	2	singular	tḱéysi	tḱéys	tḱéy, tḱidʰí	tḱéyesi	tḱiyéh₁s	#	
occupy	active	3	singular	tḱéyti	tḱéyt	tḱéytu	tḱéyeti	tḱiyéh₁t	#	
occupy	active	1	dual	tḱiwós	tḱiwé	—	tḱéyowos	tḱyih₁wé	#	
occupy	active	2	dual	tḱités	tḱitóm	tḱitóm	tḱéyetes	tḱyih₁tóm	#	
occupy	active	3	dual	tḱités	tḱitā́m	tḱitā́m	tḱéyetes	tḱyih₁tā́m	#	
occupy	active	1	plural	tḱimós	tḱimé	—	tḱéyomos	tḱyih₁mé	#	
occupy	active	2	plural	tḱité	tḱité	tḱité	tḱéyete	tḱyih₁té	#	
occupy	active	3	plural	tḱyénti	tḱyént	tḱyéntu	tḱéyonti	tḱyih₁ént	#	
occupy	middle	1	singular	tḱih₂ér	tḱih₂é	—	tḱéyoh₂er	tḱyih₁h₂é	#	
occupy	middle	2	singular	tḱith₂ér	tḱith₂é	tḱisó	tḱéyeth₂er	tḱyih₁th₂é	#	
occupy	middle	3	singular	tḱitór, tḱyór	tḱitó, tḱyó	❔	tḱéyetor	tḱyih₁tó, tḱyih₁ó	#	
occupy	middle	1	dual	tḱiwósdʰh₂	tḱiwédʰh₂	—	tḱéyowosdʰh₂	tḱyih₁wédʰh₂	#	
occupy	middle	2	dual	❔	❔	❔	❔	❔	#	
occupy	middle	3	dual	❔	❔	❔	❔	❔	#	
occupy	middle	1	plural	tḱimósdʰh₂	tḱimédʰh₂	—	tḱéyomosdʰh₂	tḱyih₁médʰh₂	#	
occupy	middle	2	plural	tḱidʰh₂wé	tḱidʰh₂wé	tḱidʰh₂wé	tḱéyedʰh₂we	tḱyih₁dʰh₂wé	#	
occupy	middle	3	plural	tḱirór, tḱyn̥tór	tḱiró, tḱyn̥tó	❔	tḱéyoror, tḱéyontor	tḱyih₁ró, tḱyih₁n̥tó	#	
rest	active	1	singular	légʰyoh₂	légʰyom	—	légʰyōh₂	légʰyoyh₁m̥	#	imperfective, thematic, active only
rest	active	2	singular	légʰyesi	légʰyes	légʰye	légʰyēsi	légʰyoys	#	
rest	active	3	singular	légʰyeti	légʰyet	légʰyetu	légʰyēti	légʰyoyt	#	
rest	active	1	dual	légʰyowos	légʰyowe	—	légʰyōwos	légʰyoywe	#	
rest	active	2	dual	légʰyetes	légʰyetom	légʰyetom	légʰyētes	légʰyoytom	#	
rest	active	3	dual	légʰyetes	légʰyetām	légʰyetām	légʰyētes	légʰyoytām	#	
rest	active	1	plural	légʰyomos	légʰyome	—	légʰyōmos	légʰyoyme	#	
rest	active	2	plural	légʰyete	légʰyete	légʰyete	légʰyēte	légʰyoyte	#	
rest	active	3	plural	légʰyonti	légʰyont	légʰyontu	légʰyōnti	légʰyoyh₁n̥t	#	
see	active	1	singular	spéḱyoh₂	spéḱyom	—	spéḱyōh₂	spéḱyoyh₁m̥	#	imperfective, thematic
see	active	2	singular	spéḱyesi	spéḱyes	spéḱye	spéḱyēsi	spéḱyoys	#	
see	active	3	singular	spéḱyeti	spéḱyet	spéḱyetu	spéḱyēti	spéḱyoyt	#	
see	active	1	dual	spéḱyowos	spéḱyowe	—	spéḱyōwos	spéḱyoywe	#	
see	active	2	dual	spéḱyetes	spéḱyetom	spéḱyetom	spéḱyētes	spéḱyoytom	#	
see	active	3	dual	spéḱyetes	spéḱyetām	spéḱyetām	spéḱyētes	spéḱyoytām	#	
see	active	1	plural	spéḱyomos	spéḱyome	—	spéḱyōmos	spéḱyoyme	#	
see	active	2	plural	spéḱyete	spéḱyete	spéḱyete	spéḱyēte	spéḱyoyte	#	
see	active	3	plural	spéḱyonti	spéḱyont	spéḱyontu	spéḱyōnti	spéḱyoyh₁n̥t	#	
