gʰ                                 	g             
                                   
(?<=[āēīōū]|[V][V]+)p              	b             
(?<=[āēīōū]|[V][V]+)t              	d             
(?<=[āēīōū]|[V][V]+)k              	g             
                                   
tj                              	tsy           
                                   
eh₁                                	ǣ             
                                   
\bh₂                               	x             
                                   
\Bh₂                               	h             
                                   
h₃                                 	h             
                                   
h₁                                 	∅             
                                   
(?<=[V])([R])[H](?=[V])            	\1\1          
                                   
r̥                                 	∅             
                                   
\bje                            	e             
                                   
ei                                 	ę             
                                   
eu                                 	ū             
                                   
                                   
                                   
                                   
#                                  	miscellaneous laws                                                                               
#                                  	Szemerenyi's law                                                                                 
(?<=[V][R])s                       	∅             
(?<=[V][R])[H]                     	∅             
                                   
#                                  	Stang's law   
(?<=[V])[jw](?=m\b)               	∅             
(?<=[V])[H](?=m\b)                 	∅             
                                   
[yw]\b                             
[H]\b                              
                                   
#                                  	PIE->Sanskrit 
                                   
                                   
                                   
                                   
                                   
#                                  	PIE->Modern English                                                                              
#                                  	centumization 
ḱ                                  	k             
ǵ                                  	g             
                                   
#                                  	p-celtic influence                                                                               
kʷ                                 	p             
                                   
#                                  	Final overlong vowels                                                                            
tm̥                                	md            
                                   
#                                  	Loss of laryngeals                                                                               
[H]                                	∅             
                                   
#                                  	Loss of final nonhigh vowels                                                                     
[^iuīū]\b                          	∅             
                                   
#                                  	Grimm's law   
##                                 	voiceless stops fricativize                                                                      
(?<!s)p                            	f             
(?<!s|p|kʷ)t                       	θ             
(?<!s)k                            	x             
(?<!s)kʷ                           	xʷ            
                                   
##                                 	voiced stops unvoice                                                                             
b(?!=ʰ)                            	p             
d(?!=ʰ)                            	t             
g(?!=ʰ)                            	k             
gʷ(?!=ʰ)                           	kʷ            
                                   
##                                 	voiced spirates unaspirate                                                                       
bʰ                                 	b             
dʰ                                 	d             
gʰ                                 	g             
gʷʰ                                	gʷ            
                                   
#                                  	Verner's Law  
(?<=[aeiou])s                      	z             
(?<=[aeiou])f                      	v             
(?<=[aeiou])θ                      	ð̠            
                                   
owo                                	ō             
ew                                 	ow            
e                                  	i             
ji                              	i             
                                   
o                                  	a             
ō                                  	ā             
ô                                  	â             
                                   
m\b                                	n             
                                   
m(?=[D])                           	n             
                                   
an\b                               	ã             
                                   
t\b                                	∅             
                                   
#                                  	nasal raising 
e(?=[N])                           	i             
o(?=[N])                           	u             
                                   
ā                                  	ō             
â                                  	ô             
                                   
#                                  	Final vowel shortening/loss                                                                      
ã\b                                	∅             
o\b                                	∅                                                                                                	
a\b                                	∅                                                                                                	
ō\b                                	u             
ā\b                                	a             
ô\b                                	ō             
â\b                                	ā             
                                   
#                                  	final z loss  
z\b                                	∅             
                                   
#                                  	rhotacism     
z                                  	r             
                                   
ðw                                 	ww            
                                   
#                                  	hardening     
ð                                  	d             
β                                  	v             
ɸ                                  	f             
                                   
#                                  	Ingvaeonic nasal spirant law                                                                     
a[N](?=[F])                        	ã             
e[N](?=[F])                        	ẽ             
i[N](?=[F])                        	ĩ             
o[N](?=[F])                        	õ             
u[N](?=[F])                        	ũ             
(?<=[V])[N](?=[F])                 	∅             
                                   
#                                  	anglo-frisian vowel fronting                                                                     
ā(?!=[N])                          	ǣ                                                                                                	
                                   
#                                  	denazalization
ã                                  	a             
ẽ                                  	e             
ĩ                                  	i             
õ                                  	o             
ũ                                  	u             
                                   
#                                  	monophthongized                                                                                  
ai                                 	a             
                                   
#                                  	anglo-frisian vowel brightening                                                                  
a                                  	æ             
                                   
#                                  	vowel breaking
(?<=[hwrl][C])i                    	iu            
(?<=[hwrl][C])e                    	eo            
(?<=[hwrl][C])æ                    	æɑ            
                                   
#                                  	vowel backing 
æ(?=[C]+[aɑæ])                     	a             
                                   
#                                  	dipthong height harmonization                                                                    
au                                 	æɑ            
eu                                 	eo            
                                   
#                                  	vowel raising 
ehs                                	ihs           
eht                                	iht           
                                   
hs                                 	ks            
                                   
#                                  	vowel lowering
iu                                 	eo            
                                   
iy                                 	ȳ             
                                   
                                   
                                   
#                                  	generic vowel brightening                                                                        
y                                  	i                                                                                                	
ʉ                                  	ɨ             
u                                  	ɯ             
ø                                  	e             
ɵ                                  	ɘ                                                                                                	
o                                  	ɤ             
œ                                  	ɛ             
ɞ                                  	ɜ             
ɔ                                  	ʌ             
a                                  	æ             
ɶ                                  	a             
ɒ                                  	ɑ             
                                   
#                                  	palatalization
(?<=ij)k                           	tʃ            
(?<=ij)gg                          	ddʒ           
(?<=ij)ɣ                           	j             
                                   
(?<=[ieɛæayøœɶ])k                  	tʃ            
(?<=[ieɛæayøœɶ])ɣ                  	j             
                                   
(?<=i)k(?![ɯuɤoʌɔɑɒ])              	tʃ            
                                   
(?<=[ieɛæayøœɶ])ɣ(?![ɯuɤoʌɔɑɒ])    	j             
(?<=[ieɛæayøœɶ])sk(?![ɯuɤoʌɔɑɒ])   	ʃ             
                                   
\bsk                               	ʃ             
                                   
tʃ[C]                              	k             
dʒ[C]                              	g             
                                   
(?<=s?[ċġ])e                       	ie            
(?<=s?[ċġ])ē                       	īe            
(?<=s?[ċġ])æ                       	īe            
                                   
#                                  	metasthesization                                                                                 
r([ieɛæayøœɶɯuɤoʌɔɑɒ])(?=[snd]) 	\1r

r([ieɛæayøœɶɯuɤoʌɔɑɒ])(?=ht) 	\1r

# 	final a loss
j[æaɑɒ]\b 	[i]
ij[æaɑɒ]\b 	[ī]
w[æaɑɒ]\b 	[u]
[æaɑɒ]\b 	∅

# 	mid vowel loss
(?<=[V][C])[aæe](?=[C][V]) 	∅

# 	high vowel loss
(?<=[V][C][C])[iu](?=[C][V]) 	∅
(?<=[āēīōū][C])[iu](?=[C][V]) 	∅
(?<=[V][C][C])[iu]\b 	∅
(?<=[āēīōū][C])[iu]\b 	∅

#	loss of i/j
(?<=[V][C][V]?)[ij](?=[V]?[C][V]) 	∅

#	back mutation
[eia](?=[C]+[uoaō])
