Id	English	Part
19-510	friend|companion	noun
19-520	enemy	noun
19-540	neighbor	noun
19-550	stranger	noun
19-560	guest	noun
19-570	host	noun
19-580	help|aid	verb
19-590	hinder|prevent	verb
19-610	custom	noun
19-620	strife|quarrel	noun
19-630	conspiracy|plot	noun
19-650	meet	verb
19-720	prostitute	noun
2-100	person|human being	noun
2-210	man	noun
2-220	woman	noun
2-230	male	noun
2-240	female	noun
2-250	boy	noun
2-251	young man	noun
2-260	girl	noun
2-261	young woman	noun
2-270	child	noun
2-280	infant|baby	noun
2-310	husband	noun
2-320	wife	noun
2-330	marry	verb
2-340	marriage|wedding	noun
2-341	divorce	noun
2-350	father	noun
2-360	mother	noun
2-370	parents	noun
2-380	married man	noun
2-390	married woman	noun
2-410	son	noun
2-420	daughter	noun
2-430	offspring	noun
2-440	brother	noun
2-444	older brother	noun
2-445	younger brother	noun
2-450	sister	noun
2-454	older sister	noun
2-455	younger sister	noun
2-456	sibling	noun
2-458	twins	noun
2-460	grandfather	noun
2-461	old man	noun
2-470	grandmother	noun
2-471	old woman	noun
2-480	grandson	noun
2-490	granddaughter	noun
2-510	uncle	noun
2-511	mother's brother	noun
2-512	father's brother	noun
2-520	aunt	noun
2-521	mother's sister	noun
2-522	father's sister	noun
2-530	nephew	noun
2-540	niece	noun
2-550	cousin	noun
2-560	ancestors	noun
2-570	descendants	noun
2-610	father-in-law	noun
2-611	father-in-law	noun
2-620	mother-in-law	noun
2-621	mother-in-law	noun
2-630	son-in-law	noun
2-631	son-in-law	noun
2-640	daughter-in-law	noun
2-641	daughter-in-law	noun
2-710	stepfather	noun
2-720	stepmother	noun
2-730	stepson	noun
2-740	stepdaughter	noun
2-750	orphan	noun
2-760	widow	noun
2-770	widower	noun
2-810	relatives|kinsmen	noun
2-820	family	noun
2-910	I	noun
2-920	you	noun
2-930	he|she|it	noun
2-940	we	noun
2-941	we	noun
2-942	we	noun
2-950	you	noun
2-960	they	noun
20-110	fight	verb
20-130	war|battle	noun
20-140	peace	noun
20-150	army	noun
20-170	soldier	noun
20-210	weapons|arms	noun
20-220	club	noun
20-222	battle-ax	noun
20-230	sling	noun
20-240	bow	noun
20-250	arrow	noun
20-260	spear	noun
20-270	sword	noun
20-280	gun|cannon	noun
20-310	armor	noun
20-330	helmet	noun
20-340	shield	noun
20-350	fortress	noun
20-360	tower	noun
20-410	victory	noun
20-420	defeat	noun
20-430	attack	verb
20-440	defend	verb
20-450	retreat	verb
20-460	surrender	verb
20-470	captive|prisoner	noun
20-471	guard|sentinel	noun
20-480	booty|spoils	noun
20-490	ambush	verb
20-510	fisherman	noun
20-520	fishhook	noun
20-530	fishing line	noun
20-540	fishnet	noun
20-550	fish trap	noun
20-560	bait	noun
20-610	hunt	verb
20-620	shoot	verb
20-630	miss target	verb
20-640	trap	noun
20-650	trap	verb
21-110	law	noun
21-150	court	noun
21-160	judge	verb
21-170	judgment	noun
21-180	judge	noun
21-210	plaintiff	noun
21-220	defendant	noun
21-230	witness	noun
21-240	swear	verb
21-250	oath	noun
21-310	accuse	verb
21-320	condemn	verb
21-330	convict	verb
21-340	acquit	verb
21-350	guilty	adjective
21-360	innocent	adjective
21-370	penalty|punishment	noun
21-380	fine	noun
21-390	prison|jail	noun
21-420	murder	verb
21-430	adultery	noun
21-440	rape	noun
21-460	arson	noun
21-470	perjury	noun
21-510	steal	verb
21-520	thief	noun
22-110	religion	noun
22-120	God	noun
22-130	temple|church	noun
22-140	altar	noun
22-150	sacrifice|offering	noun
22-160	worship	verb
22-170	pray	verb
22-180	priest	noun
22-190	holy|sacred	adjective
22-220	preach	verb
22-230	bless	verb
22-240	curse	verb
22-260	fast	verb
22-310	heaven	noun
22-320	hell	noun
22-350	demon|evil spirit	noun
22-370	idol	noun
22-420	magic|witchcraft|sorcery	noun
22-430	sorcerer|witch	noun
22-440	fairy|elf	noun
22-450	ghost|phantom	noun
22-470	omen|portent	noun
3-110	animal	noun
3-120	male	adjective
3-130	female	adjective
3-150	livestock	noun
3-160	pasture	noun
3-180	herdsman	noun
3-190	stable|stall	noun
3-200	cattle	noun
3-210	bull	noun
3-220	ox	noun
3-230	cow	noun
3-240	calf	noun
3-250	sheep	noun
3-260	ram	noun
3-280	ewe	noun
3-290	lamb	noun
3-320	boar	noun
3-340	sow	noun
3-350	pig	noun
3-360	goat	noun
3-370	he-goat	noun
3-380	kid	noun
3-410	horse	noun
3-420	stallion	noun
3-440	mare	noun
3-450	foal|colt	noun
3-460	ass|donkey	noun
3-470	mule	noun
3-500	fowl	noun
3-520	cock|rooster	noun
3-540	hen	noun
3-550	chicken	noun
3-560	goose	noun
3-570	duck	noun
3-580	nest	noun
3-581	bird	noun
3-582	seagull	noun
3-583	heron	noun
3-584	eagle	noun
3-585	hawk	noun
3-586	vulture	noun
3-591	bat	noun
3-592	parrot	noun
3-593	crow	noun
3-594	dove	noun
3-596	owl	noun
3-610	dog	noun
3-614	rabbit	noun
3-620	cat	noun
3-622	opossum	noun
3-630	mouse|rat	noun
3-650	fish	noun
3-652	fin	noun
3-653	fishscale	noun
3-654	gill	noun
3-655	shell	noun
3-661	shark	noun
3-662	porpoise|dolphin	noun
3-663	whale	noun
3-664	stingray	noun
3-665	freshwater eel	noun
3-710	wolf	noun
3-720	lion	noun
3-730	bear	noun
3-740	fox	noun
3-750	deer	noun
3-760	monkey	noun
3-770	elephant	noun
3-780	camel	noun
3-810	insect	noun
3-811	louse	noun
3-812	nit	noun
3-813	flea	noun
3-814	centipede	noun
3-815	scorpion	noun
3-816	cockroach	noun
3-817	ant	noun
3-818	spider	noun
3-819	spider web	noun
3-820	bee	noun
3-821	beeswax	noun
3-822	beehive	noun
3-823	wasp	noun
3-830	fly	noun
3-831	sandfly|midge|gnat	noun
3-832	mosquito	noun
3-840	worm	noun
3-850	snake	noun
3-910	firefly	noun
3-920	butterfly	noun
3-930	grasshopper	noun
3-940	snail	noun
3-950	frog	noun
3-960	lizard	noun
3-970	crocodile|alligator	noun
3-980	turtle	noun
4-110	body	noun
4-120	skin|hide	noun
4-130	flesh	noun
4-140	hair	noun
4-142	beard	noun
4-144	body hair	noun
4-145	pubic hair	noun
4-146	dandruff	noun
4-150	blood	noun
4-151	vein|artery	noun
4-160	bone	noun
4-162	rib	noun
4-170	horn	noun
4-180	tail	noun
4-190	back	noun
4-191	spine	noun
4-200	head	noun
4-201	side of head|temple	noun
4-202	skull	noun
4-203	brain	noun
4-204	face	noun
4-205	forehead	noun
4-207	jaw	noun
4-208	cheek	noun
4-209	chin	noun
4-210	eye	noun
4-212	eyebrow	noun
4-213	eyelid	noun
4-214	eyelash	noun
4-215	blink	verb
4-220	ear	noun
4-221	earlobe	noun
4-222	earwax	noun
4-230	nose	noun
4-231	nostril	noun
4-232	mucus	noun
4-240	mouth	noun
4-241	beak	noun
4-250	lip	noun
4-260	tongue	noun
4-270	tooth	noun
4-271	gums	noun
4-272	molartooth	noun
4-280	neck	noun
4-281	nape of neck	noun
4-290	throat	noun
4-300	shoulder	noun
4-301	shoulderblade	noun
4-302	collarbone	noun
4-310	arm	noun
4-312	armpit	noun
4-320	elbow	noun
4-321	wrist	noun
4-330	hand	noun
4-331	palm of hand	noun
4-340	finger	noun
4-342	thumb	noun
4-344	fingernail	noun
4-345	claw	noun
4-350	leg	noun
4-351	thigh	noun
4-352	calf of leg	noun
4-360	knee	noun
4-370	foot	noun
4-371	ankle	noun
4-372	heel	noun
4-374	footprint	noun
4-380	toe	noun
4-392	wing	noun
4-393	feather	noun
4-400	chest	noun
4-410	breast	noun
4-412	nipple|teat	noun
4-420	udder	noun
4-430	navel	noun
4-440	heart	noun
4-441	lung	noun
4-450	liver	noun
4-451	kidney	noun
4-452	spleen	noun
4-460	stomach	noun
4-461	intestines|guts	noun
4-462	waist	noun
4-463	hip	noun
4-464	buttocks	noun
4-470	womb	noun
4-490	testicle	noun
4-492	penis	noun
4-510	breathe|breath	verb
4-520	yawn|gape	verb
4-521	hiccough	verb
4-530	cough	verb
4-540	sneeze	verb
4-550	perspire	verb
4-560	spit	verb
4-570	vomit	verb
4-580	bite	verb
4-590	lick	verb
4-591	dribble	verb
4-610	sleep	verb
4-612	snore	verb
4-620	dream	verb
4-630	wake up	verb
4-640	break wind	verb
4-650	urinate	verb
4-660	defecate	verb
4-670	have sexual intercourse	verb
4-680	shiver	verb
4-690	bathe	verb
4-710	beget	verb
4-720	born	verb
4-730	pregnant	adjective
4-732	conceive	verb
4-740	live|living|life	verb
4-750	die|dead	verb
4-751	drowned	adjective
4-760	kill	verb
4-770	corpse	noun
4-780	bury	verb
4-790	grave|tomb	noun
4-810	strong|mighty|powerful	adjective
4-820	weak	adjective
4-830	well|health	adjective|noun
4-840	sick|sickness	adjective|noun
4-841	fever	noun
4-842	goiter	noun
4-843	cold	noun
4-850	wound|sore	noun
4-852	bruise	noun
4-853	swelling	noun
4-854	itch	noun
4-855	blister	noun
4-856	boil	noun
4-857	pus	noun
4-858	scar	noun
4-860	cure|heal	verb
4-870	physician	noun
4-880	medicine|drug	noun
4-890	poison	noun
4-910	tired|weary	adjective
4-912	rest	verb
4-920	lazy	adjective
4-930	bald	adjective
4-940	lame	adjective
4-950	deaf	adjective
4-960	mute	adjective
4-970	blind	adjective
4-980	intoxicated	adjective
4-990	naked|bare	adjective
5-110	eat	verb
5-120	food	noun
5-121	cooked	adjective
5-122	raw	adjective
5-123	ripe	adjective
5-124	green|unripe	adjective
5-125	rotten	adjective
5-130	drink	verb
5-140	hunger	noun
5-141	famine	noun
5-150	thirst	noun
5-160	suck	verb
5-180	chew	verb
5-181	swallow	verb
5-190	choke	verb
5-210	cook	verb
5-220	boil	verb
5-230	roast|fry	verb
5-240	bake	verb
5-250	oven	verb
5-260	pot|cooking vessel	noun
5-270	kettle	noun
5-280	pan	noun
5-310	dish	noun
5-320	plate	noun
5-330	bowl	noun
5-340	pitcher|jug	noun
5-350	cup|drinking vessel	noun
5-360	saucer	noun
5-370	spoon	noun
5-380	knife	noun
5-390	fork	noun
5-391	tongs	noun
5-410	meal	noun
5-420	breakfast	noun
5-430	lunch	noun
5-440	dinner	noun
5-450	supper	noun
5-460	peel	verb
5-470	sieve|strain	noun
5-480	scrape	verb
5-490	stir|mix	verb
5-510	bread	noun
5-530	dough	noun
5-540	knead	verb
5-550	meal|flour	noun
5-560	crush|grind	verb
5-570	mill	noun
5-580	mortar	noun
5-590	pestle	noun
5-610	meat	noun
5-630	sausage	noun
5-640	soup|broth	noun
5-650	vegetables	noun
5-660	bean	noun
5-700	potato	noun
5-710	fruit	noun
5-712	bunch	noun
5-750	fig	noun
5-760	grape	noun
5-770	nut	noun
5-780	olive	noun
5-790	oil	noun
5-791	grease|fat	noun
5-810	salt	noun
5-820	pepper	noun
5-821	chili pepper	noun
5-840	honey	noun
5-850	sugar	noun
5-860	milk	noun
5-870	milk	noun
5-880	cheese	noun
5-890	butter	noun
5-900	beverage|drink	noun
5-910	mead	noun
5-920	wine	noun
5-930	beer	noun
5-940	fermented drink	noun
5-970	egg	noun
5-971	egg yolk	noun
6-110	put on clothes	noun
6-120	clothing|clothes	noun
6-130	tailor	noun
6-210	cloth	noun
6-220	wool	noun
6-230	linen|flax	noun
6-240	cotton	noun
6-250	silk	noun
6-270	felt	noun
6-280	fur	noun
6-290	leather	noun
6-310	spin	verb
6-320	spindle	noun
6-330	weave	verb
6-340	loom	noun
6-350	sew	verb
6-360	needle	noun
6-370	awl	noun
6-380	thread	noun
6-390	dye	noun
6-410	cloak	noun
6-411	poncho	noun
6-420	woman's dress	noun
6-430	coat	noun
6-440	shirt	noun
6-450	collar	noun
6-460	skirt	noun
6-461	grass-skirt	noun
6-480	trousers	noun
6-490	stocking|sock	noun
6-510	shoe	noun
6-520	boot	noun
6-540	shoemaker|cobbler	noun
6-550	hat|cap	noun
6-570	belt|girdle	noun
6-580	glove	noun
6-590	veil	noun
6-610	pocket	noun
6-620	button	noun
6-630	pin	noun
6-710	ornament|adornment	noun
6-720	jewel	noun
6-730	ring	noun
6-740	bracelet	noun
6-750	necklace	noun
6-760	bead	noun
6-770	earring	noun
6-780	headband|headdress	noun
6-790	tattoo	noun
6-810	handkerchief|rag	noun
6-820	towel	noun
6-910	comb	noun
6-920	brush	noun
6-921	braid	verb
6-930	razor	noun
6-940	ointment	noun
6-950	soap	noun
6-960	mirror	noun
7-110	dwell|live	verb
7-120	house	noun
7-130	hut	noun
7-131	garden-house	noun
7-140	tent	noun
7-150	yard|court	noun
7-160	men's house	noun
7-170	cookhouse	noun
7-180	meeting house	noun
7-210	room	noun
7-220	door|gate	noun
7-221	doorpost|jamb	noun
7-230	lock	noun
7-231	latch|door-bolt	noun
7-240	key	noun
7-250	window	noun
7-260	floor	noun
7-270	wall	noun
7-310	fireplace	noun
7-320	stove	noun
7-330	chimney	noun
7-370	ladder	noun
7-420	bed	noun
7-421	pillow	noun
7-422	blanket	noun
7-430	chair	noun
7-440	table	noun
7-450	lamp|torch	noun
7-460	candle	noun
7-470	shelf	noun
7-480	trough	noun
7-510	roof	noun
7-520	thatch	noun
7-530	ridgepole	noun
7-540	rafter	noun
7-550	beam	noun
7-560	post|pole	noun
7-570	board	noun
7-580	arch	noun
7-610	mason	noun
7-620	brick	noun
7-630	mortar	noun
7-640	adobe	noun
8-110	farmer	noun
8-120	field	noun
8-130	garden	noun
8-150	cultivate|till	verb
8-160	fence	noun
8-170	ditch	noun
8-210	plow	verb
8-212	furrow	noun
8-220	dig	verb
8-230	spade	noun
8-240	shovel	noun
8-250	hoe	noun
8-260	fork	noun
8-270	rake	noun
8-310	sow	verb
8-311	seed	noun
8-320	mow|reap	verb
8-330	sickle|scythe	noun
8-340	thresh	verb
8-350	threshing-floor	noun
8-410	crop|harvest	noun
8-420	grain	noun
8-430	wheat	noun
8-440	barley	noun
8-450	rye	noun
8-460	oats	noun
8-470	maize|corn	noun
8-480	rice	noun
8-510	grass	noun
8-520	hay	noun
8-530	plant	noun
8-531	plant	verb
8-540	root	noun
8-550	branch	noun
8-560	leaf	noun
8-570	flower	noun
8-600	tree	noun
8-610	oak	noun
8-620	beech	noun
8-630	birch	noun
8-640	pine	noun
8-650	fir	noun
8-660	acorn	noun
8-670	vine	noun
8-680	tobacco	noun
8-690	smoke	verb
8-691	pipe	noun
8-720	tree stump	noun
8-730	tree trunk	noun
8-740	forked branch	noun
8-750	bark	noun
8-760	sap	noun
8-810	palm tree	noun
8-820	coconut	noun
8-830	citrus fruit	noun
8-840	banana tree	noun
8-850	banyan	noun
8-910	sweet potato	noun
8-912	yam	noun
8-920	tapioca|manioc|cassava	noun
8-930	gourd	noun
8-931	pumpkin|squash	noun
8-940	bamboo	noun
8-941	sugar cane	noun
8-960	fish poison	noun
8-970	nettle	noun
8-980	mushroom	noun
9-110	do|make	verb
9-120	work	verb
9-140	bend	verb
9-150	fold	verb
9-160	tie|bind	verb
9-161	untie	verb
9-180	chain	noun
9-190	rope|cord	noun
9-192	knot	noun
9-210	strike|hit|beat	verb
9-211	pound with fist	verb
9-220	cut	verb
