	Id	English	Part	Common	Northwest	West Central	Graeco Aryan	Eastern	Central
134	10-750	carriage|wagon|cart	noun	*wegˆhnos	*kˆr̥sos				
135	10-760	wheel	noun	*h⅔r̥gis|*kʷ ekʷ lo ́m|*ro ́th₂ (o/e)hₐ-		*dhro-gho ́s			
136	10-770	axle	noun	*hₐekˆs-					
137	10-780	yoke	noun	*dhwerhₓ-|*yugo ́m					
138	10-810	ship	noun						
139	10-830	boat	noun	*ne ́hₐus|*(s)kolmos					
140	10-831	canoe	noun	*hₓ oldhu-					
141	10-832	outrigger	noun						
142	10-840	raft	noun						
143	10-850	oar	noun	*h₁erh₁trom					
144	10-851	paddle	noun	*h₁ erh₁ trom					
145	10-852	row	noun						
146	10-860	rudder	noun						
147	10-870	mast	noun						
148	10-880	sail	noun						
149	10-890	anchor	noun						
150	10-910	harbor|port	noun						
151	10-920	land	verb	*pl̥th₂-ihₐ-					
152	11-110	have	verb						
153	11-120	own|possess	verb	*prihₓ o ́s|*sewos|*hₐeikˆ-					
154	11-130	take	verb	*dekˆ-|*ghₐbh-|*ghrebh-|*h₁ep-|*nem-	*h₁em-	*(s)lagʷ-|*twer-			
155	11-140	seize|grasp	verb	*ghₐbh|*h₁ep-|*kap-|*la(m)bh-|*ghrebh-|*h₁ep-	*ghreib-	*ghe(n)dh-|*sel-|*dergh-|*kagh-	*hₐ emh₃-		
156	11-150	hold	verb	*h₂ em-|*h₂ erk-|*segˆh-|*skabh-		*(s)lagʷ-|*twer-		*yem-	
157	11-160	get|obtain	verb						
158	11-170	keep|retain	verb		*bhergh-				
159	11-180	thing	noun						
160	11-210	give	verb	*deh₃-|*hₐ ei-|*reh₁-					
161	11-220	give back	verb						
162	11-240	preserve|look after	verb						
163	11-250	save|rescue	verb						
164	11-270	destroy	verb	*bhrehₓ i-|*dhgʷ hei-|*h₂ erhₓ-|*h₂ erk-|*h₃ elh₁-					
165	11-280	harm|injure|damage	verb	*dhebh-|*dhwerhₓ-|*mel-|*peh₁(i)-		*sket(h)-|*sket(h)-			
166	11-310	seek|look for	verb	*hₐeis-|*sehₐg-|*sen(hₐ)-					
167	11-320	find	verb			*wer-			
168	11-330	lose	verb						
169	11-340	release|let go	verb	*leuhₓ-|*selgˆ-|*TerK-					
170	11-430	money	noun						
171	11-440	coin	noun						
172	11-510	rich	noun				*h₁ su-dhh₁ e ́nos		
173	11-520	poor	noun						
174	11-530	beggar	noun						
175	11-540	avaricious|stingy	adjective						
176	11-610	lend	verb						
177	11-620	borrow	verb						
178	11-630	owe	verb						
179	11-640	debt	noun		*dhl̥gh-				
180	11-650	pay	verb	*kʷ rei(hₐ)-					
181	11-660	account|reckoning	noun						
182	11-690	tax|tribute	noun						
183	11-770	hire	verb	*kuhₓs-					
184	11-780	wages	noun						
185	11-790	earn	verb						
186	11-810	buy	verb	*wes-					
187	11-820	sell	verb	*pel-					
188	11-830	trade|barter	verb	*per-					
189	11-840	merchant	noun						
190	11-850	market place	noun						
191	11-860	store|shop	noun						
192	11-870	price	noun						
193	11-880	dear|costly|expensive	adjective	*hₓlehₐ d-|*lehₐ d-					
194	11-890	cheap	noun						
195	11-910	share|distribute	verb	*bhₐg-|*pr̥(h₃)tis	*h₁em-				
196	11-920	weigh	verb						
197	12-10	after	adposition	*posti					
198	12-11	behind	adposition	*h₄ epe ́r-|*h₄ e ́po|*po-skʷ o-		*gˆho ̄-|*pos			
199	12-110	place	verb	*ste ́h₂ tis					
200	12-120	put	verb						
201	12-130	sit	verb	*h₁e ̄s-|*sed-					
202	12-140	lie down	verb						
203	12-150	stand	verb	*(s)teh₂-|*stembh-|*wredh-					
204	12-160	remain|stay	verb	*men-					
205	12-170	remains|left overs	noun	*(h₁ eti)loikʷ os					
206	12-20	beside	adposition						
207	12-210	collect|gather	verb	*kr(e)u-bh-|*legˆ-		*ger-|*h₂ merg-			
208	12-212	pick up	verb						
209	12-213	pile up	verb	*kʷ ei-					
210	12-220	join|unite	verb						
211	12-230	separate	verb						
212	12-232	divide	verb	*bhₐg-|*dehₐ(i)-|*lenk-					
213	12-240	open	verb	*reu(hₓ)-					
214	12-250	shut|close	verb						
215	12-260	cover	verb	*h₁ eu-|*h₁ rebh-|*kˆem-|*(s)keu(hₓ)-|*wer-|?*(s)teg-		?*(s)teg-|*kˆel-	*dhwenh₂-		
216	12-270	hide|conceal	verb			*kˆel-			
217	12-30	down|below	adposition	*kathₐ e					
218	12-310	high	adjective	*bhergˆh-|*bhr̥gˆhu ́s ~ *bhr̥gˆhe ́nt-|*h₂ erdus|*worhₓ dhus					
219	12-320	low	adjective						
220	12-330	top	adjective						
221	12-340	bottom	adjective	*bhudhno ́-					
222	12-350	end	noun	*termn-					
223	12-352	pointed	noun						
224	12-353	edge	noun						
225	12-360	side	noun	*pokso ́s		*teigʷ-			
226	12-370	middle|center	noun	*(s)me					
227	12-40	before	adposition	*pr̥hₐe ́h₁|*pr̥hₐ e ́i					
228	12-41	front	noun	*h₂enti|*pr̥hₐ e ́h₁|*pr̥hₐe ́i|*pro ́ti-h₃(o ̄)kʷ-(o/e)hₐ-					
229	12-410	right	adjective	*de ́kˆsinos|*h₃regˆtos					
230	12-420	left	adjective	*laiwo ́s|*seuyo ́s		*skaiwo ́s			
231	12-430	near	adjective	*h₁ epi ~ *h₁ opi					
232	12-440	far	adjective	*witeros					
233	12-450	east	adjective	*hₐeust(e)ro-					
234	12-460	west	adjective						
235	12-470	north	adjective						
236	12-480	south	adjective						
237	12-50	inside|in	adposition	*h₁e ́ndo|*h₁en(i)|*h₁ ente ́r					
238	12-530	grow	verb	*bheu(hₓ)-|*gˆerhₐ-|*h₁ leudh-|*hₐ eug-|*hₐ wokse ́y(e/o)-|*kˆer-|*meh₁(i)-|*wredh-		*hₐel-			
239	12-540	measure	verb						
240	12-541	span|fathom	noun						
241	12-550	large|big	adjective	*megˆhₐ-		*meh₁ ro- ~ *moh₁ ro-			
242	12-560	small|little	adjective			*pau-			
243	12-570	long	adjective						
244	12-580	tall	adjective						
245	12-590	short	adjective	*mr̥gˆhus					
246	12-60	outside	adjective						
247	12-610	wide|broad	adjective	*plet-|*pl̥th₂u ́-|*we ́rhₓ us|*plet-|*pl̥th₂ u ́-|*we ́rhₓus					
248	12-620	narrow	adjective	*hₐ engˆhus		*sten-			
249	12-630	thick	adjective	*bhe ́ngˆhus|*dheb-|*gʷ hono ́s|*tegus|*tenk -	*gʷ retsos				
250	12-650	thin	adjective	*kr̥kˆo ́s|*mak-|*menus/menwos|*te ́nus		*makro ́s|*skidro ́s			
251	12-670	deep	adjective	*dheub-					
252	12-680	shallow	adjective						
253	12-70	under	adposition	*n̥dhe ́s ~ *n̥dhero-|*ner|*s-h₄upo ́					
254	12-710	flat	adjective	*plehₐ k-					
255	12-730	straight	adjective						
256	12-740	crooked	adjective	*(s)keng-		*lerd-|*lord(skˆ)os|*(s)kel-			
257	12-750	hook	noun	*h₂ o ́nkos|*ko(n)gos		*klehₐ wis			
258	12-760	corner	verb			*kan-t(h)o-			
259	12-770	cross	noun						
260	12-780	square	noun						
261	12-80	up|above	adposition	*terh₂-					
262	12-810	round	adjective						
263	12-820	circle	noun	*a ̄nos|*h₃ e ́rbhis|*serk-					
264	12-830	sphere|ball	noun						
265	12-840	line	noun	*h₄ erho-|*reik-					
266	12-850	hole	noun	*gˆ˳hhₐ wos|*kˆo ́uhₓ r̥					
267	12-920	like|similar	adposition						
268	12-930	change	verb						
269	13-0	zero|nothing	numeral						
270	13-10	one	numeral	*h₁oinos					
271	13-100	ten	numeral	*de ́kˆm̥ (t)					
272	13-101	eleven	numeral						
273	13-102	twelve	numeral	*dwo ̄ dekˆm̥ (t)					
274	13-103	fifteen	numeral	*penkʷ e dekˆm̥ (t)					
275	13-104	twenty	numeral	*wı ̄kˆm̥ tih₁					
276	13-105	hundred	numeral	*kˆm̥ to ́m					
277	13-106	thousand	numeral		*tuhₐ s-kˆm̥ tyo ́s		*gˆhesl(iy)os		
278	13-107	count	noun						
279	13-140	every|all	adjective						
280	13-150	much|many	adjective						
281	13-160	more	adjective						
282	13-170	little|few	adjective			*pau-|*pau-			
283	13-180	enough	adjective						
284	13-181	some	adjective	*sm̥ o ́s					
285	13-190	multitude|crowd	noun			*ger-			
286	13-20	two	numeral	*dwe ́h₃(u)					
287	13-210	full	adjective	*pl̥h₁ no ́s					
288	13-220	empty	adjective	*h₁eu(hₐ)-|*teus-|*tusskˆyos|*wak-	*w(e)hₐ stos				*kˆeno ́s
289	13-230	part|piece	noun						
290	13-240	half	adjective	*se ̄mis					
291	13-30	three	numeral	*tre ́yes					
292	13-330	alone|only	adjective	*kaiwelos|*h₁oinos					
293	13-340	first	ordinal	*per(hₓ)-					
294	13-350	last	adjective						
295	13-360	second	ordinal	*dwi-yos ~ *dwi-tos					
296	13-370	pair	noun						
297	13-380	twice	adverbial	*dwis					
298	13-40	four	numeral	*kʷ etwo ́res					
299	13-420	third	ordinal	*triyo ́s					
300	13-440	thrice	adverbial	*tris					
301	13-50	five	numeral	*pe ́nkʷ e					
302	13-60	six	numeral	*kswekˆs					
303	13-70	seven	numeral	*septm ́˳					
304	13-80	eight	numeral	*hₓokˆto ̄ ́(u)					
305	13-90	nine	numeral	*h₁ newh₁ m̥ (*h₁ ne ́wh₁n̥?)					
306	14-110	time	noun	*prest-		*ke ̄s(kˆ)ehₐ-			
307	14-120	age	noun	*gˆerhₐ-					
308	14-130	new	adjective	*ne ́wos					
309	14-140	young	adjective	*hₐ yeu-					
310	14-150	old	adjective	*se ́nos					
311	14-160	early	adjective	*hₐeyer-|*pro ̄-					
312	14-170	late	adjective						
313	14-180	now	noun	*nu-	*yam/yau				
314	14-190	immediately	adverb			*pos			
315	14-210	swift|fast|quick	adjective	*hₐ egˆilos|*h₁ o ̄kˆ-us|?*kˆeigh-	?*kˆeigh-|*bhris- ~ *bhers-|*h₂e ̄hₓtro-|*h₂ e ̄hₓ tro-		*h₂ r̥gˆ-ro ́s		
316	14-220	slow	adjective						
317	14-230	hasten|hurry	verb	*krob-|*speud-					
318	14-240	retard|delay	verb						
319	14-250	begin|beginning	verb	*neik-					
320	14-252	last|endure	verb						
321	14-260	end	noun	*termn-					
322	14-270	finish	verb						
323	14-280	cease|stop	verb						
324	14-290	ready	adjective						
325	14-310	always	adverb						
326	14-320	often	adverb						
327	14-330	sometimes	adverb						
328	14-331	soon	adverb	*mokˆs					
329	14-332	long-time	adverb						
330	14-340	never	adverb						
331	14-350	again	adverb						
332	14-410	day	noun	*deino-|*dye(u)-|*hₐ e ́gˆhr̥					*h₂ehₓ-mer-
333	14-420	night	noun	*kʷ sep-|*nekʷ t-|*n̥kʷ tus					
334	14-430	dawn	noun	*hₐe ́uso ̄s					
335	14-440	morning	noun	*pro ̄-					
336	14-450	noon|midday	noun						
337	14-451	afternoon	noun						
338	14-460	evening	noun			*we ́speros ~ *we ́keros			
339	14-470	today	noun						
340	14-480	tomorrow	noun						
341	14-481	day-after-tomorrow	noun						
342	14-490	yesterday	noun	*(dh)gˆhyes					
343	14-491	day-before-yesterday	noun						
344	14-510	hour	noun						
345	14-530	clock|timepiece	noun						
346	14-610	week	noun						
347	14-620	Sunday	noun						
348	14-630	Monday	noun						
349	14-640	Tuesday	noun						
350	14-650	Wednesday	noun						
351	14-660	Thursday	noun						
352	14-670	Friday	noun						
353	14-680	Saturday	noun						
354	14-710	month	noun						
355	14-730	year	noun	*(h₁)ye ̄r(o/e)hₐ-|*wet-	*hₐ etnos	*h₁ en-			
356	14-740	winter	noun	*gˆheim-					
357	14-750	spring	noun						
358	14-760	summer	noun	*sem-					
359	14-770	autumn	noun	*h₁esen-					
360	14-780	season	noun	*(h₁)ye ̄r(o/e)hₐ-|seat *sedes-		*sedlom|*sedros			
361	15-210	smell	verb						
362	15-212	sniff	verb						
363	15-220	smell	verb						
364	15-250	fragrant|good smelling	adjective						
365	15-260	stinking|bad smelling	adjective						
366	15-310	taste	verb	*gˆeus-	*smeg-	*sap- ~ *sep-			
367	15-350	sweet	adjective						
368	15-360	salty	adjective						
369	15-370	bitter	adjective	*h₂ em-|*h₂ em-ro-s					
370	15-380	acid|sour	adjective	*h₂ emros	*suhₓ-ros|*suhₓ ros				
371	15-390	brackish	adjective						
372	15-410	hear	verb	*kˆleu-|*kˆleus-					
373	15-420	listen	verb						
374	15-440	sound|noise	noun	*dhwen-|*gˆhwonos|*kˆle ́utrom|*mug-		*b(h)(o)mb(h)-			
375	15-450	loud	adjective						
376	15-460	quiet|silence	adjective	*h₁erh₁-|*kʷ					
377	15-510	see	verb	*derkˆ-|*legˆ-|*leuk-|*sekʷ-|*weid-|*wel-|*wet-			*h₃ekʷ-		
378	15-520	look|look at	verb						
379	15-550	show	verb	*deikˆ-|*d(h)ekʷ s-					
380	15-560	shine	verb	*bheh₂-|*bhel-|*bherhₓ gˆ-|*bhleg|*dei-|*deiw-|*ghel-|*hₐ ewes-|*kˆeuk-|*lap-|*leuk-|*mer-|*(s)kand-|*(s)plend-|*sweid-	*gˆher-|*leip-				*h₂ eug-
381	15-570	bright	adjective	*dei-|*gˆhers-|*leuko ́s|*(s)koitro ́s		*gʷ hₐidro ́s			*h₂ eug-
382	15-610	color	noun						
383	15-620	light	adjective						
384	15-630	dark	adjective	*dh(o)ngu-|*to ́mhₓ es-		*(hₐ)mauros|*(hₐ)merhₓ gʷ-			
385	15-640	white	adjective	*bhelh₁-|*h₂ergˆ-|*h₂ r̥ gˆ(u)|*h₄elbho ́s|*kˆweitos					
386	15-650	black	adjective	*kʷ r̥sno ́s|*mel-n-	*kˆeir-				
387	15-660	red	adjective	*h₁ei-|*h₁ elu-|*h₁ reudh-|*kˆo ́unos					
388	15-670	blue	adjective	*kˆer- ~ *kˆr̥-wos|modheros					
389	15-680	green	adjective	*kˆer- ~ *kˆr̥-wos|*kˆyeh₁-|*modheros					
390	15-690	yellow	adjective	*gˆhel- ~ *ghel-					
391	15-710	touch	verb	*deg-|*ml̥kˆ-		*ghrei-|*tag-			
392	15-712	pinch	verb						
393	15-720	feel	verb						
394	15-740	hard	adjective	*kar-|*sth₂ei-	*saiwos				
395	15-750	soft	adjective	*meldh-|*mel(h₁)-	*l(e)nto-				*menkus
396	15-760	rough	adjective	*kreup-					
397	15-770	smooth	adjective		*ghlehₓdh-(ro)-				
398	15-780	sharp	adjective	*h₂ ekˆ-|*kˆent-	*saiwos				
399	15-790	blunt|dull	adjective						
400	15-810	heavy	adjective	*gʷ r(e)hₐ(-u)-|*tengh-					
401	15-820	light-weight	adjective						
402	15-830	wet|damp	adjective	*leh₂-|*m(e)hₐ d-|*penk-	*lehₐ t-|*welk-/*welg-	*regˆ- /*reknos|*wegʷ-			
403	15-840	dry	adjective	*h₂es-|*kseros|*sausos|*sek-|*sisku-|*ters-	*senk-		*kˆse ̄ros		
404	15-850	hot	adjective	*h₂ehₓ-|*tep-	*kehₓ i-				
405	15-851	warm	adjective	*gʷ her-|*gʷ hermos|*gʷ hrenso ́s		*wel-			
406	15-860	cold	adjective	*kˆelto-|*kʷ ruste ̄n	*gel-	*h₃ eug-|*srı ̄ges-			
407	15-870	clean	adjective	*peuhₓ-		*kˆleu-			
408	15-880	dirty|soiled	adjective						
409	15-890	wrinkled	adjective						
410	16-110	soul|spirit	noun	*hₐ e ́nsus	*dhwes-	*lem-			
411	16-150	surprised|astonished	adjective						
412	16-180	good fortune|luck	noun						
413	16-190	misfortune|bad luck	noun				*pe ́h₁ mn̥		
414	16-230	joyful|glad|happy	adjective	*meud-|*teus-					
415	16-250	laugh	verb	*hₐ hₐ|*khₐ-|*smei-		*sward-			
416	16-251	smile	verb	*smei-					
417	16-260	play	verb			*loid-			
418	16-270	love	verb	*kehₐ-|*kem-|*ken-|*leubh-|*prihₓehₐ-					
419	16-290	kiss	verb	*kus-					
420	16-300	embrace	verb						
421	16-310	pain	noun	*h₁ e ́dwo ̄l					
422	16-320	grief|sorrow|sadness	noun	*hₐ e ́ngˆhes-|*(p)kˆo ́rmos					
423	16-330	anxiety|worry	noun						
424	16-340	regret|be sorry	verb						
425	16-350	pity	noun						
426	16-370	cry|weep	verb	*glagˆh-|*gˆar-|*gher-|*kau(k)-|*kˆeuk-|*kreukˆ-|*neu-|*wed-	*(s)trep-|*wehₐ b-	*ghel-|*lehₐ-|*(s)wehₐ gh-|*gˆem-			
427	16-380	tear	noun						
428	16-390	groan	verb	*kˆweshₓ-|*(s)tenhₓ-		*ghromos			
429	16-410	hate	verb	*h₃ed-|*kˆehₐ des-|*pei(k/kˆ)-					
430	16-420	anger	noun			*h₁ o ́istr(o/e)hₐ-			
431	16-440	envy|jealousy	noun						
432	16-450	shame	noun	*(p)kˆo ́rmos		*hₐ eigʷ hes-	*hₐ e ̄gos		
433	16-480	proud	adjective						
434	16-510	dare	verb						
435	16-520	brave	adjective	*dhers-					
436	16-530	fear|fright	noun	*bhibho ́ihₓ e|*dwei-|*hₐ e ́ngˆhes-|*kʷ eh₁(i)-|*perk-|*tres-					
437	16-540	danger	noun						
438	16-620	desire|want	verb	*gheldh-|*gˆhor(y(e/o))-|*hₓ ihₓ igˆh-((e/o))-|*leubh-|*moud -|*wenhₓ-|*hₐ eis-|*wekˆ-|*wel-		*h₁ op|*gʷ hel-		*kʷ lep-	
439	16-622	choose	verb						
440	16-630	hope	noun						
441	16-650	faithful	adjective						
442	16-660	TRUE	adjective						
443	16-670	lie|tell lies	verb	*kˆei-|*legh-					
444	16-680	deceit	noun						
445	16-690	forgive	verb						
446	16-710	good	adjective	*h₁(e)su-|*mel-|*su-	*mehₐ(t)-				
447	16-720	bad	adjective	*dus-|*h₃ ligos|*melo-					
448	16-730	right|correct	adjective	*de ́kˆsinos|*h₃regˆtos					
449	16-740	wrong	adjective						
450	16-760	fault	noun	*me ́les-					
451	16-770	mistake|error	noun	*me ́les-					
452	16-780	blame	noun	*h₁lengh-					
453	16-790	praise	verb	*gʷ erhₓ-|*h₁ erkʷ-|*kar-			*steu-		
454	16-810	beautiful	adjective				*kal-		
455	16-820	ugly	adjective						
456	16-830	greedy	adjective	*las-					
457	16-840	clever	adjective						
458	17-110	mind	noun						
459	17-130	think|reflect	verb	*men-|*teng-	*sent-	*gʷ hren-			
460	17-140	think	verb	*men-|*teng-	*sent-	*gʷ hren-			
461	17-150	believe	verb	*h⅔ ehₓ-|*kˆred-dheh₁-					
462	17-160	understand	verb						
463	17-170	know	verb	*gˆneh₃-|*weid-		*sap- or *sep-			
464	17-171	guess	verb						
465	17-172	imitate	verb						
466	17-180	seem	verb						
467	17-190	idea|notion	noun						
468	17-210	wise	adjective						
469	17-220	foolish|stupid	adjective						
470	17-230	insane|crazy	adjective						
471	17-240	learn	verb	*men(s)-dh(e)h₁-					
472	17-242	study	verb						
473	17-250	teach	verb				*dens-		
474	17-260	pupil	noun						
475	17-270	teacher	noun						
476	17-280	school	noun						
477	17-310	remember	verb	*(s)mer-					
478	17-320	forget	verb	*mer-|*mers-					
479	17-340	clear|plain	adjective	*leuko ́s|*(s)koitro ́s					
480	17-350	obscure	adjective						
481	17-360	secret	adjective						
482	17-370	sure|certain	adjective						
483	17-380	explain	verb						
484	17-410	intention|purpose	noun						
485	17-420	cause	verb						
486	17-430	doubt	verb						
487	17-440	suspect	verb						
488	17-441	betray	verb						
489	17-450	need|necessity	noun	*h₁ eg-					
490	17-460	easy	adjective						
491	17-470	difficult	adjective	*tengh-					
492	17-480	try|attempt	verb			*per-			
493	17-490	way|manner	noun	*h₁ e ́itr̥-|*pe ́rtus|*sentos					
494	17-510	and	conjunction	*ar|*h₁ eti|*-kʷ e|*-yo					
