chapter_id	entry_id	meaning	Proto Austronesian_Phonemic	comment
15	440	sound, noise	*gak; *gek; *gik; *guk; *keŋ; *kik; *kiŋ; *kuŋ; *liŋ; *ris; *rus; Tak; Taŋ; Tek	PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1); PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1); PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1); PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1); PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1); PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1); PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1); PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1); PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1); PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1); PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1); PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1); PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1); PAN; Homonyn (2); ninth form is homonyn (1); tenth form is homonyn (1)
15	520	look, look at	*Neŋ	PAN; *PEO *tola-v'stare'; *tiro
15	560	shine	*lak; *lap	PAN; *PEO *zina; *sina; *raŋi.; PAN; *PEO *zina; *sina; *raŋi.
15	660	red	*Raq	PAN; *PEO *kula; *meRa
15	720	feel	*kap	PAN; *PEO *pi(a)
15	790	blunt, dull	*pul	PAN; *PEO *puzu(ki); *puzuki; *pozi.
15	840	dry	*gaŋ; *maja	PAN; *PEO *maza.; PAN; PAN; *PEO *maza.
15	851	warm	*maafana	
16	150	surprised, astonished	*ŋaŋ	PAN
16	250	laugh	*kak	PAN
16	390	groan	*ŋek; *ŋuŋ; *ŋur; *Reŋ	PAN; PAN; PAN; PAN
16	420	anger	*get; *git; *ŋaC; *ŋeC; *ŋiC	PAN; PAN; PAN; PAN; PAN
16	670	lie, tell lies	*lacu	PAN; *PEO *pazi; *pwazi'false, deceive'; *sori.
17	130	think (= reflect)	*Dem	PAN; Homonyn (2)
17	340	clear, plain	*niŋ	PAN
17	630	how much?	*pija	PAN; *PEO *viza.
17	650	when?	*ija	PAN; .*PEO ŋiza.
18	130	shout, cry out	*ŋak	PAN; *PEO *taŋi
18	160	mumble	*ŋut	PAN
18	180	shriek, screech	*kaŋ; *kek; *ŋik	PAN; First form, homonyn (2); PAN; First form, homonyn (2); PAN; First form, homonyn (2)
18	190	howl	*Ruŋ	PAN
18	280	name	*ajan	PAN; *PEO *aza-; *qaza.
18	450	boast	*gak	PAN; Homonyn (1)
19	250	staff, walking stick	*ked; *kud	PAN; PAN
