chapter_id	entry_id	meaning	Vietnamese_phonetic	comment
9	310	rub, wipe	cọ; vò; xoa; chùi	
9	320	stretch	kéo dài; căng; nong	
9	330	pull	kéo; lôi	
9	340	spread out	d̄ang ra	
9	342	press	ấn; kẹp; d̄è	
9	350	pour	d̄ôʔ; rót	
9	360	wash	ru'ʔa; ru'ʔa bát	
9	461	hollow out	d̄ục; d̄ục lỗ; d̄ục khoét	
9	560	glue	keo; hồ	
9	630	cast (metals)	d̄ôʔ khuôn	
9	740	glass	kính; thuʔy tinh	
9	760	basket	thúng; rôʔ; gioʔ; gùi; nia	
9	890	paint (vb)	vẽ; so'n	
10	110	move	d̄i chuyêʔn; cu'ʔ d̄ộng	
10	120	turn over	lật sấp; lật nhào	
10	140	wind, wrap	gói; quấn; bọc	
10	160	drop (vb)	ro'i; nhoʔ giọt	
10	170	twist	xoắn; vặn; bện; xe	
10	210	rise	lên; bốc lên; mọc; dậy; d̄u'́ng lên	
10	220	raise, lift	nâng; d̄u'a lên	
10	230	fall	ro'i; ngã	
10	252	catch (ball)	bắt; hú'ng	
10	260	shake	lắc; rung	
10	410	creep, crawl	bò; tru'ò'n	
10	413	crouch	cúi xuống; d̄ú'ng co ro	
10	450	walk	d̄i dạo; dạo	
10	451	limp	di khập khiễng	
10	472	climb	trèo; leo	
10	481	come back	về; quay về	
10	490	go away, depart	d̄i khoʔi; ra d̄i	
10	550	reach, arrive	d̄ến; to'́i	
10	610	carry (bear)	mang; d̄em	
10	670	push, shove	xô	
10	920	land (vb)	dậu	
11	140	seize, grasp	vồ; bắt	
11	150	hold	cầm; nắm; giũ'	
11	160	get, obtain	d̄u'ọ'c; nhận	
11	180	thing	dồ	
11	210	give	cho; d̄u'a	
11	240	preserve, look after	giũ'; trông nom	
11	280	harm, injure, damage	làm hoʔng	
11	540	avaricious, stingy	tham lam; keo kiệt	
11	620	borrow	vay; mu'ọ'n	
11	780	wages	tiền công; tiền lu'o'ng	
11	910	share (distribute)	phân phát; chia	
12	160	remain, stay	còn lại	
12	210	collect, gather	gom; thu thập	
12	212	pick up	hái quaʔ	
12	220	join, unite	nối; chắp; ghép	
12	230	separate	tách ra; chia ra	
12	260	cover	d̄ắp; phuʔ	
12	330	top	phần trên; d̄ầu; ngọn	
12	340	bottom	phần du'ó'; d̄áy	
12	350	end	kết thúc	
12	530	grow	mọc; ló'n lên	
12	540	measure	d̄o; d̄ong	
12	560	small, little	nhoʔ	
12	670	deep	sâu	
12	680	shallow	nông; cạn	
12	740	crooked	oằn	
13	160	more	ló'n ho'n; thêm	
13	180	enough	duʔ	
13	181	some	mấy; một ít; một tí; một số	
13	190	multitude, crowd	d̄ám d̄ông	
13	220	empty	rỗng	
13	230	part, piece	bộ phận	
13	330	alone, only	một mình; d̄o'n d̄ộc; cô d̄o'n; chiʔ có một	
14	110	time	thò'i gian; thì giò'	
14	190	immediately	ngay; lập tú'c	
14	210	swift, fast, quick	nhanh; mau	
14	252	last, endure	tiếp tục; kéo d̄ài	
14	260	end (temporal)	kết thúc; hết	
14	270	finish	xong; hết	
14	310	always	lúc nào cũng; luôn luôn	
14	320	often	thu'o'̀ng; hay	
14	350	again	lại; nũ'a; một lần nu'̃a	
14	430	dawn	bình minh	
14	780	season	mùa; vụ mùa	
15	212	sniff	ngu'ʔi; hít; d̄ánh ho'i	
15	220	smell (vb trans)	ngu'ʔi thấy; d̄ánh ho'i thấy	
15	390	brackish	lọ'	
15	450	loud	to; vang	
15	460	quiet, silence	khẽ; nhoʔ	
15	520	look, look at	nhìn; xem; trông	
15	630	dark (in color)	sẫm	
15	760	rough	gồ ghề; xù xì	
15	790	blunt, dull	cùn; nhụt	
15	840	dry	khô; ráo	
15	860	cold	lạnh; nguội	
16	180	good fortune, luck	may; hạnh phúc	
16	230	joyful, glad, happy	vui su'o'ng; vui veʔ; vui mù'ng	
16	340	regret, be sorry	thu'o'ng tiếc; hối tiếc	
16	450	shame (noun)	tuʔi hôʔ	
16	480	proud	tụ' hào; hãnh diện	
16	520	brave	can d̄aʔm; gan dạ	
16	660	true	d̄úng; có thật	
16	740	wrong	không d̄úng; sai	
16	760	fault	lỗi; tội	
16	780	blame	khiêʔn trách	
16	830	greedy	tham an	
17	140	think (= be of the opinion)	suy sét	
17	172	imitate	bất chu'o'́c; mô phoʔng	
17	180	seem	xem nhu'; hình nhu'; du'ò'ng nhu'	
17	190	idea, notion	khái niệm; ý kiến	
17	220	foolish, stupid	d̄iên	
17	230	insane, crazy	mất trí	
17	242	study	học; nghiên cu'́u	
17	280	school	tru'o'̀ng phôʔ thông	
17	340	clear, plain	dễ hiêʔu	
17	350	obscure	tối tăm; khó hiêʔu	
17	360	secret	kín; bí mật	
17	370	sure, certain	thật	
17	430	doubt	chu'a chắc; nghi ngo'̀	
17	440	suspect	nghi ngò'; d̄oán phoʔng	
17	470	difficult	khó tíng	
17	480	try, attempt	cố gắng	
17	550	yes, affirmative	u'̀	
17	560	no, negative	d̄á	
17	620	how many?	mấy; bao nhiêu	
17	630	how much?	bao nhiêu	
17	690	why?	vì sao; tại sao	
18	160	mumble	lâʔm nhâʔm	
18	210	speak, talk	nói chuyện	
18	320	answer	traʔ lò'; d̄áp lò'; nhận	
18	330	admit, confess	thú nhận	
18	350	ask, request	xin; yêu cầu; d̄òi hoʔi	
18	360	promise	hẹn; hu'́a	
18	420	call (=name)	d̄ặt tên; gọi	
19	170	boundary	ranh gió'i; biên gió'i	
19	240	chief, chieftain	thuʔ lình; tù tru'o'ʔng	
19	430	servant	d̄ầy to'́; ngu'o'̀i o'ʔ	
19	470	let, permit	cho phép; d̄u'o'̣c pgép; d̄êʔ cho	
19	590	hinder, prevent	caʔn; ngăn caʔn; ngăn chặn	
19	720	prostitute	d̄ĩ; gái d̄iếm	
20	110	fight (vb)	d̄ấu tranh; chiến d̄ấu	
20	170	soldier	nhu'o'̀i lính	
20	260	spear	giáo; thu'o'ng	
20	270	sword	gu'o'm; kiếm	
20	420	defeat	d̄ánh bại; thua	
20	490	ambush	mau phục; phục kích	
20	630	miss (target)	không trúng d̄ích; tru'o'̣t	
21	110	law	luật	
21	460	arson	cốý d̄ốt; d̄ốt	
21	470	perjury	lò'i thề giaʔ; dối	
21	520	thief	keʔ cu'o'́p	
22	120	God	thần	
22	240	curse	chu'ʔi ruʔa	
22	470	omen, portent	mầ nhiệm	
