chapter_id	entry_id	meaning	Proto Polynesian_Phonemic	comment
1	320	sea	*wasa; *tahi; *tasi; *miti; *moano; *lau	PPN; First form means 'open s'. PCP *wasa'open s'.; PPN; First form means 'open s'. PCP *wasa'open s'.; PPN; First form means 'open s'. PCP *wasa'open s'.; PPN; First form means 'open s'. PCP *wasa'open s'.; PPN; First form means 'open s'. PCP *wasa'open s'.; PPN; First form means 'open s'. PCP *wasa'open s'.
1	323	rough (of sea)	*sou; *lepu; *lili	PPN; PPN; PPN
1	324	foam	*pusa; *fiho; *fuka; *huka; *fuka	PPN; PPN; PPN; PPN; PEP; PPN
1	330	lake	*loto; *namo; *rano; *lano; *ʔano	PPN; PPN; PPN; PPN; PPN
1	340	gulf, bay	*fana; *faŋa; *mana	PPN; PPN; PPN
1	341	lagoon	*loto; *nama	PPN; PPN
1	342	reef	*awa; *hakau; *moana; *ʔulu-ʔulu; *feo; *puŋa; *lase	PPN; PPN; PPN; PPN; PPN; PPN; PPN
1	343	headland, point	*mata; *lae; *siku	PPN; PPN'point of land'; PPN; PPN'point of land'; PPN; PPN'point of land'
1	350	wave	*peau; *pali; *ŋalu; *-alu; *kale	PPN; PPN; PPN; PPN; PEP; PPN
1	353	lowtide	*masa	PPN
1	354	hightide	*huʔa; *huqa; *ua	PPN; Latter means 'wave'. PEP *pari; PPN; Latter means 'wave'. PEP *pari; PPN; Latter means 'wave'. PEP *pari
1	360	river, stream, brook	*wai-tafe; *pihi; *sali; *tafe	PPN; 'Mouth of river' PPN *muriwai; see 'buttocks'.; PPN; 'Mouth of river' PPN *muriwai; see 'buttocks'.; PPN; 'Mouth of river' PPN *muriwai; see 'buttocks'.; PPN; 'Mouth of river' PPN *muriwai; see 'buttocks'.
1	362	whirlpool	*lipo; *Lipo	PPN; PPN
1	370	spring, well	*puna; *pun-a; *fun-a; *tupu	PPN; PPN; PPN; PPN
1	380	swamp	*rano; *fusi; *oru; *lepu; *lepo	PPN; PPN; PPN; PPN; PPN
1	390	waterfall	*safu; *hafu	PPN; PPN
1	410	woods, forest	*wao; *ŋaheze; *ŋaheLe; *ŋahele	PPN; PPN; PPN; PEP; PPN
1	420	tree (cf 08.600)	*kau; *kai; *fuʔu; *fuqu; *waqakau; *qakau; *raʔa	PPN; PPN; PPN; PPN; PPN; PPN; PPN
1	430	wood	*kai; *kau; *raʔakau; *raqakau; *ʔakau	PPN; 'Chip of wood' mala.; PPN; 'Chip of wood' mala.; PPN; 'Chip of wood' mala.; PPN; 'Chip of wood' mala.; PPN; 'Chip of wood' mala.
1	440	stone, rock	*maka; *kala; *kalaa; *ʔutu; *fatu; *koofatu; *poofatu; *teko	PPN; PNP *toka.; PPN; PNP *toka.; PPN; PNP *toka.; PPN; PNP *toka.; PPN; PNP *toka.; PPN; PNP *toka.; PPN; PNP *toka.; PPN; PNP *toka.
1	510	sky	*laŋi; *laṅi	PPN; PPN
1	520	sun	*ʔaho; qaho; *laqa; *laʔA; *laʔa	PPN; Means 'sun, day'; PPN; Means 'sun, day'; PPN; Means 'sun, day'; PPN; Means 'sun, day'; PPN; Means 'sun, day'
1	530	moon	*maasina; *ma-sina; *ma-lama; *kawake	PPN; PNP *ʔumu 'halo around m.'; PPN; PNP *ʔumu 'halo around m.'; PPN; PNP *ʔumu 'halo around m.'; PPN; PNP *ʔumu 'halo around m.'
1	540	star	*fetuʔu; *fetuqu; *fetu'u; *fetū	PPN; 'Pleiades' PPN *mata-liki.; PPN; 'Pleiades' PPN *mata-liki.; PPN; 'Pleiades' PPN *mata-liki.; PPN; 'Pleiades' PPN *mata-liki.
1	550	lightning	*ʔuhila; *quhila; *hila	PPN; PPN; PPN
1	560	thunder	*fatitili	PPN
1	570	lightning (as striking)	*suwelo	PPN; Means 'ray of light'
1	580	storm	*afaa; *'afaa; *'afā	PPN; PPN; PPN
1	590	rainbow	*ʔumata; *nuanua; *nua-nua	PPN; PPN; PNP; PPN
1	610	light (noun)	*rama; *lama; *ʔama; *'ama; *marama; *maarama; *hina; *sina; *sulu; *su sulu; *huelo	PPN; Cf. 'sun'; PPN; Cf. 'sun'; PPN; Cf. 'sun'; PPN; Cf. 'sun'; PPN; Cf. 'sun'; PPN; Cf. 'sun'; PPN; Cf. 'sun'; PPN; Cf. 'sun'; PPN; Cf. 'sun'; PPN; Cf. 'sun'; PPN; Cf. 'sun'
1	620	darkness	*kele; *poʔuli. *poquli; *matuke; *kiwa; *liko; *kele	PPN; PPN; PPN; PPN; PPN; PEP; PPN
1	630	shade, shadow	*malu; *qata; *ʔata; *ata	PPN; PPN; PPN; PPN
1	640	dew	*sau; *sasau; *sa'u; *afu afu	PPN; PCP sasau.; PPN; PCP sasau.; PPN; PCP sasau.; PPN; PCP sasau.
1	710	air	*saʔu	PPN
1	720	wind	*muLe; *muze; *mataŋi; *mat-aṅi; *sau; *sau-sau; *sawili; *tiu; *tiu	PPN; PNP *ti(ʔ)u. 'Hurricane' *afaa.; PPN; PNP *ti(ʔ)u. 'Hurricane' *afaa.; PPN; PNP *ti(ʔ)u. 'Hurricane' *afaa.; PPN; PNP *ti(ʔ)u. 'Hurricane' *afaa.; PPN; PNP *ti(ʔ)u. 'Hurricane' *afaa.; PPN; PNP *ti(ʔ)u. 'Hurricane' *afaa.; PPN; PNP *ti(ʔ)u. 'Hurricane' *afaa.; PPN; PNP *ti(ʔ)u. 'Hurricane' *afaa.; PPN; PNP *ti(ʔ)u. 'Hurricane' *afaa.
1	730	cloud	*ao; *ʔao; qao; *kapua; *puulefu	PPN; PNP *puulefu. PEP *paku; *kapua; PPN; PNP *puulefu. PEP *paku; *kapua; PPN; PNP *puulefu. PEP *paku; *kapua; PPN; PNP *puulefu. PEP *paku; *kapua; PPN; PNP *puulefu. PEP *paku; *kapua
1	740	fog	*hau; *kofu; *kfu; *puulefu	PPN; PEP *kapua; PPN; PEP *kapua; PPN; PEP *kapua; PPN; PEP *kapua
1	750	rain (noun)	*ʔuha; *quha; *timu	PPN; PPN *lolo 'flood, heavy r'. PPN *kofu; *kapu'mist'. PCP *qovu'mist'. PCP *kabu, *kavu; *quza. 'Raindrop' *pata.; PPN; PPN *lolo 'flood, heavy r'. PPN *kofu; *kapu'mist'. PCP *qovu'mist'. PCP *kabu, *kavu; *quza. 'Raindrop' *pata.; PPN; PPN *lolo 'flood, heavy r'. PPN *kofu; *kapu'mist'. PCP *qovu'mist'. PCP *kabu, *kavu; *quza. 'Raindrop' *pata.
1	810	fire	*afi; *ati; *ka kaha	PPN; Latter form means 'fetch f.' 'Expose to heat of fire' *paarara; *paaLaLa.; PPN; Latter form means 'fetch f.' 'Expose to heat of fire' *paarara; *paaLaLa.; PPN; Latter form means 'fetch f.' 'Expose to heat of fire' *paarara; *paaLaLa.
1	820	flame (noun)	*zito; *muLa	PPN; PPN
1	830	smoke (noun)	*lala; *ʔahu; *qahu; *'asu	PPN; PNP *ʔauafi; PPN; PNP *ʔauafi; PPN; PNP *ʔauafi; PPN; PNP *ʔauafi
1	840	ashes	*rafu; *refu	PPN; See 'dust' 01.213; PPN; See 'dust' 01.213
1	851	burn (vb trans)	*lito; *kilia; *kaha; *kaatia; *qafu; kama; *paka; *lala	PPN; PCP *ka(a)tia; *'avu.; PPN; PCP *ka(a)tia; *'avu.; PPN; PCP *ka(a)tia; *'avu.; PPN; PCP *ka(a)tia; *'avu.; PPN; PCP *ka(a)tia; *'avu.; PPN; PCP *ka(a)tia; *'avu.; PPN; PCP *ka(a)tia; *'avu.; PPN; PCP *ka(a)tia; *'avu.
1	852	burn (vb intrans)	*zito; *kaha; *sunu	PPN; PPN; PPN
1	860	light, kindle, ignite	*tafu; *tuŋi; *tuŋi; *tutu	PPN; PPN; PPN; PPN
1	861	extinguish	*poko; *mate; *tinai; *tini; *pio; *pio; *tinaʔi	PPN; First form also means 'cover over, enclose'. Cf. 'die'. PNP *tinaʔi; PEP *pi(ʔ)o; PCP *boko.; PPN; First form also means 'cover over, enclose'. Cf. 'die'. PNP *tinaʔi; PEP *pi(ʔ)o; PCP *boko.; PPN; First form also means 'cover over, enclose'. Cf. 'die'. PNP *tinaʔi; PEP *pi(ʔ)o; PCP *boko.; PPN; First form also means 'cover over, enclose'. Cf. 'die'. PNP *tinaʔi; PEP *pi(ʔ)o; PCP *boko.; PPN; First form also means 'cover over, enclose'. Cf. 'die'. PNP *tinaʔi; PEP *pi(ʔ)o; PCP *boko.; PPN; First form also means 'cover over, enclose'. Cf. 'die'. PNP *tinaʔi; PEP *pi(ʔ)o; PCP *boko.; PNP; PPN; First form also means 'cover over, enclose'. Cf. 'die'. PNP *tinaʔi; PEP *pi(ʔ)o; PCP *boko.
1	880	firewood	*fafie	PPN
1	890	charcoal	*ranahu; *malala; *ŋarahu; *ŋALahu; *na-lafu; *ŋalafu	PPN; PPN; PPN; PPN; PPN; PNP; PPN
2	100	person, human being	*toko-; *taŋata; *tau; *l-ava	PPN; PPN; PPN; PPN
2	210	man (vs. woman)	*taŋata; *taʔane; *taqane; *haakoi	PPN; PPN; PPN; PPN
2	220	woman	*fine; *fa-fine; *ma-fine; *ta-fine	PPN; PCP *vahine.; PPN; PCP *vahine.; PPN; PCP *vahine.; PPN; PCP *vahine.
2	230	male	taʔane	PPN
2	250	boy	*titi	PPN
2	261	young woman (adolescent)	*pii	PPN
2	270	child	*tama; *fua-tasi	PPN; Respectively: also means 'father'; only child. PEP *pootiki; PPN; Respectively: also means 'father'; only child. PEP *pootiki
2	310	husband	*ʔaawaŋa; *sava; *hava	PPN; PPN; PPN
2	320	wife	*punarua; *sava; *hava	PEP; Means 'having two spouses' < *rua 'two'; PEP; Means 'having two spouses' < *rua 'two'; PEP; Means 'having two spouses' < *rua 'two'
2	330	marry	*qawaŋa; *ʔAwaŋa	PPN; PPN
2	350	father	*tama; *tama; na; *tamai; *t-ama-na	PPN; Also means 'child'. PNP *tama/na; PPN; Also means 'child'. PNP *tama/na; PPN; Also means 'child'. PNP *tama/na; PPN; Also means 'child'. PNP *tama/na; PPN; Also means 'child'. PNP *tama/na
2	360	mother	*tina; *tinana; *t-ina; *nana; *nau; *fae; *faqe	PPN; PSO=PSM *nau'mum'. PCP *nau'mum'. Vocative: *nana; *nau. 'Young mother' fa(a)qele.; PPN; PSO=PSM *nau'mum'. PCP *nau'mum'. Vocative: *nana; *nau. 'Young mother' fa(a)qele.; PPN; PSO=PSM *nau'mum'. PCP *nau'mum'. Vocative: *nana; *nau. 'Young mother' fa(a)qele.; PPN; PSO=PSM *nau'mum'. PCP *nau'mum'. Vocative: *nana; *nau. 'Young mother' fa(a)qele.; PPN; PSO=PSM *nau'mum'. PCP *nau'mum'. Vocative: *nana; *nau. 'Young mother' fa(a)qele.; PPN; PSO=PSM *nau'mum'. PCP *nau'mum'. Vocative: *nana; *nau. 'Young mother' fa(a)qele.; PPN; PSO=PSM *nau'mum'. PCP *nau'mum'. Vocative: *nana; *nau. 'Young mother' fa(a)qele.
2	370	parents	*matuʔa; *matuqa	PPN; PPN
2	430	offspring (son or daughter)	*momo; *ʔuhiki; *faanau	PPN; PPN; PPN
2	456	sibling	*tahi; na; *tahina; *t-ahi-na; *tehi; na; *tuaka; na; *kawe	PPN; Respectively: PPN 'younger; elder'. PNP *kawe; PCP *weka-'opposite sex s.'; PPN; Respectively: PPN 'younger; elder'. PNP *kawe; PCP *weka-'opposite sex s.'; PPN; Respectively: PPN 'younger; elder'. PNP *kawe; PCP *weka-'opposite sex s.'; PPN; Respectively: PPN 'younger; elder'. PNP *kawe; PCP *weka-'opposite sex s.'; PPN; Respectively: PPN 'younger; elder'. PNP *kawe; PCP *weka-'opposite sex s.'; PPN; Respectively: PPN 'younger; elder'. PNP *kawe; PCP *weka-'opposite sex s.'; PPN; Respectively: PPN 'younger; elder'. PNP *kawe; PCP *weka-'opposite sex s.'; PPN; Respectively: PPN 'younger; elder'. PNP *kawe; PCP *weka-'opposite sex s.'; PPN; Respectively: PPN 'younger; elder'. PNP *kawe; PCP *weka-'opposite sex s.'
2	458	twins	*maasaŋa; *masaṅ-a	PPN; PPN
2	460	grandfather	*tupu; na	PPN; PPN
2	461	old man	*tafito; *tupuʔa; a; *kui; *lufa	PPN; PPN; PPN; PPN; PNP; PPN
2	471	old woman	*kui	PPN
2	480	grandson	*mokopuna; *makupuna; *maka-pu-na	PPN; Means 'g.child' PCP *makubu-; *vua-'grandchild'.; PPN; Means 'g.child' PCP *makubu-; *vua-'grandchild'.; PPN; Means 'g.child' PCP *makubu-; *vua-'grandchild'.
2	511	mother's brother	*tuaŋane	PPN
2	530	nephew	*ʔilaamutu; *qilaamutu	PPN; 'nephew or niece'; PPN; 'nephew or niece'
2	560	ancestors	*kui	PPN
2	570	descendants	*fuaaŋa	PPN; PEP *fuaaŋa. PCP *vua-.
2	610	father-in-law (of a man)	*fuŋaoi; *fuŋaona	PPN; PPN
2	640	daughter-in-law (of a man)	*funooŋa	PPN
2	810	relatives, kinsmen	*funaoŋa; *fuaaŋa; *funo; *kaaiŋa; *asi-na; *ahi-na; *taʔokete; *taqokete	PPN; First ex. 'relative by marriage'.; PPN; First ex. 'relative by marriage'.; PPN; First ex. 'relative by marriage'.; PPN; First ex. 'relative by marriage'.; PPN; First ex. 'relative by marriage'.; PPN; First ex. 'relative by marriage'.; PPN; First ex. 'relative by marriage'.; PPN; First ex. 'relative by marriage'.
2	910	I	*au; *kita; *aku; *kau	PPN; PPN *-ku 'my'. PEP *n-'possessive particle'; PPN; PPN *-ku 'my'. PEP *n-'possessive particle'; PPN; PPN *-ku 'my'. PEP *n-'possessive particle'; PPN; PPN *-ku 'my'. PEP *n-'possessive particle'
2	920	you (singular)	*koe; *ko-e	PPN; Dual *(mou)rua; *(ou)lua.; PPN; Dual *(mou)rua; *(ou)lua.
2	930	he/she/it	*ia	PPN; PPN *-na; -naa 'his/her'
2	940	we	*-ta; *ki-tato; *kita	PPN; Dual *(ki)taa.; PPN; Dual *(ki)taa.; PPN; Dual *(ki)taa.
2	942	we (exclusive)	*kima; tou	PPN; Exclusive marker *soko-; *hoko.; PPN; Exclusive marker *soko-; *hoko.
2	950	you (plural)	*tou; *kimo; tou	PPN; PPN; PPN
2	960	they	*kira; tou; *hila; *la; *'a; *latou; *laatou	PPN; Dual form: *ru; *ru(ka); *(ki)laa.; PPN; Dual form: *ru; *ru(ka); *(ki)laa.; PPN; Dual form: *ru; *ru(ka); *(ki)laa.; PPN; Dual form: *ru; *ru(ka); *(ki)laa.; PPN; Dual form: *ru; *ru(ka); *(ki)laa.; PPN; Dual form: *ru; *ru(ka); *(ki)laa.; PPN; Dual form: *ru; *ru(ka); *(ki)laa.
3	110	animal	*manu	PPN
3	350	pig	*puaka	PPN; PCP *(bv)uaka.
3	500	fowl	*moa	PPN; Clucking of fowl *kokoo.
3	580	nest	*punaŋa; *punuŋa	PPN; PNP *oofaŋa; PPN; PNP *oofaŋa
3	581	bird	*manu; *moso	PPN; PPN
3	583	heron	*matuku	PPN
3	591	bat	*peka; *peka-peka	PPN; PPN
3	592	parrot	*kakaa; *kAkaa	PPN; PPN
3	594	dove	*kulu-kulu; *lupe; *kuku; *kuku	PPN; PPN; PPN; PPN
3	596	owl	*lulu	PPN; PCP *lulu.
3	610	dog	*kulii	PPN; PCP *k(ou)lī.
3	630	mouse, rat	*kumaa; *labaw; *kiole; *kioLe	PPN; PNP *kiole; PPN; PNP *kiole; PPN; PNP *kiole; PPN; PNP *kiole
3	650	fish	*ika; *ma-lau	PPN; Flounder *paatiki.; PPN; Flounder *paatiki.
3	653	fishscale	*ʔuna-fi; *qunafi; *una	PPN; PPN; PPN
3	654	gill	*laumea; *'asa	PPN; PPN
3	655	shell	*pule; *sisi	PPN; First ex. 'cowrie shell'.; PPN; First ex. 'cowrie shell'.
3	661	shark	*mako; *maŋoo; *maŋO; *niufi	PPN; PPN *mataqitaliŋa'hammerhead s'; PPN; PPN *mataqitaliŋa'hammerhead s'; PPN; PPN *mataqitaliŋa'hammerhead s'; PPN; PPN *mataqitaliŋa'hammerhead s'
3	662	porpoise, dolphin	*masimasi	PPN
3	663	whale	*paikea; *palaoa; *paLAoa	PPN; PPN; PPN
3	664	stingray	*fai; *foto	PPN; Latter ex. is 'barb of stingray'.; PPN; Latter ex. is 'barb of stingray'.
3	665	freshwater eel	*tuna; *toke; *silu; *koqilo	PPN; Latter is 'conger eel'.; PPN; Latter is 'conger eel'.; PPN; Latter is 'conger eel'.; PPN; Latter is 'conger eel'.
3	810	insect	*muu; *wiiwii; *waawaa	PPN; PPN; PPN
3	811	louse	*kutu; *zehe	PPN; 'Body louse' *tuma.; PPN; 'Body louse' *tuma.
3	812	nit (louse egg)	*lia; *lih	PPN; PPN
3	813	flea	*kutu-fiti	PPN
3	816	cockroach	*kakalu	PPN
3	817	ant	*loo; *lo; *looʔata; *ane	PPN; Respectively: 'ant; large a.; white a'. 'Termite' *ane.; PPN; Respectively: 'ant; large a.; white a'. 'Termite' *ane.; PPN; Respectively: 'ant; large a.; white a'. 'Termite' *ane.; PPN; Respectively: 'ant; large a.; white a'. 'Termite' *ane.
3	818	spider	*ka-lewe-lewe	PPN; PEP *puŋaa-were-were
3	819	spider web	*ka-lewe-lewe; *leve; *vele	PPN; PPN; PPN
3	830	fly	*laŋo; *ŋalo	PPN; PPN
3	831	sandfly (midge), gnat	*nao; *nao-nao	PPN; PEP *na(q)o-na(q)o. PCP *(nɲ)a(')o-(nɲ)a(')o.; PPN; PEP *na(q)o-na(q)o. PCP *(nɲ)a(')o-(nɲ)a(')o.
3	832	mosquito	*namu; *lamu	PPN; PPN
3	840	worm	*ilo; *noke; *toke; *kelemutu; *nufe; *ʔanufe; *fee; *qulo	PPN; PPN; PPN; PPN; PPN; PPN; PPN; PPN
3	850	snake	*ŋata; *gata	PPN; PPN
3	920	butterfly	*pepe	PPN
3	930	grasshopper	*see; *seqe	PPN; PPN
3	940	snail	*ŋata	PPN
3	960	lizard	*moko; *pili	PPN; PCP *moko.; PPN; PCP *moko.
3	980	turtle	*fonu; *kea	PPN; PPN
4	110	body	*tina; *tino	PPN; Upper part of trunk fatafata. 'Hull' (canoe) katea.; PPN; Upper part of trunk fatafata. 'Hull' (canoe) katea.
4	120	skin, hide	*tapa; *kili; *paku	PPN; First form means 'bark cloth'.; PPN; First form means 'bark cloth'.; PPN; First form means 'bark cloth'.
4	140	hair (head)	*awe; *fulu; *lauʔulu; *qulu; *ʔulu	PPN; 'Coconut husk/ fibre' *pulu . 'Tuft of hair' tope.; PPN; 'Coconut husk/ fibre' *pulu . 'Tuft of hair' tope.; PPN; 'Coconut husk/ fibre' *pulu . 'Tuft of hair' tope.; PPN; 'Coconut husk/ fibre' *pulu . 'Tuft of hair' tope.; PPN; 'Coconut husk/ fibre' *pulu . 'Tuft of hair' tope.
4	142	beard	*kumi-kumi; *kumi; *kawa	PPN; PPN; PPN
4	144	body hair	*fulu	PPN
4	145	pubic hair	*fure	PPN; 'Pubic region'.
4	146	dandruff	*lafa	PPN
4	150	blood	*toto	PPN; PEP 'menstrual' *wari; *ra(r, R)a
4	151	vein, artery	*ua; *ua-ua	PPN; Sinew.; PPN; Sinew.
4	160	bone	*hui; *hiwi; *hwi; *iwi; *kuti	PPN; PNP *iwi. 'Medula, marrow' is *PPN *lolo; *uso.; PPN; PNP *iwi. 'Medula, marrow' is *PPN *lolo; *uso.; PPN; PNP *iwi. 'Medula, marrow' is *PPN *lolo; *uso.; PPN; PNP *iwi. 'Medula, marrow' is *PPN *lolo; *uso.; PPN; PNP *iwi. 'Medula, marrow' is *PPN *lolo; *uso.
4	162	rib	*lala; *kawakawa	PPN; See also 'rafter'.; PPN; See also 'rafter'.
4	180	tail	*iku; *siku	PPN; PPN
4	190	back	*tuʔa; *pa-patuʔa	PPN; Flat of back *pa(a)pa(a)tuqa.; PPN; Flat of back *pa(a)pa(a)tuqa.
4	200	head	*pane; *fofoŋa; *qulu; *ʔulu; *'ulu	PPN; Latter form also means 'hair'. PEP *(ʔ)upoko. Honorific term fofoŋa.; PPN; Latter form also means 'hair'. PEP *(ʔ)upoko. Honorific term fofoŋa.; PPN; Latter form also means 'hair'. PEP *(ʔ)upoko. Honorific term fofoŋa.; PPN; Latter form also means 'hair'. PEP *(ʔ)upoko. Honorific term fofoŋa.; PPN; Latter form also means 'hair'. PEP *(ʔ)upoko. Honorific term fofoŋa.
4	203	brain	*lolo	PPN
4	204	face	**fofoŋa; haŋa; *mata	PPN; Respectively: 'honorific-face, eyes, mouth; face; face, eye'.; PPN; Respectively: 'honorific-face, eyes, mouth; face; face, eye'.; PPN; Respectively: 'honorific-face, eyes, mouth; face; face, eye'.
4	205	forehead	*laʔe; *lae; *laqe; *raʔe; *faŋa	PPN; PPN; PPN; PPN; PPN
4	207	jaw	taŋa; *kauʔahe; *kauqahe; *aqa; *aa	PPN; PNP *aʔa; PPN; PNP *aʔa; PPN; PNP *aʔa; PPN; PNP *aʔa; PPN; PNP *aʔa
4	208	cheek	*kauʔahe; *kauqahe	PPN; PEP *pa(ʔ)a-pa(ʔ)ariŋ; PPN; PEP *pa(ʔ)a-pa(ʔ)ariŋ
4	209	chin	*kauʔahe; *kauqahe; *kumi-kumi; *kumukumu; *taŋa; *vahe	PPN; PPN; PPN; PPN; PPN; PPN
4	210	eye	*mata; *konohi; *kOnohi; *pula	PPN; First ex. also means 'face'. PEP *ko(o)no(f, s)i. Honorific term for eye: fofoŋa.; PPN; First ex. also means 'face'. PEP *ko(o)no(f, s)i. Honorific term for eye: fofoŋa.; PPN; First ex. also means 'face'. PEP *ko(o)no(f, s)i. Honorific term for eye: fofoŋa.; PPN; First ex. also means 'face'. PEP *ko(o)no(f, s)i. Honorific term for eye: fofoŋa.
4	212	eyebrow	*kape	PPN
4	213	eyelid	*lefa	PPN
4	215	blink	*kamo	PPN
4	220	ear	*roŋo; *taliŋa	PPN; Also 'hear'.; PPN; Also 'hear'.
4	230	nose	*isu; *usu; *su	PPN; PPN; PPN
4	232	mucus (nasal)	*isupeʔe; *isupeqe; *huupeqe; *tuŋu; *fiho	PPN; PPN *(iu∅)supeqe. PNP *suupeʔe. PEP tuŋu. PCP *luka. PCP *(iu∅)supe'e.; PPN; PPN *(iu∅)supeqe. PNP *suupeʔe. PEP tuŋu. PCP *luka. PCP *(iu∅)supe'e.; PPN; PPN *(iu∅)supeqe. PNP *suupeʔe. PEP tuŋu. PCP *luka. PCP *(iu∅)supe'e.; PPN; PPN *(iu∅)supeqe. PNP *suupeʔe. PEP tuŋu. PCP *luka. PCP *(iu∅)supe'e.; PPN; PPN *(iu∅)supeqe. PNP *suupeʔe. PEP tuŋu. PCP *luka. PCP *(iu∅)supe'e.
4	240	mouth	*ŋutu; *ŋaa; *mafa; *fafa; *taŋa	PPN; Second and third forms are 'open the m'. PCP *kubu. Honorific term: fofoŋa.; PPN; Second and third forms are 'open the m'. PCP *kubu. Honorific term: fofoŋa.; PPN; Second and third forms are 'open the m'. PCP *kubu. Honorific term: fofoŋa.; PPN; Second and third forms are 'open the m'. PCP *kubu. Honorific term: fofoŋa.; PPN; Second and third forms are 'open the m'. PCP *kubu. Honorific term: fofoŋa.
4	241	beak	*ŋutu	PPN
4	260	tongue	*ʔalelo; *qalelo	PPN; PPN
4	270	tooth	*nifo; *n-ifo	PPN; PPN
4	280	neck	*uʔa; *uqa; *kia; *kakii	PPN; PNP *ka(a)kii; PPN; PNP *ka(a)kii; PPN; PNP *ka(a)kii; PPN; PNP *ka(a)kii
4	281	nape of neck	*uqa; *uʔa	PPN; PPN
4	290	throat	*taŋa; *uʔa; *kakii; *kia	PPN; PNP *ka(a)kii. 'Windpipe' kookoo.; PPN; PNP *ka(a)kii. 'Windpipe' kookoo.; PPN; PNP *ka(a)kii. 'Windpipe' kookoo.; PPN; PNP *ka(a)kii. 'Windpipe' kookoo.
4	300	shoulder	*keke	PPN; PEP *pak(i, u)hiwi.
4	310	arm	*liŋa	PPN
4	312	armpit	*keekee; *keekee; *fine	PPN; PNP *(')afiŋa; *(q)afiŋa. PCP *(')aviga-.; PPN; PNP *(')afiŋa; *(q)afiŋa. PCP *(')aviga-.; PPN; PNP *(')afiŋa; *(q)afiŋa. PCP *(')aviga-.
4	320	elbow	*siku	PPN
4	330	hand	*lima; *liŋa	PPN; PPN
4	340	finger	*mataa-lima; *matikuku; *lisi	PPN; PNP *matikuku; PPN; PNP *matikuku; PPN; PNP *matikuku
4	344	fingernail	*maikuku	PPN
