*	*	*	*	nominative	accusative	genitive	dative	locative	allative	ablative	instrumental	vocative			
livestock	singular	neuter	transliteration	UDU-us	*UDU-un 	*UDU-ú-wa-aš 	*UDU-ú-i 	*UDU-ú-i 	*UDU-ú-wa 	*UDU-ú-wa-az, *UDU-ú-wa-za 	*UDU-ú-it 		#	-u stem	"meaning is closer to ""sheep"""
livestock	singular	neuter	latin	*pekkus	*pekkun 	*pekkuwaš 	*pekkui 	*pekkui 	*pekkuwa 	*pekkuwaz 	*pekkwit 		#	-u stem	"meaning is closer to ""sheep"""
livestock	plural	neuter	cuneiform	*𒇻𒌋𒌍	*𒇻𒍑	*𒇻𒌋𒉿𒀸	*𒇻𒌋𒉿𒀸	*𒇻𒌋𒉿𒀸		*𒇻𒌋𒉿𒊍, *𒇻𒌋𒉿𒍝	*𒇻𒌋𒀉		#	-u stem	"meaning is closer to ""sheep"""
livestock	plural	neuter	transliteration	*UDU-ú-eš	*UDU-uš	*UDU-ú-wa-aš	*UDU-ú-wa-aš	*UDU-ú-wa-aš		*UDU-ú-wa-az, *UDU-ú-wa-za	*UDU-ú-it 		#	-u stem	"meaning is closer to ""sheep"""
livestock	plural	neuter	latin	*pekkweš	*pekkuš	*pekkuwaš	*pekkuwaš	*pekkuwaš		*pekkuwaz	*pekkwit 		#	-u stem	"meaning is closer to ""sheep"""
wind	singular	gendered	cuneiform	𒄷𒌋𒉿𒀭𒍝 	𒄷𒌋𒉿𒀭𒋫𒀭 	𒄷𒌋𒉿𒀭𒋫𒀸 	𒄷𒌋𒉿𒀭𒋫 	𒄷𒌋𒉿𒀭𒋫 	𒄷𒌋𒉿𒀭𒋫 	𒄷𒌋𒉿𒀭𒋫𒊍 	𒄷𒌋𒉿𒀭𒋫𒀉 		#	-t stem	
wind	singular	gendered	transliteration	ḫu-u-wa-an-za 	ḫu-u-wa-an-ta-an 	ḫu-u-wa-an-ta-aš 	ḫu-u-wa-an-ta 	ḫu-u-wa-an-ta 	ḫu-u-wa-an-ta 	ḫu-u-wa-an-ta-az 	ḫu-u-wa-an-ti-it 		#	-t stem	
wind	singular	gendered	latin	ḫūwanza 	ḫūwantan 	ḫūwantaš 	ḫūwanta 	ḫūwanta 	ḫūwanta 	ḫūwantaz 	ḫūwantit 		#	-t stem	
wind	plural	gendered	cuneiform	𒄷𒌋𒉿𒀭𒋼𒌍	𒄷𒌋𒉿𒀭𒌅𒍑	𒄷𒌋𒉿𒀭𒋫𒀸	𒄷𒌋𒉿𒀭𒋫𒀸	𒄷𒌋𒉿𒀭𒋫𒀸		𒄷𒌋𒉿𒀭𒋫𒊍	𒄷𒌋𒉿𒀭𒋫𒀉		#	-t stem	
wind	plural	gendered	transliteration	ḫu-u-wa-an-te-eš	ḫu-u-wa-an-tu-uš	ḫu-u-wa-an-ta-aš	ḫu-u-wa-an-ta-aš	ḫu-u-wa-an-ta-aš		ḫu-u-wa-an-ta-az	ḫu-u-wa-an-ti-it 		#	-t stem	
wind	plural	gendered	latin	ḫūwanteš	ḫūwantuš	ḫūwantaš	ḫūwantaš	ḫūwantaš		ḫūwantaz	ḫūwantit 		#	-t stem	
#performance	singular	neuter		aniyaz	aniyattan	aniyattas	aniyatti	aniyatti					#	-tt stem	
#performance	plural	neuter		*aniyattus	*aniyattus		aniyattas	aniyattas					#	-tt stem	
night	singular	gendered	cuneiform	𒅖𒉺𒀭𒍝 	𒅖𒉺𒀭𒋫𒀭 	𒅖𒉺𒀭𒋫𒀸 	𒅖𒉺𒀭𒋫 	𒅖𒉺𒀭𒋫 	𒅖𒉺𒀭𒋫 	𒅖𒉺𒀭𒋫𒊍 	𒅖𒉺𒀭𒋫𒀉 		#	-nt stem	
night	singular	gendered	transliteration	iš-pa-an-za 	iš-pa-an-ta-an 	iš-pa-an-ta-aš 	iš-pa-an-ta 	iš-pa-an-ta 	iš-pa-an-ta 	iš-pa-an-ta-az 	iš-pa-an-ti-it 		#	-nt stem	
night	singular	gendered	latin	išpanz 	išpantan 	išpantaš 	išpanta 	išpanta 	išpanta 	išpantaz 	išpantit 		#	-nt stem	
night	plural	gendered	cuneiform	𒅖𒉺𒀭𒋼𒌍	𒅖𒉺𒀭𒌅𒍑	𒅖𒉺𒀭𒋫𒀸	𒅖𒉺𒀭𒋫𒀸	𒅖𒉺𒀭𒋫𒀸		𒅖𒉺𒀭𒋫𒊍	𒅖𒉺𒀭𒋫𒀉		#	-nt stem	
night	plural	gendered	transliteration	iš-pa-an-te-eš	iš-pa-an-tu-uš	iš-pa-an-ta-aš	iš-pa-an-ta-aš	iš-pa-an-ta-aš		iš-pa-an-ta-az	iš-pa-an-ti-it 		#	-nt stem	
night	plural	gendered	latin	išpanteš	išpantuš	išpantaš	išpantaš	išpantaš		išpantaz	išpantit 		#	-nt stem	
earth	singular	neuter	cuneiform	𒋼𒂊𒃷 	𒋼𒂊𒃷 	𒁖𒈾𒀸 	𒁖𒉌𒄿 	𒁖𒉌𒄿 	𒁖𒈾𒀀 	𒁖𒈾𒀀𒊍 	*𒁖𒈾𒀀𒀭𒋫? 		#	-n stem	
earth	singular	neuter	transliteration	te-e-kán 	te-e-kán 	ták-na-aš 	ták-ni-i 	ták-ni-i 	ták-na-a 	ták-na-a-az 	*ták-na-a-an-ta? 		#	-n stem	
earth	singular	neuter	latin	tēkan 	tēkan 	takāš 	taknī 	taknī 	taknā 	taknāz(a) 	*takānt? 		#	-n stem	
earth	plural	neuter	cuneiform							𒁖𒈾𒀀𒊍	*𒁖𒈾𒀀𒀭𒋫?		#	-n stem	
earth	plural	neuter	transliteration							ták-na-a-az	*ták-na-a-an-ta? 		#	-n stem	
earth	plural	neuter	latin							taknāz(a)	*takānt?		#	-n stem	
name	singular	neuter	cuneiform	𒆷𒀀𒈠𒀭 	𒆷𒀀𒈠𒀭 	𒆷𒄠𒈾𒀸 	𒆷𒄠𒉌 	𒆷𒄠𒉌 	𒆷𒄠𒈾 	𒆷𒄠𒈾𒊍 	𒆷𒄠𒉌𒀉 		#	-n stem	
name	singular	neuter	transliteration	la-a-ma-an 	la-a-ma-an 	la-am-na-aš 	la-am-ni 	la-am-ni 	la-am-na 	la-am-na-az 	la-am-ni-it 		#	-n stem	
name	singular	neuter	latin	lāman 	lāman 	lamnaš 	lamni 	lamni 	lamna 	lamnaz(a) 	lamnit 		#	-n stem	
name	plural	neuter	cuneiform	𒆷𒄠𒉌	𒆷𒄠𒉌	𒆷𒄠𒈾𒀸, 𒆷𒄠𒈾𒀭	𒆷𒄠𒈾𒀸	𒆷𒄠𒈾𒀸		𒆷𒄠𒈾𒊍	𒆷𒄠𒉌𒀉		#	-n stem	
name	plural	neuter	transliteration	la-am-ni	la-am-ni	la-am-na-aš, la-am-na-an	la-am-na-aš	la-am-na-aš		la-am-na-az	la-am-ni-it 		#	-n stem	
name	plural	neuter	latin	lamni	lamni	lamnaš, lamnan²	lamnaš	lamnaš		lamnaz(a)	lamnit 		#	-n stem	
#animal	singular	neuter		*suppalaz	suppalan	*suppalas	supli	supli		*suppallaza	*suppallit		#	-l stem	
#animal	plural	neuter		*suppalus	*suppalus	suppalan							#	-l stem	
star	singular	gendered	cuneiform	𒀯𒀸 	𒀯𒀭 	𒀯𒀸 	𒀯𒄿 	𒀯𒄿 	𒀯𒀀 	𒀯𒊍 	𒀯𒀉 	𒀯𒀀, 𒀯𒄿 	#	-r stem	
star	singular	gendered	transliteration	MUL-aš 	MUL-an 	MUL-aš 	MUL-i 	MUL-i 	MUL-a 	MUL-az 	MUL-it 	MUL-a, MUL-i 	#	-r stem	
star	singular	gendered	latin	ḫašterza 	ḫaštiran 	ḫaštiraš 	ḫaštiri 	ḫaštiri 	ḫaštira 	ḫaštiraz(a) 	ḫaštirit 	ḫaštiri, ḫaštira 	#	-r stem	
star	plural	gendered	cuneiform	𒀯𒌍, 𒀯𒅖	𒀯𒍑	𒀯𒀸, 𒀯𒀭	𒀯𒀸	𒀯𒀸		𒀯𒊍	𒀯𒀉		#	-r stem	
star	plural	gendered	transliteration	MUL-eš, MUL-iš	MUL-uš	MUL-aš, MUL-an	MUL-aš	MUL-aš		MUL-az	MUL-it 		#	-r stem	
