# Swadesh 207 id	part-of-speech	English	Mandarin (Standard Mandarin)
100	verb	laugh	笑 (xiào)
101	verb	see	看 (kàn)
102	verb	hear	聼 (tīng)
103	verb	know	知道 (zhī dào), 曉得 (xiǎo de), 認識 (rèn shi)*
104	verb	think	想 (xiǎng)
105	verb	smell	嗅 (xiù), 聞 (wén)
106	verb	fear	怕 (pà)
107	verb	sleep	睡 (shuì), 睡覺 (shuì jiào)
108	verb	live	活 (huó)
109	verb	die	死 (sǐ)
110	verb	kill	殺 (shā)
111	verb	fight	吵架 (chǎo jià)*, 打架 (dǎ jià)*, 打仗 (dǎ zhàng)*
112	verb	hunt	打獵 (dǎ liè)
113	verb	hit	打 (dǎ)
114	verb	cut	割 (gē)*, 切 (qiē)*, 剪 (jiǎn)*
115	verb	split	劈開 (pī kāi)*, 裂開 (liè kāi)*, 分開 (fēn kāi)*
116	verb	stab	刺 (cì)
117	verb	scratch	搔 (sāo), 抓 (zhuā)
118	verb	dig	挖 (wā), 掘 (jué)
119	verb	swim	游泳 (yóu yǒng)
120	verb	fly	飛 (fēi)
121	verb	walk	走 (zǒu)*, 走路 (zǒu lù)*, 步行 (bù xíng)*
122	verb	come	來 (lái)
123	verb	lay	躺 (tǎng)
124	verb	sit	坐 (zuò)
125	verb	stand	站 (zhàn)
126	verb	turn	轉 (zhuǎn)*
127	verb	fall	落下 (luò xià)*, 掉下 (diào xià)*
128	verb	give	給 (gěi)
129	verb	hold	握 (wò), 拿 (ná)
130	verb	squeeze	擠 (jǐ)
131	verb	rub	揉 (róu)*
132	verb	wash	洗 (xǐ)
133	verb	wipe	擦 (cā)
134	verb	pull	拉 (lā)
135	verb	push	推 (tuī)
136	verb	throw	扔 (rēng), 丟 (diū)
137	verb	tie	綁 (bǎng)
138	verb	sew	縫 (féng)
139	verb	count	數 (shǔ), 點 (diǎn)
140	verb	say	說 (shuō), 講 (jiǎng)
141	verb	sing	唱 (chàng)
142	verb	play	玩 (wán)
143	verb	float	浮 (fú)
144	verb	flow	流 (liú)
145	verb	freeze	結冰 (jié bīng), 凍結 (dòng jié)
146	verb	swell	膨脹 (péng zhàng)
147	noun	sun	太陽 (tài yang)
148	noun	moon	月亮 (yuè liang)
149	noun	star	星 (xīng), 恆星 (héng xīng)*
150	noun	water	水 (shuǐ)
151	noun	rain	雨 (yǔ)
152	noun	river	河 (hé)
153	noun	lake	湖 (hú)
154	noun	sea	海 (hǎi)
155	noun	salt	鹽 (yán)
156	noun	stone	石 (shí)*, 石頭 (shí tou)
157	noun	sand	沙 (shā)
158	noun	dust	塵土 (chén tǔ)
159	noun	earth	土壤 (tǔ yǎng)
160	noun	cloud	雲 (yún)
161	noun	fog	霧 (wù)
162	noun	sky	天 (tiān)
163	noun	wind	風 (fēng)
164	noun	snow	雪 (xuě)
165	noun	ice	冰 (bīng)
166	noun	smoke	煙 (yān)
167	noun	fire	火 (huǒ)
168	noun	ash	灰 (huī)*, 灰燼 (huī jìn)
169	verb	to burn	燒 (shāo)
170	noun	road	路 (lù)
171	noun	mountain	山 (shān)
172	adjective	red	紅 (hóng)
173	adjective	green	綠 (lǜ)
174	adjective	yellow	黃 (huáng)
175	adjective	white	白 (bái)
176	adjective	black	黑 (hēi)
177	noun	night	夜晚 (yè wǎn)
178	noun	day	白天 (bái tiān)
179	noun	year	年 (nián)
180	adjective	warm	溫暖 (wēn nuǎn)
181	adjective	cold	冷 (lěng)
182	adjective	full	滿 (mǎn)
183	adjective	new	新 (xīn)
184	adjective	old	老 (lǎo)*, 舊 (jiù)*
185	adjective	good	好 (hǎo)
186	adjective	bad	壞 (huài)
187	adjective	rotten	爛 (làn)
188	adjective	dirty	髒 (zāng)
189	adjective	straight	直 (zhí)
190	adjective	round	圓 (yuán)
191	adjective	sharp (as a knife)	尖 (jiān)*, 利 (lì)*, 鋒利 (fēng lì), 銳利 (ruì lì)
192	adjective	dull (as a knife)	鈍 (dùn)
193	adjective	smooth	光滑 (guāng huá)
194	adjective	wet	濕 (shī)
195	adjective	dry	乾 (gān)
196	adjective	correct	對 (duì)*, 正確 (zhèng què)*
197	adjective	near	近 (jìn)
198	adjective	far	遠 (yuǎn)
199	adjective	right	右 (yòu)
200	adjective	left	左 (zuǒ)
201	preposition	at	在 (zài)
202	preposition	in	在…… 裡 (zài… lǐ)
203	preposition	with	跟 (gēn)
204	preposition	and	和 (hé)
205	preposition	if	如果 (rú guǒ)
206	preposition	because	因爲 (yīn wèi)
207	noun	name	名 (míng)*, 名字 (míng zi)*
			
			
