#swadesh 207 id	part-of-speech	English	Proto-Indo-Iranian	Sanskrit (Devanagari)	Sanskrit	Avestan	Old Persian	Middle Persian	Persian	Northern Kurdish	Ossetian	Hindi	Romani
15	noun                 	how	*káyna	कथम् (kathám)	kathám			čiyōn	četowr	çewan, çon, ku	k°yd, k°ydtytæ	kaisā	sar
16	adverb              	not	*na, *a-	न (ná)	ná			nē	ne*, na*	na, ne	næ, nætæ	nahī̃	na
17	determiner            	all	*sárwas	सर्व (sárva)	sárva	vīspa		wisp	hame	xirr, pirrani, gişt, hemu	ægas, iwwyldær, æppæt, alcy, alcytæ, ænǽqæn	sab, sabhī*, sāre	sa
18	determiner            	many	*pr̥Húš	बहु (bahú)	bahú			was	xeyli, ziyâd	zor, mişe, zaf	biræ, birætæ	bahut	but
19	determiner            	some	*kínčid	किञ्चिद् (kiñcid)	kiñcid			čand	ba'zi, čand	hindek	caldær, casdær	kuch	unyi
20	determiner            	few	*īšát	अल्प (álpa)	álpa			kam	kami, andaki	pîçek	gæzæmæ, ḱysyl, c’us	thoṛā	cerra
21	determiner            	other	*Hanyás	अन्य (anyá)	anyá			abārīg	digaɾ	din, dî, tir, ke	ændær, innæ	dūsrā	aver
22	noun                 	one	*Háywas, *Háykas	एक (éka)	éka	aēuua	aiva	ēk	yek	yek	iw	ek	jekh
23	noun                 	two	*dwáH	द्वि (dví)	dví	duua‎		dō	do	du	dywuæ	do	duj
24	noun                 	three	*tráyas	त्रि (trí)	trí	θri‎	çi	sē	se	sê	ærtæ 	tīn	trin
25	noun                 	four	*čatwā́ras	चतुर् (cátur)	cátur	caθβar‎		čahār	čhahâr	çar, çwar	cyppar	cār	śtar
26	noun                 	five	*pánča	पञ्चन् (páñcan)	páñcan	paṇca‎		panǰ	panj	pênc	fonʒ	pā̃c	panʒ
27	adjective	big	*maȷ́ʰás	महत् (mahát)	mahát	maza		wazurg	bozorg	gewre, mezin	æstyr, styr, eǧaw, dynǵyr	baṛā	baro
28	adjective	long	*dr̥Hgʰás	दीर्घ (dīrghá)	dīrghá	darəga‎		drāz	derâz	dirêj	darǧ	lambā	lùngo
29	adjective	wide	*pr̥tʰúš	उरु (urú)	urú	pərəθu		frāx	vasi', pahn, farâx	berîn	fætæn, uæræx	cauṛā	buxlo
30	adjective	thick	*stʰuHrás	घन (ghaná)	ghaná				zaxim, koloft	e-stur	stavd, bæzǵyn	gāṛhā	thulo
31	adjective	heavy	*gr̥Húš	गुरु (gurú)	gurú			garān	sangin	qurs, gran	uæzzaw	bhārī	pharo
32	adjective	small	*tusćás	अल्प (álpa)	álpa			kōdag, xwurd, kūč	kuček	bçîk, çikole	gyccyl, gyc’yl), k’annæg, ḱysyl	choṭā	tikno
33	adjective	short	*kr̥dʰúš	ह्रस्व (hrasvá)	hrasvá			gisnag, kūk	kutâh	kurt, qule	cybyr	choṭā	skurto
34	adjective	narrow	*Hánȷ́ʰuš	अंहु (aṃhú)	aṃhú			tang	bârik	barîk, zirav, narîn	wyngæg, naræg	taṅg	tang
35	adjective	thin	*kr̥ćás, *tánuš	तनु (tanú)	tanú			bārīg	lâğar	tenik, tesik	tænæg, mællæg, cola, k’æsx°yr, fydx°yz	patlā	sano
36	noun	woman	*ǰánHs, *gnáHs, *stríH	स्त्री (strī́)	strī́			zan	zan	jin	sylgojmag, us	aurat, mahilā	ʒuvli
37	noun	man	*wiHrás, *Hnáras	पुरुष (púruṣa), नर (nára)	púruṣa, nára		martiya	mard	mard	pîaw, mêr	nælgojmag, læg	ādmī	murś
38	noun	human	*manušyás, *mártyas	मनुष्य (manuṣyá), मानव (mānava)	manuṣyá, mānava			kas	ensân, âdami	mirov	adæjmag, læg, udgojmag	insān, manuṣya	manuś
39	noun	child	*ȷ́aHtás	बाल (bā́la), शिशु (śíśu)	bā́la, śíśu		puça	waččag	bačče, kudak	zarok, mindal	syvællon, sabi, qæbul	baccā	ćhavo
40	noun	wife	*pátniH	पत्नी (pátnī), भार्या (bhāryā́)	pátnī, bhāryā́			zan	zan	jin, xêzan	us, binojnag	patnī	rromni
41	noun	husband	*pátiš	पति (páti)	páti			gādār, šōy	šowhar	mêr, mêrd	moj	pati	rrom
42	noun	mother	*máHtā	मातृ (mā́tṛ)	mā́tṛ		mātā	mād, mādar*	mâdar	dayk	mad	mātā	daj
43	noun	father	*pHtā́	पितृ (pitṛ́)	pitṛ́		pitā	pid, pidar*	pedar	bav, bawk	fyd	pitā	dad
44	noun	animal	*páću	पशु (páśu)	páśu			gyānwar	heyvân, jânvar	ajel, huvî	cærægoj, syrd	jānvar	pedo
45	noun	fish	*mátsyas	मत्स्य (mátsya)	mátsya			māhīg	mâhi	masî	kæsag, kæf	machlī	maćho
46	noun	bird	*Háwiš	वि (ví), पक्षिन् (pakṣin)	ví, pakṣin	vaii, mərəγa		murw, way	parande	çîvanok, kêjule, mel	marǧ, c’iw	ciṛiyā	ćiriklo
47	noun	dog	*ćwā́	श्वन् (śván)	śván	span		sag	sag	kuti, seg	k°yʒ	kuttā	ʒukel
48	noun	louse	*ćwíšas	यूका (yūkā)	yūkā			spiš	šepeš	qêç, espî	syst	jū̃	ʒuv
49	noun	snake	*sarpás, *nāgás	सर्प (sarpá)	sarpá			mār, garzag	mâr	mar	kalm	sā̃p	sap
50	noun	worm	*kŕ̥miš	कृमि (kṛ́mi)	kṛ́mi			kirm	kerm	kirm	zulk’, kalm	kīṛā	kirmo
51	noun	tree	*dā́ru	वृक्ष (vṛkṣá), तरु (tarú)	vṛkṣá, tarú			dār, draxt	deraxt	dar	bælas	peṛ	rukh
52	noun	forest		वन (vána)	vána			razūr	jangal	lêrr, darstan	qæd	jaṅgal	veś
53	noun	stick	*waytasás	दण्ड (daṇḍá)	daṇḍá			čōb	čub	gopal, têlla	læʒæg	ḍaṇḍā, lāṭhī	kopal
54	noun	fruit		फल (phála)	phála			mēwag, bar	mive	fêqîh, terre	dyrǧ	phal	frukto
55	noun	seed	*bíHȷ́am	बीज (bī́ja)	bī́ja			čihr, dān, tōm	bazr, toxm	danewêlle, dank	tawinag	bīj	sumburo
56	noun	leaf	*parnám	पत्त्र (páttra)	páttra			walg, warg	barg	pelk, gella	syf	pattā	patrin
57	noun	root		मूल (mū́la)	mū́la			rēšag	riše	reh, nêrk, çîl 	widag	jaṛ	rikita
58	noun	bark	*twákš, *varkás	त्वच् (tvác)	tvác			tōz, pōst	pust	tukl, berg	c’ar	chāl	korca
59	noun	flower		पुष्प (púṣpa)	púṣpa			škōfag, gul	gol	kulilk, gull	didinæg	phūl	luludǐ
60	noun	grass	*tŕ̥nam	तृण (tṛ́ṇa)	tṛ́ṇa			giyā	čaman, 'alaf	gîa	kærdæg	ghās	char
61	noun	rope	*rázǰuš, *rać-*	रज्जु (rájju)	rájju			rasan, wandag, rištag, arwēs	nax	petk, gurîs, kndir	bændæn	rassī	śelo
62	noun	skin	*čárma	चर्मन् (cárman), त्वच् (tvác)	cárman, tvác			čarm, pōst, tōz	pust	kewl, pêst, pîst	carm	camṛī, tvacā	morthǐ
63	noun	meat	*māmsás	मांस (māṃsá)	māṃsá			gōšt, pid	gušt	goşt	fyd	mā̃s	mas
64	noun	blood	*HásHr̥	रक्त (rakta), असृज् (ásṛj)	rakta, ásṛj	vohunī		xōn	xun	zux, xwîn	tug	xūn	rat
65	noun	bone	*Hástʰi	अस्थि (ásthi)	ásthi	ast		ast	ostoxân	pêşe, êsk	stæg 	haḍḍī	kòkalo
66	noun	fat	*píHwas	पीवस् (pī́vas), मेदस् (médas)	pī́vas, médas			čarbišn	čarbi, pih	bez	soj	carbī	thulo
67	noun	egg	*Hāwyám	अण्ड (aṇḍá)	aṇḍá	aēm		xāyag	toxm, xâye	êk, êg, hêlke	ajk	aṇḍā	anro
68	noun	horn	*ćáypas	शृङ्ग (śṛṅgá)	śṛṅgá			srū	šâx	stro, qoç, şax	syk’a	sīṅg	śing
69	noun	tail	*púšćas, *wā́ras	पुच्छ (púccha)	púccha			dumb	dom	kilk, duv	dymæg	pū̃ch	pori
70	noun	feather	*parnám	पर्ण (parṇá)	parṇá			parr	par	perr, perremuç	sis	paṅkh	por
71	noun	hair	*Hráwma*, *káyćas*	केश (kéśa)	kéśa			mōy	mu	pirç, port	qwyn, qis	bāl	bal
72	noun	head	*ćŕ̥Has, *ćr̥Hšá	शिरस् (śíras)	śíras			sar	sar	ser, pope	sær	sir	śero
73	noun	ear	*kárnas	कर्ण (kárṇa)	kárṇa	gaoša, karəna		gōš	guš	guh, gwê	qus	kān	kan
74	noun	eye	*čákšuš, *čáćšma	अक्षि (ákṣi)	ákṣi	aši*, cašman‎, dōiθra		čašm	češm	çav, çaw	cæst	ā̃kh	jakh
75	noun	nose	*náHsaH	नासा (nā́sā)	nā́sā			wēnīg	bini	difn, lut, kep	fynʒ, byrynk’	nāk	nakh
76	noun	mouth	*Hā́s, *wáktram	वक्त्र (vaktra), मुख (múkha)	vaktra, múkha			dahān	dahân	dev, dew, dem	ʒyx	mũh	muj
77	noun	tooth	*Hdánts, *ȷ́ámbʰas	दन्त (dánta)	dánta			dandān	dandân	dan, didan	dændag	dā̃t	dand
78	noun	tongue	*ȷ́iȷ́ʰwáH	जिह्वा (jihvā́)	jihvā́			uzwān	zabân	zar, ziman	ævzag	jībh	ćhib
79	noun	fingernail	*Hnā́kš	नख (nakhá)	nakhá			nāxun	nâxon	nînok	nyx	nāxun	vundya
80	noun	foot	*pā́ts	पद (padá)	padá			pāy	pâ	pê	fad	pair	punro
81	noun	leg		जङ्घ (jáṅgha)	jáṅgha			pāy	sâq, rân*	laq, qaç	k’ax	ṭāṅg	fujeri
82	noun	knee	*ȷ́ā́nu	जानु (jā́nu)	jā́nu			snūg	zânu	çok, ejno	zonyg	ghuṭnā	chang
83	noun	hand	*ȷ́ʰástas	हस्त (hásta), पाणि (pāṇí)	hásta, pāṇí		dasta	dast	dast	pel, lip, dest	k’ux	hāth	vast
84	noun	wing	*parnám	पक्ष (pakṣá)	pakṣá			parrag, parr	bâl	bal	bazyr	paṅkh	phakh
85	noun	belly	*udáras	उदर (udára)	udára	udara, maršū, mərəzāna		aškomb	šekam	nêk, sik	g°ybyn	peṭ	per
86	noun	guts	*Hántram	अन्त्र (ántra), आन्त्र (āntra), गुद (gudá)	ántra, āntra, gudá			rōdīg	rude, šekanbe, del	henav, wirg	t’ang	antṛī	porr
87	noun	neck	*griHwáH*	गल (gala), ग्रीवा (grīvā́)	gala, grīvā́			gardan	gardan	hevk, mil	æfcæg	gardan	korr
88	noun	back	*pr̥štʰás	पृष्ठ (pṛṣṭhá)	pṛṣṭhá	paršta‎		pušt	pošt	pişt	fæsontæ	pīṭh	dumo
89	noun	breast	*pstánas, *HúrHas*	स्तन (stána)	stána	varah, fštāna*		sēn, sēnag, pestān, war	sine	berok, sîng	riw, ʒiʒi*	chātī	ćući
90	noun	heart	*ȷ́ʰŕ̥dayam	हृदय (hṛ́daya)	hṛ́daya			dil	del, qalb	dil	zærdæ	dil	ilo
91	noun	liver	*Hyákr̥	यकृत् (yákṛt)	yákṛt			ǰagar	jegar	cerg, kezeb	igær	jigar, kalejā*	puko
92	verb	drink	*píbati	पिबति (píbati)	píbati	xᵛaraiti		xwārīdan	nušidan	vexar, xwarewe	nwazyn	pīnā	pijel
93	verb	eat	*Hátˢti	खादति (khā́dati), अत्ति (átti)	khā́dati, átti			xwardan	xordan	xar, xwardî	xæryn	khānā	xal
94	verb	bite	*dáćati	दशति (dáśati)	dáśati			gazīdan	javidan	gezî	xæcyn	kāṭnā	dindalel
95	verb	suck	*dʰáyati	धयति (dháyati)	dháyati			mēzīdan	mekidan	mijî, mishtî	dæjyn	cūsnā	chuchi pel
96	verb	spit		ष्ठीवति (ṣṭhī́vati)	ṣṭhī́vati				tof andâxtan	tifand, helawêşt	tu kænyn	thūknā	shungardel
97	verb	vomit	*wámHati	वमति (vámati)	vámati			wāmīdan	estefarâğ kardan	helawêşt, rişawe	omyn	ulṭī karnā, ulṭī mārnā	shandel
98	verb	blow	*Hwā́ti*, *dʰámati	वाति (vā́ti)	vā́ti	vāiti		daftan	vazidan, damidan	helda, frêda	dymyn	phū̃knā	phurdel
99	verb	breathe		अनिति (ániti)	ániti			daftan	nafas kešidan	henaseda, bêhnda	ulæfyn	sā̃s lenā	sufla lel
100	verb	laugh	*smáyatay	स्मयते (smáyate), हसति (hásati)	smáyate, hásati			xandīdan	xandidan	keni, pêkeni	xudyn	hãsnā	asal
101	verb	see	*čáštay	पश्यति (páśyati) (only in the present system), दृश् (dṛś) (everywhere else)	páśyati*, dṛś*			dīdan	didan	dît	wynyn	dikhnā*, dekhnā*	dikhel
102	verb	hear	*ćr̥náwti	शृणोति (śṛṇóti)	śṛṇóti			ašnūdan	šenidan	bîst	qusyn	sunnā	śunel
103	verb	know	*ȷ́ānáHti	जानाति (jānā́ti)	jānā́ti			dānistan*, šnāxtan*	dânestan*, šenâxtan*	zanî	zonyn	jānnā	ʒanel
104	verb	think	*mányatay	मन्यते (mányate), चिन्तयति (cintayati)	mányate, cintayati			handēsidan, menīdan	fekr kardan	bîr	qwydy kænyn	socnā	gindil
105	verb	smell		जिघ्रति (jíghrati)	jíghrati			bōyīdan	buyidan	bon kird	æmbudyn	sūṅghnā	sungal
106	verb	fear	*bʰáyHti	बिभेति (bibhéti), भयते (bháyate) (Vedic)	bibhéti, bháyate*		tạrsatiy	tarsīdan	tarsidan	tirsa, toqî	tærsyn 	ḍarnā	daral
107	verb	sleep	*swápati	स्वपिति (svápiti)	svápiti			xuftan	xâbidan	nust, xewt	x°yssyn	sonā	sovel
108	verb	live	*ǰíHwati	जीवति (jī́vati)	jī́vati		jīvatiy	zīstan	zendegi kardan	jîa	cæryn	jīnā	zhuvel
109	verb	die	*mriyátay	म्रियते (mriyáte)	mriyáte	iriθiieiti, miriieite		murdan	mordan	mird	mælyn	marnā	merel
110	verb	kill	*ǰʰánti	हन्ति (hánti)	hánti			kuštan	koštan	qirr, kuşt	maryn	mārnā	mudarel
111	verb	fight	*Hyáwdʰati, *Hyúdʰyati	युध्यते (yúdhyate)	yúdhyate			ēraxtan, nibardīdan	jangidan	şer kird	tox kænyn	laṛnā	marel
112	verb	hunt	*wáyHti*	वेति (veti)	veti				šekâr kardan	raw kird	cwan kænyn	śikār karnā	mudarel
113	verb	hit		हन्ति (hánti), ताडयति (tāḍáyati)	hánti, tāḍáyati			zadan	zadan	lêda	cævyn	mārnā	chalavel
114	verb	cut	*śćinátˢti	कृन्तति (kṛntáti)	kṛntáti	kərəntaiti		brīdan, tāšīdan	boridan	qirta, qut kir	kærdyn	kāṭnā	shinel
115	verb	split	*bʰinátˢti	भिनत्ति (bhinátti)	bhinátti			darrīdan	šekâftan	let kird	waryn	baṇṭnā	pharravel
116	verb	stab		विधति (vídhyati)	vídhyati				foru kardan	engawt	saʒyn	bhoṅknā	pusavel
117	verb	scratch		लिखति (likháti)	likháti			randīdan	xarâšidan	ruçinand	xyrtt-xyrtt kænyn	kharoñcnā	xarundel
118	verb	dig		खनति (khánati)	khánati	kan-, uskəṇti*		kandan	kandan	kolî, kêla 	k’axyn	khodnā	hunavel
119	verb	swim		प्लवते (plávate)	plávate			snāzīdan	šenâ kardan	mele kird	lenk kænyn	tairnā	plemel
120	verb	fly		पतति (pátati)	pátati			wāyīdan	paridan	firrî	tæxyn	uṛnā	ural
121	verb	walk	*pádyati	एति (éti), गच्छति (gácchati), चरति (cárati)	éti, gácchati, cárati				raftan, šodan	pîase 	cæwyn	calnā	phirel
122	verb	come		आगच्छति (ā́gacchati)	ā́gacchati			āmadan	âmadan	hat	ærcæwyn, cæwyn	ānā	avel
123	verb	lay		शेते (śéte)	śéte			nibastan	derâz kešidan	raza	x°yssyn	leṭnā	pashlyol
124	verb	sit	*síždati	सीदति (sī́dati)	sī́dati			nišastan	nešastan	danîşt	badyn	baiṭhnā	beśel
125	verb	stand	*stíštaHti	तिष्ठति (tíṣṭhati)	tíṣṭhati			ēstadan, awištādan	istâdan	hesta, westyîa	læuwyn	khaṛā honā	tordyol
126	verb	turn		वर्तते (vártate)	vártate			waštan	gaštan	zivrrî, surawe	zdaxyn	muṛnā	boldel
127	verb	fall		पद्यते (pádyate)	pádyate			ōftādan, kaftan	oftâdan	keft	xawyn	girnā	perel
128	verb	give	*dádaHti	ददाति (dádāti)	dádāti			dādan	dâdan	da	dættyn	denā	del
129	verb	hold	*dʰárati, *dʰāráyati	धरति (dhárati)	dhárati			dāštan, griftan	negah dâštan	girt	daryn	pakaṛnā	xutyilel
130	verb	squeeze		मृद्नाति (mṛdnā́ti)	mṛdnā́ti				fešordan	quşî	ælqivyn	dabānā, nicoṛnā*	kikidel
131	verb	rub		घर्षति (ghárṣati)	ghárṣati			muštan, sūdan	mâlidan	glofî, firkand, perxand, germrand	xafyn	malnā	morel
132	verb	wash		क्षालयति (kṣā́layati)	kṣā́layati			šustan	šostan	şord, şuşt	æxsyn	dhonā	thovel
133	verb	wipe		मार्ष्टि (mā́rṣṭi)	mā́rṣṭi			awestardan	zodudan, pâk kardan	malî, sirrîewe	særfyn	poñchnā	khosel
134	verb	pull		कर्षति (kárṣati)	kárṣati			kešīdan	kešidan	rakêşa 	ivazyn	khīñcnā	cirdel
135	verb	push		नुदति (nudáti)	nudáti			rānēnīdan	fešâr dâdan, hol dâdan	pal da	sxojyn	dhakkā denā, dhakkā mārnā	pizdel
136	verb	throw		क्षिपति (kṣipáti)	kṣipáti			abgandan	andâxtan, afkandan	helda, havêşt	æpparyn	pheṅknā	shudel
137	verb	tie		बध्नाति (badhnā́ti), बन्धति (bandhati)	badhnā́ti, bandhati			bastan	bastan, gereh zadan	şetek da, best	battyn	bāndhnā	phandel
138	verb	sew		सीव्यति (sī́vyati)	sī́vyati			dōxtan	duxtan	durî	xwijyn 	sīnā	suvel
139	verb	count		गणयति (gáṇayati), कलते (kálate)	gáṇayati, kálate			ōšmurdan	šomordan	jimard, hejmard	nymajyn	ginnā	ginavel
140	verb	say	*Háwǰʰati, *wákti, *mráwHti	वक्ति (vákti)	vákti			guftan, wāxtan	goftan	got, bejî, wut, elê	ʒuryn	kahnā, bolnā*	phenel
141	verb	sing	*gáHyati	गायति (gā́yati)	gā́yati			srūdan	xândan	çirrî, sitra	zaryn	gānā	gilyabel
142	verb	play		दीव्यति (dī́vyati)	dī́vyati			wāzīdan	bâzi kardan, navâxtan*	leîzî, yarî kird	qazyn	khelnā	khelel
143	verb	float		प्लवते (plávate)	plávate				šenâvar budan	serav bu	nawʒu kænyn	tairnā	urnel
144	verb	flow		सरति (sárati), क्षरति (kṣárati)	sárati, kṣárati			rēxtan, taxtan	jâri budan	rîja	kælyn	bahnā	shordyol
145	verb	freeze		शीयते (śī́yate)	śī́yate			afsārdan	yax bastan	tezî, sirr bu	sælyn	jamnā	pahosajvel
146	verb	swell		श्वयति (śváyati)	śváyati				bâd kardan	bel bu, penma	dymyn	sūjnā	shulyol
147	noun	sun	*súHar	सूर्य (sū́rya), रवि (ravi), सूर (sū́ra), भास्कर (bhāskara)	sū́rya, ravi, sū́ra, bhāskara			xwaršēd	âftâb, xoršid	roj, xor	xur	sūraj	kham
148	noun	moon	*mā́Has	मास (mā́sa), चन्द्रमस् (candramas), चन्द्र (candrá)	mā́sa, candramas, candrá			māh	mâh	mang, heyv	mæj	cānd	ćhon
149	noun	star	*Hstā́	नक्षत्र (nákṣatra), स्तृ (stṛ́), तारा (tārā)	nákṣatra, stṛ́, tārā			stārag	setâre	stêre, estêre	st’aly	tārā	ćexrain
150	noun	water	*Hā́pš	जल (jalá), अप् (áp), पानीय (pānīya), वारि (vā́ri), उदन् (udán), तोज (toja)	jalá, áp, pānīya, vā́ri, udán, toja			āb	âb	av, aw 	don	pānī	pani
151	noun	rain		वर्ष (varṣá)	varṣá			wārān	bârân	baran	waryn	bāriś	briśind
152	noun	river		नदी (nadī́)	nadī́			rōd	rudxâne, rud	çom, çem, rubar	cæugædon	nadī	len
153	noun	lake		सरस् (sáras)	sáras			war	daryâče	gom	cad	jhīl	baro paji
154	noun	sea		समुद्र (samudrá)	samudrá		draya	zrēy, drayā	daryâ	zerîa	denǵyz	samandar	marja
155	noun	salt		लवण (lavaṇá)	lavaṇá			namak	namak	xwê	cæxx	namak	lon
156	noun	stone		अश्मन् (áśman)	áśman			sang	sang	berd, kevir	dur	patthar	barr
157	noun	sand		पांसु (pāṃsú), शिकता (śíkatā)	pāṃsú, śíkatā			rēg	šen, rig	zîx, lim	zmis	ret	kiśaj
158	noun	dust		रेणु (reṇú)	reṇú	pąsnu‎		gard	gard	toz, xol	ryg	dhūl	praxo
159	noun	earth	*ȷ́ʰžʰáHs, *bʰúHmiš	क्षम् (kṣám), पृथ्वी (pṛthvī́)	kṣám, pṛthvī́	zam‎, būmi		xāk	zamin, xâk	erd, zevî	zæxx	dhartī	phuv
160	noun	cloud	*Hmaygʰás, *abʰrás	नभस् (nábhas), मेघ (meghá)	nábhas, meghá	maēγa, aβra, snaoδa, dunman		abr	abr	hewr, ewr	ævraǧ	bādal	noro
161	noun	fog	*dʰuHmás	मिह् (míh)	míh				meh	tem, muj	miǧ	dhundh	muglya
162	noun	sky	*dyā́wš	आकाश (ākāśá)	ākāśá			āsmān	âsmân	asman	arv	āsmān	cheri
163	noun	wind		वायु (vāyú), वात (vā́ta)	vāyú, vā́ta			wād	bâd	ba	wad	havā	balval
164	noun	snow		हिम (himá), तुषार (tuṣāra), तुहिन (tuhina)	himá, tuṣāra, tuhina			wafr	barf	befr, werf	mit	barf	iv
165	noun	ice		हिम (himá)	himá				yax	sehol	ix	barf	paho
166	noun	smoke	*dʰuHmás	धूम (dhūmá)	dhūmá			dūd	dud	dukel	fæzdæg	dhuā̃	thuv
167	noun	fire	*Hagníš*, *HaHtar-*	अग्नि (agní)	agní		ātar	ādur, ātaxš	âtaš	agir	art	āg	jag
168	noun	ash		आस (ā́sa)	ā́sa	ātriia*		ādurestar	xâkestar	xolemêş, xoli	ærtxutæg	rākh	ushar
169	verb	to burn		दहति (dahati)	dahati	dažiiete*		waxšīdan*, sōxtan*, tāftan*	suxtan	suta, sot	suʒyn	jalnā*, jalānā*	phabol
170	noun	road		पथ (patha), अध्वन् (ádhvan), मार्ग (mārga)	patha, ádhvan, mārga			rāh	râh	rê, rêge	fændag, balc	saṛak	drom
171	noun	mountain	*gr̥Híš, *párwatas	गिरि (girí), पर्वत (párvata)	girí, párvata			kōf, gar	kuh	çîa, şax	xox 	pahāṛ	plaj
172	adjective	red	*Hráwdʰitas, *Hrudʰrás, *ĉáwnas	रक्त (rakta), रोहित (róhita)	rakta, róhita			suxr, karmīr	sorx, qermez	sor	syrx	lāl	lolo
173	adjective	green	*j́ʰáriš	हरित् (harit), हरित (harita), पालाश (pā́lāśa), पलाश (palāśa)	harit, harita, pā́lāśa, palāśa			sabz	sabz	kesk, sewz	c’æx	harā	zèleno
174	adjective	yellow		पीत (pīta), पीतल (pītala)	pīta, pītala			zard	zard	zerd	bur 	pīlā	gàlbeno
175	adjective	white	*ćwaytás	श्वेत (śvetá)	śvetá			spēd, arus	sefid	spî	urs	safed	parno
176	adjective	black	*kr̥šnás, *ćyaHwás	कृष्ण (kṛṣṇá)	kṛṣṇá	sāma, siāuua		syā	siyâh	reş	saw	kālā	kalo
177	noun	night	*kšáp, *nákts	रात्रि (rā́tri), नक्ति (nákti), क्षप् (kṣáp), रजनी (rajanī)	rā́tri, nákti, kṣáp, rajanī			šab	šab	şev	æxsæv	rāt	rat
178	noun	day		दिन (diná), अहर् (áhar), दिवस (divasa)	diná, áhar, divasa	aiiar		rōz	ruz	roj	bon	din	dives
179	noun	year	*ćarHáts	वर्ष (varṣá), संवत्सर (saṃvatsara)	varṣá, saṃvatsara		θarda	sāl	sâl	sal	afæʒ	sāl	berś
180	adjective	warm		तप्त (taptá)	taptá			garm	garm	germ	qarm	garm	tato
181	adjective	cold	*ȷ́ʰimás	शीत (śītá)	śītá	sarəta, aota		sard	sard	sar, sard	wazal	ṭhaṇḍā	śudro
182	adjective	full	*pr̥Hnás	पूर्ण (pūrṇá)	pūrṇá			purr	por	tije, pirr	ʒag	pūrā	pherdo
183	adjective	new	*náwas	नव (náva), नूतन (nū́tana)	náva, nū́tana			nōg	now, jadid	nû	næuæg	nayā	nevo
184	adjective	old	*ȷ́r̥Hnás	जीर्ण (jīrṇá), वृद्ध (vṛddhá), पुरातन (purātana)	jīrṇá, vṛddhá, purātana			kahwan, pīr	qadimi*, pir*	kevn, kon	zærond	purānā	purano
185	adjective	good	*Hwásuš, *ćriHrás, *Hsu-	वसु (vásu), भद्र (bhadrá)	vásu, bhadrá			weh, hudāg, xūb	xub	baş	xorz	acchā	laćho
186	adjective	bad	*ákas, *pāpás, *Hagʰás, *duš-	पाप (pāpá), दुष्ट (duṣṭa)	pāpá, duṣṭa	aka, aγa		wad	bad, zešt	bed	ævzær	burā	nasul
187	adjective	rotten		पूति (pū́ti)	pū́ti			pūdag	fâsed, puside	rizî	æmbyd 	saṛā	kerno
188	adjective	dirty		मलिन (malina), समल (samala)	malina, samala	āhīta		rēman	kasif	pîs	ḱ’izi	gandā	melalo
189	adjective	straight	*Hr̥ȷ́úš	ऋजु (ṛjú), साधु (sādhú)	ṛjú, sādhú			rāst	râst	rêk	rast	sīdhā	vorta
190	adjective	round		वृत्त (vṛttá), वर्तुल (vartula)	vṛttá, vartula			gird	gerd	xirr	tymbyl	gol	oblo
191	adjective	sharp (as a knife)	*tigmás	तीक्ष्ण (tīkṣṇá)	tīkṣṇá			tēz	tiz	tîj	cyrǧ	tīkhā	kucime
