#swadesh 207 id	part-of-speech	English	Proto-Slavic	Old Church Slavonic	Czech	Polish	Slovak	Lower Sorbian	Upper Sorbian	Bulgarian	Macedonian	Serbo-Croatian	Slovene	Belarusian	Russian	Rusyn	Ukranian
39	noun	child	*čędo, *dětь, *orbę	дѣть (dětĭ), отрокъ (otrokŭ)	dítě	dziecko, dziecię	dieťa	źiśe, góle	dźěćo	дете (dete)	дете (dete)	dete, dijete	dete, otrok	дзіця́ (dzicjá)	ребёнок (rebjónok), дитя́ (ditjá)	дїтя (djitja), дїтина (djityna)	дити́на (dytýna)
40	noun	wife	*žena	жєна (žena)	žena, manželka, choť	żona	manželka, žena	žeńska	mandźelska, žona	съпруга (sǎpruga)	жена (žena), сопруга (sopruga)	žena, supruga	žena	жо́нка (žónka)	жена́ (žená), супру́га (suprúga)	жона (žona)	дружи́на (družýna), жі́нка (žínka), жона́ (žoná)
41	noun	husband	*mǫžь	мѫжь (mǫžĭ)	muž, manžel, choť	mąż	manžel, muž	cłowjek	mandźelski, muž	съпруг (sǎprug)	маж (maž), сопруг (soprug)	muž, suprug	mož	муж (muž)	муж (muž), супру́г (suprúg)	муж (muž), манжел (manžel)	чолові́к (čolovík), муж (muž)
42	noun	mother	*mati	мати (mati)	matka, máma, mateř*	matka	matka	maś	mać	майка (majka)	мајка (majka)	majka	mati	ма́ці (máci)	мать (matʹ), ма́ма (máma), ма́тушка (mátuška)	мати (maty), матїрь (matjirʹ), мама (mama)	ма́ти (máty), не́ня (nénja)
43	noun	father	*baťa, *otъ, *otьcь	отьць (otĭcĭ)	otec	ojciec	otec	nan	nan	баща (bašta), татко (tatko)	татко (tatko)	otac	oče	ба́цька (bácʹka)	оте́ц (otéc), па́па (pápa), ба́тюшка (bátjuška)	отець (otecʹ), нянё (njanjo), нянько (njanʹko)	ба́тько (bátʹko)
44	noun	animal	*zvěrь	звѣрь (zvěrĭ)	zvíře	zwierzę	zviera	zwěrje	zwěrjo	животно (životno)	животно (životno)	životinja	žival	жывёла (žyvjóla), звер (zvjer)	зверь (zverʹ), зверёк (zverjók), живо́тное (živótnoje)	звіря (zvirja), жывина (žŷvyna)	твари́на (tvarýna), звір (zvir)
45	noun	fish	*ryba	рꙑба (ryba)	ryba	ryba	ryba	ryba	ryba	риба (riba)	риба (riba)	riba	riba	ры́ба (rýba)	ры́ба (rýba)	рыба (rŷba)	ри́ба (rýba)
46	noun	bird	*pъta, *pъtica	пътица (pŭtica)	pták	ptak	vták	ptašk	ptačk, ptak	птица (ptica)	птица (ptica)	ptica	ptič, ptica	пту́шка (ptúška)	пти́ца (ptíca)	птах (ptax)	птах (ptax), пти́ця (ptýcja)
47	noun	dog	*pьsъ	пьсъ (pĭsŭ)	pes	pies	pes	pjas	psyk	куче (kuče), пес (pes), псе (pse)	куче (kuče), пес (pes)	pas	pes	саба́ка (sabáka)	соба́ка (sobáka), пёс (pjos)	пес (pes)	пес (pes), соба́ка (sobáka)
48	noun	louse	*vъšь	въшь (vŭšĭ)	veš	wesz	voš	weš	woš	въшка (vǎška)	вошка (voška)	uš, vaš	uš	вош (voš)	вошь (vošʹ)	уша (uša)	во́ша (vóša)
49	noun	snake	*ǫžь, *zmьja	змиꙗ (zmija)	had, zmije*	wąż	had	wuž	had	змия (zmija)	змија (zmija)	zmija	kača	змяя́ (zmjajá)	змея́ (zmejá)	гад (had)	змія́ (zmijá)
50	noun	worm	*čьrvь	чрьвь (črĭvĭ)	červ	robak, czerw	červ	wužeńc, cerw	waka, čerw	червей (červej)	црв (crv)	crv, glista	črv	чарвя́к (čarvják)	червь (červʹ), червя́к (červják)	червяк (červjak)	черв'я́к (červʺják)
51	noun	tree	*dervo	дрѣво (drěvo)	strom	drzewo	strom	bom	štom	дърво (dǎrvo)	дрво (drvo)	drvo	drevo	дрэ́ва (dréva)	де́рево (dérevo)	дерево (derevo), стром (strom), стрім (strim)	де́рево (dérevo)
52	noun	forest	*lěsъ	лѣсъ (lěsŭ)	les	las	les	góla, lěs	lěs	гора (gora), лес (les)	шума (šuma)	šuma	gozd	лес (ljes)	лес (les)	лїс (ljis)	ліс (lis)
53	noun	stick	*drьkolь, *xlǫdъ, *kyjь, *palica, *žьzlъ	палица (palica)	hůl, klacek, prut, kůl, pálka	kij, laska, patyk	palica	kij	kij	пръчка (prǎčka), съчка (sǎčka), клонче (klonče), клечка (klečka), стрък (strǎk)	стап (stap), прачка (pračka)	štap, prut, drška	palica	кій (kij), па́лка (pálka)	па́лка (pálka)	паліця (palicja)	па́лиця (pálycja), кий (kyj)
54	noun	fruit	*ovoťe, *plodъ	овощє (ovošte)	ovoce, plod	owoc	ovocie, plod	płod	płód	плод (plod)	овошје (ovošje), плод (plod)	voće, plod	plod	садаві́на (sadavína)	плод (plod), фрукт (frukt)	овоцина (ovocyna)	плід (plid)
55	noun	seed	*sěmę	сѣмѧ (sěmę)	semeno, sémě*	nasiono, siemię, ziarno	semeno	semje	symjo	семе (seme)	семе (seme)	seme, sjeme	seme	се́мя (sjémja), насе́нне (nasjénnje)	се́мя (sémja)	насїня (nasjinja)	сі́м'я (símʺja), насі́ння (nasínnja)
56	noun	leaf	*listъ	листъ (listŭ)	list	liść	list	list	lisćo	листо (listo), лист (list)	лист (list)	list	list	ліст (list)	лист (list)	лист (lyst)	листо́к (lystók)
57	noun	root	*kory	корєнь (korenĭ)	kořen	korzeń	koreň	kórjeń	korjeń	корен (koren)	корен (koren)	koren, korijen	koren	ко́рань (kóranʹ)	ко́рень (kórenʹ)	корїнь (korjinʹ)	ко́рінь (kórinʹ)
58	noun	bark	*(s)kora	кора (kora)	kůra	kora	kôra	škóra	skora	кора (kora)	кора (kora)	kora	skorja	кара́ (kará)	кора́ (korá)	кора (kora)	кора́ (korá)
