#swadesh 207 id	part-of-speech	English	Proto-Slavic	Old Church Slavonic	Czech	Polish	Slovak	Lower Sorbian	Upper Sorbian	Bulgarian	Macedonian	Serbo-Croatian	Slovene	Belarusian	Russian	Rusyn	Ukranian
193	adjective	smooth	*gladъkъ	гладъкъ (gladŭkŭ)	hladký	gładki	hladký	gładki	hładki	гладък (gladǎk)	мазен (mazen)	gladak	gladek	гла́дкі (hládki)	гла́дкий (gládkij), ро́вный (róvnyj)	гладкый (hladkŷj)	гла́дкий (hládkyj), р́івний (ŕivnyj)
194	adjective	wet	*mokrъ, *volžьnъ, *vьlgъkъ	мокръ (mokrŭ)	mokrý	mokry	mokrý	mokšy	mokry	мокър (mokǎr), влажен (vlažen)	мокар (mokar), влажен (vlažen), воден (voden)	mokar	moker	мо́кры (mókry)	мо́крый (mókryj)	мокрый (mokrŷj)	воло́гий (volóhyj), мо́крий (mókryj)
195	adjective	dry	*suxъ	соухъ (suxŭ)	suchý	suchy	suchý	suchy	suchi	сух (suh)	сув (suv)	suh	suh	сухі́ (suxí)	сухо́й (suxój)	сухый (suxŷj)	сухи́й (suxýj)
196	adjective	correct	*pravъ, *věrьnъ	правъ (pravŭ)	správný	poprawny, prawidłowy	správny	pšawy	prawy	правилен (pravilen), верен (veren), точен (točen)	точен (točen), правилен (pravilen)	točan, tačan	pravilen	праві́льны (pravílʹny), слу́шны (slúšny)	пра́вильный (právilʹnyj)	правилный (pravylnŷj)	пра́вильний (právylʹnyj)
197	adjective	near	*blizъkъ	близъ (blizŭ)	blízký, nedaleký	bliski	blízky	bliski	bliski	близък (blizǎk)	близок (blizok)	blizak	bližnji	блі́зкі (blízki)	бли́зкий (blízkij)	близкый (blyzkŷj)	близьки́й (blyzʹkýj)
198	adjective	far	*dalekъ	дальнии (dalĭnii), дальнъ (dalĭnŭ)	daleký	daleki	ďaleký	daloki	daloki	далечен (dalečen)	далечен (dalečen)	dalek	oddaljen	далёкі (daljóki)	далёкий (daljókij), да́льний (dálʹnij)	далекый (dalekŷj)	дале́кий (dalékyj)
199	adjective	right	*desnъ, *pravъ	дєснъ (desnŭ), правъ (pravŭ)	pravý	prawy	pravý	pšawy	prawy	десен (desen)	десно (desno)	desno	desni	пра́вы (právy)	пра́вый (právyj)	правый (pravŷj)	пра́вий (právyj)
200	adjective	left	*lěvъ, *šujь	лѣвъ (lěvŭ)	levý	lewy	ľavý	lěwy	lěwy	ляв (ljav)	лево (levo)	levo, lijevo	levi	ле́вы (ljévy)	ле́вый (lévyj)	лївый (ljivŷj)	лі́вий (lívyj)
201	preposition	at	*po, *pri, *u	оу (u), при (pri)	u, při	przy, u, na	v, na, pri	wu, pśi	při	до (do), на (na)	до (do), на (na), кај (kaj)	kod	pri	каля́ (kaljá), ля (lja), пры (pry), по́бач з (póbač z)	при (pri), у (u), во́зле (vózle)	коло (kolo), при (pry)	на (na)
202	preposition	in	*vъ(n)	въ (vŭ)	v, ve	w, we	v, vo	w, we	w, we	в (v), у (u)	во (vo)	u	v	у (u)	в (v)	в (v), у (u)	в (v), у (u)
203	preposition	with	*sъ(n)	съ (sŭ)	s, se	z, ze	s, so	z, ze	z, ze	с (s)	со (so)	s, sa	s, z	з (z), ра́зам з (rázam z)	с (s)	з (z), зо (zo), із (iz)	з (z)
204	preposition	and	*a, *i	и (i)	a, i	i, oraz	a, i	a	a	и (i)	и (i)	i	in	і (i), ды (dy)	и (i), да (da)	і (i), а (a), та (ta)	і (i), й (j), та (ta)
205	preposition	if	*jako	ащє (ašte)	jestliže, jestli	jeśli, jeżeli	ak, pokiaľ, keby, keď	joli, gaž, gaby	hdyž	ако (ako)	ако (ako)	ako	če, ako	калі́ (kalí)	е́сли (jésli), е́жели (jéželi)*, ко́ли (kóli)*	кідь (kidʹ)	якщо́ (jakščó), коли́ (kolý), якби́ (jakbý)
206	preposition	because	*bo	пон҄єжє (ponʹeže)	protože, jelikož, poněvadž	bo, gdyż, ponieważ	pretože, lebo	dokulaž	dokelž, přetož	защото (zaštoto), понеже (poneže), тъй като (tǎj kato)	бидејќи (bidejḱi), затоа што (zatoa što)	zato, radi, jer, budući da	ker	бо (bo), таму́ што (tamú što)	потому́ что (potomú što), и́бо (íbo)	бо (bo), затоже (zatože), протоже (protože)	бо (bo)
207	noun	name	*jьmę	имѧ (imę)	jméno	imię, miano	meno, názov	mě	mjeno	име (ime)	име (ime)	ime	ime	імя́ (imjá), на́зва (názva), назо́ў (nazóŭ)	и́мя (ímja)	імя (imja), мено (meno)	ім'я́ (imʺjá)
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
