#swadesh 207 id	part-of-speech	English	Proto-Italic	Latin	Latin IPA	Vulgar Latin	French	French IPA	Spanish 	Portuguese 	Italian	Romanian
94	verb	bite	*mordeō	mordere	mɔr.d̪eː.rɛ	*mordere	mordre	/mɔʁdʁ/	morder	morder	mordere, morsicare rare	mușca
95	verb	suck	*sowgō	sugere	ˈsuː.ɡɛ.rɛ	*sugere	sucer	/syse/	chupar	chupar	succhiare	suge
96	verb	spit	*spujō	spuere	ˈspʊ.ɛ.rɛ	*spuere , *exconspuere (*sputare, *conspuo)	cracher	/kʁaʃe/	escupir	cuspir	sputare	scuipa
97	verb	vomit	*wemō	vomere	ˈwɔ.mɛ.rɛ	*vomere , *vomitare	vomir	/vɔmiʁ/	vomitar	vomitar	vomitare	vomita
98	verb	blow	*speizō	(in)flare	ˈfɫaː.rɛ	*soffiare (*sufflare), *buffare	souffler	/sufle/	soplar	soprar	soffiare	sufla
99	verb	breathe	*flaō	(re)spirare	spiː.ˈraː.rɛ	*respirare	respirer	/ʁɛspiʁe/	respirar	respirar	respirare	respira
100	verb	laugh	*reideō	ridere	riː.ˈd̪eː.rɛ	*ridere	rire	/ʁiʁ/	reír	rir	ridere	râde
101	verb	see	*widēō	videre	wɪ.ˈd̪eː.rɛ	*videre (*video)	voir	/vwaʁ/	ver	ver	vedere	vedea
102	verb	hear	*awizdjō	audire	aʊ̯.ˈd̪iː.rɛ	*audire (*audio), *sentire	entendre	/ɑ̃tɑ̃dʁ/	oír	ouvir	sentire, udire	auzi
103	verb	know	*skijō	scire	ˈskiː.rɛ	*sapere ( *savere , *sabere)	savoir	/savwaʁ/	saber	saber	sapere	ști
104	verb	think	*rēōr	cogitare, putare, existimare	koː.ɡɪ.ˈt̪aː.rɛ, pʊ.ˈt̪aː.rɛ, ɛk.siːs̪.t̪ɪ.ˈmaː.rɛ	*pensare	penser	/pɑ̃se/	pensar	pensar	pensare	gândi, cugeta
105	verb	smell	*odō	olfacere	ɔɫ.ˈfa.kɛ.rɛ	*olere , *sentire , *intendere	sentir	/sɑ̃tiʁ/	oler	cheirar	sentire	mirosi
106	verb	fear	*werēōr	timere	t̪ɪ.ˈmeː.rɛ	*timere	craindre	/kʁɛ̃dʁ/	temer	temer	temere	teme
107	verb	sleep	*swepjō	dormire	d̪ɔr.ˈmiː.rɛ	*dormire , *collocare	dormir	/dɔʁmiʁ/	dormir	dormir	dormire	dormi
108	verb	live	*gʷīwō	vivere	ˈwiː.wɛ.rɛ	*vivere	vivre	/vivʁ/	vivir	viver	vivere	trăi
109	verb	die	*morjōr	mori	ˈmɔ.riː	*morire ( *mori )	mourir	/muʁiʁ/	morir	morrer	morire	muri
110	verb	kill	*nekō	necare	nɛ.ˈkaː.rɛ	*matare , *tutare , *occidere	tuer	/tɥe/	matar	matar	uccidere	ucide
111	verb	fight	*pugnō	luctari, pugnare	ɫuːk.ˈt̪aː.riː, pʊŋ.ˈnaː.rɛ	*combattere ( *battere ), *luctare	se battre	/səbatʁ/	luchar	lutar	lottare	lupta
112	verb	hunt	*weynor	venari	weː.ˈnaː.riː	*captiare (*cacciare, *chassare)	chasser	/ʃase/	cazar	caçar	cacciare	vâna
113	verb	hit	*ferjō	pellere, pulsare	ˈpɛl.lʲɛ.rɛ, ˈpʊl.s̠aː.rɛ	*colpare , *battere	frapper	/fʁape/	golpear, batir	golpear, bater	colpire, battere	lovi, bate
114	verb	cut	*kaidō, *skindō	secare, caedere	ˈs̠ɛ.kaː.rɛ, ˈkae̯.dɛ.rɛ	*taliare , *curtare	couper	/kupe/	cortar	cortar	tagliare, segare (for hard objects)	tăia
115	verb	split	*findō	dividere, scindere	d̪iː.ˈwɪ.d̪ɛ.rɛ, ˈskɪn̪.d̪ɛ.rɛ	*dividere , *separare	fendre	/fɑ̃dʁ/	partir, dividir	partir, dividir	scindere, dividere, fendere, spartire	diviza, împărți
116	verb	stab	*pungō	pungere	ˈpʊŋ.ɡɛ.rɛ	*pungere (*pugnalare)	poignarder	/pwaɲaʁde/	apuñalar	apunhalar, esfaquear	pugnalare, accoltellare	înjunghia, străpunge
117	verb	scratch	*skaβō	scabere, radere	ˈska.bɛ.rɛ, ˈraː.d̪ɛ.rɛ	*radere , *scabere	gratter	/ɡʁate/	rascar, raspar, arañar	rascar, raspar, arranhar	grattare, graffiare, raschiare, scalfire rare	scărpina, zgâria
118	verb	dig	*fodjō	fodere	ˈfɔ.d̪ɛ.rɛ	*excavare	creuser	/kʁøze/	cavar, excavar	cavar, escavar	scavare, cavare (residual)	săpa, excava
119	verb	swim	*snāō	nare, natare	ˈnaː.rɛ, na.ˈt̪aː.rɛ	*nadare (*natare)	nager	/naʒe/	nadar	nadar	nuotare	înota
120	verb	fly	*gʷelajō	volare	wɔ.ˈɫaː.rɛ	*volare	voler	/vɔle/	volar	voar	volare	zbura
121	verb	walk	*kezdō, *eō	ambulare	am.bʊ.ˈɫaː.rɛ	*caminare , *andare ( *ambire , *amnare)	marcher	/maʁʃe/	caminar, andar	andar, caminhar	camminare, andare (a piedi)	merge, umbla
122	verb	come	*gʷenjō	venire	wɛ.ˈniː.rɛ	*venire	venir	/vəniʁ/	venir	vir	venire	veni
123	verb	lay	*jakēō	cubare, iacere	kʊ.ˈbaː.rɛ, ja.ˈkeː.rɛ	*iacere	s'étendre (action), être étendu (state)	/setɑ̃dʁ/, /ɛtʁetɑ̃dy/	yacer	jazer	giacere	zăcea
124	verb	sit	*sedēō	sedere	sɛ.ˈd̪eː.rɛ	*sedentare , *assedere ( *sedere )	s'asseoir (action), être assis (state)	/saswaʁ/, /ɛtʁasi/	sentarse	sentar	sedere	ședea
125	verb	stand	*staēō	stare	ˈs̪t̪aː.rɛ	*stare in pede	se lever (action), se tenir debout (state)	/sələve/, /sətəniʁdəbu/	estar (parado/de pie), levantarse, pararse	estar (de pé)	stare (in piedi)	sta (în picioare)
126	verb	turn	*wertō	vertere	ˈwɛ̞r.t̪ɛ.rɛ	*girare , *virare , *tornare	tourner	/tuʁne/	girar	girar	girare, voltare	întoarce
127	verb	fall	*kadō	cadere	ˈka.dɛ.rɛ	*cadere	tomber	/tɔ̃be/	caer	cair	cadere	cădea
128	verb	give	*didō	dare	ˈda.rɛ	*dare , *donare	donner	/dɔne/	dar	dar	dare, donare (to give a present)	da
129	verb	hold	*haβēō	tenere	t̪ɛ.ˈneː.rɛ	*tenere	tenir	/təniʁ/	tener, sostener	ter	tenere, mantenere	ține
130	verb	squeeze	*premō	exprimere	ɛks.ˈprɪ.mɛ.rɛ	*exprimere (*premere)	serrer	/seʁe/	apretar, comprimir, exprimir	apertar, comprimir, espremer	spremere, pressare, comprimere, stringere	strânge, presa
131	verb	rub	*terō	fricare, terere	frɪ.ˈkaː.rɛ, ˈt̪ɛ.rɛ.rɛ	*fricare	frotter	/fʁɔte/	frotar, fregar	esfregar	fregare, sfregare, frizionare	freca
132	verb	wash	*lawaō	lavare	ɫa.ˈwaː.rɛ	*lavare	laver	/lave/	lavar	lavar	lavare	la, spăla
133	verb	wipe	*tergēō	tergere	t̪ɛ̞r.ˈɡeː.rɛ	*exsucare (*essugare)	essuyer	/esɥije/	restregar, enjugar	enxugar	asciugare, tergere for surfaces	șterge
134	verb	pull	*traɣō	trahere	ˈt̪ra.hɛ.rɛ	*tirare , *trahere (*trago)	tirer	/tiʁe/	tirar, halar, jalar (colloq.)	tirar	tirare, trainare	trage
135	verb	push	*worgēō	pellere	ˈpɛl.lʲɛ.rɛ	*pulsare	pousser	/puse/	empujar	empurrar	spingere	împinge
136	verb	throw	*jakjō	iacere	ˈja.kɛ.rɛ	*iectare , *lanceare	jeter, lancer	/ʒəte/, /lɑ̃se/	lanzar, echar	lançar	gettare, lanciare	arunca
137	verb	tie	*leigāō	ligare	lʲɪ.ˈɡaː.rɛ	*ligare , *aptare	lier	/lje/	atar	atar	legare	lega
138	verb	sew	*sūō	(con)suere	ˈsʊ.ɛ.rɛ	*cosere ( *consuere , *suere )	coudre	/kudʁ/	coser	coser	cucire	coase
139	verb	count	*nomezō	computare, numerare	kɔm.pʊ.ˈt̪aː.rɛ, nʊ.mɛ.ˈraː.rɛ	*comptare (*computare, *contare)	compter	/kɔ̃te/	contar	contar	contare	număra
140	verb	say	*deikō	dicere	ˈd̪ɪ.kɛ.rɛ	*dire , *dicere	dire	/diʁ/	decir	dizer	dire	zice
141	verb	sing	*kanō	canere	ˈka.nɛ.rɛ	*cantare	chanter	/ʃɑ̃te/	cantar	cantar	cantare	cânta
142	verb	play	*loidō	ludere	ˈɫuː.dɛ.rɛ	*iocare ( *jugare )	jouer	/ʒwe/	jugar	jogar	giocare	juca
143	verb	float	*flowitō	fluctuare, fluitare	fɫuːk.t̪ʊ.ˈaː.rɛ, fɫʊ.ɪ.ˈt̪aː.rɛ	*fluctuare (*flotare)	flotter	/flɔte/	flotar	flutuar, boiar	galleggiare, fluttuare in the air	pluti
144	verb	flow	*flūō	fluere	ˈfɫʊ.ɛ.rɛ	*fluere , *currere	couler	/kule/	fluir	fluir	fluire, scorrere	curge
145	verb	freeze	*frīgēō, *gelō	gelare	ɡɛ.ˈɫaː.rɛ	*gelare , *congelare (*geare), *fresco	geler	/ʒəle/	congelar, helar	gelar	gelare, congelare, ghiacciare	îngheța
146	verb	swell	*tumēō	augere, tumere	aʊ̯.ˈɡeː.rɛ, t̪ʊ.ˈmeː.rɛ	*inflare	gonfler	/ɡɔ̃fle/	hincharse (intran.), inflarse (intran.)	inchar-se (intran.)	gonfiare	inflama, umfla
147	noun	sun	*swōl	sol	ˈsoːɫ	*sol ( *soliculus )	soleil	/sɔlɛj/	sol	sol	sole	soare
148	noun	moon	*louksnā	luna	ˈɫuː.na	*luna	lune	/lyn/	luna	lua	luna	lună
149	noun	star	*stērolā	stella	ˈs̪t̪eːl.lʲa	*stella (*estrella)	étoile	/etwal/	estrella	estrela	stella	stea
150	noun	water	*akʷā	aqua	ˈa.kʷa	*aqua	eau	/o/	agua	água	acqua	apă
151	noun	rain	*plowjā	pluvia	ˈpɫʊ.wi.a	*ploia ( *pluvia )	pluie	/plɥi/	lluvia	chuva	pioggia	ploaie
152	noun	river	*flowmən	flumen, fluvius, amnis	ˈfɫuː.mɛn, ˈfɫʊ.wi.ʊs, ˈam.nɪs	*flumen , *rivus (*rio)	rivière	/ʁivjɛʁ/	río	rio	fiume, rivolo	râu, fluviu
153	noun	lake	*lakus	lacus	ˈɫa.kʊs	*lago (*lacu)	lac	/lak/	lago	lago	lago	lac
154	noun	sea	*mari	mare	ˈma.rɛ	*mar (*mare)	mer	/mɛʁ/	mar	mar	mare	mare
155	noun	salt	*sāls	sal	ˈsaːɫ	*sal (*sale)	sel	/sɛl/	sal	sal	sale	sare
156	noun	stone	*lapis	saxum, lapis, petra	ˈsak.sʊ̃ˑ, ˈɫa.pɪs, ˈpɛ.tra	*petra (*pietra, *pedra)	pierre	/pjɛʁ/	piedra	pedra	pietra	piatră
157	noun	sand	*sabolom	harena	ha.ˈreː.nɑ	*arena , *sablo	sable	/sabl/	arena	areia	sabbia	nisip, arină (reg.)
158	noun	dust	*polwis	pulvis	ˈpʊɫ.wɪs	*pulvis (*pulus)	poussière	/pusjɛʁ/	polvo	pó, poeira	polvere	praf, pulbere
159	noun	earth	*terzā	humus, terra, ager	ˈhʊ.mʊs, ˈt̪ɛ̞r.ra, ˈa.ɡɛ̞r	*terra	terre	/tɛʁ/	tierra	terra	terra	pă♂ânt
160	noun	cloud	*nouðetis	nubes, nebula	ˈnuː.beːs, ˈnɛ.bʊ.ɫa	*nube , *nuvola (*nubilu)	nuage	/nɥaʒ/	nube	nuvem	nuvola, nube	nor
