#swadesh 207 id	part-of-speech	English	Proto-Hellenic	Ancient Greek	Modern Greek	Modern Greek IPA
114	verb	cut	*támnō	τέμνω (témnō)	κόβω (kóvo) 	ˈkovo
115	verb	split	*skʰíďďō 	σχίζω (skhízō)	χωρίζω (chorízo) 	xoˈrizo
116	verb	stab		κεντέω (kentéō)	μαχαιρώνω (machairóno) 	maçeˈrono
117	verb	scratch		κνάω (knáō)	ξύνω (xýno) 	ˈksino
118	verb	dig	*orúťťō 	ὀρύσσω (orússō), σκᾰ́πτω (skáptō)	σκάβω (skávo) 	ˈskavo
119	verb	swim		νέω (néō), κολυμβάω (kolumbáō)	κολυμπώ (kolympó) 	kolimˈbo
120	verb	fly	*pétamai	πέτομαι (pétomai)	πετάω (petáo) 	peˈtao
121	verb	walk	*gʷəňňō	περιπατέω (peripatéō), πατέω (patéō), στείχω (steíkhō), βαίνω (baínō), βαδίζω (badízō), πεζεύω (pezeúō), πορεύω (poreúō)	περπατώ (perpató) 	perpaˈto
122	verb	come	*gʷəskō	ἱκνέομαι (hiknéomai), ἵκω (híkō), ἔρχομαι (érkhomai), εἶμι (eîmi)	έρχομαι (érchomai) 	ˈerxome
123	verb	lay	*kéimai	κεῖμαι (keîmai)	ξαπλώνω (xaplóno), πλαγιάζω (plagiázo) 	ksaˈplono, plaˈʝazo
124	verb	sit	*hízdō, *heďďomai	καθίζω (kathízō)	κάθομαι (káthomai) 	ˈkaθome
125	verb	stand	*hístāmi 	ἵστημι (hístēmi)	στέκομαι (stékomai) 	ˈstekome
126	verb	turn		τρέπω (trépō)	γυρίζω (gyrízo) 	ʝiˈrizo
127	verb	fall	*píptō	πίπτω (píptō)	πέφτω (péfto) 	ˈpefto
128	verb	give	*dídōmi	παρέχω (parékhō), δίδωμι (dídōmi)	δίνω (díno) 	ˈðino
129	verb	hold	*hékʰō 	ἔχω (ékhō)	κρατάω (kratáo) 	kraˈtao
130	verb	squeeze		πιέζω (piézō)	ζουλάω (zouláo) 	zuˈlao
131	verb	rub		τρίβω (tríbō)	τρίβω (trívo) 	ˈtrivo
132	verb	wash	*niďďō, *pluňňō 	λούω (loúō), πλύνω (plúnō), νίπτω (níptō)	πλένω (pléno) 	ˈpleno
133	verb	wipe		ἀπομάσσω (apomássō)	σκουπίζω (skoupízo) 	skuˈpizo
134	verb	pull		ἕλκω (hélkō)	τραβώ (travó) 	traˈvo
135	verb	push		ὠθέω (ōthéō)	σπρώχνω (spróchno) 	ˈzbroxno
136	verb	throw		ῥίπτω (rhíptō), βάλλω (bállō)	ρίχνω (ríchno), πετώ (petó) 	ˈrixno
137	verb	tie	*déyō 	δέω (déō)	δένω (déno) 	ˈðeno
138	verb	sew		ῥάπτω (rháptō)	ράβω (rávo) 	ˈravo
139	verb	count		ἀριθμέω (arithméō)	μετράω (metráo) 	meˈtrao
140	verb	say	*enhékʷō, *pʰā́mi	φημί (phēmí), λέγω (légō), ἐνέπω (enépō)	λέω (léo) 	ˈleo
141	verb	sing	*awéidō 	ἀείδω (aeídō)	τραγουδώ (tragoudó) 	traɣuˈðo
142	verb	play		παίζω (paízō)	παίζω (paízo) 	ˈpezo
143	verb	float	*pléwō	νέω (néō)	πλέω (pléo), επιπλέω (epipléo) 	ˈpleo, epiˈpleo
144	verb	flow	*hréyyō 	ῥέω (rhéō)	τρέχω (trécho) 	ˈtrexo
145	verb	freeze		πήγνυμαι (pḗgnumai)	παγώνω (pagóno) 	paˈɣono
146	verb	swell	*áuksō	αὐξάνω (auxánō)	φουσκώνω (fouskóno), πρήζομαι (prízomai) 	fuˈskono, ˈprizome
147	noun	sun	*hāwélios	ἥλιος (hḗlios)	ήλιος (ílios) 	ˈiʎos
148	noun	moon	*méns?	σελήνη (selḗnē)	φεγγάρι (fengári), Σελήνη (Selíni) 	feˈŋɡari, seˈlini
149	noun	star	*astḗr	ἀστήρ (astḗr)	αστέρι (astéri), άστρο (ástro) 	aˈsteri
150	noun	water	*údōr 	ὕδωρ (húdōr)	νερό (neró) 	neˈro
151	noun	rain		ὑετός (huetós), βροχή (brokhḗ)	βροχή (vrochí) 	vroˈçi
152	noun	river		ποταμός (potamós)	ποτάμι (potámi) 	poˈtami
153	noun	lake		λίμνη (límnē)	λίμνη (límni) 	ˈlimni
154	noun	sea	*póntos	θάλασσα (thálassa), πέλαγος (pélagos), πόντος (póntos)	θάλασσα (thálassa) 	ˈθalasa
155	noun	salt	*hā́ls 	ἅλς (háls)	αλάτι (aláti) 	aˈlati
156	noun	stone		λίθος (líthos)	πέτρα (pétra) 	ˈpetra
157	noun	sand		ἄμμος (ámmos)	άμμος (ámmos) 	ˈamos
158	noun	dust		κόνις (kónis)	σκόνη (skóni) 	ˈskoni
159	noun	earth	*kʰtʰṓn	γῆ (gê), χθών (khthṓn)	γη (gi) 	ʝi
160	noun	cloud	*népʰos	νέφος (néphos)	σύννεφο (sýnnefo) 	ˈsinefo
161	noun	fog	*omíkʰlā 	ὀμίχλη (omíkhlē)	ομίχλη (omíchli) 	oˈmixli
162	noun	sky		οὐρανός (ouranós)	ουρανός (ouranós) 	uraˈnos
163	noun	wind	*ánemos	ἄνεμος (ánemos)	αέρας (aéras) 	aˈeras
164	noun	snow	*kʰiyōn? 	χιών (khiṓn)	χιόνι (chióni) 	ˈçoni
165	noun	ice		κρύσταλλος (krústallos)	πάγος (págos) 	ˈpaɣos
166	noun	smoke	*kapnós?	καπνός (kapnós)	καπνός (kapnós) 	kaˈpnos
167	noun	fire	*pū́r, *áitʰos 	πῦρ (pûr)	φωτιά (fotiá) 	foˈtça
168	noun	ash		τέφρα (téphra)	στάχτη (stáchti) 	ˈstaxti
169	verb	to burn		καίω (kaíō)	καίω (kaío) 	ˈceo
170	noun	road		ὁδός (hodós)	δρόμος (drómos) 	ˈðromos
171	noun	mountain	*óros	ἄκρα (ákra), ὄρος (óros), βουνός (bounós, “hill”)	βουνό (vounó) 	vuˈno
172	adjective	red	*erutʰrós	ἐρυθρός (eruthrós), πυρρός (purrhós)	κόκκινος (kókkinos) 	ˈkocinos
173	adjective	green	*kʰlōrós 	χλωρός (khlōrós)	πράσινος (prásinos) 	ˈprasinos
174	adjective	yellow		ξανθός (xanthós)	κίτρινος (kítrinos) 	ˈcitrinos
175	adjective	white	*leukós 	λευκός (leukós)	άσπρος (áspros) 	ˈaspros
176	adjective	black		μέλας (mélas)	μαύρος (mávros) 	ˈmavros
177	noun	night	*nókʷts	νύξ (núx)	νύχτα (nýchta) 	ˈnixta
178	noun	day	*ā́mər	ἡμέρα (hēméra), ἦμαρ (êmar)	μέρα (méra) 	ˈmera
179	noun	year	*wétos	ἔτος (étos)	χρόνος (chrónos) 	xroˈnos
180	adjective	warm	*kʷʰermós 	θερμός (thermós)	ζεστός (zestós) 	zeˈstos
181	adjective	cold		ψυχρός (psukhrós)	κρύος (krýos) 	ˈkrios
182	adjective	full		μεστός (mestós), πλήρης (plḗrēs)	γεμάτος (gemátos) 	ʝeˈmatos
183	adjective	new	*néwos, *kəňňós	νέος (néos)	καινούργιος (kainoúrgios) 	ceˈnurʝos
184	adjective	old	*palaiós, *hénos?	παλαιός (palaiós)	παλιός (paliós) 	paˈʎos
185	adjective	good	*ewéhus, *ehu- 	ἀγαθός (agathós)	καλός (kalós) 	kaˈlos
186	adjective	bad		κακός (kakós)	κακός (kakós) 	kaˈkos
187	adjective	rotten		σαπρός (saprós)	σάπιος (sápios) 	ˈsapços
188	adjective	dirty		θολερός (tholerós)	βρόμικος (vrómikos) 	ˈvromikos
189	adjective	straight	*ortʰwós 	εὐθύς (euthús), ὀρθός (orthós)	ίσιος (ísios) 	ˈisços
190	adjective	round		κυκλοτερής (kukloterḗs)	στρογγυλός (strongylós) 	stroɲɟiˈlos
191	adjective	sharp (as a knife)	*akros 	τομός (tomós), ὀξύς (oxús)	κοφτερός (kofterós) 	kofteˈros
192	adjective	dull (as a knife)		ἀμβλύς (amblús), βαρύς (barús)	στομωμένος (stomoménos) 	stomoˈmenos
193	adjective	smooth	*léiwos	λεῖος (leîos)	λείος (leíos) 	ˈlios
194	adjective	wet	*ugrós	ὑγρός (hugrós)	βρεγμένος (vregménos), υγρός (ygrós) 	vreɣˈmenos, iˈɣros
195	adjective	dry	*ksērós? 	ξηρός (xērós)	στεγνός (stegnós), ξερός (xerós) 	steˈɣnos, kseˈros
196	adjective	correct		δίκαιος (díkaios)	σωστός (sostós) 	soˈstos
197	adjective	near		ἐγγύς (engús)	κοντά (kontá) 	koˈnda
198	adjective	far	*makrós	μακράν (makrán)	μακριά (makriá) 	makriˈa
199	adjective	right	*deksiwós	δεξιός (dexiós)	δεξιά (dexiá) 	ðeksiˈa
200	adjective	left	*laiwós, *skaiwós	ἀριστερός (aristerós), εὐώνυμος (euṓnumos)	αριστερά (aristerá) 	aristeˈra
201	preposition	at	*epí, *opí	ἐν (en)	σε (se) 	se
202	preposition	in	*en, *ení	ἐν (en)	μέσα (mésa) 	ˈmesa se
203	preposition	with	*ksun, *meta	μετά (metá, with genitive), σύν (sún)	με (me) 	me
204	preposition	and	*kʷe, *de 	καί (kaí), τε (te)	και (kai) 	ce
205	preposition	if		εἰ (ei)	εάν (eán), αν (an) 	eˈan, an
206	preposition	because		ὅτι (hóti)	επειδή (epeidí), γιατί (giatí) 	epiˈði, ʝaˈti
207	noun	name	*ónomə 	ὄνομα (ónoma) 	όνομα (ónoma) 	ˈonoma 
						
						
