*	*	*	*	nominative	vocative	accusative	genitive	prepositional	dative	instrumental	#
#mom's	inanimate	singular	feminine	ма́мина	ма́мина	ма́мину	ма́миной	ма́миной	ма́миной	ма́миной	#
#mom's	inanimate	plural		ма́мины	ма́мины	ма́мины	ма́миных 	ма́миных 	ма́миным	ма́миными 	#
#fox's	animate	singular	masculine	ли́сий	ли́сий	ли́сьего	ли́сьего	ли́сьем	ли́сьему	ли́сьим	#
#fox's	animate	singular	neuter	ли́сье	ли́сье	ли́сье	ли́сьего	ли́сьем	ли́сьему	ли́сьим	#
#fox's	animate	singular	feminine	ли́сья	ли́сья	ли́сью	ли́сьей	ли́сьей	ли́сьей	ли́сьей	#
#fox's	animate	plural		ли́сьи	ли́сьи	ли́сьих 	ли́сьих 	ли́сьих 	ли́сьим	ли́сьими 	#
#fox's	inanimate	singular	masculine	ли́сий	ли́сий	ли́сий	ли́сьего	ли́сьем	ли́сьему	ли́сьим	#
#fox's	inanimate	singular	neuter	ли́сье	ли́сье	ли́сье	ли́сьего	ли́сьем	ли́сьему	ли́сьим	#
#fox's	inanimate	singular	feminine	ли́сья	ли́сья	ли́сью	ли́сьей	ли́сьей	ли́сьей	ли́сьей	#
#fox's	inanimate	plural		ли́сьи	ли́сьи	ли́сьи	ли́сьих 	ли́сьих 	ли́сьим	ли́сьими 	#
