dog	dative	leis an ngadhardon ghadhar	leis na gadhair																										
door	Bare forms:CaseSingularPluralNominativedorasdoirseVocativea dhoraisa dhoirseGenitivedoraisdoirseDativedorasdoirse	case	singular	plural	nominative	doras	doirse	vocative	a dhorais	a dhoirse	genitive	dorais	doirse	dative	doras	doirse	Forms with the definite article:CaseSingularPluralNominativean dorasna doirseGenitivean doraisna ndoirseDativeleis an dorasdon dorasleis na doirse	case	singular	plural	nominative	an doras	na doirse	genitive	an dorais	na ndoirse	dative	leis an dorasdon doras	leis na doirse
door	case	singular	plural																										
door	nominative	doras	doirse																										
door	vocative	a dhorais	a dhoirse																										
door	genitive	dorais	doirse																										
door	dative	doras	doirse																										
door	case	singular	plural																										
door	nominative	an doras	na doirse																										
door	genitive	an dorais	na ndoirse																										
door	dative	leis an dorasdon doras	leis na doirse																										
drum	Bare formsCaseSingularPluralNominativedrumadrumaíVocativea dhrumaa dhrumaíGenitivedrumadrumaíDativedrumadrumaí	case	singular	plural	Nominative	druma	drumaí	Vocative	a dhruma	a dhrumaí	Genitive	druma	drumaí	Dative	druma	drumaí	Forms with the definite articleCaseSingularPluralNominativean drumana drumaíGenitivean drumana ndrumaíDativeleis an drumadon drumaleis na drumaí	case	singular	plural	Nominative	an druma	na drumaí	Genitive	an druma	na ndrumaí	Dative	leis an drumadon druma	leis na drumaí
drum	case	singular	plural																										
drum	Nominative	druma	drumaí																										
drum	Vocative	a dhruma	a dhrumaí																										
drum	Genitive	druma	drumaí																										
drum	Dative	druma	drumaí																										
drum	case	singular	plural																										
drum	Nominative	an druma	na drumaí																										
drum	Genitive	an druma	na ndrumaí																										
drum	Dative	leis an drumadon druma	leis na drumaí																										
enemy	Bare formsCaseSingularPluralNominativenamhaidnaimhdeVocativea namhaida naimhdeGenitivenamhadnaimhdeDativenamhaidnaimhde	case	singular	plural	Nominative	namhaid	naimhde	Vocative	a namhaid	a naimhde	Genitive	namhad	naimhde	Dative	namhaid	naimhde	Forms with the definite articleCaseSingularPluralNominativean namhaidna naimhdeGenitivean namhadna naimhdeDativeleis an namhaiddon namhaidleis na naimhde	case	singular	plural	Nominative	an namhaid	na naimhde	Genitive	an namhad	na naimhde	Dative	leis an namhaiddon namhaid	leis na naimhde
enemy	case	singular	plural																										
enemy	Nominative	namhaid	naimhde																										
enemy	Vocative	a namhaid	a naimhde																										
enemy	Genitive	namhad	naimhde																										
enemy	Dative	namhaid	naimhde																										
enemy	case	singular	plural																										
enemy	Nominative	an namhaid	na naimhde																										
enemy	Genitive	an namhad	na naimhde																										
enemy	Dative	leis an namhaiddon namhaid	leis na naimhde																										
fire	Bare formsCaseSingularPluralNominativetinetinteVocativea thinea thinteGenitivetinetinteDativetinetinte	case	singular	plural	Nominative	tine	tinte	Vocative	a thine	a thinte	Genitive	tine	tinte	Dative	tine	tinte	Forms with the definite articleCaseSingularPluralNominativean tinena tinteGenitivena tinena dtinteDativeleis an tinedon tineleis na tinte	case	singular	plural	Nominative	an tine	na tinte	Genitive	na tine	na dtinte	Dative	leis an tinedon tine	leis na tinte
fire	case	singular	plural																										
fire	Nominative	tine	tinte																										
fire	Vocative	a thine	a thinte																										
fire	Genitive	tine	tinte																										
fire	Dative	tine	tinte																										
fire	case	singular	plural																										
fire	Nominative	an tine	na tinte																										
fire	Genitive	na tine	na dtinte																										
fire	Dative	leis an tinedon tine	leis na tinte																										
food	Bare formsCaseSingularPluralNominativebiabiannaVocativea bhiaa bhiannaGenitivebiabiannaDativebiabianna	case	singular	plural	Nominative	bia	bianna	Vocative	a bhia	a bhianna	Genitive	bia	bianna	Dative	bia	bianna	Forms with the definite articleCaseSingularPluralNominativean biana biannaGenitivean bhiana mbiannaDativeleis an mbiadon bhialeis na bianna	case	singular	plural	Nominative	an bia	na bianna	Genitive	an bhia	na mbianna	Dative	leis an mbiadon bhia	leis na bianna
food	case	singular	plural																										
food	Nominative	bia	bianna																										
food	Vocative	a bhia	a bhianna																										
food	Genitive	bia	bianna																										
food	Dative	bia	bianna																										
food	case	singular	plural																										
food	Nominative	an bia	na bianna																										
food	Genitive	an bhia	na mbianna																										
food	Dative	leis an mbiadon bhia	leis na bianna																										
gift	Bare forms:CaseSingularPluralNominativetabhartastabhartaisVocativea thabhartaisa thabhartasaGenitivetabhartaistabhartasDativetabhartastabhartais	case	singular	plural	nominative	tabhartas	tabhartais	vocative	a thabhartais	a thabhartasa	genitive	tabhartais	tabhartas	dative	tabhartas	tabhartais	Forms with the definite article:CaseSingularPluralNominativean tabhartasna tabhartaisGenitivean tabhartaisna dtabhartasDativeleis an tabhartasdon tabhartasleis na tabhartais	case	singular	plural	nominative	an tabhartas	na tabhartais	genitive	an tabhartais	na dtabhartas	dative	leis an tabhartasdon tabhartas	leis na tabhartais
gift	case	singular	plural																										
gift	nominative	tabhartas	tabhartais																										
gift	vocative	a thabhartais	a thabhartasa																										
gift	genitive	tabhartais	tabhartas																										
gift	dative	tabhartas	tabhartais																										
gift	case	singular	plural																										
gift	nominative	an tabhartas	na tabhartais																										
gift	genitive	an tabhartais	na dtabhartas																										
gift	dative	leis an tabhartasdon tabhartas	leis na tabhartais																										
glass	Bare formsCaseSingularPluralNominativegloinegloiníVocativea ghloinea ghloiníGenitivegloinegloiníDativegloinegloiní	case	singular	plural	Nominative	gloine	gloiní	Vocative	a ghloine	a ghloiní	Genitive	gloine	gloiní	Dative	gloine	gloiní	Forms with the definite articleCaseSingularPluralNominativean ghloinena gloiníGenitivena gloinena ngloiníDativeleis an ngloinedon ghloineleis na gloiní	case	singular	plural	Nominative	an ghloine	na gloiní	Genitive	na gloine	na ngloiní	Dative	leis an ngloinedon ghloine	leis na gloiní
glass	case	singular	plural																										
glass	Nominative	gloine	gloiní																										
glass	Vocative	a ghloine	a ghloiní																										
glass	Genitive	gloine	gloiní																										
glass	Dative	gloine	gloiní																										
glass	case	singular	plural																										
glass	Nominative	an ghloine	na gloiní																										
glass	Genitive	na gloine	na ngloiní																										
glass	Dative	leis an ngloinedon ghloine	leis na gloiní																										
guard	Bare formsCaseSingularPluralNominativegardagardaíVocativea ghardaa ghardaíGenitivegardagardaíDativegardagardaí	case	singular	plural	Nominative	garda	gardaí	Vocative	a gharda	a ghardaí	Genitive	garda	gardaí	Dative	garda	gardaí	Forms with the definite articleCaseSingularPluralNominativean gardana gardaíGenitivean ghardana ngardaíDativeleis an ngardadon ghardaleis na gardaí	case	singular	plural	Nominative	an garda	na gardaí	Genitive	an gharda	na ngardaí	Dative	leis an ngardadon gharda	leis na gardaí
guard	case	singular	plural																										
guard	Nominative	garda	gardaí																										
guard	Vocative	a gharda	a ghardaí																										
guard	Genitive	garda	gardaí																										
guard	Dative	garda	gardaí																										
guard	case	singular	plural																										
guard	Nominative	an garda	na gardaí																										
guard	Genitive	an gharda	na ngardaí																										
guard	Dative	leis an ngardadon gharda	leis na gardaí																										
horse	Bare forms:CaseSingularPluralNominativecapallcapaillVocativea chapailla chapallaGenitivecapaillcapallDativecapallcapaill	case	singular	plural	nominative	capall	capaill	vocative	a chapaill	a chapalla	genitive	capaill	capall	dative	capall	capaill	Forms with the definite article:CaseSingularPluralNominativean capallna capaillGenitivean chapaillna gcapallDativeleis an gcapalldon chapallleis na capaill	case	singular	plural	nominative	an capall	na capaill	genitive	an chapaill	na gcapall	dative	leis an gcapalldon chapall	leis na capaill
horse	case	singular	plural																										
horse	nominative	capall	capaill																										
horse	vocative	a chapaill	a chapalla																										
horse	genitive	capaill	capall																										
horse	dative	capall	capaill																										
horse	case	singular	plural																										
horse	nominative	an capall	na capaill																										
horse	genitive	an chapaill	na gcapall																										
horse	dative	leis an gcapalldon chapall	leis na capaill																										
house	Bare formsCaseSingularPluralNominativeteachtitheVocativea theacha thitheGenitivetítitheDativeteachtigh (in certain phrases)tithe	case	singular	plural	Nominative	teach	tithe	Vocative	a theach	a thithe	Genitive	tí	tithe	Dative	teachtigh (in certain phrases)	tithe	Forms with the definite articleCaseSingularPluralNominativean teachna titheGenitivean tína dtitheDativeleis an teachdon teachleis na tithe	case	singular	plural	Nominative	an teach	na tithe	Genitive	an tí	na dtithe	Dative	leis an teachdon teach	leis na tithe
house	case	singular	plural																										
house	Nominative	teach	tithe																										
house	Vocative	a theach	a thithe																										
house	Genitive	tí	tithe																										
house	Dative	teachtigh (in certain phrases)	tithe																										
house	case	singular	plural																										
house	Nominative	an teach	na tithe																										
house	Genitive	an tí	na dtithe																										
house	Dative	leis an teachdon teach	leis na tithe																										
livestock	Bare forms:CaseSingularPluralNominativestocstoicVocativea stoica stocaGenitivestoicstocDativestocstoic	case	singular	plural	nominative	stoc	stoic	vocative	a stoic	a stoca	genitive	stoic	stoc	dative	stoc	stoic	Forms with the definite article:CaseSingularPluralNominativean stocna stoicGenitivean stoicna stocDativeleis an stocdon stocleis na stoic	case	singular	plural	nominative	an stoc	na stoic	genitive	an stoic	na stoc	dative	leis an stocdon stoc	leis na stoic
livestock	case	singular	plural																										
livestock	nominative	stoc	stoic																										
livestock	vocative	a stoic	a stoca																										
livestock	genitive	stoic	stoc																										
livestock	dative	stoc	stoic																										
livestock	case	singular	plural																										
livestock	nominative	an stoc	na stoic																										
livestock	genitive	an stoic	na stoc																										
livestock	dative	leis an stocdon stoc	leis na stoic																										
love	Bare forms (no plural of this noun)CaseSingularNominativearmacasVocativea armacaisGenitivearmacaisDativearmacas	case	singular	Nominative	armacas	Vocative	a armacais	Genitive	armacais	Dative	armacas	Forms with the definite article:CaseSingularNominativean t-armacasGenitivean armacaisDativeleis an armacasdon armacas	case	singular	Nominative	an t-armacas	Genitive	an armacais	Dative	leis an armacasdon armacas
love	case	singular																		
love	Nominative	armacas																		
love	Vocative	a armacais																		
love	Genitive	armacais																		
love	Dative	armacas																		
love	case	singular																		
love	Nominative	an t-armacas																		
love	Genitive	an armacais																		
love	Dative	leis an armacasdon armacas																		
idea	Bare forms:CaseSingularPluralNominativesmaoineamhsmaointeVocativea smaoinimha smaointeGenitivesmaoinimhsmaointeDativesmaoineamhsmaointe	case	singular	plural	nominative	smaoineamh	smaointe	vocative	a smaoinimh	a smaointe	genitive	smaoinimh	smaointe	dative	smaoineamh	smaointe	Forms with the definite article:CaseSingularPluralNominativean smaoineamhna smaointeGenitivean smaoinimhna smaointeDativeleis an smaoineamhdon smaoineamhleis na smaointe	case	singular	plural	nominative	an smaoineamh	na smaointe	genitive	an smaoinimh	na smaointe	dative	leis an smaoineamhdon smaoineamh	leis na smaointe
idea	case	singular	plural																										
idea	nominative	smaoineamh	smaointe																										
idea	vocative	a smaoinimh	a smaointe																										
idea	genitive	smaoinimh	smaointe																										
idea	dative	smaoineamh	smaointe																										
idea	case	singular	plural																										
idea	nominative	an smaoineamh	na smaointe																										
idea	genitive	an smaoinimh	na smaointe																										
idea	dative	leis an smaoineamhdon smaoineamh	leis na smaointe																										
man	Bare forms:CaseSingularPluralNominativefearfirVocativea fhira fhearaGenitivefirfearDativefearfir	case	singular	plural	nominative	fear	fir	vocative	a fhir	a fheara	genitive	fir	fear	dative	fear	fir	Forms with the definite article:CaseSingularPluralNominativean fearna firGenitivean fhirna bhfearDativeleis an bhfeardon fhearleis na fir	case	singular	plural	nominative	an fear	na fir	genitive	an fhir	na bhfear	dative	leis an bhfeardon fhear	leis na fir
man	case	singular	plural																										
man	nominative	fear	fir																										
man	vocative	a fhir	a fheara																										
man	genitive	fir	fear																										
man	dative	fear	fir																										
man	case	singular	plural																										
man	nominative	an fear	na fir																										
man	genitive	an fhir	na bhfear																										
man	dative	leis an bhfeardon fhear	leis na fir																										
money	Bare forms:CaseSingularPluralNominativeairgeadairgidVocativea airgida airgeadaGenitiveairgidairgeadDativeairgeadairgid	case	singular	plural	nominative	airgead	airgid	vocative	a airgid	a airgeada	genitive	airgid	airgead	dative	airgead	airgid	Forms with the definite article:CaseSingularPluralNominativean t-airgeadna hairgidGenitivean airgidna n-airgeadDativeleis an airgeaddon airgeadleis na hairgid	case	singular	plural	nominative	an t-airgead	na hairgid	genitive	an airgid	na n-airgead	dative	leis an airgeaddon airgead	leis na hairgid
money	case	singular	plural																										
money	nominative	airgead	airgid																										
money	vocative	a airgid	a airgeada																										
money	genitive	airgid	airgead																										
money	dative	airgead	airgid																										
money	case	singular	plural																										
money	nominative	an t-airgead	na hairgid																										
money	genitive	an airgid	na n-airgead																										
money	dative	leis an airgeaddon airgead	leis na hairgid																										
monster	Bare formsCaseSingularPluralNominativepéistpéisteannaVocativea phéista phéisteannaGenitivepéistepéisteannaDativepéistpéisteanna	case	singular	plural	Nominative	péist	péisteanna	Vocative	a phéist	a phéisteanna	Genitive	péiste	péisteanna	Dative	péist	péisteanna	Forms with the definite articleCaseSingularPluralNominativean phéistna péisteannaGenitivena péistena bpéisteannaDativeleis an bpéistdon phéistleis na péisteanna	case	singular	plural	Nominative	an phéist	na péisteanna	Genitive	na péiste	na bpéisteanna	Dative	leis an bpéistdon phéist	leis na péisteanna
monster	case	singular	plural																										
monster	Nominative	péist	péisteanna																										
monster	Vocative	a phéist	a phéisteanna																										
monster	Genitive	péiste	péisteanna																										
monster	Dative	péist	péisteanna																										
monster	case	singular	plural																										
monster	Nominative	an phéist	na péisteanna																										
monster	Genitive	na péiste	na bpéisteanna																										
monster	Dative	leis an bpéistdon phéist	leis na péisteanna																										
name	Bare formsCaseSingularPluralNominativeainmainmneachaVocativea ainma ainmneachaGenitiveainmainmneachaDativeainmainmneacha	case	singular	plural	Nominative	ainm	ainmneacha	Vocative	a ainm	a ainmneacha	Genitive	ainm	ainmneacha	Dative	ainm	ainmneacha	Forms with the definite articleCaseSingularPluralNominativean t-ainmna hainmneachaGenitivean ainmna n-ainmneachaDativeleis an ainmdon ainmleis na hainmneacha	case	singular	plural	Nominative	an t-ainm	na hainmneacha	Genitive	an ainm	na n-ainmneacha	Dative	leis an ainmdon ainm	leis na hainmneacha
name	case	singular	plural																										
name	Nominative	ainm	ainmneacha																										
name	Vocative	a ainm	a ainmneacha																										
name	Genitive	ainm	ainmneacha																										
name	Dative	ainm	ainmneacha																										
name	case	singular	plural																										
name	Nominative	an t-ainm	na hainmneacha																										
name	Genitive	an ainm	na n-ainmneacha																										
name	Dative	leis an ainmdon ainm	leis na hainmneacha																										
rock	Bare formsCaseSingularPluralNominativecarraigcarraigeachaVocativea charraiga charraigeachaGenitivecarraigecarraigeachaDativecarraigcarraigeacha	case	singular	plural	Nominative	carraig	carraigeacha	Vocative	a charraig	a charraigeacha	Genitive	carraige	carraigeacha	Dative	carraig	carraigeacha	Forms with the definite articleCaseSingularPluralNominativean charraigna carraigeachaGenitivena carraigena gcarraigeachaDativeleis an gcarraigdon charraigleis na carraigeacha	case	singular	plural	Nominative	an charraig	na carraigeacha	Genitive	na carraige	na gcarraigeacha	Dative	leis an gcarraigdon charraig	leis na carraigeacha
rock	case	singular	plural																										
rock	Nominative	carraig	carraigeacha																										
rock	Vocative	a charraig	a charraigeacha																										
rock	Genitive	carraige	carraigeacha																										
rock	Dative	carraig	carraigeacha																										
rock	case	singular	plural																										
rock	Nominative	an charraig	na carraigeacha																										
rock	Genitive	na carraige	na gcarraigeacha																										
rock	Dative	leis an gcarraigdon charraig	leis na carraigeacha																										
rope	Bare formsCaseSingularPluralNominativetéadtéadaVocativea théada théadaGenitivetéidetéadDativetéadtéid (archaic, dialectal)téada	case	singular	plural	Nominative	téad	téada	Vocative	a théad	a théada	Genitive	téide	téad	Dative	téadtéid (archaic, dialectal)	téada	Forms with the definite articleCaseSingularPluralNominativean téadna téadaGenitivena téidena dtéadDativeleis an téadleis an téid (archaic, dialectal)don téaddon téid (archaic, dialectal)leis na téada	case	singular	plural	Nominative	an téad	na téada	Genitive	na téide	na dtéad	Dative	leis an téadleis an téid (archaic, dialectal)don téaddon téid (archaic, dialectal)	leis na téada
rope	case	singular	plural																										
rope	Nominative	téad	téada																										
rope	Vocative	a théad	a théada																										
rope	Genitive	téide	téad																										
rope	Dative	téadtéid (archaic, dialectal)	téada																										
rope	case	singular	plural																										
rope	Nominative	an téad	na téada																										
rope	Genitive	na téide	na dtéad																										
rope	Dative	leis an téadleis an téid (archaic, dialectal)don téaddon téid (archaic, dialectal)	leis na téada																										
size	Bare forms (no plural of this noun)CaseSingularNominativeméidVocativea mhéidGenitiveméidDativeméid	case	singular	Nominative	méid	Vocative	a mhéid	Genitive	méid	Dative	méid	Forms with the definite articleCaseSingularNominativean méidGenitivean mhéidDativeleis an méiddon mhéid	case	singular	Nominative	an méid	Genitive	an mhéid	Dative	leis an méiddon mhéid
size	case	singular																		
size	Nominative	méid																		
size	Vocative	a mhéid																		
size	Genitive	méid																		
size	Dative	méid																		
size	case	singular																		
size	Nominative	an méid																		
size	Genitive	an mhéid																		
size	Dative	leis an méiddon mhéid																		
size	Bare formsCaseSingularPluralNominativeméidméideannaVocativea mhéida mhéideannaGenitiveméideméideannaDativeméidméideanna	case	singular	plural	Nominative	méid	méideanna	Vocative	a mhéid	a mhéideanna	Genitive	méide	méideanna	Dative	méid	méideanna	Forms with the definite articleCaseSingularPluralNominativean mhéidna méideannaGenitivena méidena méideannaDativeleis an méiddon mhéidleis na méideanna	case	singular	plural	Nominative	an mhéid	na méideanna	Genitive	na méide	na méideanna	Dative	leis an méiddon mhéid	leis na méideanna
size	case	singular	plural																										
size	Nominative	méid	méideanna																										
size	Vocative	a mhéid	a mhéideanna																										
size	Genitive	méide	méideanna																										
size	Dative	méid	méideanna																										
size	case	singular	plural																										
size	Nominative	an mhéid	na méideanna																										
size	Genitive	na méide	na méideanna																										
size	Dative	leis an méiddon mhéid	leis na méideanna																										
