	code	name	latitude	longitude	genus	family	Vso	Vso2	Vom	Vson	Vson2	Vn	Vsoq	Vsow	Vsow2	Np	Nr	Ng	Nd	Nn	Na
272	chs									Other		VNeg	Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	No dominant order
273	chv	Chuvash	55.5	47.5	Turkic	Altaic	SOV		OXV	MorphNeg		[V-Neg]	No question particle	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
274	chw	Cham (Western)	12.0	105.5	Malayo-Sumbawan	Austronesian	SVO			SVONeg		VNeg	Final	Not initial interrogative phrase			Noun-Relative clause			Noun-Numeral	Noun-Adjective
275	chx									Other		NegV	Initial	Initial interrogative phrase				Noun-Genitive			Adjective-Noun
276	cic	Chichewa	-14.0	34.0	Bantu	Niger-Congo	SVO		VOX	MorphNeg		[Neg-V]	Initial	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
277	ckl	Chinook (Lower)	46.25	-123.5	Chinookan	Penutian	VOS			NegVOS		NegV		Initial interrogative phrase		Prepositions		No dominant order	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
278	cld															Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
279	cle	Chinantec (Lealao)	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	VOS		VOX	NegVOS		NegV	Initial	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
280	cln	Cholón	-8.0	-77.5	Hobitu-Cholon	Hobitu-Cholon	SOV			MorphNeg		[V-Neg]				Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
281	cme	Cham (Eastern)	11.3333333333	108.5	Malayo-Sumbawan	Austronesian	SVO											Noun-Genitive	Noun-Demonstrative		Noun-Adjective
282	cmh	Chemehuevi	34.3333333333	-115.166666667	Northern Uto-Aztecan	Uto-Aztecan	No dominant order		No dominant order			OptDoubleNeg	Second position	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Mixed	Numeral-Noun	No dominant order
283	cml	Camling	27.0	86.6666666667	Himalayish	Sino-Tibetan	SOV			ObligDoubleNeg		ObligDoubleNeg	No question particle	Not initial interrogative phrase			Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	
284	cmn	Comanche	33.5	-101.5	Northern Uto-Aztecan	Uto-Aztecan	SOV			More than one position		NegV	Second position	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
285	cmr									Other		VNeg	Final	Not initial interrogative phrase		Postpositions	Internally headed	Genitive-Noun	Demonstrative before and after Noun	Noun-Numeral	Noun-Adjective
286	cmx															Prepositions		Noun-Genitive	Demonstrative prefix		
287	cmy	Chontal Maya	18.1666666667	-92.5833333333	Mayan	Mayan	SVO			SNegVO		NegV	No question particle	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative before and after Noun	Numeral-Noun	Adjective-Noun
288	cnl	Canela	-7.0	-45.0	Je Setentrional	Macro-Ge	SOV		XOV	SOVNeg		VNeg	Initial	Initial interrogative phrase		Postpositions	Mixed	Genitive-Noun	Noun-Demonstrative		Noun-Adjective
289	cnm											[V-Neg]		Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	No dominant order	Noun-Adjective
290	cnt	Cantonese	23.0	113.0	Chinese	Sino-Tibetan	SVO		XVO	SNegVO		NegV		Not initial interrogative phrase		No dominant order	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
291	coa	Coahuilteco	28.0	-100.0	Coahuiltecan	Coahuiltecan	SOV			MorphNeg		[V-Neg]	No question particle					Genitive-Noun			
292	coc	Cocama	-5.0	-74.5	Maweti-Guarani	Tupian	SVO		No dominant order	NegSVO		NegV	Second position	Initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
293	coe															Prepositions			Noun-Demonstrative		
294	coo	Coos (Hanis)	43.5	-124.166666667	Coosan	Oregon Coast	No dominant order		No dominant order			NegV	Final	Initial interrogative phrase		Postpositions	Noun-Relative clause	No dominant order	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
295	cop	Coptic	26.0	32.0	Egyptian-Coptic	Afro-Asiatic	SVO		VOX	OptDoubleNeg		OptDoubleNeg	Initial	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Mixed	Numeral-Noun	Noun-Adjective
296	cor	Cora	22.1666666667	-104.833333333	Corachol	Uto-Aztecan	VSO									Postpositions	Noun-Relative clause	No dominant order	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
297	cos									Other		NegV						No dominant order			
298	cpl	Chinantec (Palantla)	18.8333333333	-96.75	Chinantecan	Oto-Manguean	VSO		VOX	MorphNeg		[Neg-V]	No question particle	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
299	cpn	Chepang	27.6666666667	84.75	Himalayish	Sino-Tibetan	SOV			MorphNeg		[V-Neg]					Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
300	cpy	Chipaya	-18.75	-67.8333333333	Uru-Chipaya	Uru-Chipaya	SOV			NegSOV		NegV	No question particle				Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
301	cqt											[V-Neg]				Prepositions		Noun-Genitive			
302	cre	Cree (Plains)	54.0	-110.0	Algonquian	Algic	No dominant order		No dominant order	Other		NegV	Second position			No adpositions			Demonstrative-Noun		
303	crn	Cornish	50.3333333333	-5.0	Celtic	Indo-European	SVO			NegVSO	SVO, but NegVSO	NegV	Initial	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
304	cro	Crow	47.0	-108.0	Missouri River Siouan	Siouan	SOV							Not initial interrogative phrase				Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
305	crp											[V-Neg]	No question particle						Demonstrative-Noun	Numeral-Noun	Noun-Adjective
306	crt											NegV									
307	cso	Chatino (Sierra Occidental)	16.25	-97.3333333333	Zapotecan	Oto-Manguean	VSO		VOX	NegVSO		NegV	Final	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
308	cti									Other		VNeg		Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
309	ctl	Catalan	41.75	2.0	Romance	Indo-European	SVO			OptDoubleNeg		OptDoubleNeg	No question particle			Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
310	ctm	Chitimacha	29.6666666667	-91.0	Chitimacha	Chitimacha	SOV			MorphNeg		[V-Neg]	Final			Postpositions	Noun-Relative clause	Genitive-Noun		Noun-Numeral	Noun-Adjective
311	ctw	Catawba	35.5	-80.5	Catawban	Siouan	SOV									Postpositions		Genitive-Noun			Noun-Adjective
312	cua	Cua	15.25	108.5	Bahnaric	Austro-Asiatic	SVO		VOX												
313	cub	Cubeo	1.33333333333	-70.5	Tucanoan	Tucanoan	OVS			MorphNeg		[V-Neg]	No question particle	Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun		Numeral-Noun	Adjective-Noun
314	cuc	Cuica	9.0	-70.5	Timote-Cuica	Timote-Cuica	SVO									Prepositions				Numeral-Noun	No dominant order
315	cui	Cuiba	6.5	-70.0	Guahiban	Guahiban	SOV			ObligDoubleNeg		ObligDoubleNeg									Noun-Adjective
316	cup	Cupeño	33.1666666667	-116.5	Northern Uto-Aztecan	Uto-Aztecan	SOV			More than one position		NegV	No question particle	Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
317	cya	Chatino (Yaitepec)	16.25	-97.25	Zapotecan	Oto-Manguean	VSO			NegVSO		NegV		Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
318	cyv	Cayuvava	-13.5	-65.5	Cayuvava	Cayuvava	VOS			MorphNeg		[Neg-V]				Prepositions		Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
319	cze	Czech	50.0	15.0	Slavic	Indo-European	SVO			MorphNeg		[Neg-V]	No question particle	Not initial interrogative phrase	Vso	Prepositions	Noun-Relative clause	No dominant order	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
320	dag	Daga	-10.0	149.333333333	Dagan	Trans-New Guinea	SOV			SONegV		NegV		Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
321	dam	Damana	11.0	-73.5	Arhuacic	Chibchan	No dominant order	SOV or SVO	No dominant order											Numeral-Noun	
322	dan	Dan	7.5	-8.0	Eastern Mande	Mande	SOV			Other		NegV	Final	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
323	daw	Dâw	-0.25	-67.0833333333	Nadahup	Nadahup	SOV							Initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
324	day	Day	8.75	17.8333333333	Day	Niger-Congo	SVO										Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
325	ddj	Dadjriwalé	5.25	-5.66666666667	Kru	Niger-Congo	No dominant order	SOV or SVO	No dominant order								Noun-Relative clause		Noun-Demonstrative		Noun-Adjective
326	dds	Donno So	14.3333333333	-3.58333333333	Dogon	Dogon	SOV			MorphNeg		[V-Neg]	Final			Postpositions	Internally headed	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
327	deg	Degema	4.75	6.75	Edoid	Niger-Congo	SVO			ObligDoubleNeg		ObligDoubleNeg					Noun-Relative clause		Noun-Demonstrative	Noun-Numeral	No dominant order
328	der	Dla (Proper)	-3.58333333333	141.0	Senagi	Senagi	SOV									Postpositions		Genitive-Noun	Mixed	Numeral-Noun	No dominant order
329	des	Desano	0.833333333333	-69.8333333333	Tucanoan	Tucanoan	SOV			MorphNeg		[V-Neg]	No question particle	Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	No dominant order	Adjective-Noun
330	deu	Deuri	26.0	90.25	Brahmaputran	Sino-Tibetan	SOV			MorphNeg		[V-Neg]	No question particle							No dominant order	Adjective-Noun
331	dga	Dagaare	10.5	-2.66666666667	Oti-Volta	Niger-Congo	SVO			SNegVO		NegV				Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
332	dgb	Dagbani	9.58333333333	-0.5	Oti-Volta	Niger-Congo	SVO			SNegVO		NegV		Initial interrogative phrase		Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
333	dgo	Dongo	3.0	30.0	Ubangi	Niger-Congo	No dominant order	SOV or SVO	No dominant order	More than one position	SVO/SOV, but SVONeg	VNeg						Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
334	dgr	Dagur	48.0	124.0	Mongolic	Altaic	SOV			Other		NegV	Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
335	dha	Dhaasanac	4.66666666667	36.3333333333	Lowland East Cushitic	Afro-Asiatic	SOV		OXV	ObligDoubleNeg		ObligDoubleNeg	No question particle	Not initial interrogative phrase				Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
336	dhb	Dharumbal	-22.75	150.5	Northern Pama-Nyungan	Pama-Nyungan	SOV							Initial interrogative phrase				Genitive-Noun			
337	dhi											[Neg-V]	Final				Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
338	dhm	Dhimal	26.6666666667	87.75	Dhimalic	Sino-Tibetan	SOV			MorphNeg		[Neg-V]				Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
339	dhr	Dhargari	-23.75	114.916666667	Western Pama-Nyungan	Pama-Nyungan	No dominant order		No dominant order							No adpositions			Mixed		
340	dhw											NegV									
341	did	Didinga	4.5	33.5	South Surmic	Eastern Sudanic	VSO			NegVSO		NegV				Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
342	die	Diegueño (Mesa Grande)	32.6666666667	-116.166666667	Yuman	Hokan	SOV			SOVNeg		VNeg	No question particle			Postpositions	Internally headed	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Only internally-headed relative clauses
343	dig	Digaro	28.4166666667	96.0	Digaroan	Sino-Tibetan	SOV		XOV	MorphNeg		[V-Neg]				Postpositions	Relative clause-Noun	Genitive-Noun		Noun-Numeral	Noun-Adjective
344	dim	Dime	6.16666666667	36.25	South Omotic	Afro-Asiatic	SOV			MorphNeg		[V-Neg]	No question particle			Postpositions			Noun-Demonstrative	Noun-Numeral	Noun-Adjective
345	din	Dinka	8.5	28.0	Western Nilotic	Eastern Sudanic	No dominant order	SOV or SVO	No dominant order	SNegOV	SVO/SOV, but SNegOV	NegV	No question particle	Not initial interrogative phrase		No dominant order	Noun-Relative clause	Noun-Genitive	Demonstrative suffix	Noun-Numeral	Noun-Adjective
346	dio	Diola-Fogny	13.0	-16.25	Jola	Niger-Congo	SVO			MorphNeg		[V-Neg]	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
347	diy	Diyari	-28.0	139.0	Central Pama-Nyungan	Pama-Nyungan	SOV		OVX			NegV	No question particle	Initial interrogative phrase			Adjoined	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
348	dja	Djabugay	-16.75	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	SOV			Other		NegV		Not initial interrogative phrase					Mixed		
349	dji	Djingili	-17.75	134.0	Djingili	Mirndi	SOV			SONegV		NegV	Initial	Initial interrogative phrase		Postpositions		Noun-Genitive			Noun-Adjective
350	djm	Djambarrpuyngu	-12.1666666667	135.5	Western Pama-Nyungan	Pama-Nyungan	No dominant order		No dominant order			NegV	No question particle	Not initial interrogative phrase			Noun-Relative clause	No dominant order	Demonstrative-Noun		No dominant order
351	djn	Djinang	-12.3333333333	134.833333333	Western Pama-Nyungan	Pama-Nyungan	No dominant order		No dominant order	Other		NegV						Genitive-Noun	Demonstrative-Noun		Noun-Adjective
352	djp	Djapu	-12.6666666667	136.0	Western Pama-Nyungan	Pama-Nyungan	SOV		OVX	NegSOV		NegV	Initial					No dominant order	Demonstrative-Noun	No dominant order	
353	djr	Djaru	-18.75	128.0	Western Pama-Nyungan	Pama-Nyungan	No dominant order		No dominant order					Initial interrogative phrase					Demonstrative-Noun		No dominant order
354	dlm												No question particle	Not initial interrogative phrase		Postpositions	Mixed	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	No dominant order
355	dma	Duma	-0.95	13.0	Bantu	Niger-Congo	SVO			OptDoubleNeg		OptDoubleNeg							Noun-Demonstrative	Noun-Numeral	Noun-Adjective
356	dmi									MorphNeg		Type 3 / Type 4		Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	No dominant order	Adjective-Noun
357	dmk									Other		NegV	Final	Not initial interrogative phrase		Postpositions					Adjective-Noun
358	dms									MorphNeg		[V-Neg]		Not initial interrogative phrase		Postpositions	Relative clause-Noun		Demonstrative-Noun	Noun-Numeral	Noun-Adjective
359	dng															Prepositions			Noun-Demonstrative		
360	dni	Dani (Lower Grand Valley)	-4.33333333333	138.833333333	Dani	Trans-New Guinea	SOV			SOVNeg		VNeg	No question particle			Postpositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative		
361	dok	Bwele	3.216666667	19.28333333	Bantu	Niger-Congo	SVO									Prepositions			Noun-Demonstrative		
362	dom	Domari	32.0	35.0	Indic	Indo-European	No dominant order			Other		OptDoubleNeg				Prepositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
363	don	Dong (Southern)	27.0	109.0	Kam-Tai	Tai-Kadai	SVO						Final	Not initial interrogative phrase		Prepositions			Noun-Demonstrative	Numeral-Noun	Noun-Adjective
364	doy	Doyayo	8.66666666667	13.0833333333	Samba-Duru	Niger-Congo	SVO			ObligDoubleNeg		OptTripleNeg&ObligDoubleNeg	Final	Not initial interrogative phrase		No dominant order	Noun-Relative clause	Genitive-Noun		Noun-Numeral	Noun-Adjective
365	dre	Drehu	-21.0	167.25	Oceanic	Austronesian	No dominant order	SVO or VOS		More than one position		NegV	Initial	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
366	drg	Dargwa	42.25	47.4166666667	Dargwic	Nakh-Daghestanian	SOV									Postpositions	Relative clause-Noun	Genitive-Noun		Numeral-Noun	Adjective-Noun
367	drm	Darma	30.0	79.75	Bodic	Sino-Tibetan	SOV		XOV	MorphNeg		[Neg-V]	Initial	Not initial interrogative phrase		Postpositions	Mixed	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
368	dsh	Danish	56.0	10.0	Germanic	Indo-European	SVO		VOX	More than one position		Type 1 / Type 2	No question particle	Initial interrogative phrase	Vsom	Prepositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
369	dua	Duala	4.0	9.41666666667	Bantu	Niger-Congo	SVO			SNegVO		NegV						Noun-Genitive	Demonstrative-Noun		Noun-Adjective
370	duk	Duka	11.1666666667	5.08333333333	Central Kainji	Niger-Congo	SVO		VOX	SVONeg		VNeg	Final	Mixed		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
371	dul									MorphNeg		[Neg-V]	Final	Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Noun-Numeral	No dominant order
372	dum	Dumo	-2.68333333333	141.3	Western Skou	Skou	SOV		OVX	SOVNeg		VNeg	Final	Not initial interrogative phrase				Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
373	dun	Duna	-5.5	142.5	Duna	Duna-Bogaya	SOV			ObligDoubleNeg		OptDoubleNeg	Final	Not initial interrogative phrase		Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
374	dut	Dutch	52.5	6.0	Germanic	Indo-European	No dominant order	SOV or SVO	No dominant order	More than one position		Type 1 / Type 2	No question particle		Vsom	Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
375	dyi	Dyirbal	-17.8333333333	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	No dominant order		No dominant order	Other		NegV	Second position	Not initial interrogative phrase		No adpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
376	ebi	Ebira	8.16666666667	7.0	Nupoid	Niger-Congo	SVO			SNegVO		NegV	In either of two positions								
377	edo	Edolo	-6.16666666667	142.666666667	Bosavi	Trans-New Guinea	SOV									Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
378	efi											[V-Neg]	Initial	Not initial interrogative phrase			Noun-Relative clause		Noun-Demonstrative	Noun-Numeral	
379	ega	Ega	5.5	-5.5	Ega	Niger-Congo	SVO		VOX	SVONeg		VNeg	Final					Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
380	egn	Engenni	5.16666666667	6.38333333333	Edoid	Niger-Congo	SVO		VOX	MorphNeg		Negative Tone	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
381	eip	Eipo	-4.33333333333	140.083333333	Mek	Trans-New Guinea	SOV			More than one position		Type 1 / Type 2	No question particle	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Mixed	Noun-Numeral	Adjective-Noun
382	eka	Ekari	-3.83333333333	135.5	Paniai Lakes	Trans-New Guinea	SOV			More than one position		Type 1 / Type 2								Noun-Numeral	
383	eko	Ekoti	-16.5	39.5	Bantu	Niger-Congo	SVO			MorphNeg		ObligDoubleNeg									
384	els																				Noun-Adjective
385	emb									MorphNeg		[V-Neg]	No question particle			Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
386	eme	Émérillon	3.16666666667	-52.4166666667	Maweti-Guarani	Tupian	SOV		No dominant order	ObligDoubleNeg		ObligDoubleNeg	Second position	Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
387	emm	Emmi	-13.5	130.0	Wagaydy	Western Daly	No dominant order		No dominant order					Initial interrogative phrase		Postpositions				Noun-Numeral	Noun-Adjective
388	ene	Enets	67.5	86.5	Samoyedic	Uralic	SOV		XOV	Other		NegV	No question particle			Postpositions					Adjective-Noun
389	eng	English	52.0	0.0	Germanic	Indo-European	SVO		VOX	SNegVO		NegV	No question particle	Initial interrogative phrase	qsnVom	Prepositions	Noun-Relative clause	No dominant order	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
390	eno	Enggano	-5.41666666667	102.25	Enggano	Austronesian	SVO			Other		NegV	No question particle	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	No dominant order	Noun-Adjective
391	eny											[Neg-V]									
392	epe	Epena Pedee	3.0	-77.0	Choco	Choco	SOV		OVX	MorphNeg		[V-Neg]	No question particle	Initial interrogative phrase		Postpositions	Internally headed	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
393	erk	Efate (South)	-17.75	168.416666667	Oceanic	Austronesian	SVO			ObligDoubleNeg		ObligDoubleNeg	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
394	err	Erromangan	-18.8333333333	169.166666667	Oceanic	Austronesian	SVO			MorphNeg		[Neg-V]	Initial	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
395	ese	Ese Ejja	-11.0	-66.0	Tacanan	Pano-Tacanan	SOV			SOVNeg		VNeg	Initial	Initial interrogative phrase		Postpositions		Genitive-Noun			Noun-Adjective
396	esm															Prepositions		Noun-Genitive			No dominant order
397	ess																				Adjective-Noun
398	est	Estonian	59.0	26.0	Finnic	Uralic	SVO		VOX	SNegVO		NegV	In either of two positions	Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
399	eud	Eudeve	29.1666666667	-109.666666667	Opata-Eudeve	Uto-Aztecan	SOV			Other		NegV	Initial	Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun		
400	eve	Evenki	56.0	125.0	Tungusic	Altaic	SOV			ObligDoubleNeg		ObligDoubleNeg	Final	Initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
401	evn	Even	68.0	130.0	Tungusic	Altaic	SOV			ObligDoubleNeg		ObligDoubleNeg				Postpositions	Relative clause-Noun				Adjective-Noun
402	ewe	Ewe	6.33333333333	0.416666666667	Gbe	Niger-Congo	SVO			ObligDoubleNeg		ObligDoubleNeg	Final	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
403	ewo	Ewondo	4.0	12.0	Bantu	Niger-Congo	SVO			OptDoubleNeg		OptDoubleNeg	Initial	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
404	fas												No question particle			Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
405	fij	Fijian	-17.8333333333	178.0	Oceanic	Austronesian	No dominant order	VSO or VOS	No dominant order	More than one position		NegV	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
406	fin	Finnish	62.0	25.0	Finnic	Uralic	SVO		VOX	SNegVO		NegV	Second position	Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
407	foe	Foe	-6.5	143.5	Foe	Trans-New Guinea	SOV		OXV				No question particle	Not initial interrogative phrase					Noun-Demonstrative		Noun-Adjective
408	fon	Fongbe	6.41666666667	2.16666666667	Gbe	Niger-Congo	SVO			SNegVO		NegV				No dominant order	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
409	for	Fore	-6.75	145.5	Fore-Gimi	Trans-New Guinea	SOV									Postpositions		Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Adjective-Noun
410	fqs	Momu	-3.0	141.583333333	Baibai-Fas	Baibai-Fas	SOV									Postpositions		Genitive-Noun			
411	fre	French	48.0	2.0	Romance	Indo-European	SVO		VOX	OptDoubleNeg		OptDoubleNeg	Initial	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
412	fri	Frisian	53.0	5.0	Germanic	Indo-European	No dominant order	SOV or SVO	No dominant order				No question particle	Initial interrogative phrase	Vsom	Prepositions	Noun-Relative clause	No dominant order	Demonstrative-Noun		Adjective-Noun
413	fua	Fulfulde (Adamawa)	9.16666666667	13.5	Peul-Serer	Niger-Congo	SVO		VOX	MorphNeg		[V-Neg]	Final	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
414	ful											[V-Neg]	No question particle			Postpositions		Genitive-Noun			Noun-Adjective
415	fur	Fur	13.5	25.0	Fur	Fur	SOV			ObligDoubleNeg		ObligDoubleNeg		Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
416	fut	Futuna-Aniwa	-19.5333333333	170.216666667	Oceanic	Austronesian	SVO		VOX	SNegVO		NegV	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	No dominant order	Noun-Adjective
417	fye	Fyem	9.58333333333	9.33333333333	Benue-Congo Plateau	Niger-Congo	SVO			OptDoubleNeg		OptDoubleNeg	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
418	ga	Gã	5.66666666667	-0.166666666667	Ga-Dangme	Niger-Congo	SVO			MorphNeg		[V-Neg]						Genitive-Noun	Demonstrative-Noun		Noun-Adjective
419	gaa											NegV				Postpositions			Demonstrative-Noun	No dominant order	Noun-Adjective
420	gae	Gaelic (Scots)	57.0	-4.0	Celtic	Indo-European	VSO		VOX	NegVSO		NegV	No question particle	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
