	latitude	longitude	code	name	pattern	family	genus	Vso	Vsom	Vson	Vsoq	Vsow	Nprgdna
440	7.0	35.75	gim	Gimira		Afro-Asiatic	Ta-Ne-Omotic	soV	soV 	soVⁿ			 r  #aNa# drp
1548	6.83333333333	37.75	wly	Wolaytta		Afro-Asiatic	Ta-Ne-Omotic	soV	soV 	soVⁿ			  dg#aN      
1630	5.91666666667	37.3333333333	zay	Zayse		Afro-Asiatic	Ta-Ne-Omotic	soV	soV 	soVⁿ		wsoV	 rdg#aN      
62	9.5	9.5	anc	Angas		Afro-Asiatic	West Chadic	sVo	sVom	sVon	sVoq	sVo	p     Na#gdr 
455	8.66666666667	9.75	goe	Goemai		Afro-Asiatic	West Chadic	sVo	sVo 	sVon	sVoq	sVo	p     Na#gd  
489	12.0	7.0	hau	Hausa		Afro-Asiatic	West Chadic	sVo	sVom	snVnˀ¹o	sVoq		p d  aN #gdr 
674	10.0	12.0	knk	Kanakuru		Afro-Asiatic	West Chadic	sVo	sVom	snVnꜝ¹o	sVoq	sVo	p    aNa#gdr 
889	10.9166666667	9.66666666667	miy	Miya		Afro-Asiatic	West Chadic	sVos	sVoms	snVnꜝ¹os	sVosq		p d   Na#g r 
980	9.5	8.83333333333	mup	Mupun		Afro-Asiatic	West Chadic	sVo	sVom	snVnˀ¹o	sVoq	sVo	p     Na#gdr 
1053	12.0833333333	10.9166666667	ngz	Ngizim		Afro-Asiatic	West Chadic	sVo	sVom	sVon		sVo	p     Na#gdr 
1138	11.0	9.25	paa	Pa'a		Afro-Asiatic	West Chadic	sVo	sVom	snVnˀ¹o		sVo	p    aN #g r 
1151	9.58333333333	11.0	per	Pero		Afro-Asiatic	West Chadic	sVo	sVo 	snVnꜝ¹o	sVoq	sVo	p     Na#g r 
1226	9.0	8.75	ron	Ron		Afro-Asiatic	West Chadic	sVo	sVo 	sVon	sVoq	sVo	      N #gdr 
1360	9.75	11.3333333333	tan	Tangale		Afro-Asiatic	West Chadic	sVo	sVo 	sVⁿo			      N      
30	43.0	143.0	ain	Ainu		Ainu	Ainu	soV	soV 	sonV	soVq	soV	 rdg#aN     p
171	50.0	-112.666666667	bla	Blackfoot		Algic	Algonquian	*	* 	*		w*	 rdg#aN    r 
302	54.0	-110.0	cre	Cree (Plains)		Algic	Algonquian	*	* 	*			  d   N      
254	56.0	-90.0	cea	Cree (Swampy)		Algic	Algonquian	*	* 	*			  d   N      
972	42.5	-71.0	mtt	Massachusett		Algic	Algonquian	*	* 	*			p d   N  g   
865	45.5	-88.3333333333	men	Menomini		Algic	Algonquian	*	* 	*		w*	  dg#aNa   r 
1114	46.0	-80.0	oji	Ojibwa (Eastern)		Algic	Algonquian	Vsos	Vsos 	nV¹sos		wVsos	  dg# N    r 
1187	45.0	-67.0	psm	Passamaquoddy-Maliseet		Algic	Algonquian	*	* 	*			p d   N      
1543	40.8333333333	-124.166666667	wiy	Wiyot		Algic	Wiyot	*	* 	*		w*	p dg  Na    p
1619	41.3333333333	-124.0	yur	Yurok		Algic	Yurok	*	* 	*		*	prdg#aN    rp
63	-5.58333333333	149.083333333	ane	Anêm		Anêm	Anêm	sVo	sVo 	sVon			p  g  Na#gd  
1146	-6.0	-64.0	pau	Paumarí		Arauan	Arauan	sVo	sVo 	snVⁿo		wsVo	  dg  Na#  rp
88	-5.5	138.5	asm	Asmat		Asmat-Kamrau Bay	Asmat-Kamrau Bay	soV	soV 	soVn	soVq	soV	 rdg  Na#    
664	-4.33333333333	136.0	kmr	Kamoro		Asmat-Kamrau Bay	Asmat-Kamrau Bay	soV	soV 	soVⁿ			   g  N #g   
1305	3.0	103.0	sml	Semelai		Austro-Asiatic	Aslian	Vsos	Vsos Vom	nV¹sos		wVsos	p   # Na gdr 
1428	5.0	101.5	tmr	Temiar		Austro-Asiatic	Aslian	sVo	sVo 	snVo			p     Na  dr 
199	14.1666666667	107.5	bra	Brao		Austro-Asiatic	Bahnaric	sVo	sVo 	snVo	sVoq	sVo	p     Na#gd  
271	10.75	107.5	chr	Chrau		Austro-Asiatic	Bahnaric	sVo	sVo 	snVnˀ¹o	sVoq	wsVo	p   # Na gdr 
312	15.25	108.5	cua	Cua		Austro-Asiatic	Bahnaric	sVo	sVom	sVo			      N      
1246	15.1666666667	106.833333333	sap	Sapuan		Austro-Asiatic	Bahnaric	sVo	sVo 	snVo	sVoq	sVo	      Na     
1256	14.8333333333	108.0	sed	Sedang		Austro-Asiatic	Bahnaric	sVo	sVom	snVo		sVo	p   # Na gdr 
1328	11.5	108.0	sre	Sre		Austro-Asiatic	Bahnaric	sVo	sVo 	snVo	sVoq	sVo	p   # Na gdr 
1333	11.8333333333	106.75	sti	Stieng		Austro-Asiatic	Bahnaric	sVo	sVom	snVo	sVoq	sVo	p   # Na#gd  
628	25.5	92.0	khs	Khasi		Austro-Asiatic	Khasian	sVo	sVom	snVo		sVo	p d # Na g r 
624	12.5	105.0	khm	Khmer		Austro-Asiatic	Khmer	sVo	sVo 	snVo	sVoq	sVo	p     Na#gdr 
666	21.0	102.0	kmu	Khmu'		Austro-Asiatic	Khmuic	sVo	sVo 	snV¹o	sVoq		p     Na#gd  
906	18.5	101.0	mlm	Mlabri (Minor)		Austro-Asiatic	Khmuic	sVo	sVo 	sVo			p  g  Na  d  
934	14.8333333333	100.5	mon	Mon		Austro-Asiatic	Monic	sVo	sVo 	snVo	sVoq	sVo	p     Na#gd  
153	21.3333333333	86.5	bhu	Bhumij		Austro-Asiatic	Munda	soV	soV 	soV		soV	   g aN      
627	22.5	84.3333333333	khr	Kharia		Austro-Asiatic	Munda	*	* 	*	*q	*	 rd # N    rp
643	22.5	78.5	kku	Korku		Austro-Asiatic	Munda	soV	soV 	soV			 rdg#aN     p
979	23.0	84.6666666667	mun	Mundari		Austro-Asiatic	Munda	soV	soV 	sonV	soVq	soV	 rdg#aN     p
1334	24.5	87.0	stl	Santali		Austro-Asiatic	Munda	soV	soV 	sonV		soV	 rdg#aN    rp
1074	8.05	93.5	nnc	Nancowry		Austro-Asiatic	Nicobarese	Vsos	Vsos 	Vsos	qVsos		p d   Na g   
1022	9.0	93.0	nca	Nicobarese (Car)		Austro-Asiatic	Nicobarese	Vos	Voms	nVos			p d #aN  g   
1160	22.6666666667	96.6666666667	plg	Palaung		Austro-Asiatic	Palaungic	sVo	sVo 	snVo		sVo	p   # Na#gdr 
716	12.75	102.116666667	ksn	Kasong		Austro-Asiatic	Pearic	sVo	sVo 	snVo		sVo	      Na# d  
1515	10.5	106.5	vie	Vietnamese		Austro-Asiatic	Vietic	sVo	sVom	snVo	sVoq	sVo	p   # Na gdr 
1257	24.1666666667	121.416666667	see	Seediq		Austronesian	Atayalic	Vos	Vos 	nVos			    #aNa gdr 
999	-2.0	115.0	myn	Ma'anyan		Austronesian	Barito	sVo	sVo 	sVo			      Na#gdr 
825	-20.0	47.0	mal	Malagasy		Austronesian	Barito	Vos	Voms	nVos		wVos	p d   Na#gdꜝounr 
1369	6.16666666667	124.5	tbo	Tboli		Austronesian	Bilic	Vso	Vso 	nVso		wVso	p   # Na gdr 
914	-5.0	122.5	mna	Muna		Austronesian	Celebic	sVo	sVo 	snVo		sVo	p   # Na gdr 
1473	-5.5	123.5	tuk	Tukang Besi		Austronesian	Celebic	Vos	Vos 	nVos	Vosq		pr    Na#gdr 
1546	-5.5	122.75	wlo	Wolio		Austronesian	Celebic	Vso	Vso 	Vso			p d # Na g r 
40	-3.0	128.333333333	aln	Alune		Austronesian	Central Malayo-Polynesian	sVo	sVo 	sVon			p  g  Na# d  
232	-3.5	126.5	buu	Buru		Austronesian	Central Malayo-Polynesian	sVo	sVom	sVo			p  g  Na# dr 
796	-8.25	122.916666667	lmh	Lamaholot		Austronesian	Central Malayo-Polynesian	sVo	sVo 	sVon		sVo	p  g  Na#gdrp
779	-8.2	127.666666667	let	Leti		Austronesian	Central Malayo-Polynesian	sVo	sVo 	sⁿVo			p  g  Na# dr 
918	-8.5	120.333333333	mng	Manggarai		Austronesian	Central Malayo-Polynesian	sVo	sVom	sVo		Vso	p   # Na gdr 
1041	-8.83333333333	121.0	ngd	Ngad'a		Austronesian	Central Malayo-Polynesian	sVo	sVo 	snV¹o		sVo	p   # Na#g   
1093	-3.25	129.166666667	nua	Nuaulu		Austronesian	Central Malayo-Polynesian	sVo	sVom	sVon		sVo	p  g  Na# dr 
1161	-3.25	128.75	plh	Paulohi		Austronesian	Central Malayo-Polynesian	sVo	sVo 	snVnˀ¹o		wsVo	p  g  Na# dr 
1469	-9.0	126.0	ttn	Tetun		Austronesian	Central Malayo-Polynesian	sVo	sVom	snVo	sVoq	sVo	p  g  Na# dr 
1467	-8.58333333333	125.583333333	ttd	Tetun Dili		Austronesian	Central Malayo-Polynesian	sVo	sVo 	sVo			p  g  Na# dr 
1388	-7.71666666667	126.75	tgn	Tugun		Austronesian	Central Malayo-Polynesian	sVo	sVo 	sVo			   g  Na# dr 
258	13.45	144.75	cha	Chamorro		Austronesian	Chamorro	Vso	Vso 	nVso	qVso		p d #aN  g r 
49	23.3333333333	121.333333333	ami	Amis		Austronesian	East Formosan	Vsos	Vsos 	Vsos			prd #aN  g   
390	-5.41666666667	102.25	eno	Enggano		Austronesian	Enggano	sVo	sVo 	snV¹o		wsVo	p   # Na#gdr 
25	17.9666666667	121.833333333	agc	Agta (Central)		Austronesian	Greater Central Philippine	Vso	Vso 	nVso	qVso	wVso	p   #aN  gᵈ  
26	18.0	122.083333333	agd	Agta (Dupaningan)		Austronesian	Greater Central Philippine	Vso	Vso 	nVso		wVso	  d #aN  gd  
255	10.0	124.0	ceb	Cebuano		Austronesian	Greater Central Philippine	Vso	Vso 	Vso			p     N  g r 
499	10.25	123.0	hil	Hiligaynon		Austronesian	Greater Central Philippine	Vso	Vso 	nVso			p d #aNa g   
911	9.41666666667	125.5	mmn	Mamanwa		Austronesian	Greater Central Philippine	Vso	Vsom	nVso		wVso	p d #aNa g r 
985	7.66666666667	124.75	mwb	Manobo (Western Bukidnon)		Austronesian	Greater Central Philippine	Vso	Vso 	nVso		wVso	p d  aN  g   
1353	15.0	121.0	tag	Tagalog		Austronesian	Greater Central Philippine	Vso	Vso 	nVso		wVso	  d #aNa gdr 
799	-5.0	105.0	lmp	Lampung		Austronesian	Lampungic	sVo	sVom	sⁿVo	qsVo	sVo	p   # Na gdr 
9	5.5	95.5	ace	Acehnese		Austronesian	Malayo-Sumbawan	*	* 	*			p   # Na gdr 
281	11.3333333333	108.5	cme	Cham (Eastern)		Austronesian	Malayo-Sumbawan	sVo	sVo 	sVo			      Na gd  
274	12.0	105.5	chw	Cham (Western)		Austronesian	Malayo-Sumbawan	sVo	sVo 	sVon	sVoq	sVo	      Na#  r 
528	2.0	112.0	iba	Iban		Austronesian	Malayo-Sumbawan	sVo	sVom	snV¹o	qsVo		p   # Na gdr 
547	0.0	106.0	ind	Indonesian		Austronesian	Malayo-Sumbawan	sVo	sVom	snVo			p   # Na gdr 
857	1.5	124.833333333	mds	Manadonese		Austronesian	Malayo-Sumbawan	sVo	sVo 	sVo		wsVo	p d # Na   r 
886	-1.0	101.0	min	Minangkabau		Austronesian	Malayo-Sumbawan	*	* 	*			p   # Na gdr 
1342	-7.0	107.0	sun	Sundanese		Austronesian	Malayo-Sumbawan	sVo	sVo 	snVo	qsVo	sVo	p   # Na gdr 
1503	8.0	98.3333333333	url	Urak Lawoi'		Austronesian	Malayo-Sumbawan	sVo	sVo 	snVo	sVoq		p   # Na#gdr 
1437	1.25	125.0	tno	Tondano		Austronesian	Minahasan	*	* 	*		w*	p   # Na#gdr 
151	7.25	117.166666667	bgz	Banggi		Austronesian	North Borneo	sVo	sVo 	sVo		wsVo	      N      
606	5.91666666667	117.166666667	kdz	Kadazan		Austronesian	North Borneo	Vso	Vso 	nVso		wVso	p d # Na gd  
1404	5.0	116.0	tim	Timugon		Austronesian	North Borneo	Vso	Vso 	nVso			p   # Na gdr 
219	17.0833333333	120.916666667	btk	Bontok		Austronesian	Northern Luzon	sVso	sVso 	snV¹so	qsVso	wsVso	p   #aNa g r 
544	16.0	121.0	ilo	Ilocano		Austronesian	Northern Luzon	Vso	Vso 	Vso		wVso	p d  aN      
1167	15.9166666667	120.333333333	pnn	Pangasinan		Austronesian	Northern Luzon	Vso	Vso 	nVso		wVso	p   #aNa g   
168	3.25	98.25	bkr	Batak (Karo)		Austronesian	Northwest Sumatra-Barrier Islands	sVso	sVsom	snV¹so		wsVso	p   # Na gdr 
220	2.5	99.0	bto	Batak (Toba)		Austronesian	Northwest Sumatra-Barrier Islands	Vos	Voms	nVos		Vos	p   # Na#gdr 
1059	1.0	97.75	nia	Nias		Austronesian	Northwest Sumatra-Barrier Islands	Vos	Vos 	nVos	qVos	wVos	p   # Na#gdr 
21	-6.25	146.25	adz	Adzera		Austronesian	Oceanic	sVo	sVom	snVnˀ¹o		sVo	p  g  Na# dr 
39	-8.91666666667	146.75	all	Ala'ala		Austronesian	Oceanic	soV	soV 	sonV¹	qsoV	soV	p  g  Na# drp
44	-5.66666666667	148.5	ama	Amara		Austronesian	Oceanic	sVo	sVom	sVo			p     Na# d  
51	-15.4166666667	167.883333333	aml	Ambae (Lolovoli Northeast)		Austronesian	Oceanic	sVo	sVom	snVnꜝ¹o		sVo	p     Na#gdr 
66	-20.2	169.8	anj	Anejom		Austronesian	Oceanic	Vos	Voms	nVos	Vosq	Vos	p     Na#gdr 
81	-6.71666666667	147.0	ari	Aribwatsa		Austronesian	Oceanic	sVo	sVo 	sVo			   g  N      
38	-5.38333333333	147.05	alk	Arop-Lokep		Austronesian	Oceanic	sVo	sVo 	sVon		sVo	p  g  Na#gdr 
84	-10.25	161.333333333	aro	Arosi		Austronesian	Oceanic	sVo	sVom	snVo	sVoq	sVo	p   # Na gdr 
111	-10.3333333333	166.25	ayw	Ayiwo		Austronesian	Oceanic	sVo	sVo 	sVo			p     Na gd  
235	-4.9	149.116666667	bvi	Bali-Vitu		Austronesian	Oceanic	sVo	sVo 	snVo			p     Na#gdr 
187	-6.41666666667	155.25	bnn	Banoni		Austronesian	Oceanic	sVo	sVo 	snVo			p d   Na#g   
227	-11.6333333333	166.833333333	bum	Buma		Austronesian	Oceanic	sVo	sVo 	sVon		sVo	p     Na#gdr 
256	-20.8333333333	165.166666667	cem	Cèmuhî		Austronesian	Oceanic	Vos	Voms	nVos	qVos		p     Na#gdr 
365	-21.0	167.25	dre	Drehu		Austronesian	Oceanic	sVos	sVos 	snV¹os	qsVos	sVos	p   # Na gdr 
393	-17.75	168.416666667	erk	Efate (South)		Austronesian	Oceanic	sVo	sVo 	snVnꜝ¹o		sVo	p     Na#gdr 
394	-18.8333333333	169.166666667	err	Erromangan		Austronesian	Oceanic	sVo	sVo 	sⁿVo	qsVo	sVo	p     Na#gdr 
405	-17.8333333333	178.0	fij	Fijian		Austronesian	Oceanic	Vsos	Vsos 	nV¹sos		Vsos	p   # Na gdr 
416	-19.5333333333	170.216666667	fut	Futuna-Aniwa		Austronesian	Oceanic	sVo	sVom	snVo	sVoq	sVo	p   # Na#gdr 
425	-9.75	149.833333333	gap	Gapapaiwa		Austronesian	Oceanic	soV	soV 	sonV	soVq	soV	   g  N #  rp
432	-9.08333333333	160.25	gel	Gela		Austronesian	Oceanic	Vos	Vos 	nVos	Vosq		p   # Na gdr 
448	-9.25	150.833333333	gmw	Gumawana		Austronesian	Oceanic	soV	soVm	sonV		soV	 r g  Na# drp
484	-5.25	154.666666667	hal	Halia		Austronesian	Oceanic	sVo	sVo 	snVnꜝ¹o			p   # Na gdr 
490	19.5833333333	-155.5	haw	Hawaiian		Austronesian	Oceanic	Vso	Vso 	nVso		Vso	p d # Na g r 
510	-8.08333333333	157.5	hoa	Hoava		Austronesian	Oceanic	Vso	Vso 	nVso		Vso	p   # Na gdr 
525	-20.4166666667	166.583333333	iaa	Iaai		Austronesian	Oceanic	sVo	sVom	snVo	qsVo	wsVo	p   #aN  gdr 
530	-9.33333333333	150.25	idn	Iduna		Austronesian	Oceanic	soV	soV 	sonV			  dg  Na#  rp
990	-17.75	168.25	mxe	Ifira-Mele		Austronesian	Oceanic	sVo	sVo 	snVnˀ¹o			   g  Na#gdr 
564	-6.58333333333	147.783333333	jab	Jabêm		Austronesian	Oceanic	sVo	sVo 	sVon	sVoq	sVo	p  g  Na# drp
708	-3.33333333333	143.583333333	krr	Kairiru		Austronesian	Oceanic	soV	soVm	soVn		soV	p     Na#gdrp
595	-6.16666666667	149.666666667	kau	Kaulong		Austronesian	Oceanic	sVo	sVo 	sVn¹o	sVoq	sVo	p  g  Na#gdr 
607	-2.08333333333	147.083333333	kel	Kele		Austronesian	Oceanic	sVo	sVo 	sVon	sVoq	sVo	p     Na#gdr 
653	-8.5	151.083333333	klv	Kilivila		Austronesian	Oceanic	sVos	sVos 	snV¹os		wsVos	p  g# Na  dr 
698	1.33333333333	173.0	krb	Kiribati		Austronesian	Oceanic	Vos	Voms	nVos		Vos	p   # Na gdr 
642	-8.0	159.133333333	kkt	Kokota		Austronesian	Oceanic	Vso	Vso 	nVso		Vso	p d # Na g r 
691	5.3	163.0	kos	Kosraean		Austronesian	Oceanic	sVo	sVom	snVo	qsVo	sVo	p     Na#gdr 
732	-8.95	161.0	kwa	Kwaio		Austronesian	Oceanic	sVo	sVom	snVo			p   # Na  d  
754	-6.75	146.916666667	lab	Labu		Austronesian	Oceanic	sVo	sVo 	sVon		sVo	p  g  Na# dr 
800	-16.5833333333	168.166666667	lmu	Lamen		Austronesian	Oceanic	sVo	sVo 	snVnꜝ¹o			     aNa#g r 
776	-19.45	169.25	len	Lenakel		Austronesian	Oceanic	sVo	sVom	snVnꜝ¹o	sVoq	sVo	p     Na#gdr 
780	-16.75	168.333333333	lew	Lewo		Austronesian	Oceanic	sVo	sVom	snVnˀ¹o	sVoq	sVo	p     Na#gdr 
784	-9.75	160.666666667	lgu	Longgu		Austronesian	Oceanic	Vos	Vos 	nVos			p   # Na gdr 
803	-2.06666666667	147.333333333	lon	Loniu		Austronesian	Oceanic	sVo	sVom	sVon		sVo	p     Na#gdr 
805	-2.38333333333	147.316666667	lou	Lou		Austronesian	Oceanic	sVo	sVo 	snVnꜝ¹o			p     Na gd  
644	-5.58333333333	149.666666667	kkv	Lusi		Austronesian	Oceanic	sVo	sVo 	sVon		sVo	p  g  Na# d  
820	-16.0	167.25	mae	Mae		Austronesian	Oceanic	sVo	sVo 	snVo	sVoq		p     Na#gd  
966	-9.5	149.166666667	msn	Maisin		Austronesian	Oceanic	soV	soV 	sonVnꜝ¹	soVq		   g  Na  d⁵p
907	-5.71666666667	148.416666667	mlu	Maleu		Austronesian	Oceanic	sVo	sVom	sVon			p  g  Na#gdr 
920	-4.0	145.0	mnm	Manam		Austronesian	Oceanic	soV	soV 	sonV		soV	      Na#gdrp
908	-5.66666666667	148.083333333	mmb	Mangap-Mbula		Austronesian	Oceanic	sVo	sVom	sVon	sVoq		p  g  Na gdr 
828	-40.0	176.0	mao	Maori		Austronesian	Oceanic	Vso	Vsom	nsVo		Vso	p d   Na#gdr 
955	-8.91666666667	-140.083333333	mrq	Marquesan		Austronesian	Oceanic	Vso	Vso 	nsVo	qVso		p d # Na gdr 
924	-9.6	150.466666667	mnv	Minaveha		Austronesian	Oceanic	soV	soV 	soV			   g  Na# ᵈ p
932	6.66666666667	159.75	mok	Mokilese		Austronesian	Oceanic	sVo	sVo 	snVo	qsVo	wsVo	p  g  Na#gdr 
927	-7.05	155.75	moa	Mono-Alu		Austronesian	Oceanic	*	* 	*			p dg# Na#g rp
973	-9.33333333333	147.0	mtu	Motu		Austronesian	Oceanic	soV	soV 	sonVn¹	soVq	soV	   g  Na    p
965	-6.58333333333	147.0	msm	Musom		Austronesian	Oceanic	sVo	sVo 	sVn¹o			p     Na# dr 
982	-1.45	149.616666667	mus	Mussau		Austronesian	Oceanic	sVo	sVom	snVo	sVoq	sVo	p   #aN  gdr 
987	-13.5833333333	167.583333333	mwo	Mwotlap		Austronesian	Oceanic	sVo	sVo 	snVnꜝ¹o			      Na# dr 
