direct		perfect		participle	feminine	ᾰ̓γηοχυῖᾰ	ᾰ̓γηοχυῖᾰ	ᾰ̓γηοχυῖᾰ	ᾰ̓γηοχυῖᾰ				
direct		perfect		participle	neuter	ᾰ̓γηοχός	ᾰ̓γηοχός	ᾰ̓γηοχός	ᾰ̓γηοχός				
direct		perfect		infinitive	infinitive	ᾰ̓γεωχέναι	ᾰ̓γεωχέναι	ᾰ̓γεωχέναι	ᾰ̓γεωχέναι				
direct		perfect		participle	masculine	ᾰ̓γεωχώς	ᾰ̓γεωχώς	ᾰ̓γεωχώς	ᾰ̓γεωχώς				
direct		perfect		participle	feminine	ᾰ̓γεωχυῖᾰ	ᾰ̓γεωχυῖᾰ	ᾰ̓γεωχυῖᾰ	ᾰ̓γεωχυῖᾰ				
direct		perfect		participle	neuter	ᾰ̓γεωχός	ᾰ̓γεωχός	ᾰ̓γεωχός	ᾰ̓γεωχός				
displease		present		infinitive	infinitive	ἀπᾰρέσκειν	ἀπᾰρέσκειν	ἀπᾰρέσκειν	ἀπᾰρέσκειν	ἀπᾰρέσκεσθαι	ἀπᾰρέσκεσθαι	ἀπᾰρέσκεσθαι	ἀπᾰρέσκεσθαι
displease		present		participle	masculine	ἀπᾰρέσκων	ἀπᾰρέσκων	ἀπᾰρέσκων	ἀπᾰρέσκων	ἀπᾰρεσκόμενος	ἀπᾰρεσκόμενος	ἀπᾰρεσκόμενος	ἀπᾰρεσκόμενος
displease		present		participle	feminine	ἀπᾰρέσκουσᾰ	ἀπᾰρέσκουσᾰ	ἀπᾰρέσκουσᾰ	ἀπᾰρέσκουσᾰ	ἀπᾰρεσκομένη	ἀπᾰρεσκομένη	ἀπᾰρεσκομένη	ἀπᾰρεσκομένη
displease		present		participle	neuter	ἀπᾰρέσκον	ἀπᾰρέσκον	ἀπᾰρέσκον	ἀπᾰρέσκον	ἀπᾰρεσκόμενον	ἀπᾰρεσκόμενον	ἀπᾰρεσκόμενον	ἀπᾰρεσκόμενον
displease		future		infinitive	infinitive	ἀπᾰρέσειν	ἀπᾰρέσειν	ἀπᾰρέσειν	ἀπᾰρέσεσθαι	ἀπᾰρέσεσθαι	ἀπᾰρεσθήσεσθαι	ἀπᾰρεσθήσεσθαι	ἀπᾰρεσθήσεσθαι
displease		future		participle	masculine	ἀπᾰρέσων	ἀπᾰρέσων	ἀπᾰρέσων	ἀπᾰρεσόμενος	ἀπᾰρεσόμενος	ἀπᾰρεσθησόμενος	ἀπᾰρεσθησόμενος	ἀπᾰρεσθησόμενος
displease		future		participle	feminine	ἀπᾰρέσουσᾰ	ἀπᾰρέσουσᾰ	ἀπᾰρέσουσᾰ	ἀπᾰρεσομένη	ἀπᾰρεσομένη	ἀπᾰρεσθησομένη	ἀπᾰρεσθησομένη	ἀπᾰρεσθησομένη
displease		future		participle	neuter	ἀπᾰρέσον	ἀπᾰρέσον	ἀπᾰρέσον	ἀπᾰρεσόμενον	ἀπᾰρεσόμενον	ἀπᾰρεσθησόμενον	ἀπᾰρεσθησόμενον	ἀπᾰρεσθησόμενον
displease		aorist		infinitive	infinitive	ἀπᾰρέσαι	ἀπᾰρέσαι	ἀπᾰρέσαι	ἀπᾰρέσᾰσθαι	ἀπᾰρέσᾰσθαι	ἀπᾰρεσθῆναι	ἀπᾰρεσθῆναι	ἀπᾰρεσθῆναι
displease		aorist		participle	masculine	ἀπᾰρέσᾱς	ἀπᾰρέσᾱς	ἀπᾰρέσᾱς	ἀπᾰρεσᾰ́μενος	ἀπᾰρεσᾰ́μενος	ἀπᾰρεσθείς	ἀπᾰρεσθείς	ἀπᾰρεσθείς
