	Id	English	Part	hieroglyphics	transcription	
232	12-440	far	adjective	𓍯𓄿𓈐	wꜣ	
233	12-450	east	adjective	𓅱𓃀𓈖𓏌𓅱𓇳	wbnw	
234	12-460	west	adjective	𓋀𓏏𓏭𓈉	jmnty	
235	12-470	north	adjective	𓎔𓏏𓏭𓈇	mḥty	
236	12-480	south	adjective	𓇔𓏭𓈇	rsy	
237	12-50	inside|in	adposition	𓄚𓈖𓏌𓅱𓉐	ẖnw	
238	12-530	grow	verb	𓐝𓂝𓍑𓄿𓉻𓏛𓌽𓏥	mḏꜥ	
239	12-540	measure	verb	𓋴𓍿𓈖𓀾𓏛	stn	
240	12-541	span|fathom	noun			
241	12-550	large|big	adjective	𓉻𓂝𓄿𓏛	ꜥꜣ	
242	12-560	small|little	adjective	𓈖𓆓𓋴𓅪	nḏs	
243	12-570	long (spatially)	adjective	𓄫𓅱𓏛	ꜣw	
244	12-580	tall (spatially)	adjective	𓈎𓄿𓀠	qꜣj	
245	12-590	short (spatially)	adjective	𓎛𓅱𓂝𓅪	ḥwꜥ	
246	12-60	outside	adjective	𓂋𓅱𓏏O32D	rwty	
247	12-610	wide|broad	adjective	𓅱𓋴𓐍𓎺𓏛	wsḫ	
248	12-620	narrow	adjective	𓎛𓆰𓈖𓋴𓅪	ḥns	
249	12-630	thick	adjective	𓅱𓂸𓏏𓏛	wmt	
250	12-650	thin	adjective	M156	šmꜥ	
251	12-670	deep	adjective	𓎓𓈗	mḏ	
252	12-680	shallow	adjective			
253	12-70	under	adposition	𓌨𓂋	ẖr	
254	12-710	flat	adjective			
255	12-730	straight	adjective	𓂸𓏏𓌙𓌙𓏛	mt	
256	12-740	crooked	adjective	𓆞𓄿𓃀𓌳𓂢	ẖꜣb	
257	12-750	hook	noun	𓆞𓄿𓏲𓇋𓆱𓏥	ẖꜣww	
258	12-760	corner	verb	𓈎𓂝𓎛𓂢𓈇	qꜥḥ	
259	12-770	cross	noun			
260	12-780	square	noun			
261	12-80	up above	adposition	𓂋𓁷𓂋𓅱𓇯	r ḥrw	
262	12-810	round	adjective			
263	12-820	circle	noun			
264	12-830	sphere|ball	noun	𓎛𓅓𓄿Y24	ḥmꜣ	
265	12-840	line	noun	𓅓𓂝𓆼𓄿𓏲	mḫꜣ	
266	12-850	hole	noun	𓏏𓊪𓎛𓏏𓉐	tpḥt	
267	12-920	like|similar	adposition	𓏇𓇋𓂋𓏤𓂝𓏤	mj r ꜥ	
268	12-930	change	verb	𓈙𓃀𓏌𓏲𓏴𓍘	šb	
269	13-0	zero|nothing	numeral	𓄤	nfr	
270	13-10	one	numeral	𓏏𓅱	tw	
271	13-100	ten	numeral	𓎆	mḏ	
272	13-101	eleven	numeral			
