appear	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)
eat	active	imperfect	ēdēbam	ēdēbās	ēdēbat	ēdēbāmus	ēdēbātis	ēdēbant
eat	active	future	ēdam	ēdēs	ēdet	ēdēmus	ēdētis	ēdent
eat	active	perfect	ēdidī	ēdidistī	ēdidit	ēdidimus	ēdidistis	ēdidērunt, ēdidēre
eat	active	pluperfect	ēdideram	ēdiderās	ēdiderat	ēdiderāmus	ēdiderātis	ēdiderant
eat	active	future perfect	ēdiderō	ēdideris	ēdiderit	ēdiderimus	ēdideritis	ēdiderint
eat	passive	present	ēdor	ēderis, ēdere	ēditur	ēdimur	ēdiminī	ēduntur
eat	passive	imperfect	ēdēbar	ēdēbāris, ēdēbāre	ēdēbātur	ēdēbāmur	ēdēbāminī	ēdēbantur
eat	passive	future	ēdar	ēdēris, ēdēre	ēdētur	ēdēmur	ēdēminī	ēdentur
eat	passive	perfect	ēditus + present active indicative of sum	ēditus + present active indicative of sum	ēditus + present active indicative of sum	ēditus + present active indicative of sum	ēditus + present active indicative of sum	ēditus + present active indicative of sum
eat	passive	pluperfect	ēditus + imperfect active indicative of sum	ēditus + imperfect active indicative of sum	ēditus + imperfect active indicative of sum	ēditus + imperfect active indicative of sum	ēditus + imperfect active indicative of sum	ēditus + imperfect active indicative of sum
eat	passive	future perfect	ēditus + future active indicative of sum	ēditus + future active indicative of sum	ēditus + future active indicative of sum	ēditus + future active indicative of sum	ēditus + future active indicative of sum	ēditus + future active indicative of sum
eat	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
eat	subjunctive	subjunctive	first	second	third	first	second	third
eat	active	present	ēdam	ēdās	ēdat	ēdāmus	ēdātis	ēdant
eat	active	imperfect	ēderem	ēderēs	ēderet	ēderēmus	ēderētis	ēderent
eat	active	perfect	ēdiderim	ēdiderīs	ēdiderit	ēdiderīmus	ēdiderītis	ēdiderint
eat	active	pluperfect	ēdidissem	ēdidissēs	ēdidisset	ēdidissēmus	ēdidissētis	ēdidissent
eat	passive	present	ēdar	ēdāris, ēdāre	ēdātur	ēdāmur	ēdāminī	ēdantur
eat	passive	imperfect	ēderer	ēderēris, ēderēre	ēderētur	ēderēmur	ēderēminī	ēderentur
eat	passive	perfect	ēditus + present active subjunctive of sum	ēditus + present active subjunctive of sum	ēditus + present active subjunctive of sum	ēditus + present active subjunctive of sum	ēditus + present active subjunctive of sum	ēditus + present active subjunctive of sum
eat	passive	pluperfect	ēditus + imperfect active subjunctive of sum	ēditus + imperfect active subjunctive of sum	ēditus + imperfect active subjunctive of sum	ēditus + imperfect active subjunctive of sum	ēditus + imperfect active subjunctive of sum	ēditus + imperfect active subjunctive of sum
eat	imperative	imperative	singular	singular	singular	plural	plural	plural
eat	imperative	imperative	first	second	third	first	second	third
eat	active	present	—	ēde	—	—	ēdite	—
eat	active	future	—	ēditō	ēditō	—	ēditōte	ēduntō
eat	passive	present	—	ēdere	—	—	ēdiminī	—
eat	passive	future	—	ēditor	ēditor	—	—	ēduntor
eat	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
eat	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
eat	infinitives	infinitives	ēdere	ēdidisse	ēditūrum esse	ēdī	ēditum esse	ēditum īrī
eat	participles	participles	ēdēns	—	ēditūrus	—	ēditus	ēdendus, ēdundus
eat	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
eat	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
eat	verbal nouns	verbal nouns	ēdendī	ēdendō	ēdendum	ēdendō	ēditum	ēditū
endure	   conjugation of perpetior (third conjugation iō-variant, deponent)	   conjugation of perpetior (third conjugation iō-variant, deponent)	   conjugation of perpetior (third conjugation iō-variant, deponent)	   conjugation of perpetior (third conjugation iō-variant, deponent)	   conjugation of perpetior (third conjugation iō-variant, deponent)	   conjugation of perpetior (third conjugation iō-variant, deponent)	   conjugation of perpetior (third conjugation iō-variant, deponent)	   conjugation of perpetior (third conjugation iō-variant, deponent)
endure	indicative	indicative	singular	singular	singular	plural	plural	plural
endure	indicative	indicative	first	second	third	first	second	third
endure	active	present	perpetior	perpeteris, perpetere	perpetitur	perpetimur	perpetiminī	perpetiuntur
endure	active	imperfect	perpetiēbar	perpetiēbāris, perpetiēbāre	perpetiēbātur	perpetiēbāmur	perpetiēbāminī	perpetiēbantur
endure	active	future	perpetiar	perpetiēris, perpetiēre	perpetiētur	perpetiēmur	perpetiēminī	perpetientur
endure	active	perfect	perpessus + present active indicative of sum	perpessus + present active indicative of sum	perpessus + present active indicative of sum	perpessus + present active indicative of sum	perpessus + present active indicative of sum	perpessus + present active indicative of sum
endure	active	pluperfect	perpessus + imperfect active indicative of sum	perpessus + imperfect active indicative of sum	perpessus + imperfect active indicative of sum	perpessus + imperfect active indicative of sum	perpessus + imperfect active indicative of sum	perpessus + imperfect active indicative of sum
endure	active	future perfect	perpessus + future active indicative of sum	perpessus + future active indicative of sum	perpessus + future active indicative of sum	perpessus + future active indicative of sum	perpessus + future active indicative of sum	perpessus + future active indicative of sum
endure	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
endure	subjunctive	subjunctive	first	second	third	first	second	third
endure	active	present	perpetiar	perpetiāris, perpetiāre	perpetiātur	perpetiāmur	perpetiāminī	perpetiantur
endure	active	imperfect	perpeterer	perpeterēris, perpeterēre	perpeterētur	perpeterēmur	perpeterēminī	perpeterentur
endure	active	perfect	perpessus + present active subjunctive of sum	perpessus + present active subjunctive of sum	perpessus + present active subjunctive of sum	perpessus + present active subjunctive of sum	perpessus + present active subjunctive of sum	perpessus + present active subjunctive of sum
endure	active	pluperfect	perpessus + imperfect active subjunctive of sum	perpessus + imperfect active subjunctive of sum	perpessus + imperfect active subjunctive of sum	perpessus + imperfect active subjunctive of sum	perpessus + imperfect active subjunctive of sum	perpessus + imperfect active subjunctive of sum
endure	imperative	imperative	singular	singular	singular	plural	plural	plural
endure	imperative	imperative	first	second	third	first	second	third
endure	active	present	—	perpetere	—	—	perpetiminī	—
endure	active	future	—	perpetitor	perpetitor	—	—	perpetiuntor
endure	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
endure	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
endure	infinitives	infinitives	perpetī	perpessum esse	perpessūrum esse	—	—	—
endure	participles	participles	perpetiēns	perpessus	perpessūrus	—	—	perpetiendus, perpetiundus
endure	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
endure	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
endure	verbal nouns	verbal nouns	perpetiendī	perpetiendō	perpetiendum	perpetiendō	perpessum	perpessū
fall	   conjugation of cadō (third conjugation, impersonal in passive)	   conjugation of cadō (third conjugation, impersonal in passive)	   conjugation of cadō (third conjugation, impersonal in passive)	   conjugation of cadō (third conjugation, impersonal in passive)	   conjugation of cadō (third conjugation, impersonal in passive)	   conjugation of cadō (third conjugation, impersonal in passive)	   conjugation of cadō (third conjugation, impersonal in passive)	   conjugation of cadō (third conjugation, impersonal in passive)
fall	indicative	indicative	singular	singular	singular	plural	plural	plural
fall	indicative	indicative	first	second	third	first	second	third
fall	active	present	cadō	cadis	cadit	cadimus	caditis	cadunt
fall	active	imperfect	cadēbam	cadēbās	cadēbat	cadēbāmus	cadēbātis	cadēbant
fall	active	future	cadam	cadēs	cadet	cadēmus	cadētis	cadent
fall	active	perfect	cecidī	cecidistī	cecidit	cecidimus	cecidistis	cecidērunt, cecidēre
fall	active	pluperfect	cecideram	ceciderās	ceciderat	ceciderāmus	ceciderātis	ceciderant
fall	active	future perfect	ceciderō	cecideris	ceciderit	ceciderimus	cecideritis	ceciderint
fall	passive	present	—	—	caditur	—	—	—
fall	passive	imperfect	—	—	cadēbātur	—	—	—
fall	passive	future	—	—	cadētur	—	—	—
fall	passive	perfect	—	—	cāsum est	—	—	—
fall	passive	pluperfect	—	—	cāsum erat	—	—	—
fall	passive	future perfect	—	—	cāsum erit	—	—	—
fall	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
fall	subjunctive	subjunctive	first	second	third	first	second	third
fall	active	present	cadam	cadās	cadat	cadāmus	cadātis	cadant
fall	active	imperfect	caderem	caderēs	caderet	caderēmus	caderētis	caderent
fall	active	perfect	ceciderim	ceciderīs	ceciderit	ceciderīmus	ceciderītis	ceciderint
fall	active	pluperfect	cecidissem	cecidissēs	cecidisset	cecidissēmus	cecidissētis	cecidissent
fall	passive	present	—	—	cadātur	—	—	—
fall	passive	imperfect	—	—	caderētur	—	—	—
fall	passive	perfect	—	—	cāsum sit	—	—	—
fall	passive	pluperfect	—	—	cāsum esset, cāsum foret	—	—	—
fall	imperative	imperative	singular	singular	singular	plural	plural	plural
fall	imperative	imperative	first	second	third	first	second	third
fall	active	present	—	cade	—	—	cadite	—
fall	active	future	—	caditō	caditō	—	caditōte	caduntō
fall	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
fall	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
fall	infinitives	infinitives	cadere	cecidisse	cāsūrum esse	cadī	cāsum esse	—
fall	participles	participles	cadēns	—	cāsūrus	—	cāsum	cadendum, cadundum
fall	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
fall	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
fall	verbal nouns	verbal nouns	cadendī	cadendō	cadendum	cadendō	cāsum	cāsū
fly	   conjugation of volō (irregular, suppletive in the second-person singular indicative present, active only, no imperatives)	   conjugation of volō (irregular, suppletive in the second-person singular indicative present, active only, no imperatives)	   conjugation of volō (irregular, suppletive in the second-person singular indicative present, active only, no imperatives)	   conjugation of volō (irregular, suppletive in the second-person singular indicative present, active only, no imperatives)	   conjugation of volō (irregular, suppletive in the second-person singular indicative present, active only, no imperatives)	   conjugation of volō (irregular, suppletive in the second-person singular indicative present, active only, no imperatives)	   conjugation of volō (irregular, suppletive in the second-person singular indicative present, active only, no imperatives)	   conjugation of volō (irregular, suppletive in the second-person singular indicative present, active only, no imperatives)
fly	indicative	indicative	singular	singular	singular	plural	plural	plural
fly	indicative	indicative	first	second	third	first	second	third
fly	active	present	volō	vīs	vult, volt	volumus	vultis, voltis	volunt
fly	active	imperfect	volēbam	volēbās	volēbat	volēbāmus	volēbātis	volēbant
fly	active	future	volam	volēs	volet	volēmus	volētis	volent
fly	active	perfect	voluī	voluistī	voluit	voluimus	voluistis	voluērunt, voluēre
fly	active	pluperfect	volueram	voluerās	voluerat	voluerāmus	voluerātis	voluerant
fly	active	future perfect	voluerō	volueris	voluerit	voluerimus	volueritis	voluerint
fly	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
fly	subjunctive	subjunctive	first	second	third	first	second	third
fly	active	present	velim	velīs	velit	velīmus	velītis	velint
fly	active	imperfect	vellem	vellēs	vellet	vellēmus	vellētis	vellent
fly	active	perfect	voluerim	voluerīs	voluerit	voluerīmus	voluerītis	voluerint
fly	active	pluperfect	voluissem	voluissēs	voluisset	voluissēmus	voluissētis	voluissent
fly	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
fly	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
fly	infinitives	infinitives	velle	voluisse	—	—	—	—
fly	participles	participles	volēns	—	—	—	—	—
fly	   conjugation of volō (first conjugation, impersonal in passive)	   conjugation of volō (first conjugation, impersonal in passive)	   conjugation of volō (first conjugation, impersonal in passive)	   conjugation of volō (first conjugation, impersonal in passive)	   conjugation of volō (first conjugation, impersonal in passive)	   conjugation of volō (first conjugation, impersonal in passive)	   conjugation of volō (first conjugation, impersonal in passive)	   conjugation of volō (first conjugation, impersonal in passive)
fly	indicative	indicative	singular	singular	singular	plural	plural	plural
fly	indicative	indicative	first	second	third	first	second	third
fly	active	present	volō	volās	volat	volāmus	volātis	volant
fly	active	imperfect	volābam	volābās	volābat	volābāmus	volābātis	volābant
fly	active	future	volābō	volābis	volābit	volābimus	volābitis	volābunt
fly	active	perfect	volāvī	volāvistī	volāvit	volāvimus	volāvistis	volāvērunt, volāvēre
fly	active	pluperfect	volāveram	volāverās	volāverat	volāverāmus	volāverātis	volāverant
fly	active	future perfect	volāverō	volāveris	volāverit	volāverimus	volāveritis	volāverint
fly	passive	present	—	—	volātur	—	—	—
fly	passive	imperfect	—	—	volābātur	—	—	—
fly	passive	future	—	—	volābitur	—	—	—
fly	passive	perfect	—	—	volātum est	—	—	—
fly	passive	pluperfect	—	—	volātum erat	—	—	—
fly	passive	future perfect	—	—	volātum erit	—	—	—
fly	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
fly	subjunctive	subjunctive	first	second	third	first	second	third
fly	active	present	volem	volēs	volet	volēmus	volētis	volent
fly	active	imperfect	volārem	volārēs	volāret	volārēmus	volārētis	volārent
fly	active	perfect	volāverim	volāverīs	volāverit	volāverīmus	volāverītis	volāverint
fly	active	pluperfect	volāvissem	volāvissēs	volāvisset	volāvissēmus	volāvissētis	volāvissent
fly	passive	present	—	—	volētur	—	—	—
fly	passive	imperfect	—	—	volārētur	—	—	—
fly	passive	perfect	—	—	volātum sit	—	—	—
fly	passive	pluperfect	—	—	volātum esset, volātum foret	—	—	—
fly	imperative	imperative	singular	singular	singular	plural	plural	plural
fly	imperative	imperative	first	second	third	first	second	third
fly	active	present	—	volā	—	—	volāte	—
fly	active	future	—	volātō	volātō	—	volātōte	volantō
fly	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
fly	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
fly	infinitives	infinitives	volāre	volāvisse	volātūrum esse	volārī	volātum esse	—
fly	participles	participles	volāns	—	volātūrus	—	volātum	volandum
fly	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
fly	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
fly	verbal nouns	verbal nouns	volandī	volandō	volandum	volandō	volātum	volātū
hear	   conjugation of audiō (fourth conjugation)	   conjugation of audiō (fourth conjugation)	   conjugation of audiō (fourth conjugation)	   conjugation of audiō (fourth conjugation)	   conjugation of audiō (fourth conjugation)	   conjugation of audiō (fourth conjugation)	   conjugation of audiō (fourth conjugation)	   conjugation of audiō (fourth conjugation)
hear	indicative	indicative	singular	singular	singular	plural	plural	plural
hear	indicative	indicative	first	second	third	first	second	third
hear	active	present	audiō	audīs	audit	audīmus	audītis	audiunt
hear	active	imperfect	audiēbam	audiēbās	audiēbat	audiēbāmus	audiēbātis	audiēbant
hear	active	future	audiam	audiēs	audiet	audiēmus	audiētis	audient
hear	active	perfect	audīvī, audiī	audīvistī, audiistī	audīvit, audiit	audīvimus, audiimus	audīvistis, audiistis	audīvērunt, audīvēre, audiērunt, audiēre
hear	active	pluperfect	audīveram, audieram	audīverās, audierās	audīverat, audierat	audīverāmus, audierāmus	audīverātis, audierātis	audīverant, audierant
hear	active	future perfect	audīverō, audierō	audīveris, audieris	audīverit, audierit	audīverimus, audierimus	audīveritis, audieritis	audīverint, audierint
hear	passive	present	audior	audīris, audīre	audītur	audīmur	audīminī	audiuntur
hear	passive	imperfect	audiēbar	audiēbāris, audiēbāre	audiēbātur	audiēbāmur	audiēbāminī	audiēbantur
hear	passive	future	audiar	audiēris, audiēre	audiētur	audiēmur	audiēminī	audientur
hear	passive	perfect	audītus + present active indicative of sum	audītus + present active indicative of sum	audītus + present active indicative of sum	audītus + present active indicative of sum	audītus + present active indicative of sum	audītus + present active indicative of sum
hear	passive	pluperfect	audītus + imperfect active indicative of sum	audītus + imperfect active indicative of sum	audītus + imperfect active indicative of sum	audītus + imperfect active indicative of sum	audītus + imperfect active indicative of sum	audītus + imperfect active indicative of sum
hear	passive	future perfect	audītus + future active indicative of sum	audītus + future active indicative of sum	audītus + future active indicative of sum	audītus + future active indicative of sum	audītus + future active indicative of sum	audītus + future active indicative of sum
hear	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
hear	subjunctive	subjunctive	first	second	third	first	second	third
hear	active	present	audiam	audiās	audiat	audiāmus	audiātis	audiant
hear	active	imperfect	audīrem	audīrēs	audīret	audīrēmus	audīrētis	audīrent
hear	active	perfect	audīverim, audierim	audīverīs, audierīs	audīverit, audierit	audīverīmus, audierīmus	audīverītis, audierītis	audīverint, audierint
hear	active	pluperfect	audīvissem, audiissem	audīvissēs, audiissēs	audīvisset, audiisset	audīvissēmus, audiissēmus	audīvissētis, audiissētis	audīvissent, audiissent
hear	passive	present	audiar	audiāris, audiāre	audiātur	audiāmur	audiāminī	audiantur
hear	passive	imperfect	audīrer	audīrēris, audīrēre	audīrētur	audīrēmur	audīrēminī	audīrentur
hear	passive	perfect	audītus + present active subjunctive of sum	audītus + present active subjunctive of sum	audītus + present active subjunctive of sum	audītus + present active subjunctive of sum	audītus + present active subjunctive of sum	audītus + present active subjunctive of sum
hear	passive	pluperfect	audītus + imperfect active subjunctive of sum	audītus + imperfect active subjunctive of sum	audītus + imperfect active subjunctive of sum	audītus + imperfect active subjunctive of sum	audītus + imperfect active subjunctive of sum	audītus + imperfect active subjunctive of sum
hear	imperative	imperative	singular	singular	singular	plural	plural	plural
hear	imperative	imperative	first	second	third	first	second	third
hear	active	present	—	audī	—	—	audīte	—
hear	active	future	—	audītō	audītō	—	audītōte	audiuntō
hear	passive	present	—	audīre	—	—	audīminī	—
hear	passive	future	—	audītor	audītor	—	—	audiuntor
hear	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
hear	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
hear	infinitives	infinitives	audīre	audīvisse, audiisse	audītūrum esse	audīrī, audīrier1	audītum esse	audītum īrī
hear	participles	participles	audiēns	—	audītūrus	—	audītus	audiendus, audiundus
hear	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
hear	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
hear	verbal nouns	verbal nouns	audiendī	audiendō	audiendum	audiendō	audītum	audītū
resemble	   conjugation of similō (first conjugation)	   conjugation of similō (first conjugation)	   conjugation of similō (first conjugation)	   conjugation of similō (first conjugation)	   conjugation of similō (first conjugation)	   conjugation of similō (first conjugation)	   conjugation of similō (first conjugation)	   conjugation of similō (first conjugation)
resemble	indicative	indicative	singular	singular	singular	plural	plural	plural
resemble	indicative	indicative	first	second	third	first	second	third
resemble	active	present	similō	similās	similat	similāmus	similātis	similant
resemble	active	imperfect	similābam	similābās	similābat	similābāmus	similābātis	similābant
resemble	active	future	similābō	similābis	similābit	similābimus	similābitis	similābunt
resemble	active	perfect	similāvī	similāvistī	similāvit	similāvimus	similāvistis	similāvērunt, similāvēre
resemble	active	pluperfect	similāveram	similāverās	similāverat	similāverāmus	similāverātis	similāverant
resemble	active	future perfect	similāverō	similāveris	similāverit	similāverimus	similāveritis	similāverint
resemble	passive	present	similor	similāris, similāre	similātur	similāmur	similāminī	similantur
resemble	passive	imperfect	similābar	similābāris, similābāre	similābātur	similābāmur	similābāminī	similābantur
resemble	passive	future	similābor	similāberis, similābere	similābitur	similābimur	similābiminī	similābuntur
resemble	passive	perfect	similātus + present active indicative of sum	similātus + present active indicative of sum	similātus + present active indicative of sum	similātus + present active indicative of sum	similātus + present active indicative of sum	similātus + present active indicative of sum
resemble	passive	pluperfect	similātus + imperfect active indicative of sum	similātus + imperfect active indicative of sum	similātus + imperfect active indicative of sum	similātus + imperfect active indicative of sum	similātus + imperfect active indicative of sum	similātus + imperfect active indicative of sum
resemble	passive	future perfect	similātus + future active indicative of sum	similātus + future active indicative of sum	similātus + future active indicative of sum	similātus + future active indicative of sum	similātus + future active indicative of sum	similātus + future active indicative of sum
resemble	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
resemble	subjunctive	subjunctive	first	second	third	first	second	third
resemble	active	present	similem	similēs	similet	similēmus	similētis	similent
resemble	active	imperfect	similārem	similārēs	similāret	similārēmus	similārētis	similārent
resemble	active	perfect	similāverim	similāverīs	similāverit	similāverīmus	similāverītis	similāverint
resemble	active	pluperfect	similāvissem	similāvissēs	similāvisset	similāvissēmus	similāvissētis	similāvissent
resemble	passive	present	similer	similēris, similēre	similētur	similēmur	similēminī	similentur
resemble	passive	imperfect	similārer	similārēris, similārēre	similārētur	similārēmur	similārēminī	similārentur
resemble	passive	perfect	similātus + present active subjunctive of sum	similātus + present active subjunctive of sum	similātus + present active subjunctive of sum	similātus + present active subjunctive of sum	similātus + present active subjunctive of sum	similātus + present active subjunctive of sum
resemble	passive	pluperfect	similātus + imperfect active subjunctive of sum	similātus + imperfect active subjunctive of sum	similātus + imperfect active subjunctive of sum	similātus + imperfect active subjunctive of sum	similātus + imperfect active subjunctive of sum	similātus + imperfect active subjunctive of sum
resemble	imperative	imperative	singular	singular	singular	plural	plural	plural
resemble	imperative	imperative	first	second	third	first	second	third
resemble	active	present	—	similā	—	—	similāte	—
resemble	active	future	—	similātō	similātō	—	similātōte	similantō
resemble	passive	present	—	similāre	—	—	similāminī	—
resemble	passive	future	—	similātor	similātor	—	—	similantor
resemble	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
resemble	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
resemble	infinitives	infinitives	similāre	similāvisse	similātūrum esse	similārī	similātum esse	similātum īrī
resemble	participles	participles	similāns	—	similātūrus	—	similātus	similandus
resemble	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
resemble	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
resemble	verbal nouns	verbal nouns	similandī	similandō	similandum	similandō	similātum	similātū
rest	   conjugation of requiēscō (third conjugation)	   conjugation of requiēscō (third conjugation)	   conjugation of requiēscō (third conjugation)	   conjugation of requiēscō (third conjugation)	   conjugation of requiēscō (third conjugation)	   conjugation of requiēscō (third conjugation)	   conjugation of requiēscō (third conjugation)	   conjugation of requiēscō (third conjugation)
rest	indicative	indicative	singular	singular	singular	plural	plural	plural
rest	indicative	indicative	first	second	third	first	second	third
rest	active	present	requiēscō	requiēscis	requiēscit	requiēscimus	requiēscitis	requiēscunt
rest	active	imperfect	requiēscēbam	requiēscēbās	requiēscēbat	requiēscēbāmus	requiēscēbātis	requiēscēbant
rest	active	future	requiēscam	requiēscēs	requiēscet	requiēscēmus	requiēscētis	requiēscent
rest	active	perfect	requiēvī	requiēvistī	requiēvit	requiēvimus	requiēvistis	requiēvērunt, requiēvēre
rest	active	pluperfect	requiēveram	requiēverās	requiēverat	requiēverāmus	requiēverātis	requiēverant
rest	active	future perfect	requiēverō	requiēveris	requiēverit	requiēverimus	requiēveritis	requiēverint
rest	passive	present	requiēscor	requiēsceris, requiēscere	requiēscitur	requiēscimur	requiēsciminī	requiēscuntur
rest	passive	imperfect	requiēscēbar	requiēscēbāris, requiēscēbāre	requiēscēbātur	requiēscēbāmur	requiēscēbāminī	requiēscēbantur
rest	passive	future	requiēscar	requiēscēris, requiēscēre	requiēscētur	requiēscēmur	requiēscēminī	requiēscentur
rest	passive	perfect	requiētus + present active indicative of sum	requiētus + present active indicative of sum	requiētus + present active indicative of sum	requiētus + present active indicative of sum	requiētus + present active indicative of sum	requiētus + present active indicative of sum
rest	passive	pluperfect	requiētus + imperfect active indicative of sum	requiētus + imperfect active indicative of sum	requiētus + imperfect active indicative of sum	requiētus + imperfect active indicative of sum	requiētus + imperfect active indicative of sum	requiētus + imperfect active indicative of sum
rest	passive	future perfect	requiētus + future active indicative of sum	requiētus + future active indicative of sum	requiētus + future active indicative of sum	requiētus + future active indicative of sum	requiētus + future active indicative of sum	requiētus + future active indicative of sum
rest	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
rest	subjunctive	subjunctive	first	second	third	first	second	third
rest	active	present	requiēscam	requiēscās	requiēscat	requiēscāmus	requiēscātis	requiēscant
rest	active	imperfect	requiēscerem	requiēscerēs	requiēsceret	requiēscerēmus	requiēscerētis	requiēscerent
rest	active	perfect	requiēverim	requiēverīs	requiēverit	requiēverīmus	requiēverītis	requiēverint
rest	active	pluperfect	requiēvissem	requiēvissēs	requiēvisset	requiēvissēmus	requiēvissētis	requiēvissent
rest	passive	present	requiēscar	requiēscāris, requiēscāre	requiēscātur	requiēscāmur	requiēscāminī	requiēscantur
rest	passive	imperfect	requiēscerer	requiēscerēris, requiēscerēre	requiēscerētur	requiēscerēmur	requiēscerēminī	requiēscerentur
rest	passive	perfect	requiētus + present active subjunctive of sum	requiētus + present active subjunctive of sum	requiētus + present active subjunctive of sum	requiētus + present active subjunctive of sum	requiētus + present active subjunctive of sum	requiētus + present active subjunctive of sum
rest	passive	pluperfect	requiētus + imperfect active subjunctive of sum	requiētus + imperfect active subjunctive of sum	requiētus + imperfect active subjunctive of sum	requiētus + imperfect active subjunctive of sum	requiētus + imperfect active subjunctive of sum	requiētus + imperfect active subjunctive of sum
rest	imperative	imperative	singular	singular	singular	plural	plural	plural
rest	imperative	imperative	first	second	third	first	second	third
rest	active	present	—	requiēsce	—	—	requiēscite	—
rest	active	future	—	requiēscitō	requiēscitō	—	requiēscitōte	requiēscuntō
rest	passive	present	—	requiēscere	—	—	requiēsciminī	—
rest	passive	future	—	requiēscitor	requiēscitor	—	—	requiēscuntor
rest	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
rest	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
rest	infinitives	infinitives	requiēscere	requiēvisse	requiētūrum esse	requiēscī	requiētum esse	requiētum īrī
rest	participles	participles	requiēscēns	—	requiētūrus	—	requiētus	requiēscendus, requiēscundus
rest	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
rest	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
rest	verbal nouns	verbal nouns	requiēscendī	requiēscendō	requiēscendum	requiēscendō	requiētum	requiētū
see	   conjugation of videō (second conjugation)	   conjugation of videō (second conjugation)	   conjugation of videō (second conjugation)	   conjugation of videō (second conjugation)	   conjugation of videō (second conjugation)	   conjugation of videō (second conjugation)	   conjugation of videō (second conjugation)	   conjugation of videō (second conjugation)
see	indicative	indicative	singular	singular	singular	plural	plural	plural
see	indicative	indicative	first	second	third	first	second	third
see	active	present	videō	vidēs	videt	vidēmus	vidētis	vident
see	active	imperfect	vidēbam	vidēbās	vidēbat	vidēbāmus	vidēbātis	vidēbant
see	active	future	vidēbō	vidēbis	vidēbit	vidēbimus	vidēbitis	vidēbunt
see	active	perfect	vīdī	vīdistī	vīdit	vīdimus	vīdistis	vīdērunt, vīdēre
see	active	pluperfect	vīderam	vīderās	vīderat	vīderāmus	vīderātis	vīderant
see	active	future perfect	vīderō	vīderis	vīderit	vīderimus	vīderitis	vīderint
see	passive	present	videor	vidēris, vidēre	vidētur	vidēmur	vidēminī	videntur
see	passive	imperfect	vidēbar	vidēbāris, vidēbāre	vidēbātur	vidēbāmur	vidēbāminī	vidēbantur
see	passive	future	vidēbor	vidēberis, vidēbere	vidēbitur	vidēbimur	vidēbiminī	vidēbuntur
see	passive	perfect	vīsus + present active indicative of sum	vīsus + present active indicative of sum	vīsus + present active indicative of sum	vīsus + present active indicative of sum	vīsus + present active indicative of sum	vīsus + present active indicative of sum
see	passive	pluperfect	vīsus + imperfect active indicative of sum	vīsus + imperfect active indicative of sum	vīsus + imperfect active indicative of sum	vīsus + imperfect active indicative of sum	vīsus + imperfect active indicative of sum	vīsus + imperfect active indicative of sum
see	passive	future perfect	vīsus + future active indicative of sum	vīsus + future active indicative of sum	vīsus + future active indicative of sum	vīsus + future active indicative of sum	vīsus + future active indicative of sum	vīsus + future active indicative of sum
