appear	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)
appear	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
appear	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
appear	verbal nouns	verbal nouns	appārendī	appārendō	appārendum	appārendō	appāritum	appāritū
be-inherently	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)
be-inherently	indicative	indicative	singular	singular	singular	plural	plural	plural
be-inherently	indicative	indicative	first	second	third	first	second	third
be-inherently	active	present	sum	es	est	sumus	estis	sunt
be-inherently	active	imperfect	eram	erās	erat	erāmus	erātis	erant
be-inherently	active	future	erō	eris, ere	erit	erimus	eritis	erunt
be-inherently	active	perfect	fuī	fuistī	fuit	fuimus	fuistis	fuērunt, fuēre
be-inherently	active	pluperfect	fueram	fuerās	fuerat	fuerāmus	fuerātis	fuerant
be-inherently	active	future perfect	fuerō	fueris	fuerit	fuerimus	fueritis	fuerint
be-inherently	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
be-inherently	subjunctive	subjunctive	first	second	third	first	second	third
be-inherently	active	present	sim	sīs	sit	sīmus	sītis	sint
be-inherently	active	imperfect	essem, forem	essēs, forēs	esset, foret	essēmus, forēmus	essētis, forētis	essent, forent
be-inherently	active	perfect	fuerim	fuerīs	fuerit	fuerīmus	fuerītis	fuerint
be-inherently	active	pluperfect	fuissem	fuissēs	fuisset	fuissēmus	fuissētis	fuissent
be-inherently	imperative	imperative	singular	singular	singular	plural	plural	plural
be-inherently	imperative	imperative	first	second	third	first	second	third
be-inherently	active	present	—	es	—	—	este	—
be-inherently	active	future	—	estō	estō	—	estōte	suntō
be-inherently	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
be-inherently	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
be-inherently	infinitives	infinitives	esse	fuisse	futūrum esse, fore	—	—	—
be-inherently	participles	participles	—	—	futūrus	—	—	—
be-momentarily	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)	   conjugation of sum (highly irregular, suppletive, no supine stem except in the future active participle, active only)
be-momentarily	indicative	indicative	singular	singular	singular	plural	plural	plural
be-momentarily	indicative	indicative	first	second	third	first	second	third
be-momentarily	active	present	sum	es	est	sumus	estis	sunt
be-momentarily	active	imperfect	eram	erās	erat	erāmus	erātis	erant
be-momentarily	active	future	erō	eris, ere	erit	erimus	eritis	erunt
be-momentarily	active	perfect	fuī	fuistī	fuit	fuimus	fuistis	fuērunt, fuēre
be-momentarily	active	pluperfect	fueram	fuerās	fuerat	fuerāmus	fuerātis	fuerant
be-momentarily	active	future perfect	fuerō	fueris	fuerit	fuerimus	fueritis	fuerint
be-momentarily	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
be-momentarily	subjunctive	subjunctive	first	second	third	first	second	third
be-momentarily	active	present	sim	sīs	sit	sīmus	sītis	sint
be-momentarily	active	imperfect	essem, forem	essēs, forēs	esset, foret	essēmus, forēmus	essētis, forētis	essent, forent
be-momentarily	active	perfect	fuerim	fuerīs	fuerit	fuerīmus	fuerītis	fuerint
be-momentarily	active	pluperfect	fuissem	fuissēs	fuisset	fuissēmus	fuissētis	fuissent
be-momentarily	imperative	imperative	singular	singular	singular	plural	plural	plural
be-momentarily	imperative	imperative	first	second	third	first	second	third
be-momentarily	active	present	—	es	—	—	este	—
be-momentarily	active	future	—	estō	estō	—	estōte	suntō
be-momentarily	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
be-momentarily	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
be-momentarily	infinitives	infinitives	esse	fuisse	futūrum esse, fore	—	—	—
be-momentarily	participles	participles	—	—	futūrus	—	—	—
change	   conjugation of cambiō (first conjugation, no supine stem, active only)	   conjugation of cambiō (first conjugation, no supine stem, active only)	   conjugation of cambiō (first conjugation, no supine stem, active only)	   conjugation of cambiō (first conjugation, no supine stem, active only)	   conjugation of cambiō (first conjugation, no supine stem, active only)	   conjugation of cambiō (first conjugation, no supine stem, active only)	   conjugation of cambiō (first conjugation, no supine stem, active only)	   conjugation of cambiō (first conjugation, no supine stem, active only)
change	indicative	indicative	singular	singular	singular	plural	plural	plural
change	indicative	indicative	first	second	third	first	second	third
change	active	present	cambiō	cambiās	cambiat	cambiāmus	cambiātis	cambiant
