voice	aspect	tense	lookup	template	
middle	aorist	past		[{be|past}] {verb|perfect} {direct-object} {indirect-object} {modifiers} 	
middle	aorist	future		will [be] {verb|perfect} {direct-object} {indirect-object} {modifiers} 	
middle	imperfect	present		{be|present} [being] {verb|perfect} {direct-object} {indirect-object} {modifiers} 	
middle	imperfect	past		{be|past} [being] {verb|perfect} {direct-object} {indirect-object} {modifiers} 	
middle	imperfect	future		will [be [occasionally]] {verb|perfect} {direct-object} {indirect-object} {modifiers} 	
middle	perfect	present		{have|present} [been] {verb|perfect} {direct-object} {indirect-object} {modifiers} 	
middle	perfect	past		{have|past} [been] {verb|perfect} {direct-object} {indirect-object} {modifiers} 	
middle	perfect	future		will have [been] {verb|perfect} {direct-object} {indirect-object} {modifiers} 	
middle	perfect-progressive	present		{have|present} [been occasionally] {verb|perfect} {direct-object} {indirect-object} {modifiers} 	
middle	perfect-progressive	past		{have|past} [been occasionally] {verb|perfect} {direct-object} {indirect-object} {modifiers} 	
middle	perfect-progressive	future		will have [been occasionally] {verb|perfect} {direct-object} {indirect-object} {modifiers} 	
middle	aorist	present	infinitive	[be] {verb|perfect} {direct-object} {indirect-object} {modifiers} [right now]	
middle	aorist	past	infinitive	[be] {verb|perfect} {direct-object} {indirect-object} {modifiers} [back then]	
middle	aorist	future	infinitive	[be] {verb|perfect} {direct-object} {indirect-object} {modifiers} [by then]	
middle	imperfect	present	infinitive	[be [occasionally]] {verb|perfect} {direct-object} {indirect-object} {modifiers} [right now]	
middle	imperfect	past	infinitive	[be [occasionally]] {verb|perfect} {direct-object} {indirect-object} {modifiers} [back then]	
middle	imperfect	future	infinitive	[be [occasionally]] {verb|perfect} {direct-object} {indirect-object} {modifiers} [by then]	
middle	perfect	present	infinitive	have [been] {verb|perfect} {direct-object} {indirect-object} {modifiers} [just now]	
middle	perfect	past	infinitive	have [been] {verb|perfect} {direct-object} {indirect-object} {modifiers} [back then]	
middle	perfect	future	infinitive	have [been] {verb|perfect} {direct-object} {indirect-object} {modifiers} [by then]	
middle	perfect-progressive	present	infinitive	have [been occasionally] {verb|perfect} {direct-object} {indirect-object} {modifiers} [just now]	
middle	perfect-progressive	past	infinitive	have [been occasionally] {verb|perfect}  {direct-object} {indirect-object} {modifiers} [back then]	
middle	perfect-progressive	future	infinitive	have [been occasionally] {verb|perfect} {direct-object} {indirect-object} {modifiers} [by then]	
