tooth	masculine	singular 	ὀδούς	ὀδόντος	ὀδόντι	ὀδόντα	ὀδούς	3	-ντ							
tooth	masculine	dual 	ὀδόντε	ὀδόντοιν	ὀδόντοιν	ὀδόντε	ὀδόντε	3	-ντ							
tooth	masculine	plural 	ὀδόντες	ὀδόντων	ὀδοῦσι	ὀδόντας	ὀδόντες	3	-ντ							
old man	masculine	singular 	γέρων	γέροντος	γέροντι	γέροντα	γέρον	3	-ντ							
old man	masculine	dual 	γέροντε	γερόντοιν	γερόντοιν	γέροντε	γέροντε	3	-ντ							
old man	masculine	plural 	γέροντες	γερόντων	γέρουσι	γέροντας	γέροντες	3	-ντ							
property	neuter	singular 	κτῆμα	κτήματος	κτήματι	κτῆμα	κτῆμα	3	-α							
property	neuter	dual 	κτήματε	κτημάτοιν	κτημάτοιν	κτήματε	κτήματε	3	-α							
property	neuter	plural	κτήματα	κτημάτων	κτήμασι	κτήματα	κτήματα 	3	-α							
																
Hellen	masculine	singular 	Ἕλλην	Ἕλληνος	Ἕλληνι	Ἕλληνα	Ἕλλην	3	nasal single-stem	mythical character of the Illiad						
Hellen	masculine	dual 	Ἕλληνε	Ἑλλήνοιν	Ἑλλήνοιν	Ἕλληνε	Ἕλληνε	3	nasal single-stem	mythical character of the Illiad						
Hellen	masculine	plural 	Ἕλληνες	Ἑλλήνων	Ἕλλησι	Ἕλληνας	Ἕλληνες	3	nasal single-stem	mythical character of the Illiad						
winter	masculine	singular 	χειμών	χειμῶνος	χειμῶνι	χειμῶνα	χειμών	3	nasal single-stem							
winter	masculine	dual 	χειμῶνε	χειμώνοιν	χειμώνοιν	χειμῶνε	χειμῶνε	3	nasal single-stem							
winter	masculine	plural 	χειμῶνες	χειμώνων	χειμῶσι	χειμῶνας	χειμῶνες	3	nasal single-stem							
Titan	masculine	singular 	Τιτάν	Τιτᾶνος	Τιτᾶνι	Τιτᾶνα	Τιτάν	3	nasal single-stem							
Titan	masculine	dual 	Τιτᾶνε	Τιτάνοιν	Τιτάνοιν	Τιτᾶνε	Τιτᾶνε	3	nasal single-stem							
Titan	masculine	plural 	Τιτᾶνες	Τιτάνων	Τιτᾶσι	Τιτᾶνας	Τιτᾶνες	3	nasal single-stem							
light ray	feminine	singular 	ἀκτίς	ἀκτῖνος	ἀκτῖνι	ἀκτῖνα	ἀκτίς	3	nasal single-stem							
light ray	feminine	dual 	ἀκτῖνε	ἀκτίνοιν	ἀκτίνοιν	ἀκτῖνε	ἀκτῖνε	3	nasal single-stem							
light ray	feminine	plural	ἀκτῖνες	ἀκτίνων	ἀκτῖσι	ἀκτῖνας	ἀκτῖνες 	3	nasal single-stem							
																
shepherd	masculine	singular 	ποιμήν	ποιμένος	ποιμένι	ποιμένα	ποιμήν	3	nasal double-stem							
shepherd	masculine	dual 	ποιμένε	ποιμένοιν	ποιμένοιν	ποιμένε	ποιμένε	3	nasal double-stem							
shepherd	masculine	plural 	ποιμένες	ποιμένων	ποιμέσι	ποιμένας	ποιμένες	3	nasal double-stem							
guide	masculine	singular 	ἡγεμών	ἡγεμόνος	ἡγεμόνι	ἡγεμόνα	ἡγεμών	3	nasal double-stem							
guide	masculine	dual 	ἡγεμόνε	ἡγεμόνοιν	ἡγεμόνοιν	ἡγεμόνε	ἡγεμόνε	3	nasal double-stem							
guide	masculine	plural 	ἡγεμόνες	ἡγεμόνων	ἡγεμόσι	ἡγεμόνας	ἡγεμόνες	3	nasal double-stem							
neighbor	masculine	singular 	γείτων	γείτονος	γείτονι	γείτονα	γεῖτον	3	nasal double-stem							
neighbor	masculine	dual 	γείτονε	γειτόνοιν	γειτόνοιν	γείτονε	γείτονε	3	nasal double-stem							
neighbor	masculine	plural	γείτονες	γειτόνων	γείτοσι	γείτονας	γείτονες 	3	nasal double-stem							
																
tipstaff	masculine	singular 	κλητήρ	κλητῆρος	κλητῆρι	κλητῆρα	κλητήρ	3	liquid stem	a staff carried by a bailiff as a sign of office						
tipstaff	masculine	dual 	κλητῆρε	κλητήροιν	κλητήροιν	κλητῆρα	κλητῆρε	3	liquid stem	a staff carried by a bailiff as a sign of office						
tipstaff	masculine	plural 	κλητῆρες	κλητήρων	κλητῆρσι	κλητῆρας	κλητῆρες	3	liquid stem	a staff carried by a bailiff as a sign of office						
ichor	masculine	singular 	ἰχώρ	ἰχῶρος	ἰχῶρι	ἰχῶρα	ἰχώρ	3	liquid stem	the blood of a god						
ichor	masculine	dual 	ἰχῶρε	ἰχώροιν	ἰχώροιν	ἲχῶρε	ἰχῶρε	3	liquid stem	the blood of a god						
ichor	masculine	plural 	ἰχῶρες	ἰχώρων	ἰχῶρσι	ἰχῶρας	ἰχῶρες	3	liquid stem	the blood of a god						
chaff	masculine	singular 	ἀθήρ	ἀθέρος	ἀθέρι	ἀθέρα	ἀθήρ	3	liquid stem							
chaff	masculine	dual 	ἀθέρε	ἀθέροιν	ἀθέροιν	ἀθέρε	ἀθέρε	3	liquid stem							
chaff	masculine	plural 	ἀθέρες	ἀθέρων	ἀθέρσι	ἀθέρας	ἀθέρες	3	liquid stem							
orator	masculine	singular 	ῥήτωρ	ῥήτορος	ῥήτορι	ῥήτορα	ῥῆτορ	3	liquid stem							
orator	masculine	dual 	ῥήτορε	ῥητόροιν	ῥητόροιν	ῥήτορε	ῥήτορε	3	liquid stem							
orator	masculine	plural	ῥήτορες	ῥητόρων	ῥήτορσι	ῥήτορας	ῥήτορες 	3	liquid stem							
																
father	masculine	singular 	πατήρ	πατρός	πατρί	πατέρα	πάτερ	3	ε stem							
father	masculine	dual 	πατέρε	πατέροιν	πατέροιν	πατέρε	πατέρε	3	ε stem							
father	masculine	plural 	πατέρες	πατέρων	πατράσι	πατέρας	πατέρες	3	ε stem							
man	masculine	singular 	ἀνήρ	ἀνδρός	ἀνδρί	ἄνδρα	ἄνερ	3	ε stem							
man	masculine	dual 	ἄνδρε	ἀνδροῖν	ἀνδροῖν	ἄνδρε	ἄνδρε	3	ε stem							
man	masculine	plural 	ἄνδρες	ἀνδρῶν	ἀνδράσι	ἄνδρας	ἄνδρες	3	ε stem							
Demeter	feminine	singular	Δημήτηρ	Δήμητρος	Δήμητρι	Δήμητρα	Δήμητερ 	3	ε stem	goddess of fertility						
																
Socrates	masculine	singular 	Σωκράτης	Σωκράτους	Σωκράτει	Σωκράτη	Σώκρατες	3	sibilant stem	reknown philosopher						
Socrates	masculine	plural 	Σωκράτεις	Σωκρατῶν	Σωκράτεσι	Σωκράτεις	Σωκράτεις	3	sibilant stem	reknown philosopher						
Pericles	masculine	singular 	Περικλῆς	Περικλέους	Περικλεῖ	Περικλέα	Περίκλεις	3	sibilant stem	reknown statesman						
Pericles	masculine	plural	Περικλεῖς	Περικλέων	-	Περικλεῖς	Περικλεῖς 	3	sibilant stem	reknown statesman						
																
arrow	neuter	singular 	βέλος	βέλους	βέλει	βέλος	βέλος	3	without suffix double stem							
arrow	neuter	dual 	βέλει	βελοῖν	βελοῖν	βέλει	βέλει	3	without suffix double stem							
arrow	neuter	plural 	βέλη	βελῶν	βέλεσι	βέλη	βέλη	3	without suffix double stem							
foundation	neuter	singular 	ἔδαφος	ἐδάφους	ἐδάφει	ἔδαφος	ἔδαφος	3	without suffix double stem							
foundation	neuter	dual 	ἐδάφει	ἐδαφοῖν	ἐδαφοῖν	ἐδάφει	ἐδάφει	3	without suffix double stem							
foundation	neuter	plural 	ἐδάφη	ἐδαφῶν	ἐδάφεσι	ἐδάφη	ἐδάφη	3	without suffix double stem							
shame	feminine	singular	αἰδώς	αἰδοῦς	αἰδοῖ	αἰδῶ	αἰδώς 	3	without suffix double stem							
																
