appear	past (perfect) indicativeالْمَاضِي		f		عُرِضْتُ‎	ʕuriḍtu	عُرِضْتِ‎	ʕuriḍti	عُرِضَتْ‎	ʕuriḍat			عُرِضْتُمَا‎	ʕuriḍtumā	عُرِضَتَا‎	ʕuriḍatā			عُرِضْنَا‎	ʕuriḍnā	عُرِضْتُنَّ‎	ʕuriḍtunna	عُرِضْنَ‎	ʕuriḍna		
appear	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		m		أُعْرَضُ‎	ʔuʕraḍu	تُعْرَضُ‎	tuʕraḍu	يُعْرَضُ‎	yuʕraḍu			تُعْرَضَانِ‎	tuʕraḍāni	يُعْرَضَانِ‎	yuʕraḍāni			نُعْرَضُ‎	nuʕraḍu	تُعْرَضُونَ‎	tuʕraḍūna	يُعْرَضُونَ‎	yuʕraḍūna		
appear	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		أُعْرَضُ‎	ʔuʕraḍu	تُعْرَضِينَ‎	tuʕraḍīna	تُعْرَضُ‎	tuʕraḍu			تُعْرَضَانِ‎	tuʕraḍāni	تُعْرَضَانِ‎	tuʕraḍāni			نُعْرَضُ‎	nuʕraḍu	تُعْرَضْنَ‎	tuʕraḍna	يُعْرَضْنَ‎	yuʕraḍna		
appear	subjunctiveالْمُضَارِع الْمَنْصُوب		m		أُعْرَضَ‎	ʔuʕraḍa	تُعْرَضَ‎	tuʕraḍa	يُعْرَضَ‎	yuʕraḍa			تُعْرَضَا‎	tuʕraḍā	يُعْرَضَا‎	yuʕraḍā			نُعْرَضَ‎	nuʕraḍa	تُعْرَضُوا‎	tuʕraḍū	يُعْرَضُوا‎	yuʕraḍū		
appear	subjunctiveالْمُضَارِع الْمَنْصُوب		f		أُعْرَضَ‎	ʔuʕraḍa	تُعْرَضِي‎	tuʕraḍī	تُعْرَضَ‎	tuʕraḍa			تُعْرَضَا‎	tuʕraḍā	تُعْرَضَا‎	tuʕraḍā			نُعْرَضَ‎	nuʕraḍa	تُعْرَضْنَ‎	tuʕraḍna	يُعْرَضْنَ‎	yuʕraḍna		
appear	jussiveالْمُضَارِع الْمَجْزُوم		m		أُعْرَضْ‎	ʔuʕraḍ	تُعْرَضْ‎	tuʕraḍ	يُعْرَضْ‎	yuʕraḍ			تُعْرَضَا‎	tuʕraḍā	يُعْرَضَا‎	yuʕraḍā			نُعْرَضْ‎	nuʕraḍ	تُعْرَضُوا‎	tuʕraḍū	يُعْرَضُوا‎	yuʕraḍū		
appear	jussiveالْمُضَارِع الْمَجْزُوم		f		أُعْرَضْ‎	ʔuʕraḍ	تُعْرَضِي‎	tuʕraḍī	تُعْرَضْ‎	tuʕraḍ			تُعْرَضَا‎	tuʕraḍā	تُعْرَضَا‎	tuʕraḍā			نُعْرَضْ‎	nuʕraḍ	تُعْرَضْنَ‎	tuʕraḍna	يُعْرَضْنَ‎	yuʕraḍna		
appear	verbal nounsالْمَصَادِر			verbal nounsالْمَصَادِر			verbal nounsالْمَصَادِر			verbal nounsالْمَصَادِر			verbal nounsالْمَصَادِر			verbal nounsالْمَصَادِر			عِرَض or عَرَاضَة‎ or 	ʕiraḍ	ʕarāḍa	عِرَض or عَرَاضَة‎ or 	ʕiraḍ	ʕarāḍa	عِرَض or عَرَاضَة‎ or 	ʕiraḍ	ʕarāḍa	عِرَض or عَرَاضَة‎ or 	ʕiraḍ	ʕarāḍa	عِرَض or عَرَاضَة‎ or 	ʕiraḍ	ʕarāḍa	عِرَض or عَرَاضَة‎ or 	ʕiraḍ	ʕarāḍa	عِرَض or عَرَاضَة‎ or 	ʕiraḍ	ʕarāḍa
appear	active participleاِسْم الْفَاعِل			active participleاِسْم الْفَاعِل			active participleاِسْم الْفَاعِل			active participleاِسْم الْفَاعِل			active participleاِسْم الْفَاعِل			active participleاِسْم الْفَاعِل			عَارِض‎	ʕāriḍ		عَارِض‎	ʕāriḍ		عَارِض‎	ʕāriḍ		عَارِض‎	ʕāriḍ		عَارِض‎	ʕāriḍ		عَارِض‎	ʕāriḍ		عَارِض‎	ʕāriḍ	
appear	active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم					
