resemble	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		أَشْبَهُ‎	ʔašbahu	تَشْبَهِينَ‎	tašbahīna	تَشْبَهُ‎	tašbahu			تَشْبَهَانِ‎	tašbahāni	تَشْبَهَانِ‎	tašbahāni			نَشْبَهُ‎	našbahu	تَشْبَهْنَ‎	tašbahna	يَشْبَهْنَ‎	yašbahna		
resemble	subjunctiveالْمُضَارِع الْمَنْصُوب		m		أَشْبَهَ‎	ʔašbaha	تَشْبَهَ‎	tašbaha	يَشْبَهَ‎	yašbaha			تَشْبَهَا‎	tašbahā	يَشْبَهَا‎	yašbahā			نَشْبَهَ‎	našbaha	تَشْبَهُوا‎	tašbahū	يَشْبَهُوا‎	yašbahū		
resemble	subjunctiveالْمُضَارِع الْمَنْصُوب		f		أَشْبَهَ‎	ʔašbaha	تَشْبَهِي‎	tašbahī	تَشْبَهَ‎	tašbaha			تَشْبَهَا‎	tašbahā	تَشْبَهَا‎	tašbahā			نَشْبَهَ‎	našbaha	تَشْبَهْنَ‎	tašbahna	يَشْبَهْنَ‎	yašbahna		
resemble	jussiveالْمُضَارِع الْمَجْزُوم		m		أَشْبَهْ‎	ʔašbah	تَشْبَهْ‎	tašbah	يَشْبَهْ‎	yašbah			تَشْبَهَا‎	tašbahā	يَشْبَهَا‎	yašbahā			نَشْبَهْ‎	našbah	تَشْبَهُوا‎	tašbahū	يَشْبَهُوا‎	yašbahū		
resemble	jussiveالْمُضَارِع الْمَجْزُوم		f		أَشْبَهْ‎	ʔašbah	تَشْبَهِي‎	tašbahī	تَشْبَهْ‎	tašbah			تَشْبَهَا‎	tašbahā	تَشْبَهَا‎	tašbahā			نَشْبَهْ‎	našbah	تَشْبَهْنَ‎	tašbahna	يَشْبَهْنَ‎	yašbahna		
resemble	imperativeالْأَمْر		m				اِشْبَهْ‎	išbah					اِشْبَهَا‎	išbahā							اِشْبَهُوا‎	išbahū				
resemble	imperativeالْأَمْر		f				اِشْبَهِي‎	išbahī					اِشْبَهَا‎	išbahā							اِشْبَهْنَ‎	išbahna				
resemble	passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول			
resemble					singularالْمُفْرَد		singularالْمُفْرَد		singularالْمُفْرَد				dualالْمُثَنَّى		dualالْمُثَنَّى				pluralالْجَمْع		pluralالْجَمْع		pluralالْجَمْع			
resemble					1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب				2nd personالْمُخَاطَب		3rd personالْغَائِب				1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب			
resemble	past (perfect) indicativeالْمَاضِي		m		شُبِهْتُ‎	šubihtu	شُبِهْتَ‎	šubihta	شُبِهَ	šubiha			شُبِهْتُمَا‎	šubihtumā	شُبِهَا‎	šubihā			شُبِهْنَا‎	šubihnā	شُبِهْتُمْ‎	šubihtum	شُبِهُوا‎	šubihū		
resemble	past (perfect) indicativeالْمَاضِي		f		شُبِهْتُ‎	šubihtu	شُبِهْتِ‎	šubihti	شُبِهَتْ‎	šubihat			شُبِهْتُمَا‎	šubihtumā	شُبِهَتَا‎	šubihatā			شُبِهْنَا‎	šubihnā	شُبِهْتُنَّ‎	šubihtunna	شُبِهْنَ‎	šubihna		
resemble	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		m		أُشْبَهُ‎	ʔušbahu	تُشْبَهُ‎	tušbahu	يُشْبَهُ‎	yušbahu			تُشْبَهَانِ‎	tušbahāni	يُشْبَهَانِ‎	yušbahāni			نُشْبَهُ‎	nušbahu	تُشْبَهُونَ‎	tušbahūna	يُشْبَهُونَ‎	yušbahūna		
resemble	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		أُشْبَهُ‎	ʔušbahu	تُشْبَهِينَ‎	tušbahīna	تُشْبَهُ‎	tušbahu			تُشْبَهَانِ‎	tušbahāni	تُشْبَهَانِ‎	tušbahāni			نُشْبَهُ‎	nušbahu	تُشْبَهْنَ‎	tušbahna	يُشْبَهْنَ‎	yušbahna		
resemble	subjunctiveالْمُضَارِع الْمَنْصُوب		m		أُشْبَهَ‎	ʔušbaha	تُشْبَهَ‎	tušbaha	يُشْبَهَ‎	yušbaha			تُشْبَهَا‎	tušbahā	يُشْبَهَا‎	yušbahā			نُشْبَهَ‎	nušbaha	تُشْبَهُوا‎	tušbahū	يُشْبَهُوا‎	yušbahū		
resemble	subjunctiveالْمُضَارِع الْمَنْصُوب		f		أُشْبَهَ‎	ʔušbaha	تُشْبَهِي‎	tušbahī	تُشْبَهَ‎	tušbaha			تُشْبَهَا‎	tušbahā	تُشْبَهَا‎	tušbahā			نُشْبَهَ‎	nušbaha	تُشْبَهْنَ‎	tušbahna	يُشْبَهْنَ‎	yušbahna		
resemble	jussiveالْمُضَارِع الْمَجْزُوم		m		أُشْبَهْ‎	ʔušbah	تُشْبَهْ‎	tušbah	يُشْبَهْ‎	yušbah			تُشْبَهَا‎	tušbahā	يُشْبَهَا‎	yušbahā			نُشْبَهْ‎	nušbah	تُشْبَهُوا‎	tušbahū	يُشْبَهُوا‎	yušbahū		
resemble	jussiveالْمُضَارِع الْمَجْزُوم		f		أُشْبَهْ‎	ʔušbah	تُشْبَهِي‎	tušbahī	تُشْبَهْ‎	tušbah			تُشْبَهَا‎	tušbahā	تُشْبَهَا‎	tušbahā			نُشْبَهْ‎	nušbah	تُشْبَهْنَ‎	tušbahna	يُشْبَهْنَ‎	yušbahna		
resemble	verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		تَشْبِيه‎	tašbīh	تَشْبِيه‎	tašbīh	تَشْبِيه‎	tašbīh	تَشْبِيه‎	tašbīh	تَشْبِيه‎	tašbīh	تَشْبِيه‎	tašbīh	تَشْبِيه‎	tašbīh
resemble	active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		مُشَبِّه‎	mušabbih	مُشَبِّه‎	mušabbih	مُشَبِّه‎	mušabbih	مُشَبِّه‎	mušabbih	مُشَبِّه‎	mušabbih	مُشَبِّه‎	mušabbih	مُشَبِّه‎	mušabbih
resemble	passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		مُشَبَّه‎	mušabbah	مُشَبَّه‎	mušabbah	مُشَبَّه‎	mušabbah	مُشَبَّه‎	mušabbah	مُشَبَّه‎	mušabbah	مُشَبَّه‎	mušabbah	مُشَبَّه‎	mušabbah
resemble	active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم			
resemble					singularالْمُفْرَد		singularالْمُفْرَد		singularالْمُفْرَد				dualالْمُثَنَّى		dualالْمُثَنَّى				pluralالْجَمْع		pluralالْجَمْع		pluralالْجَمْع			
resemble					1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب				2nd personالْمُخَاطَب		3rd personالْغَائِب				1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب			
resemble	past (perfect) indicativeالْمَاضِي		m		شَبَّهْتُ‎	šabbahtu	شَبَّهْتَ‎	šabbahta	شَبَّهَ	šabbaha			شَبَّهْتُمَا‎	šabbahtumā	شَبَّهَا‎	šabbahā			شَبَّهْنَا‎	šabbahnā	شَبَّهْتُمْ‎	šabbahtum	شَبَّهُوا‎	šabbahū		
resemble	past (perfect) indicativeالْمَاضِي		f		شَبَّهْتُ‎	šabbahtu	شَبَّهْتِ‎	šabbahti	شَبَّهَتْ‎	šabbahat			شَبَّهْتُمَا‎	šabbahtumā	شَبَّهَتَا‎	šabbahatā			شَبَّهْنَا‎	šabbahnā	شَبَّهْتُنَّ‎	šabbahtunna	شَبَّهْنَ‎	šabbahna		
resemble	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		m		أُشَبِّهُ‎	ʔušabbihu	تُشَبِّهُ‎	tušabbihu	يُشَبِّهُ‎	yušabbihu			تُشَبِّهَانِ‎	tušabbihāni	يُشَبِّهَانِ‎	yušabbihāni			نُشَبِّهُ‎	nušabbihu	تُشَبِّهُونَ‎	tušabbihūna	يُشَبِّهُونَ‎	yušabbihūna		
resemble	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		أُشَبِّهُ‎	ʔušabbihu	تُشَبِّهِينَ‎	tušabbihīna	تُشَبِّهُ‎	tušabbihu			تُشَبِّهَانِ‎	tušabbihāni	تُشَبِّهَانِ‎	tušabbihāni			نُشَبِّهُ‎	nušabbihu	تُشَبِّهْنَ‎	tušabbihna	يُشَبِّهْنَ‎	yušabbihna		
resemble	subjunctiveالْمُضَارِع الْمَنْصُوب		m		أُشَبِّهَ‎	ʔušabbiha	تُشَبِّهَ‎	tušabbiha	يُشَبِّهَ‎	yušabbiha			تُشَبِّهَا‎	tušabbihā	يُشَبِّهَا‎	yušabbihā			نُشَبِّهَ‎	nušabbiha	تُشَبِّهُوا‎	tušabbihū	يُشَبِّهُوا‎	yušabbihū		
resemble	subjunctiveالْمُضَارِع الْمَنْصُوب		f		أُشَبِّهَ‎	ʔušabbiha	تُشَبِّهِي‎	tušabbihī	تُشَبِّهَ‎	tušabbiha			تُشَبِّهَا‎	tušabbihā	تُشَبِّهَا‎	tušabbihā			نُشَبِّهَ‎	nušabbiha	تُشَبِّهْنَ‎	tušabbihna	يُشَبِّهْنَ‎	yušabbihna		
resemble	jussiveالْمُضَارِع الْمَجْزُوم		m		أُشَبِّهْ‎	ʔušabbih	تُشَبِّهْ‎	tušabbih	يُشَبِّهْ‎	yušabbih			تُشَبِّهَا‎	tušabbihā	يُشَبِّهَا‎	yušabbihā			نُشَبِّهْ‎	nušabbih	تُشَبِّهُوا‎	tušabbihū	يُشَبِّهُوا‎	yušabbihū		
resemble	jussiveالْمُضَارِع الْمَجْزُوم		f		أُشَبِّهْ‎	ʔušabbih	تُشَبِّهِي‎	tušabbihī	تُشَبِّهْ‎	tušabbih			تُشَبِّهَا‎	tušabbihā	تُشَبِّهَا‎	tušabbihā			نُشَبِّهْ‎	nušabbih	تُشَبِّهْنَ‎	tušabbihna	يُشَبِّهْنَ‎	yušabbihna		
resemble	imperativeالْأَمْر		m				شَبِّهْ	šabbih					شَبِّهَا‎	šabbihā							شَبِّهُوا‎	šabbihū				
resemble	imperativeالْأَمْر		f				شَبِّهِي‎	šabbihī					شَبِّهَا‎	šabbihā							شَبِّهْنَ‎	šabbihna				
resemble	passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول			
resemble					singularالْمُفْرَد		singularالْمُفْرَد		singularالْمُفْرَد				dualالْمُثَنَّى		dualالْمُثَنَّى				pluralالْجَمْع		pluralالْجَمْع		pluralالْجَمْع			
resemble					1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب				2nd personالْمُخَاطَب		3rd personالْغَائِب				1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب			
resemble	past (perfect) indicativeالْمَاضِي		m		شُبِّهْتُ‎	šubbihtu	شُبِّهْتَ‎	šubbihta	شُبِّهَ	šubbiha			شُبِّهْتُمَا‎	šubbihtumā	شُبِّهَا‎	šubbihā			شُبِّهْنَا‎	šubbihnā	شُبِّهْتُمْ‎	šubbihtum	شُبِّهُوا‎	šubbihū		
resemble	past (perfect) indicativeالْمَاضِي		f		شُبِّهْتُ‎	šubbihtu	شُبِّهْتِ‎	šubbihti	شُبِّهَتْ‎	šubbihat			شُبِّهْتُمَا‎	šubbihtumā	شُبِّهَتَا‎	šubbihatā			شُبِّهْنَا‎	šubbihnā	شُبِّهْتُنَّ‎	šubbihtunna	شُبِّهْنَ‎	šubbihna		
resemble	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		m		أُشَبَّهُ‎	ʔušabbahu	تُشَبَّهُ‎	tušabbahu	يُشَبَّهُ‎	yušabbahu			تُشَبَّهَانِ‎	tušabbahāni	يُشَبَّهَانِ‎	yušabbahāni			نُشَبَّهُ‎	nušabbahu	تُشَبَّهُونَ‎	tušabbahūna	يُشَبَّهُونَ‎	yušabbahūna		
resemble	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		أُشَبَّهُ‎	ʔušabbahu	تُشَبَّهِينَ‎	tušabbahīna	تُشَبَّهُ‎	tušabbahu			تُشَبَّهَانِ‎	tušabbahāni	تُشَبَّهَانِ‎	tušabbahāni			نُشَبَّهُ‎	nušabbahu	تُشَبَّهْنَ‎	tušabbahna	يُشَبَّهْنَ‎	yušabbahna		
resemble	subjunctiveالْمُضَارِع الْمَنْصُوب		m		أُشَبَّهَ‎	ʔušabbaha	تُشَبَّهَ‎	tušabbaha	يُشَبَّهَ‎	yušabbaha			تُشَبَّهَا‎	tušabbahā	يُشَبَّهَا‎	yušabbahā			نُشَبَّهَ‎	nušabbaha	تُشَبَّهُوا‎	tušabbahū	يُشَبَّهُوا‎	yušabbahū		
resemble	subjunctiveالْمُضَارِع الْمَنْصُوب		f		أُشَبَّهَ‎	ʔušabbaha	تُشَبَّهِي‎	tušabbahī	تُشَبَّهَ‎	tušabbaha			تُشَبَّهَا‎	tušabbahā	تُشَبَّهَا‎	tušabbahā			نُشَبَّهَ‎	nušabbaha	تُشَبَّهْنَ‎	tušabbahna	يُشَبَّهْنَ‎	yušabbahna		
resemble	jussiveالْمُضَارِع الْمَجْزُوم		m		أُشَبَّهْ‎	ʔušabbah	تُشَبَّهْ‎	tušabbah	يُشَبَّهْ‎	yušabbah			تُشَبَّهَا‎	tušabbahā	يُشَبَّهَا‎	yušabbahā			نُشَبَّهْ‎	nušabbah	تُشَبَّهُوا‎	tušabbahū	يُشَبَّهُوا‎	yušabbahū		
resemble	jussiveالْمُضَارِع الْمَجْزُوم		f		أُشَبَّهْ‎	ʔušabbah	تُشَبَّهِي‎	tušabbahī	تُشَبَّهْ‎	tušabbah			تُشَبَّهَا‎	tušabbahā	تُشَبَّهَا‎	tušabbahā			نُشَبَّهْ‎	nušabbah	تُشَبَّهْنَ‎	tušabbahna	يُشَبَّهْنَ‎	yušabbahna		
rest	verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		اِسْتِرَاحَة‎	istirāḥa	اِسْتِرَاحَة‎	istirāḥa	اِسْتِرَاحَة‎	istirāḥa	اِسْتِرَاحَة‎	istirāḥa	اِسْتِرَاحَة‎	istirāḥa	اِسْتِرَاحَة‎	istirāḥa	اِسْتِرَاحَة‎	istirāḥa
rest	active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		مُسْتَرِيح‎	mustarīḥ	مُسْتَرِيح‎	mustarīḥ	مُسْتَرِيح‎	mustarīḥ	مُسْتَرِيح‎	mustarīḥ	مُسْتَرِيح‎	mustarīḥ	مُسْتَرِيح‎	mustarīḥ	مُسْتَرِيح‎	mustarīḥ
rest	passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		مُسْتَرَاح‎	mustarāḥ	مُسْتَرَاح‎	mustarāḥ	مُسْتَرَاح‎	mustarāḥ	مُسْتَرَاح‎	mustarāḥ	مُسْتَرَاح‎	mustarāḥ	مُسْتَرَاح‎	mustarāḥ	مُسْتَرَاح‎	mustarāḥ
rest	active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم			
rest					singularالْمُفْرَد		singularالْمُفْرَد		singularالْمُفْرَد				dualالْمُثَنَّى		dualالْمُثَنَّى				pluralالْجَمْع		pluralالْجَمْع		pluralالْجَمْع			
rest					1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب				2nd personالْمُخَاطَب		3rd personالْغَائِب				1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب			
rest	past (perfect) indicativeالْمَاضِي		m		اِسْتَرَحْتُ‎	istaraḥtu	اِسْتَرَحْتَ‎	istaraḥta	اِسْتَرَاحَ	istarāḥa			اِسْتَرَحْتُمَا‎	istaraḥtumā	اِسْتَرَاحَا‎	istarāḥā			اِسْتَرَحْنَا‎	istaraḥnā	اِسْتَرَحْتُمْ‎	istaraḥtum	اِسْتَرَاحُوا‎	istarāḥū		
rest	past (perfect) indicativeالْمَاضِي		f		اِسْتَرَحْتُ‎	istaraḥtu	اِسْتَرَحْتِ‎	istaraḥti	اِسْتَرَاحَتْ‎	istarāḥat			اِسْتَرَحْتُمَا‎	istaraḥtumā	اِسْتَرَاحَتَا‎	istarāḥatā			اِسْتَرَحْنَا‎	istaraḥnā	اِسْتَرَحْتُنَّ‎	istaraḥtunna	اِسْتَرَحْنَ‎	istaraḥna		
rest	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		m		أَسْتَرِيحُ‎	ʔastarīḥu	تَسْتَرِيحُ‎	tastarīḥu	يَسْتَرِيحُ‎	yastarīḥu			تَسْتَرِيحَانِ‎	tastarīḥāni	يَسْتَرِيحَانِ‎	yastarīḥāni			نَسْتَرِيحُ‎	nastarīḥu	تَسْتَرِيحُونَ‎	tastarīḥūna	يَسْتَرِيحُونَ‎	yastarīḥūna		
rest	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		أَسْتَرِيحُ‎	ʔastarīḥu	تَسْتَرِيحِينَ‎	tastarīḥīna	تَسْتَرِيحُ‎	tastarīḥu			تَسْتَرِيحَانِ‎	tastarīḥāni	تَسْتَرِيحَانِ‎	tastarīḥāni			نَسْتَرِيحُ‎	nastarīḥu	تَسْتَرِحْنَ‎	tastariḥna	يَسْتَرِحْنَ‎	yastariḥna		
rest	subjunctiveالْمُضَارِع الْمَنْصُوب		m		أَسْتَرِيحَ‎	ʔastarīḥa	تَسْتَرِيحَ‎	tastarīḥa	يَسْتَرِيحَ‎	yastarīḥa			تَسْتَرِيحَا‎	tastarīḥā	يَسْتَرِيحَا‎	yastarīḥā			نَسْتَرِيحَ‎	nastarīḥa	تَسْتَرِيحُوا‎	tastarīḥū	يَسْتَرِيحُوا‎	yastarīḥū		
rest	subjunctiveالْمُضَارِع الْمَنْصُوب		f		أَسْتَرِيحَ‎	ʔastarīḥa	تَسْتَرِيحِي‎	tastarīḥī	تَسْتَرِيحَ‎	tastarīḥa			تَسْتَرِيحَا‎	tastarīḥā	تَسْتَرِيحَا‎	tastarīḥā			نَسْتَرِيحَ‎	nastarīḥa	تَسْتَرِحْنَ‎	tastariḥna	يَسْتَرِحْنَ‎	yastariḥna		
rest	jussiveالْمُضَارِع الْمَجْزُوم		m		أَسْتَرِحْ‎	ʔastariḥ	تَسْتَرِحْ‎	tastariḥ	يَسْتَرِحْ‎	yastariḥ			تَسْتَرِيحَا‎	tastarīḥā	يَسْتَرِيحَا‎	yastarīḥā			نَسْتَرِحْ‎	nastariḥ	تَسْتَرِيحُوا‎	tastarīḥū	يَسْتَرِيحُوا‎	yastarīḥū		
rest	jussiveالْمُضَارِع الْمَجْزُوم		f		أَسْتَرِحْ‎	ʔastariḥ	تَسْتَرِيحِي‎	tastarīḥī	تَسْتَرِحْ‎	tastariḥ			تَسْتَرِيحَا‎	tastarīḥā	تَسْتَرِيحَا‎	tastarīḥā			نَسْتَرِحْ‎	nastariḥ	تَسْتَرِحْنَ‎	tastariḥna	يَسْتَرِحْنَ‎	yastariḥna		
rest	imperativeالْأَمْر		m				اِسْتَرِحْ‎	istariḥ					اِسْتَرِيحَا‎	istarīḥā							اِسْتَرِيحُوا‎	istarīḥū				
rest	imperativeالْأَمْر		f				اِسْتَرِيحِي‎	istarīḥī					اِسْتَرِيحَا‎	istarīḥā							اِسْتَرِحْنَ‎	istariḥna				
rest	passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول			
rest					singularالْمُفْرَد		singularالْمُفْرَد		singularالْمُفْرَد				dualالْمُثَنَّى		dualالْمُثَنَّى				pluralالْجَمْع		pluralالْجَمْع		pluralالْجَمْع			
rest					1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب				2nd personالْمُخَاطَب		3rd personالْغَائِب				1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب			
rest	past (perfect) indicativeالْمَاضِي		m		—		—		اُسْتُرِيحَ‎	usturīḥa			—		—				—		—		—			
rest	past (perfect) indicativeالْمَاضِي		f		—		—		—				—		—				—		—		—			
rest	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		m		—		—		يُسْتَرَاحُ‎	yustarāḥu			—		—				—		—		—			
rest	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		—		—		—				—		—				—		—		—			
rest	subjunctiveالْمُضَارِع الْمَنْصُوب		m		—		—		يُسْتَرَاحَ‎	yustarāḥa			—		—				—		—		—			
rest	subjunctiveالْمُضَارِع الْمَنْصُوب		f		—		—		—				—		—				—		—		—			
rest	jussiveالْمُضَارِع الْمَجْزُوم		m		—		—		يُسْتَرَحْ‎	yustaraḥ			—		—				—		—		—			
rest	jussiveالْمُضَارِع الْمَجْزُوم		f		—		—		—				—		—				—		—		—			
see	verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		رُؤْيَة‎	ruʔya	رُؤْيَة‎	ruʔya	رُؤْيَة‎	ruʔya	رُؤْيَة‎	ruʔya	رُؤْيَة‎	ruʔya	رُؤْيَة‎	ruʔya	رُؤْيَة‎	ruʔya
see	active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		رَاءٍ‎	rāʔin	رَاءٍ‎	rāʔin	رَاءٍ‎	rāʔin	رَاءٍ‎	rāʔin	رَاءٍ‎	rāʔin	رَاءٍ‎	rāʔin	رَاءٍ‎	rāʔin
see	passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		مَرْئِيّ‎	marʔiyy	مَرْئِيّ‎	marʔiyy	مَرْئِيّ‎	marʔiyy	مَرْئِيّ‎	marʔiyy	مَرْئِيّ‎	marʔiyy	مَرْئِيّ‎	marʔiyy	مَرْئِيّ‎	marʔiyy
see	active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم			
see					singularالْمُفْرَد		singularالْمُفْرَد		singularالْمُفْرَد				dualالْمُثَنَّى		dualالْمُثَنَّى				pluralالْجَمْع		pluralالْجَمْع		pluralالْجَمْع			
see					1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب				2nd personالْمُخَاطَب		3rd personالْغَائِب				1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب			
see	past (perfect) indicativeالْمَاضِي		m		رَأَيْتُ‎	raʔaytu	رَأَيْتَ‎	raʔayta	رَأَى	raʔā			رَأَيْتُمَا‎	raʔaytumā	رَأَيَا‎	raʔayā			رَأَيْنَا‎	raʔaynā	رَأَيْتُمْ‎	raʔaytum	رَأَوْا‎	raʔaw		
see	past (perfect) indicativeالْمَاضِي		f		رَأَيْتُ‎	raʔaytu	رَأَيْتِ‎	raʔayti	رَأَتْ‎	raʔat			رَأَيْتُمَا‎	raʔaytumā	رَأَتَا‎	raʔatā			رَأَيْنَا‎	raʔaynā	رَأَيْتُنَّ‎	raʔaytunna	رَأَيْنَ‎	raʔayna		
see	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		m		أَرَى‎	ʔarā	تَرَى‎	tarā	يَرَى‎	yarā			تَرَيَانِ‎	tarayāni	يَرَيَانِ‎	yarayāni			نَرَى‎	narā	تَرَوْنَ‎	tarawna	يَرَوْنَ‎	yarawna		
see	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		أَرَى‎	ʔarā	تَرَيْنَ‎	tarayna	تَرَى‎	tarā			تَرَيَانِ‎	tarayāni	تَرَيَانِ‎	tarayāni			نَرَى‎	narā	تَرَيْنَ‎	tarayna	يَرَيْنَ‎	yarayna		
