*	*	*	*	case	preposition	postposition
	modifier	acquired	interest	oblique	[for the sake of]	∅
	modifier	approached	interest	oblique	towards [the interest of]	∅
	modifier	surpassed	interest	oblique	beyond [the interest of]	∅
	modifier	leveraged	interest	oblique	[by appealing to the interest of]	∅
	modifier	departed	purpose	oblique	[following from the purpose of]	∅
	modifier	associated	purpose	oblique	[assuming the purpose of]	∅
	modifier	acquired	purpose	oblique	[for the purpose of]	∅
	modifier	approached	purpose	oblique	towards [the purpose of]	∅
	modifier	surpassed	purpose	oblique	beyond [the purpose of]	∅
	modifier	leveraged	purpose	oblique	[by leveraging the purpose of]	∅
	modifier	departed	time	oblique	after	∅
	modifier	associated	time	oblique	during	∅
	modifier	acquired	time	oblique	until	∅
	modifier	approached	time	oblique	nearing	∅
	modifier	surpassed	time	oblique	past	∅
	modifier	leveraged	time	oblique	by [making use of]	∅
	modifier	departed	state of being	oblique	from having been	∅
	modifier	associated	state of being	oblique	as a	∅
	modifier	acquired	state of being	oblique	in order to be	∅
	modifier	approached	state of being	oblique	towards being	∅
	modifier	surpassed	state of being	oblique	beyond being	∅
	modifier	leveraged	state of being	oblique	due to being	∅
	modifier	departed	topic	oblique	[off the topic of]	∅
	modifier	associated	topic	oblique	[regarding]	∅
	modifier	acquired	topic	oblique	[pursuant to]	∅
	modifier	approached	topic	oblique	towards [the topic of]	∅
	modifier	surpassed	topic	oblique	beyond [the topic of]	∅
	modifier	leveraged	topic	oblique	by using [the topic of]	∅
	modifier	associated	company	oblique	in the company of	∅
	modifier	associated	resemblance	oblique	like	∅
						
#	subjectivity	motion	role			
#	subject	departed	[see above]			
#	direct-object	associated				
#	indirect-object	acquired				
#	modifier	approached				
#		surpassed				
#		leveraged				
#						
#						
#						
#						
