	particle	bộ	11915	sentence-initial question particle, is it that? do...? I bet
📖	verb	đề	11782	to read
🌃	adjective	tối	11740	dark
🌃	noun	tối	11740	night
	noun	cám	11700	bran
	verb	sinh	11437	to give birth
🧗	verb	giữ	11311	to hold; to keep
🗣️	noun	tiếng	11269	voice
	noun	câu	11162	|dove
🏠🧍	preposition	bởi	11066	
	conjunction	bởi	11066	because
	particle	ừ	10959	yeah
	verb	chờ	10916	to wait; to await
💃	adjective	đẹp	10847	beautiful
	verb	lo	10568	to worry
	conjunction	vừa	10554	Indicates two simultaneous actions
🧅	noun	hành	10481	onion
	noun	giới	10461	a kingdom
🐆	noun	báo	10417	leopard; newspaper
	verb	tưởng	10339	to figure
💊	noun	viên	10200	pill
🏺	noun	bình	9884	vase
🏙️	adjective	sáng	9583	bright
🐘	adjective	lớn	9440	big
🌱	verb	lớn	9440	to grow
	pronoun	thần	9422	/me, your royal/imperial servant
🚪	noun	cửa	9357	door
	determiner	ba	9325	some, an indefinite quantity greater than one
🍢	noun	thương	9287	spear
🏃	verb	chạy	9243	to run
	noun	giải	9179	prize; cup
	adjective	thường	9046	common
	adjective	cuối	8991	final
	verb	mang	8908	to carry
	noun	mang	8908	gill
👀	noun	vẻ	8890	look; appearance
🙏	verb	cầu	8810	to pray
🌉	noun	cầu	8810	bridge
	noun	đội	8766	team
	pronoun	nhỏ	8754	she/her, that girl
	pronoun	bác	8710	you, someone who's presumably slightly older than one of my parents
	adjective	hợp	8685	compatible
🇪🇺	noun	hợp	8685	union
😴	verb	ngủ	8629	to sleep
	conjunction	thêm	8615	plus
📈	verb	thay	8549	to shift; to change
	noun	xác	8476	corpse
	pronoun	bay	8451	you
	pronoun	a	8419	
🌃	noun	đêm	8398	night
🧚	noun	tiên	8385	fairy
🔌	noun	điện	8348	electricity
	verb	dùng	8291	to use
	verb	đổi	8217	to change
	conjunction	dù	8199	
🤗	adjective	thân	8178	dear
🧍	noun	thân	8178	body
	noun	súng	8127	water lily
🧍🧍🧍‍♂️	pronoun	ảnh	8097	he; him
	adjective	đứng	8080	still
🧍	verb	đứng	8080	to stand
	noun	hội	8053	a festival
	adverb	gần	7760	nearly; almost
🧍🚪	adjective	gần	7760	nearby; near; close
	adjective	xa	7718	far
	verb	phát	7679	to generate
🪑	verb	ngồi	7649	to sit
	verb	đợi	7640	to wait
🏫	noun	trường	7559	school
	noun	đất	7534	soil; dirt; land
🧒	adjective	trẻ	7429	young
	verb	tính	7341	to calculate
🏞️	noun	tính	7341	nature
🐦🐦	noun	đàn	7335	flock; herd
🧍🧍🧍‍♂️	pronoun	ổng	7316	he; him
🥛	verb	uống	7286	to drink
	particle	sắp	7242	about to
	adjective	điên	7188	rabid
💸	noun	giá	7125	price
	verb	tập	7011	to exercise
	noun	tập	7011	pad
🛑	verb	dừng	7009	to stop
	adjective	khó	6994	difficult; tough
🧍🚪	verb	mở	6913	to open
	determiner	ít	6901	few, little
	particle	ạ	6886	
⛰️	adjective	cao	6822	tall; high
⛰️	noun	cao	6822	height
⚔️	noun	kiếm	6791	sword
🌭	noun	lòng	6769	intestines
👁️	noun	mắt	6735	eye
🧪	verb	thử	6691	to test
🤴	noun	chủ	6685	master
💎	adjective	quý	6659	precious
👰‍♀️	noun	vợ	6611	wife
➗	noun	sư	6560	division
🤼	verb	vật	6537	to wrestle
🔩	noun	vật	6537	thing
🚢	verb	chuyển	6502	to port
	noun	chuyển	6502	shift
🤒	adjective	bệnh	6497	ill
	noun	bệnh	6497	disease; illness; sickness
🐂	adjective	mạnh	6490	strong; hard; well
	particle	phần	6464	used in fractions, between the numerator and the denominator; per; -th
	verb	thức	6426	to awake
	preposition	trái	6399	
🤔	verb	quên	6380	to forget
⏲️	noun	phút	6380	minute
🗳️	verb	chọn	6341	to choose; to name
🥇	noun	quý	6317	gold
	verb	sàng	6257	to winnow
	noun	sàng	6257	winnowing basket
	adjective	may	6234	lucky
🪡	verb	may	6234	to sew
🙂	adjective	mừng	6165	happy
⌨️	noun	loại	6092	type; sort; kind
	noun	chân	6088	a foot
❌	adjective	sai	5986	wrong
	noun	yên	5963	saddle
	adverb	hơi	5946	somewhat; slightly
👃	noun	hơi	5946	steam; smell
	verb	hạ	5942	to lower
🌿	noun	hạ	5942	summer
📑	noun	điểm	5880	grade; mark; point
🍏	noun	quả	5875	berry; fruit
🚬	verb	thuốc	5833	to smoke
💊	noun	thuốc	5833	medicine
	noun	lực	5830	force
🐚	noun	mai	5830	shovel; shell
	noun	phố	5811	street
🏃	adverb	mau	5801	quickly; fast
🐆	adjective	mau	5801	fast
📅	noun	tuần	5786	week
🤕	adjective	đau	5743	hurt
🤕	verb	đau	5743	to hurt
💸	verb	mua	5702	to buy
	pronoun	trò	5599	you, a student in my class where I'm the teacher
	noun	tàu	5568	|ship
🐕	noun	chó	5543	dog
	noun	pháp	5518	dharma
🎈	verb	nổi	5506	to float
📍	verb	đặt	5505	to set; to place; to put
🔊	adjective	to	5494	loud; big
∀🤌	determiner	mỗi	5478	each; every
🪨	adjective	đặc	5457	solid
🧑‍🏫	noun	bài	5452	lesson
	noun	khí	5415	|air
	noun	thú	5410	mammal
	noun	quyền	5405	a right
💌	noun	thư	5392	letter
🧑‍🤝‍🧑	noun	dân	5355	people
