#voice	person	plurality	present indicative	past indicative	imperative   	subjunctive     	optative        	participle    	english-object    	object         	emoji-template           	formation-type                  	descendants                 	
active	1     	singular 	wrₒǵyóh₂          	wrₒǵyóm        	             	wrₒǵyṓh₂        	wrₒǵyóyh₁mₒ     	wrₒǵyónts     	                  	               	{{subject}}<sup>🔧</sup>  	ye-suffix                       	                            	
active	2     	singular 	wrₒǵyési          	wrₒǵyés        	wrₒǵyé       	wrₒǵyḗsi        	wrₒǵyóys        	wrₒǵyónts     	                  	               	{{subject}}<sup>🔧</sup>  	ye-suffix                       	                            	
active	3     	singular 	wrₒǵyéti          	wrₒǵyét        	wrₒǵyétu     	wrₒǵyḗti        	wrₒǵyóyt        	wrₒǵyónts     	                  	               	{{subject}}<sup>🔧</sup>  	ye-suffix                       	                            	
active	1     	dual     	wrₒǵyówos         	wrₒǵyówe       	             	wrₒǵyṓwos       	wrₒǵyóywe       	wrₒǵyónts     	                  	               	{{subject}}<sup>🔧</sup>  	ye-suffix                       	                            	
active	2     	dual     	wrₒǵyétes         	wrₒǵyétom      	wrₒǵyétom    	wrₒǵyḗtes       	wrₒǵyóytom      	wrₒǵyónts     	                  	               	{{subject}}<sup>🔧</sup>  	ye-suffix                       	                            	
active	3     	dual     	wrₒǵyétes         	wrₒǵyétām      	wrₒǵyétām    	wrₒǵyḗtes       	wrₒǵyóytām      	wrₒǵyónts     	                  	               	{{subject}}<sup>🔧</sup>  	ye-suffix                       	                            	
active	1     	plural   	wrₒǵyómos         	wrₒǵyóme       	             	wrₒǵyṓmos       	wrₒǵyóyme       	wrₒǵyónts     	                  	               	{{subject}}<sup>🔧</sup>  	ye-suffix                       	                            	
active	2     	plural   	wrₒǵyéte          	wrₒǵyéte       	wrₒǵyéte     	wrₒǵyḗte        	wrₒǵyóyte       	wrₒǵyónts     	                  	               	{{subject}}<sup>🔧</sup>  	ye-suffix                       	                            	
active	3     	plural   	wrₒǵyónti         	wrₒǵyónt       	wrₒǵyóntu    	wrₒǵyṓnti       	wrₒǵyóyh₁nₒt    	wrₒǵyónts     	                  	               	{{subject}}<sup>🔧</sup>  	ye-suffix                       	                            	
middle	1     	singular 	wrₒǵyóh₂er        	wrₒǵyóh₂e      	             	wrₒǵyṓh₂er      	wrₒǵyóyh₂e      	wrₒǵyómnos    	                  	               	🧍<sup>🔧</sup>{{subject}} 	ye-suffix                       	                            	
middle	2     	singular 	wrₒǵyéth₂er       	wrₒǵyéth₂e     	wrₒǵyéso     	wrₒǵyḗth₂er     	wrₒǵyóyth₂e     	wrₒǵyómnos    	                  	               	🧍<sup>🔧</sup>{{subject}} 	ye-suffix                       	                            	
middle	3     	singular 	wrₒǵyétor         	wrₒǵyéto       	             	wrₒǵyḗtor       	wrₒǵyóyto       	wrₒǵyómnos    	                  	               	🧍<sup>🔧</sup>{{subject}} 	ye-suffix                       	                            	
middle	1     	dual     	wrₒǵyówosdʰh₂     	wrₒǵyówedʰh₂   	             	wrₒǵyṓwosdʰh₂   	wrₒǵyóywedʰh₂   	wrₒǵyómnos    	                  	               	🧍<sup>🔧</sup>{{subject}} 	ye-suffix                       	                            	
middle	2     	dual     	                  	               	             	                	                	wrₒǵyómnos    	                  	               	🧍<sup>🔧</sup>{{subject}} 	ye-suffix                       	                            	
middle	3     	dual     	                  	               	             	                	                	wrₒǵyómnos    	                  	               	🧍<sup>🔧</sup>{{subject}} 	ye-suffix                       	                            	
middle	1     	plural   	wrₒǵyómosdʰh₂     	wrₒǵyómedʰh₂   	             	wrₒǵyṓmosdʰh₂   	wrₒǵyóymedʰh₂   	wrₒǵyómnos    	                  	               	🧍<sup>🔧</sup>{{subject}} 	ye-suffix                       	                            	
