chapter_id	entry_id	meaning	Nenets_Phonemic	comment
5	130	drink	idar̃c̷ʸ	
5	140	hunger	ŋawor̃c̷ʸawa	
5	141	famine	ŋawor̃c̷ʸawa	
5	150	thirst	idiʔʔma	
5	160	suck	nimnʸeba	
5	180	chew	taʔʔwaba	
5	181	swallow	nʸalmba	
5	190	choke	xabtʸumdana; soxomdamba	Respectively: intransitive; transitive.; Respectively: intransitive; transitive.
5	210	cook	pir̃ʸeba	
5	220	boil (vb)	pir̃ʸe	
5	230	roast, fry	yabc̷aba	
5	240	bake	yabc̷ba	
5	250	oven	pʸečka; xor̃	
5	270	kettle	yed	
5	310	dish	pʸed	
5	320	plate	pʸed	
5	330	bowl	nar̃o	
5	350	cup, drinking vessel	sandʸa; xɨdʸa	
5	360	saucer	pʸedkec̷ʸa	
5	370	spoon	xu	
5	380	knife (2)	xar̃	
5	391	tongs	tɨc̷ʸaʔ	
5	410	meal (a)	tol; tolʸ	
5	420	breakfast	sʸay; xuwɨ ŋawar̃	
5	430	lunch	xuwɨ ŋawar̃	
5	440	dinner	yalʸey ŋawar̃	
5	450	supper	pewsʸumdawa	
5	460	peel	yaxasʸ; yexebasʸ; sisʸtʸembasʸ	
5	470	sieve, strain	ter̃aba	
5	480	scrape	war̃ʸepa	
5	490	stir, mix	xulc̷opa	
5	510	bread	nʸanʸ	
5	530	dough	lʸeska	
5	540	knead	xulc̷opa	
5	550	meal, flour	mayaʔ	
5	560	crush, grind	nʸayelpa	
5	570	mill	nʸayolabc̷ʸʔ	
5	610	meat	ŋamza	
5	640	soup, broth	ya; yewey	
5	650	vegetables	ŋawor̃taʔ ŋamdeʔʔ	
5	712	bunch	sʸar̃uw	
5	770	nut	naxar̃ʔʔ	
5	790	oil	yur̃ʔʔ	
5	791	grease, fat	tuʔʔ	
5	810	salt	ser̃ʔʔ	
5	850	sugar	saxar̃ʔʔ	
5	860	milk (noun)	malaka	
5	870	milk (vb)	doiba	
5	890	butter	yur̃ʔʔ	
5	900	beverage, drink	ŋer̃pada	
5	920	wine	yabʸe iʔʔ; sʸar̃ka	
5	970	egg	sar̃ʔʔnʸu	
5	971	egg yolk	tasik	
6	110	put on (clothes)	yembtana	
6	120	clothing, clothes	yembdʸar̃ʔʔ; imbɨtʔʔ	
6	130	tailor	sedor̃ana	
6	210	cloth	toxoʔʔ; noy	
6	220	wool	tar̃ʔʔ	
6	230	linen, flax	toxoʔʔ	
6	240	cotton	toxoʔʔ	
6	250	silk	xambka	
6	280	fur	xobaʔ tar̃ʔʔ	
6	290	leather	tobyowa	
6	310	spin	paŋgalpa	
6	330	weave	sʸar̃ba	
6	350	sew	sedor̃asʸ	
6	360	needle	nibʸa	
6	370	awl	pinʸamindʸa	
6	380	thread	ten; temboy	
6	390	dye	ŋotabasʸ	
6	410	cloak	yar̃	
6	420	woman's dress	imbɨtʔʔ	
6	430	coat	lad panɨ	
6	440	shirt	imbɨtʔʔ	
6	450	collar	ikadʔʔ	
6	480	trousers	piʔʔmʸa	
6	490	stocking, sock	čulka	
6	510	shoe	xutɨ; xar̃nak	
6	520	boot	xutɨ	
6	540	shoemaker, cobbler	xutɨ sedabada	
6	550	hat, cap	sawa	
6	570	belt, girdle	ni	
6	580	glove	ŋoba	
6	610	pocket	sʸep	
6	620	button	sisʸʔ	
6	710	ornament, adornment	mec̷eymdambabc̷ʸʔ	
6	720	jewel	mir̃ʸec̷ʸʔ	
6	730	ring (for finger)	ŋudaʔ yesʸa	
6	740	bracelet	ŋudaʔ xar̃aʔ yesʸa	
6	760	bead	ŋodʸako	
6	770	earring	xawoʔʔpʸa	
6	780	headband, headdress	ŋewaʔ sʸeʔ	
6	810	handkerchief, rag	pɨyaʔ tec̷ʸaʔ; nadʔ tec̷ʸaʔ; tec̷ʸaʔ	Respectively: handkerchief; handkerchief; rag.; Respectively: handkerchief; handkerchief; rag.; Respectively: handkerchief; handkerchief; rag.
6	820	towel	tec̷ʸaʔ	
6	910	comb	tir̃c̷ʸʔ	
6	921	braid	paŋgalpasʸ	
6	930	razor	pidnabc̷ʸʔ	
6	940	ointment	yur̃itaʔʔma	
6	950	soap	lansʸak; mɨla	
6	960	mirror	sʸadober̃c̷ʸʔ	
7	110	dwell, live	ilʸesʸ	
7	120	house	xar̃d; xar̃ad	
7	170	cookhouse	ŋawar̃ pir̃ʸenzʸolawa	
7	180	meeting house	tuyoʔʔlawa	
7	210	room	xar̃adʔ niŋg	
