chapter_id	entry_id	meaning	Mari_Phonemic	comment
8	340	thresh	ši'yaš; kə'r̃aš	
8	350	threshing-floor	'iðəm	
8	410	crop, harvest	'šur̃no 'lektəš	
8	420	grain (barley, oats etc)	'šur̃no	
8	430	wheat	šə'ðaŋ	
8	440	barley	'šož	
8	450	rye	ur̃'ža	
8	460	oats	'šülʸö	
8	470	maize, corn	kuku'r̃uza	
8	480	rice	'r̃is	
8	510	grass	'šuðo	
8	520	hay	'šuðo	
8	530	plant (noun)	'kuškəl	
8	531	plant (vb)	šən'ðaš	
8	540	root	'βož	
8	550	branch	'ukš	
8	560	leaf	ləš'taš	
8	570	flower	pele'ðəš	
8	600	tree	pu'šeŋɣe	
8	610	oak	'tumo	
8	620	beech	'buk	
8	630	birch	ku'e	
8	640	pine	'pünčʸö	
8	650	fir	'kož	
8	660	acorn	tum'leɣe	
8	670	vine	βino'ɣr̃að	
8	680	tobacco	ta'mak	
8	690	smoke (tobacco)	šup'šaš	
8	691	pipe	'tüɲək	
8	720	tree stump	'punðəš	
8	730	tree trunk	pu'šeŋɣe 'tüŋ	
8	740	forked branch	uk'šer̃	
8	750	bark	'šüm	
8	760	sap	'sok; 'βüð	
8	810	palm tree	'palʸma	
8	820	coconut	ko'kos	
8	830	citrus fruit	'c̷itr̃us	
8	840	banana tree	ba'nan pu'šeŋɣe	
8	910	sweet potato	'tamle pa'r̃eŋɣe	
8	912	yam	'yams	
8	920	tapioca, manioc, cassava	tapi'oka	
8	930	gourd	ka'βun	
8	931	pumpkin, squash	ka'βun	
8	940	bamboo	bam'buk	
8	941	sugar cane	'sakər̃ tr̃ost'nik	
8	960	fish poison (root)	'βož	
8	970	nettle	'nuž; počʸ'kaltəš	
8	980	mushroom	'poŋɣo	
9	110	do, make	əš'taš; yamðə'laš	
9	120	work	pa'ša	
9	140	bend	tüŋ'ðaš; kaðər̃'taš	
9	150	fold	čʸumə'r̃en op'taš	
9	160	tie, bind	pi'ðaš; kəl'ðaš	
9	161	untie	r̃u'ðaš; r̃on'čʸaš	
9	180	chain	'šinčʸər̃	
9	190	rope, cord	kanðə'r̃a; ke'r̃em	
9	192	knot (noun)	pəš'kem	
9	210	strike (hit, beat)	kə'r̃aš; pe'r̃aš	
9	211	pound with fist	'muškənðaš	
9	220	cut	püčʸke'ðaš; šule'ðaš	
9	221	cut down	küčʸəkem'ðaš	
9	222	chop, hew	r̃u'aš	
9	223	stab	šur̃al'ten puš'taš	
9	230	knife	'küzö	
9	240	scissors, shears	βaš'küzö	
9	250	ax	to'βar̃	
9	251	adze	to'βar̃; lok'šičʸme to'βar̃	
9	260	break	puðər̃'taš	
9	261	broken	'kür̃əltšö	
9	270	split	šeləš'taš; katka'laš	
9	280	tear	ukšinčʸək'taš	
9	290	flay, skin	ɲək'taš	
9	310	rub, wipe	tur̃'žaš	
9	320	stretch	ša'r̃aš	
9	330	pull	šup'šaš	
9	340	spread out	ša'r̃aš; βak'šaš	
9	341	hang up	sa'kaš	
9	342	press	pəzə'r̃aš; tem'ðaš	
9	343	squeeze, wring	punčʸa'laš	
9	350	pour	yokta'r̃aš; opta'laš	
9	360	wash	muš'kaš	
9	370	sweep	üš'taš	
9	380	broom	üšter̃'βoštər̃	
9	422	tool	üz'ɣar̃	
9	430	carpenter	'plotɲik	
9	440	build	čʸo'ŋaš	
9	460	bore	pr̃o'laš; šü'taš	
