chapter_id	entry_id	meaning	Finnish_Phonemic	comment
4	271	gums	ikenet	
4	272	molartooth	poskihammas	
4	280	neck	kaula	
4	281	nape of neck	niska; takar̃aiwo	
4	290	throat	kur̃kku	
4	300	shoulder	olka	
4	301	shoulderblade	lapaluu	
4	302	collarbone	solisluu	
4	310	arm	kæsiwar̃si	
4	312	armpit	kainalokuoppa	
4	320	elbow	küünær̃pææ	
4	321	wrist	r̃anne	
4	330	hand	kæsi	
4	331	palm of hand	kæmmen	
4	340	finger	sor̃mi	
4	342	thumb	peukalo	
4	344	fingernail	künsi	
4	345	claw	künsi	
4	350	leg	yalka	
4	351	thigh	r̃eisi	
4	352	calf of leg	pohye	
4	360	knee	polwi	
4	370	foot	yalka	
4	371	ankle	kehr̃æs	
4	372	heel	kantapææ; kanta	
4	374	footprint	yælki	
4	380	toe	war̃was	
4	392	wing	siipi	
4	393	feather	sulka; höühen	
4	400	chest	r̃intakehæ	
4	410	breast (of woman)	r̃inta	
4	412	nipple, teat	nænni	
4	420	udder	utar̃e; udar̃	
4	430	navel	napa	
4	440	heart	südæn	
4	441	lung	keuhko	
4	450	liver	maksa	
4	451	kidney	munuainen	
4	452	spleen	per̃na	
4	460	stomach	maha; mahalaukku	
4	461	intestines, guts	sisælmükset	
4	462	waist	wüötær̃ö; wüötæiset	
4	463	hip	lanne	
4	464	buttocks	takapuoli; pakar̃at	
4	470	womb	kohtu	
4	490	testicle	kiwes	
4	492	penis	penis; siitin	
4	510	breathe, breath	hengittææ; hengitüs	
4	520	yawn, gape	haukotella	
4	521	hiccough	nikottaa	
4	530	cough	üskiæ	
4	540	sneeze	aiwastaa	
4	550	perspire	hikoillaa; hiota	
4	560	spit	sülkeæ	
4	570	vomit	oksentaa	
4	580	bite	pur̃r̃a	
4	590	lick	nuolla	
4	591	dribble	tippua; tiputtaa	
4	610	sleep	nukkua	
4	612	snore	kuor̃sata	
4	620	dream	unennækö; uni	
4	630	wake up	her̃ætæ	
4	640	break wind	pier̃aista	
4	650	urinate	wir̃tsata	
4	660	defecate	ulostaa	
4	670	have sexual intercourse	olla sukupuoliühteüdessæ	
4	680	shiver	wær̃istæ; wapista	
4	690	bathe	külpeæ	
4	710	beget (of father)	siittææ	
4	720	born (to be)	süntüæ; süntünüt	
4	730	pregnant	r̃askas; tiine	Respectively: human; animal.; Respectively: human; animal.
4	732	conceive	tulla r̃askaaksi; hedelmöitüæ	
4	740	live, living, life	elææ; elæwæ; eloisa; elæmæ	
4	750	die, dead	kuolla; kuollut	
4	751	drowned	hukkunut	
4	760	kill	tappaa	
4	770	corpse	r̃uumis	
4	780	bury (the dead)	haudata	
4	790	grave, tomb	hauta; hautakumpu	
4	810	strong, mighty, powerful	woimakas; wækewæ; wahwa	
4	820	weak	heikko	
4	830	well, health	ter̃we; ter̃weüs	
4	840	sick, sickness	sair̃as; sair̃aus	
4	841	fever	kuume	
4	842	goiter	str̃uuma; kaulakupu	
4	843	cold (catarrh)	wilustus	
4	850	wound, sore	haawa	
4	852	bruise	mustelma; r̃uhyewamma	
4	853	swelling	tur̃wotus	
4	854	itch	süühelmæ; süühü	
4	855	blister	r̃akko	
4	856	boil (noun)	paise	
4	857	pus	mætæ; mær̃kæ; wiswa	
4	858	scar	ar̃pi	
4	860	cure, heal	hoitaa; par̃antaa	
4	870	physician	læækær̃i	
4	880	medicine, drug	lææke	
4	890	poison	mür̃kkü	
4	910	tired, weary	wæsünüt; uupunut	
4	912	rest	lewætæ	
4	920	lazy	laiska	
4	930	bald	kalyu	
4	940	lame	ontuwa; r̃ampa	
4	950	deaf	kuur̃o	
4	960	mute	mükkæ	
4	970	blind	sokea	
4	980	intoxicated	yuowuksissa	
4	990	naked, bare	alaston; palyas	
5	110	eat	süödæ	
5	120	food	r̃uoka	
5	121	cooked	keitettü	
5	122	raw	r̃aaka	
5	123	ripe	küpsæ	
5	124	green, unripe	wihr̃eæ; r̃aaka	
5	125	rotten	mædænnüt; mætæ	
5	130	drink	yuoda	
5	140	hunger	nælkæ	
5	141	famine	nælænhætæ; nælkæ	
5	150	thirst	yano	
5	160	suck	imeæ	
5	180	chew	pur̃eksia	
5	181	swallow	niellæ	
5	190	choke	tukehtua; tukehduttaa	Respectively: intransitive; transitive.; Respectively: intransitive; transitive.
5	210	cook	tehdæ r̃uokaa; laittaa r̃uokaa	
5	220	boil (vb)	keittææ	
5	230	roast, fry	paistaa; paahtaa	
5	240	bake	paistaa; leipoa	
5	250	oven	uuni	
5	260	pot, cooking vessel	pata	
5	270	kettle	kattila	
5	280	pan	pannu	
5	310	dish	wati; kulho	
5	320	plate	lautanen	
5	330	bowl	kulho	
5	340	pitcher, jug	kannu	
5	350	cup, drinking vessel	kuppi; muki	
5	360	saucer	teewati	
5	370	spoon	lusikka	
5	380	knife (2)	weitsi	
5	390	fork (2)	haarukka	
5	391	tongs	pihdit; hohtimet	
5	410	meal (a)	ater̃ia	
5	420	breakfast	aamiainen	
5	430	lunch	lounas	
5	440	dinner	pæiwællinen	
5	450	supper	illallinen	
5	460	peel	leipælapio	
5	470	sieve, strain	seuloa; siivilöidæ	
5	480	scrape	kaapia	
5	490	stir, mix	liikuttaa; sekoittaa	
5	510	bread	leipæ	
5	530	dough	taikina	
5	540	knead	waiwata; sotkea	
5	550	meal, flour	yauho	
5	560	crush, grind	yauhaa	
5	570	mill	müllü	
5	580	mortar (2)	huhmar̃	
5	590	pestle	petkel	
5	610	meat	liha	
5	630	sausage	makkar̃a	
5	640	soup, broth	keitto; lihaliemi	
5	650	vegetables	kaswikset; wihannekset	
5	660	bean	papu	
5	700	potato	per̃una	
5	710	fruit	hedelmæt	
5	712	bunch	ter̃ttu; kimppu	
5	750	fig	wiikuna	
5	760	grape	r̃üpæle	
5	770	nut	pæhkinæ	
5	780	olive	oliiwi; ölyümar̃ya	
5	790	oil	ölyü	
5	791	grease, fat	r̃aswa; ihr̃a	
5	810	salt	suola	
5	820	pepper	pippur̃i	
5	821	chili pepper	chillipippur̃i	
5	840	honey	hunaya; mesi	
5	850	sugar	soker̃i	
5	860	milk (noun)	maito	
5	870	milk (vb)	lüpsææ	
5	880	cheese	yuusto	
5	890	butter	woi	
5	900	beverage, drink	yuoma	
5	910	mead	sima	
5	920	wine	wiini	
5	930	beer	olut	
5	940	fermented drink	kalya	
5	970	egg	muna	
5	971	egg yolk	munankeltuainen	
6	110	put on (clothes)	pukeutua	
6	120	clothing, clothes	waatteet; pukimet	
6	130	tailor	r̃æætæli	
6	210	cloth	kangas	
6	220	wool	willa	
6	230	linen, flax	pellawainen; pellawa	
6	240	cotton	puuwilla	
6	250	silk	silkki	
6	270	felt	huopa	
6	280	fur	tur̃kisnahka	
6	290	leather	nahka	
6	310	spin	kehr̃ætæ	
6	320	spindle	wær̃ttinæ	
6	330	weave	kutoa	
6	340	loom	kangaspuut	
6	350	sew	ommella	
6	360	needle	neula	
6	370	awl	naskali	
6	380	thread	lanka; r̃ihma	
6	390	dye	wær̃yætæ	
6	410	cloak	takki	
6	411	poncho	poncho	
6	420	woman's dress	puku; leninki	
6	430	coat	takki	
6	440	shirt	paita	
6	450	collar	kaulus	
6	460	skirt	hame	
6	480	trousers	housut	
6	490	stocking, sock	sukka; puolisukka	
6	510	shoe	kenkæ	
6	520	boot	saapas	
6	540	shoemaker, cobbler	suutar̃i	
6	550	hat, cap	hattu; lakki	
6	570	belt, girdle	wüö	
6	580	glove	sor̃mikas; hansikas	
6	590	veil	huntu	
6	610	pocket	tasku	
6	620	button	nappi	
6	630	pin	nuppineula	
6	710	ornament, adornment	kor̃iste; kor̃u	
6	720	jewel	yalokiwi; yuweeli	
6	730	ring (for finger)	sor̃mus	
