chapter_id	entry_id	meaning	Mansi_Phonemic	comment
4	440	heart	sɨm	
4	441	lung	xopsɨ	
4	450	liver	mayt	
4	451	kidney	saŋkwaxwtas	
4	460	stomach	wosewxur̃ɨɣ	
4	461	intestines, guts	kʸiwr̃ɨt	
4	462	waist	por̃x	
4	463	hip	pʸesʸ poxa	
4	464	buttocks	puy	
4	490	testicle	kʸisʸ	
4	492	penis	kʸisʸ	
4	510	breathe, breath	lɨltuŋkwʸe; lɨltne war̃malʸ	
4	520	yawn, gape	usʸinʸtaŋkwʸe; usʸinʸtan	
4	530	cough	kakwuŋkwʸe	
4	540	sneeze	nʸaxtuŋkwʸe	
4	550	perspire	mulʸmʸiɣtaŋkwʸe	
4	560	spit	polx; salʸxuŋkwʸe	
4	570	vomit	oxuŋkwʸe	
4	580	bite	pur̃uŋkwʸe	
4	590	lick	nʸolantaŋkwʸe	
4	591	dribble	sʸur̃ɣuŋkwʸe	
4	610	sleep	xuyuŋkwʸe	
4	612	snore	tor̃wʸinʸtaŋkwʸe	
4	620	dream	ulmayaŋkwʸe	
4	630	wake up	saykataxtuŋkwʸe; nox-saykalaxtuŋkwʸe	
4	640	break wind	ponɣuŋkwʸe	
4	650	urinate	kʸisʸuŋkwʸe	
4	660	defecate	posʸ	
4	670	have sexual intercourse	utxatuŋkwʸe	
4	680	shiver	tor̃ɣuŋkwʸe	
4	690	bathe	lowtxatuŋkwʸe; puɣluŋkwʸe	
4	710	beget (of father)	nʸawr̃am onʸsʸuŋkwʸe	
4	720	born (to be)	samn patuŋkwʸe	
4	730	pregnant	poitɨm; pukʸiŋ	
4	732	conceive	poytɨmʸiɣ yemtuŋkwʸe; pukʸiŋiɣ yemtuŋkwʸe	
4	740	live, living, life	oluŋkwʸe; lɨlɨŋ; olupsa	a) Verb b) adjective c) noun.; a) Verb b) adjective c) noun.; a) Verb b) adjective c) noun.
4	750	die, dead	xoluŋkwʸe; sor̃umn patuŋkwʸe; xolum; sor̃umn patum	
4	751	drowned	wʸitn sʸaltɨm; wʸitn uytuptɨm	
4	760	kill	alɨŋkwʸe; aliɣlaluŋkwʸe	
4	770	corpse	xola	
4	780	bury (the dead)	man yola-sʸopʸitaŋkwʸe	
4	790	grave, tomb	kol	
4	810	strong, mighty, powerful	yor̃	
4	820	weak	waɣtal	
4	830	well, health	pustaɣɨl olne; pustaɣɨl olne sʸir̃	Respectively: adjective; noun.; Respectively: adjective; noun.
4	840	sick, sickness	aɣmaŋ xotpa; aɣm	
4	841	fever	aɣm r̃ʸeɣ	
4	842	goiter	manʸ kolt oluŋkwʸe; uks	
4	843	cold (catarrh)	polʸlaxtan aɣm	
4	850	wound, sore	nʸulmʸi	
4	852	bruise	semlɨɣ yunɨɣtaxtamma	
4	853	swelling	puwlaspʸi	
4	854	itch	losʸɣʸil-kalʸɣʸil	
4	855	blister	wʸit xur̃ɨɣ nʸulmʸi	
4	856	boil (noun)	say war̃um palɨɣnʸulmʸi	
4	857	pus	say	
4	858	scar	nʸulmʸi yor̃	
4	860	cure, heal	pulmaltaŋkwʸe	
4	870	physician	pusmaltan xotpa	
4	880	medicine, drug	por̃tun	
4	890	poison	xolne ter̃pʸi	
4	910	tired, weary	waɣtal patɨm	
4	912	rest	usʸlax; usʸlaxtaŋkwʸe	
4	920	lazy	sawɨŋ	
4	930	bald	nʸar̃puŋkpattap	
4	940	lame	noxne	
4	950	deaf	palʸtal	
4	960	mute	nʸelmtal	
4	970	blind	sampʸilʸtal	
4	980	intoxicated	ayum; kusʸ	
4	990	naked, bare	nʸar̃lomt	
5	110	eat	teŋkwʸe	
5	120	food	tenut; tep	
5	121	cooked	paytɨm; astum	
5	122	raw	nʸar̃	
5	123	ripe	ponsum; poxʸiyim	
5	124	green, unripe	nʸar̃	
5	125	rotten	saym	
5	130	drink	ayuŋkwʸe	
5	140	hunger	tetal	
5	141	famine	tetal	
5	150	thirst	tur̃ xoxtan; nʸelum tosne	
5	160	suck	sɨpɣuŋkwʸe; nʸar̃tuŋkwʸe	
5	180	chew	towtuŋkwʸe	
5	181	swallow	kʸiwɨr̃n pattaŋkwʸe	
5	190	choke	lɨlɨte yar̃tuŋkwʸe	
5	210	cook	put war̃uŋkwʸe	
5	220	boil (vb)	paytuŋkwʸe	
5	230	roast, fry	sar̃ʸitaŋkwʸe	
5	240	bake	nʸanʸ war̃uŋkwʸe	
5	250	oven	kur̃	
5	260	pot, cooking vessel	kʸiwɨr̃; put	
5	270	kettle	axwtas put	
5	280	pan	pant axwtas anɨ	
5	310	dish	anɨ	
5	320	plate	anɨ	
5	330	bowl	anɨ	
5	340	pitcher, jug	sulɨput; kur̃ɨska	
5	350	cup, drinking vessel	anɨ	
5	360	saucer	konɨ sʸay anɨ	
5	370	spoon	nʸalɨ	
5	380	knife (2)	kasay	
5	390	fork (2)	wulka	
5	391	tongs	ker̃kat	
5	410	meal (a)	tenut	
5	420	breakfast	sʸay; alpɨl tenut	
5	430	lunch	xotal kotʸilʸ tenut	
5	440	dinner	xotal tenut	
5	450	supper	etʸi palaɣ tenut	
5	460	peel	nʸilʸuŋkwʸe; nuyuŋkwʸe	
5	470	sieve, strain	sɨstamtaŋkwʸe	
5	480	scrape	osxuŋkwʸe	
5	490	stir, mix	r̃awtuŋkwʸe	
5	510	bread	nʸanʸ	
5	530	dough	nʸanʸ šum	
5	540	knead	nʸanʸ r̃awtuŋkwʸe	
5	550	meal, flour	kolas; kur̃pa	
5	560	crush, grind	r̃aw sakwatuŋkwʸe	
5	580	mortar (2)	axwtas kiwɨr̃	
5	590	pestle	axwtas nal	
5	610	meat	nʸowlʸ	
5	640	soup, broth	kolas; ismʸit	
5	650	vegetables	sur̃nʸi	
5	700	potato	kar̃topka	
5	712	bunch	kar̃ek; lak; pʸɨlmor̃ʸi	
5	770	nut	pakwsam	
5	790	oil	sʸalɨɣ woy	
5	791	grease, fat	woy	
5	810	salt	solwal	
5	820	pepper	kur̃mʸek	
5	821	chili pepper	kur̃mʸek	
5	840	honey	maɣ	
5	850	sugar	sakkar̃	
5	860	milk (noun)	sʸakwit	
5	870	milk (vb)	posuŋkwʸe	
5	880	cheese	war̃ok	
5	890	butter	miswoy	
5	900	beverage, drink	aynut	
5	910	mead	maɣɨŋ aynut	
5	920	wine	wuna	
5	930	beer	pʸiwa	
5	940	fermented drink	pʸiwa	
5	970	egg	muŋʸi	
6	110	put on (clothes)	masxataŋkwʸe	
6	120	clothing, clothes	masnut	
6	130	tailor	masnut yuntne xotpa	
6	210	cloth	tor̃; nuy	
6	220	wool	tor̃	
6	230	linen, flax	tor̃	
6	240	cotton	tor̃	
6	250	silk	yar̃mak	
6	270	felt	katanka	
6	280	fur	uy punaŋ sow	
6	290	leather	sow	
6	310	spin	yeŋtuŋkwʸe; setap saɣuŋkwʸe	
6	320	spindle	eŋta	
6	330	weave	tor̃ war̃uŋkwʸe	
6	350	sew	yuntuŋkwʸe	
6	360	needle	yuntup	
6	370	awl	katpasɨɣlap	
6	380	thread	setap; tan	
6	390	dye	kellaŋkwʸe	
6	410	cloak	r̃akw masnut	
6	420	woman's dress	ne sup	
6	430	coat	watʸi saxʸi; xoptan	
6	440	shirt	xum sup	
6	450	collar	sɨpluw tor̃; tulɨx; r̃ak	
6	460	skirt	yoli sup oxsa	
6	480	trousers	kasʸ	
6	490	stocking, sock	way	
6	510	shoe	sopʸek; pošmʸek	
6	520	boot	sopʸek	
6	540	shoemaker, cobbler	sopʸek man pošmʸek yuntne xum	
6	550	hat, cap	kʸent	
6	570	belt, girdle	entap	
6	580	glove	tulʸowlaŋ passa	
6	610	pocket	sʸep	
6	620	button	kʸeŋan; poxlap	
6	630	pin	r̃usʸ yuntup	
6	710	ornament, adornment	xor̃am	
6	720	jewel	tɨnaŋ axwtas	
6	740	bracelet	katsor̃ xor̃am	
6	750	necklace	tur̃lops	
6	760	bead	sakw	
6	770	earring	palʸ sʸimsʸak	
6	810	handkerchief, rag	polx posne sow; sowlomt; r̃akasʸi	
6	820	towel	wʸilt seɣnut	
6	910	comb	konsup	
6	921	braid	saɣuŋkwʸe; saɣuɣlaluŋkwʸe	
6	940	ointment	ter̃pʸi	
6	950	soap	moytak	
6	960	mirror	wilʸt susne kʸer̃	
7	110	dwell, live	oluŋkwʸe	
7	120	house	kol	
7	130	hut	kol	
7	131	garden-house	kol	
7	140	tent	par̃sʸent kol	
7	150	yard, court	kar̃ta kʸiwɨr̃	
7	180	meeting house	yalpɨŋ kol	
7	210	room	kolnak	
7	220	door, gate	awʸi; okr̃at awʸi	
7	221	doorpost, jamb	awʸi xusap	
7	230	lock (noun)	tuman	
7	231	latch, door-bolt	awʸi kat	
7	240	key	tuman nʸelm	
7	250	window	išnʸi	
7	260	floor	kolkan	
7	270	wall	kol yer̃	
7	310	fireplace	kur̃	
7	320	stove	kur̃	
7	330	chimney	tur̃pa	
7	370	ladder	xaŋxɨltap	
7	420	bed	xuyne kan	
7	421	pillow	ossum	
7	422	blanket	lepta	
7	430	chair	ulas	
7	440	table	pasan	
7	450	lamp, torch	lampa	
7	460	candle	iswʸesʸa	
7	470	shelf	nor̃ma	
7	480	trough	xur̃a	
7	510	roof	kolala	
7	520	thatch	pum kolala	
7	550	beam	nor̃; kolnor̃	
7	560	post, pole	aŋkwal; sɨr̃	
7	570	board	par̃t	
7	610	mason	axwtas kol unttan xotpa	
7	620	brick	kʸir̃pasʸ	
8	110	farmer	ma palt r̃upitane xotpa	
8	120	field (for cultivation)	tepkan	
8	130	garden	okr̃ot; tepkan	
8	150	cultivate, till	ma sakwatuŋkwʸe	
8	160	fence	okr̃ot war̃uŋkwʸe	
8	170	ditch	xulɨ	
8	210	plow	ma sakwatuŋkwʸe; ma sakwatane por̃mas	
8	212	furrow	xulɨ	
8	220	dig	xʸiluŋkwʸe	
8	230	spade	mant; mantsar̃	
8	240	shovel	mant	
8	260	fork	wula	
8	270	rake	pum kosne yiw	
8	310	sow	kolas sam man unttuŋkwʸe	
8	311	seed	sam	
8	320	mow, reap	saɣr̃uŋkwʸe	
8	330	sickle, scythe	pum saɣr̃ane ker̃	
8	340	thresh	kolas r̃aw tawr̃ʸiyaŋkwʸe	
8	350	threshing-floor	kum	
8	410	crop, harvest	kolas pum saɣr̃ane por̃a	
8	420	grain (barley, oats etc)	kolas	
8	430	wheat	woykan kolas	
8	450	rye	nos nʸanʸ kolas	
8	460	oats	luw kolas	
8	510	grass	pum; wansɨ	
8	520	hay	saɣr̃ʸim pum	
8	530	plant (noun)	pum	
8	531	plant (vb)	unttaŋkwʸe	
8	540	root	tar̃	
8	550	branch	tow; taɣ	
8	560	leaf	lupta	
8	570	flower	xor̃amɨŋ lupta	
8	600	tree	yiw	
8	630	birch	xalʸ	
8	640	pine	tar̃ɨɣ	
8	650	fir	xowt	
8	680	tobacco	sar̃	
8	690	smoke (tobacco)	sar̃ xar̃tuŋkwʸe; xoxsa xar̃tuŋkwʸe	
8	691	pipe	tur̃pka; yiw xoxsa	
8	720	tree stump	yiw aŋkwal	
8	730	tree trunk	yiw taɣatetal	
8	740	forked branch	towaŋ taɣ	
8	750	bark	yiw kʸer̃	
8	760	sap	atɨŋ wʸit	
8	970	nettle	xusxatne ponal	
8	980	mushroom	laxɨs	
9	110	do, make	war̃uŋkwʸe	
9	120	work	r̃upitaŋkwʸe	
9	140	bend	xutaltaŋkwʸe	
9	150	fold	akw kann pʸintlantaŋkwʸe	
9	160	tie, bind	akwan neɣuŋkwʸe	
9	161	untie	losɨtaŋkwʸe	
9	180	chain	ker̃kwalɨɣ	
9	190	rope, cord	kwalɨɣ	
9	192	knot (noun)	moxlɨl	
9	210	strike (hit, beat)	yunɨɣtaŋkwʸe; r̃atuŋkwʸe	
9	211	pound with fist	sʸaxnɨl yunɨɣtaŋkwʸe	
9	220	cut	yaktuŋkwʸe; saɣr̃uŋkwʸe	
9	221	cut down	xot yaktuŋkwʸe	
9	222	chop, hew	saɣr̃uŋkwʸe	
9	223	stab	tar̃a tusʸtaŋkwʸe; tar̃a puwtuŋkwʸe	
9	230	knife	kasay	
9	240	scissors, shears	kitelmʸip kasay	
9	250	ax	saɣr̃ap	
9	260	break	sakwataŋkwʸe	
9	261	broken	sakwalup	
9	270	split	puwtuŋkwʸe; saɣr̃uŋkwʸe; xaluŋkwʸe	
9	280	tear	manɨɣtaŋkwʸe; manɣasʸlaŋkwʸe	
9	290	flay, skin	xot nuyɣalaŋkwʸe	
9	310	rub, wipe	sar̃tlaŋkwʸe	
9	320	stretch	lakkwa xar̃tuŋkwʸe	
9	330	pull	xar̃tuŋkwʸe	
9	340	spread out	lepuŋkwʸe; par̃ŋaltaŋkwʸe; lakkwa nor̃tantaŋkwʸe	
9	341	hang up	taɣataŋkwʸe; taɣtalaŋkwʸe	
9	342	press	taŋar̃taŋkwʸe; pasʸir̃taŋkwʸe	
9	343	squeeze, wring	akwan pasʸir̃talɨɣlaŋkwʸe	
9	350	pour	sosuŋkwʸe; nʸor̃ɨɣtaŋkwʸe	
9	360	wash	lowtuŋkwʸe; seɣuŋkwʸe	
9	370	sweep	xosɣuŋkwʸe	
9	380	broom	xossup; kur̃asʸ	
9	422	tool	por̃mas	
9	430	carpenter	kol unttan xotpa	
9	440	build	unttuŋkwʸe	
9	460	bore	pasɣuŋkwʸe	
9	461	hollow out	tar̃a puwtuŋkwʸe	
9	480	saw	yiw sar̃tne kʸer̃	
9	490	hammer	yanɨɣ kʸer̃sʸak	
9	500	nail	kʸer̃solʸ	
9	560	glue	elʸum	
9	600	smith, blacksmith	kʸer̃ r̃atne xotpa	
9	610	forge	kʸer̃ r̃atuŋkwʸe	
9	620	anvil	kʸer̃ r̃atne poŋxʸi	
9	630	cast (metals)	kʸer̃ sosuŋkwʸe	
9	640	gold	sor̃ni	
9	650	silver	sʸalɨɣ oln	
9	660	copper, bronze	ar̃ɣin	
9	670	iron	kʸer̃	
9	680	lead (noun)	axwtas	
9	690	tin, tinplate	anax; wowta kʸer̃	
9	710	potter	put-anɨ war̃ne xotpa	
9	720	mold (clay etc)	posʸɣuŋkwʸe	
9	730	clay	r̃akta	
9	740	glass	kumɨska	
9	750	weave, plait	saɣuŋkwʸe	
9	760	basket	xunt; xasap	
9	770	mat	lapʸi	
9	780	netbag	xulp	
9	791	fan (vb)	wotuŋkwʸe; wotlaliɣlaŋkwʸe	
9	810	carve	posʸɣuŋkwʸe	
9	820	sculptor	posʸɣane xum	
9	840	chisel	tolat	
9	880	paint (noun)	olʸp	
9	890	paint (vb)	kellaŋkwʸe; olʸpɨl sar̃tuŋkwʸe	
10	110	move	lakwtuŋkwʸe	
10	120	turn over	mot nupɨl yoŋxɨɣtɨɣlaluŋkwʸe	
10	130	turn around	yoŋxɨɣlaluŋkwʸe; pʸer̃ʸiɣtaŋkwʸe	Respectively: intransitive; transitive; Respectively: intransitive; transitive
10	140	wind, wrap	pʸer̃ʸiɣtaŋkwʸe; manʸiɣtaŋkwʸe	
10	150	roll	lar̃ɣaltaŋkwʸe	
10	160	drop (vb)	yol pattaŋkwʸe	
10	170	twist	yoxtaŋkwʸe	
10	210	rise	nox-lʸulʸuŋkwʸe; nox-kwaluŋkwʸe	
10	220	raise, lift	nox almaŋkwʸe	
10	230	fall	yol patuŋkwʸe	
10	240	drip	pasɣuŋkwʸe; owuŋkwʸe	
10	250	throw	wosʸkasaŋkwʸe	
10	252	catch (ball)	puwuŋkwʸe	
10	260	shake	tor̃ɣaltaŋkwʸe; par̃ɣaŋkwʸe	
10	320	flow	owuŋkwʸe	
10	330	sink	witn patuŋkwʸe	
10	340	float	uyɣalaŋkwʸe	
10	350	swim	uyɣalaŋkwʸe	
10	351	dive	mur̃muŋkwʸe; witn waɣluŋkwʸe	
10	352	splash	r̃awtxatuŋkwʸe	
10	360	sail (vb)	usuŋkwʸe; usɨɣlaŋkwʸe	
10	370	fly (vb)	tɨlamlaŋkwʸe	
10	380	blow	wotuŋkwʸe; puwluŋkwʸe	
10	410	creep, crawl	waŋksaŋkwʸe; nʸor̃saŋkwʸe	
10	412	kneel	sans talʸixta lʸulʸuŋkwʸe	
10	413	crouch	yola xutɨɣlaŋkwʸe	
10	430	jump, leap	por̃ɨɣmaŋkwʸe	
10	431	kick	saŋxwatuŋkwʸe	
10	440	dance	yikuŋkwʸe	
10	450	walk	yiŋkwʸe; minuŋkwʸe; yalasaŋkwʸe	
10	451	limp	noxuŋkwʸe	
10	460	run	xaytuŋkwʸe; xaytɨɣtaŋkwʸe	
10	470	go	yiŋkwʸe; minuŋkwʸe; yalasaŋkwʸe	
10	471	go up	nox xaŋxɨɣlaluŋkwʸe; nox xaŋxuŋkwʸe	
10	472	climb	xaŋxuŋkwʸe; xaŋxsuŋkwʸe	
10	473	go down	yola waɣluŋkwʸe	
10	474	go out	kon kwalsuŋkwʸe; kon kwaluŋkwʸe	
10	480	come	yoxtuŋkwʸe; yoxtalaŋkwʸe	
10	481	come back	yuwle minuŋkwʸe; yuwle yoxtuŋkwʸe	
10	490	go away, depart	kon kwaluŋkwʸe	
10	491	disappear	ustalaxtuŋkwʸe	
10	510	flee	xaytuŋkwʸe	
10	520	follow	ur̃ɣalaŋkwʸe; nʸawluŋkwʸe	
