chapter_id	entry_id	meaning	Khanty_Phonemic	comment
4	320	elbow	kunš olaŋ	
4	330	hand	yoš	
4	331	palm of hand	yoš pat	
4	340	finger	luy	
4	342	thumb	paŋ	
4	344	fingernail	kunškar̃	
4	345	claw	kunš	
4	350	leg	kur̃	
4	360	knee	šanš	
4	370	foot	kur̃pat	
4	374	footprint	kur̃pat pos	
4	380	toe	luy	
4	392	wing	tuxl	
4	393	feather	pun	
4	400	chest	mʸewl	
4	410	breast (of woman)	esum	
4	412	nipple, teat	esum	
4	420	udder	mis esum	
4	430	navel	pup	
4	440	heart	sam	
4	441	lung	xopsa; xupsa	
4	450	liver	muxat	
4	451	kidney	sɨyolaŋ	
4	461	intestines, guts	sulet	
4	462	waist	por̃x	
4	464	buttocks	puy	
4	490	testicle	kʸisʸ	
4	510	breathe, breath	laltɨ; laltupsɨ; lal; lɨl	Respectively: verb; noun.; Respectively: verb; noun.; Respectively: verb; noun.; Respectively: verb; noun.
4	520	yawn, gape	usʸinʸtatɨ	
4	530	cough	xəlʸlʸitɨ	
4	540	sneeze	nʸaxɨstɨ	
4	550	perspire	šaŋkumtɨ	
4	560	spit	laksatɨ	
4	570	vomit	oxtɨ	
4	580	bite	pur̃tɨ	
4	590	lick	nʸulɨtɨ	
4	591	dribble	sʸur̃ʸitɨ	
4	610	sleep	ultɨ	
4	612	snore	tor̃ɨyttɨ	
4	620	dream	wəlmʸiyltɨ	
4	630	wake up	kur̃attɨ	
4	640	break wind	ponɨyltɨ	
4	650	urinate	kisʸtɨ	
4	660	defecate	posʸtɨ	
4	670	have sexual intercourse	utanttɨ	
4	680	shiver	tor̃ɨtɨ	
4	690	bathe	lʸuxʸitɨyltɨ; pewaltɨ	
4	710	beget (of father)	r̃utʸittɨ	
4	720	born (to be)	r̃utʸilatɨ; sema pʸitum	
4	730	pregnant	xunaŋ	
4	732	conceive	xunaŋa yitɨ	
4	740	live, living, life	wəltɨ; lɨlaŋ; wəlupsa	Respectively: verb; adjective; noun.; Respectively: verb; adjective; noun.; Respectively: verb; adjective; noun.
4	750	die, dead	antəma yitɨ; sur̃ma yitɨ; xala	Respectively: verb; verb; adjective.; Respectively: verb; verb; adjective.; Respectively: verb; verb; adjective.
4	751	drowned	šəytum	
4	760	kill	wʸeltɨ	
4	770	corpse	xala	
4	780	bury (the dead)	muwa puntɨ	
4	790	grave, tomb	xot	
4	810	strong, mighty, powerful	yur̃	
4	820	weak	sʸomlɨ; wʸewlɨ; wʸewtam	
4	830	well, health	talaŋ; talaŋ wəlupsa	
4	840	sick, sickness	kašeŋ; məšaŋ; kašɨ; məš	
4	841	fever	kaši r̃uw	
4	842	goiter	ay xotn bəltɨ; uksʸum kalɨ	
4	843	cold (catarrh)	potɨyltɨ kaši; potɨyltɨ məš	
4	850	wound, sore	nʸulum	
4	853	swelling	nux puwtopsa	
4	854	itch	kunšopsa	
4	855	blister	yuŋk nʸulum	
4	856	boil (noun)	lɨyaŋ nʸulum	
4	857	pus	lɨy	
4	860	cure, heal	yamaltɨ	
4	870	physician	yamaltɨ xoyat	
4	880	medicine, drug	ler̃; pur̃tən	
4	890	poison	xaltɨ ler̃; tuyaŋ ler̃; poŋxaŋ ler̃	
4	910	tired, weary	wʸewtama pitum	
4	912	rest	r̃utʸsʸitɨ; sʸutʸsʸitɨ	
4	920	lazy	lenʸ; šək	
4	930	bald	əpat taklɨ	
4	940	lame	noxʸiyltɨ	
4	950	deaf	pallɨ	
