chapter_id	entry_id	meaning	Selkup_Phonemic	comment
7	560	post, pole	mɔtɨko	
7	570	board	tɔntɨpo	
8	150	cultivate, till	pünkaltɨḳo	
8	160	fence	kutalḳo	
8	170	ditch	kečʸi	
8	220	dig	tilɨḳo	
8	240	shovel	lappo	
8	320	mow, reap	pütɨḳo; pačʸɨtɨḳo	
8	330	sickle, scythe	nʸutɨm pačʸɨtɨlʸ paŋɨ	
8	510	grass	nʸutɨ	
8	520	hay	tɛkɨr̃ɨpɨlʸ nʸutɨ	
8	531	plant (vb)	omtɨltɨḳo	
8	540	root	kontɨ	
8	550	branch	mo	
8	560	leaf	čʸɔpɨ	
8	570	flower	sɨr̃ḳɨ	
8	600	tree	po	
8	630	birch	ḳæ	
8	640	pine	čʸö	
8	650	fir	ḳut	
8	680	tobacco	čʸɔpɨ	
8	690	smoke (tobacco)	nækælḳo	
8	691	pipe	kɔnsan	
8	720	tree stump	saltɨ	
8	730	tree trunk	kɛpɨ; pot kɛpɨ	
8	740	forked branch	mo	
8	750	bark	ḳɔsɨ	
8	760	sap	ül	
8	970	nettle	sɔttɨ	
8	980	mushroom	aḳsɨl	
9	110	do, make	meḳo	
9	120	work	učʸɨḳo	
9	140	bend	mɨnɨḳo	
9	150	fold	pinḳɨlḳo	
9	160	tie, bind	sɔr̃ɨḳo	
9	161	untie	toütɨḳo	
9	180	chain	kəsɨlʸ tɛmtɨ	
9	190	rope, cord	tɛmtɨ	
9	192	knot (noun)	muḳḳɨl	
9	210	strike (hit, beat)	kættɨḳo; motḳo	
9	211	pound with fist	ḳættɨḳo	
9	220	cut	matɨḳo	
9	221	cut down	matɨkkɨḳo	
9	222	chop, hew	pačʸalḳo	
9	223	stab	pær̃ḳɨlḳo	
9	230	knife	paŋɨ	
9	240	scissors, shears	šʸittɨ ɔŋtɨlʸ paŋɨ	
9	250	ax	pičʸi	
9	251	adze	kor̃san	
9	260	break	panalḳo	
9	261	broken	panalpɨlʸ	
9	270	split	pačʸɨtḳo	
