chapter_id	entry_id	meaning	Hungarian_Standard	Hungarian_Phonemic	comment
5	540	knead	dagaszt; gyúr	dagast; dʸuur	
5	550	meal, flour	liszt	list	
5	560	crush, grind	őröl; darál	ööröl; daraal	
5	570	mill	malom	malom	
5	580	mortar (2)	mozsár	možaar	
5	590	pestle	mozsártörő	možaartöröö	
5	610	meat	hús	huuš	
5	630	sausage	kolbász; hurka	kolbaas; hurka	
5	640	soup, broth	leves	leweš	
5	650	vegetables	zöldségfélék	zöldšeegfeeleek	
5	660	bean	bab; paszuly	bab; pasulʸ	
5	700	potato	burgonya; krumpli	burgoɲa; krumpli	
5	710	fruit	gyümölcz	dʸümölč	
5	712	bunch	köteg	köteg	
5	750	fig	füge	füge	
5	760	grape	szőlő	söölöö	
5	770	nut	mogyoró	modʸoroo	
5	780	olive	olayfa; olíva	olayfa; oliiwa	
5	790	oil	olay	olay	
5	791	grease, fat	zsír	žiir	
5	810	salt	só	šoo	
5	820	pepper	bors	borš	
5	821	chili pepper	czípős paprika	čiipööš paprika	
5	840	honey	méz	meez	
5	850	sugar	cukor	c̷ukor	
5	860	milk (noun)	tey	tey	
5	870	milk (vb)	fey	fey	
5	880	cheese	sayt	šayt	
5	890	butter	vay	way	
5	900	beverage, drink	ital	ital	
5	910	mead	méhsör	meehšör	
5	920	wine	bor	bor	
5	930	beer	sör	šör	
5	940	fermented drink	eryesztelt ital	eryestelt ital	
5	970	egg	toyás	toyaaš	
5	971	egg yolk	toyássárgáya	toyaaššaargaaya	
6	110	put on (clothes)	öltözik	öltözik	
6	120	clothing, clothes	ruha; öltöny	ruha; öltöɲ	
6	130	tailor	szabó	saboo	
6	210	cloth	szövet; vászon	söwet; waason	
6	220	wool	gyapyú	dʸapyuu	
6	230	linen, flax	vászon; gyolcz; len	waason; dʸolč; len	
6	240	cotton	gyapot; pamut	dʸapot; pamut	
6	250	silk	selyem	šelʸem	
6	270	felt	nemez; filc	nemez; filc̷	
6	280	fur	szőrme; prém	söörme; preem	
6	290	leather	bőr	böör	Same as 'skin' 04.120.
6	310	spin	fon	fon	
6	320	spindle	orsó	oršoo	
6	330	weave	sző	söö	
6	340	loom	szövőgép; kötőgép	söwöögeep; kötöögeep	
6	350	sew	varr	warr	
6	360	needle	tü	tü	
6	370	awl	ár	aar	
6	380	thread	fonal; szál	fonal; saal	
6	390	dye	fest; befest	fešt; befešt	
6	410	cloak	pelerin; köpeny	pelerin; köpeɲ	
6	411	poncho	ponczó	pončoo	
6	420	woman's dress	ruha	ruha	
6	430	coat	zakó	zakoo	
6	440	shirt	ing	ing	
6	450	collar	gallér	galleer	
6	460	skirt	szoknya	sokɲa	
6	480	trousers	nadrág	nadraag	
6	490	stocking, sock	zokni; harisnya	zokni; harišɲa	
6	510	shoe	cipő	c̷ipöö	
6	520	boot	czizma	čizma	
6	540	shoemaker, cobbler	cipész	c̷ipees	
6	550	hat, cap	kalap; sapka	kalap; šapka	
6	570	belt, girdle	öv	öw	
6	580	glove	kesztyű	kestʸüü	
6	590	veil	fátyol	faatʸol	
6	610	pocket	zseb	žeb	
6	620	button	gomb	gomb	
6	630	pin	gombostű	gomboštüü	
6	710	ornament, adornment	dísz; díszítés	diis; diisiiteeš	
6	720	jewel	ékszer	eekser	
6	730	ring (for finger)	gyűrű	dʸüürüü	
6	740	bracelet	karkötő	karkötöö	
6	750	necklace	nyakék; nyaklánc	ɲakeek; ɲaklaanc̷	
6	760	bead	gyöngysor	dʸöndʸšor	
6	770	earring	fülbevaló	fülbewaloo	
6	780	headband, headdress	feyfedő	feyfedöö	
6	790	tattoo	tetoválás	tetowaalaaš	
6	810	handkerchief, rag	zsebkendő	žebkendöö	
6	820	towel	kendő; szalvéta	kendöö; salweeta	
6	910	comb	fésű	feešüü	
6	920	brush	kefe	kefe	
6	921	braid	fon	fon	
6	930	razor	borotva	borotwa	
6	940	ointment	kenőcz; krém	kenööč; kreem	
6	950	soap	szappan	sappan	
6	960	mirror	tükör	tükör	
7	110	dwell, live	lakik; él	lakik; eel	
7	120	house	ház	haaz	
7	130	hut	kunyhó; viskó; vityilló	kuɲhoo; wiškoo; witʸilloo	
7	131	garden-house	kertes ház	kerteš haaz	
7	140	tent	sátor	šaator	
7	150	yard, court	udvar	udwar	
7	160	men's house	legénylakás	legeeɲlakaaš	
7	170	cookhouse	konyha	koɲha	
7	180	meeting house	imaház	imahaaz	
7	210	room	szoba	soba	
7	220	door, gate	aytó; kapu	aytoo; kapu	
7	221	doorpost, jamb	aytótok	aytootok	
7	230	lock (noun)	zár; lakat	zaar; lakat	
7	231	latch, door-bolt	kilincz	kilinč	
7	240	key	kulcz	kulč	
7	250	window	ablak	ablak	
7	260	floor	padló	padloo	
7	270	wall	fal	fal	
7	310	fireplace	kandalló; tűzhely	kandalloo; tüüzhelʸ	
7	320	stove	tűzhely; kályha	tüüzhelʸ; kaalʸha	
7	330	chimney	cző	čöö	
7	370	ladder	lépcző	leepčöö	
7	420	bed	ágy	aadʸ	
7	421	pillow	párna; vánkos	paarna; waankoš	
7	422	blanket	paplan; takaró	paplan; takaroo	
7	430	chair	szék	seek	
7	440	table	asztal	astal	
7	450	lamp, torch	lámpa	laampa	
7	460	candle	gyertya	dʸertʸa	
7	470	shelf	polc	polc̷	
7	480	trough	teknő	teknöö	
7	510	roof	tető	tetöö	
7	520	thatch	szalmatető	salmatetöö	
7	530	ridgepole	gerenda	gerenda	
7	540	rafter	fedélszék; szaruzat; szarufa	fedeelseek; saruzat; sarufa	
7	550	beam	gerenda	gerenda	
