chapter_id	entry_id	meaning	Erzya Mordvin_Phonemic	comment
3	815	scorpion	skor̃pion	
3	816	cockroach	tar̃akan	
3	817	ant	kotkudav	
3	818	spider	šanžav	
3	819	spider web	šanžavonʸ koc̷t	
3	820	bee	mekš	
3	821	beeswax	šta	
3	822	beehive	nʸeške	
3	823	wasp	ukska	
3	830	fly	kar̃vo	
3	831	sandfly (midge), gnat	mar̃av	
3	832	mosquito	moskit	
3	840	worm	suks	
3	850	snake	guy	
3	910	firefly	c̷ʸitʸnʸi suks	
3	920	butterfly	nʸimilʸav	
3	930	grasshopper	šučaka; c̷ʸir̃ʸykun; tasto	
3	940	snail	pedʸlʸiy	
3	950	frog	vatr̃akš	
3	960	lizard	metʸkaz	
3	970	crocodile, alligator	kr̃okodil	
3	980	turtle	čer̃epaxa	
4	110	body	r̃ungo	
4	120	skin, hide	kedʸ	
4	130	flesh	sɨvelʸ	
4	140	hair (head)	čer̃ʸ	
4	142	beard	sakalo	
4	144	body hair	yožo pona	
4	145	pubic hair	pad pona	
4	146	dandruff	lavt	
4	150	blood	ver̃ʸ	
4	151	vein, artery	san	
4	160	bone	lovaža	
4	162	rib	ir̃ʸdʸeks	
4	170	horn	bue; sʸur̃o	
4	180	tail	pulo	
4	190	back	kutʸmer̃ʸe	
4	191	spine	sʸavdʸiks	
4	200	head	pr̃ʸa	
4	201	side of head, temple	pr̃ʸa boka	
4	202	skull	pr̃ʸa lovaža	
4	203	brain	udʸem	
4	204	face	čama	
4	205	forehead	konʸa	
4	207	jaw	pey lovaža	
4	208	cheek	čama boka	
4	209	chin	nʸeže; ulo	
4	210	eye	sʸelʸme	
4	212	eyebrow	sʸelʸme čir̃ʸke	
4	213	eyelid	sʸelʸme ker̃ʸ	
4	214	eyelash	sʸelʸme pona	
4	215	blink	sokor̃	
4	220	ear	pilʸe	
4	221	earlobe	pilʸe potʸe	
4	222	earwax	pilʸe oy	
4	230	nose	sudo	
4	231	nostril	sudo var̃ʸa	
4	232	mucus (nasal)	nolgo	
4	240	mouth	kur̃go	
4	241	beak	nʸer̃ʸ	
4	250	lip	tur̃va	
4	260	tongue	kelʸ	
4	270	tooth	pey	
4	271	gums	pey sɨvelʸ	
4	272	molartooth	udalo pey	
4	280	neck	kir̃ga	
4	281	nape of neck	sʸavdʸiks; kir̃ʸga	
4	290	throat	kir̃ʸgapar̃ʸ	
4	300	shoulder	lavtov	
4	301	shoulderblade	lavtov lovaža	
4	302	collarbone	lavtov lovaža	
4	310	arm	kedʸ	
4	312	armpit	kavalalks	
4	320	elbow	kenʸer̃ʸe͜pakar̃ʸ	
4	321	wrist	kedʸ kir̃ʸga	
4	330	hand	kedʸ	
4	331	palm of hand	komor̃o	
4	340	finger	sur̃	
4	342	thumb	pelʸka	
4	344	fingernail	kenže	
4	345	claw	kenže	
4	350	leg	ser̃ʸka	
4	351	thigh	ser̃ʸka	
4	352	calf of leg	pilʸge peke	
4	360	knee	kumanža	
4	370	foot	pilʸge lapa	
4	371	ankle	pilʸge polda	
4	372	heel	kočkar̃ʸa	
4	374	footprint	čalgavks	
4	380	toe	pilʸge sur̃	
4	392	wing	sʸolmo	
4	393	feather	tolga	
4	400	chest	meštʸe	
4	410	breast (of woman)	meštʸe; potʸ	
4	412	nipple, teat	potʸe pr̃ʸa	
4	420	udder	odar̃	
4	430	navel	počo	
4	440	heart	sʸedʸey	
4	441	lung	tʸevelʸav	
4	450	liver	makso	
4	451	kidney	pičetʸ	
4	452	spleen	čečey	
4	460	stomach	peke͜kedʸ	
4	461	intestines, guts	cʸulot	
4	462	waist	kar̃ksamo; kutʸmer̃ʸe	
4	463	hip	sʸer̃ʸka	
4	464	buttocks	poldat; mukor̃o	
4	470	womb	avaka	
4	490	testicle	mona	
4	492	penis	tabak	
4	510	breathe, breath	lʸeksʸems	
4	520	yawn, gape	por̃ʸems; avtʸems kur̃go	
4	521	hiccough	iknems	
4	530	cough	kozoms	
4	540	sneeze	kešnʸams	
4	550	perspire	lʸivesʸkadoms	
4	560	spit	sʸelʸgems	
4	570	vomit	uksnovks; uksnoms	
4	580	bite	suskoms	
4	590	lick	nolsʸems	
4	591	dribble	sotams	
4	610	sleep	udoms; udoma	
4	612	snore	kor̃noma	
4	620	dream	nʸejems on	
4	630	wake up	puvtams; sɨr̃gozʸems	
4	640	break wind	poznams	
4	650	urinate	čur̃amo načko; čur̃ams	
4	660	defecate	vac̷ʸtʸ	
4	670	have sexual intercourse	paskoms	
4	680	shiver	sor̃noms	
4	690	bathe	ekšelʸama	
4	710	beget (of father)	šačtoms	
4	730	pregnant	pešksʸese	
4	732	conceive	pekiyams	
4	740	live, living, life	er̃ʸamo	
4	750	die, dead	kuloms	
4	751	drowned	vayams; vayazʸ	
4	760	kill	maštoms; čavoms	
4	770	corpse	ulov	
4	780	bury (the dead)	kalmams	
4	790	grave, tomb	kalmo	
4	810	strong, mighty, powerful	viyev	
4	820	weak	lavšo	
4	830	well, health	šumbr̃a	
4	840	sick, sickness	or̃ma; or̃malgadoms	
4	841	fever	pokš žar̃	
4	842	goiter	tutmo	
4	843	cold (catarrh)	kelʸmevks	
4	850	wound, sore	ker̃ʸavks	
4	852	bruise	r̃umovks	
4	853	swelling	tar̃gozʸems	
4	854	itch	kinʸevtʸema	
4	855	blister	puzɨr̃ʸ	
4	856	boil (noun)	or̃vo	
4	857	pus	sɨy	
4	858	scar	sɨver̃ʸks	
4	860	cure, heal	pičkams; pičkavtoms	
4	870	physician	pičkavtɨc̷ʸa	
4	880	medicine, drug	vedʸbr̃ʸa	
4	890	poison	yad; yat	
4	910	tired, weary	sʸizʸema; sʸizʸezʸ	
4	912	rest	oymsʸema	
4	920	lazy	nuzʸaldoma	
4	930	bald	čer̃ʸtʸeme	
4	940	lame	kr̃omoy	
4	950	deaf	amar̃ʸic̷ʸa	
4	960	mute	kelʸtʸeme	
4	970	blind	sokor̃	
4	980	intoxicated	ir̃ʸedʸezʸ	
4	990	naked, bare	štapo	
5	110	eat	yar̃sams	
5	120	food	yar̃samopelʸ	
5	121	cooked	pidʸema-panʸema	
5	122	raw	ver̃ʸek	
5	123	ripe	sʸezʸevks; kenʸer̃ʸezʸ	
5	124	green, unripe	r̃azʸdʸems; sʸezʸems; a maštoviks; piže	
5	125	rotten	naksado	
5	130	drink	sʸimems	
5	140	hunger	vačo	
5	141	famine	vačočɨ	
5	150	thirst	pokš melʸ	
5	160	suck	potʸams	
5	180	chew	por̃ʸema	
5	181	swallow	kir̃ʸgapar̃ʸ; nʸilʸems	
5	190	choke	povavoms	
5	210	cook	pidʸems	
5	220	boil (vb)	lakams	
5	230	roast, fry	r̃ʸestams	
5	240	bake	panʸems	
5	250	oven	panʸems	
5	260	pot, cooking vessel	čakš	
5	270	kettle	kotʸol	
5	280	pan	pačalgo	
5	310	dish	vakan	
5	320	plate	blʸidʸa	
5	330	bowl	vakan	
5	340	pitcher, jug	čakške; kukšin	
5	350	cup, drinking vessel	čakške	
5	360	saucer	vakane	
5	370	spoon	penč	
5	380	knife (2)	peyelʸ	
5	390	fork (2)	sʸanginʸe	
5	391	tongs	štipc̷at	
