chapter_id	entry_id	meaning	Northern Saami_Phonemic	comment
4	170	horn	čoɑr̃vi	
4	180	tail	seɑibi	
4	190	back	seɑlgi	
4	191	spine	čielgi	
4	200	head	oɑivi	
4	201	side of head, temple	geɑðɑš	
4	202	skull	oɑiveskalǰu	
4	203	brain	vuoigŋɑšɑt	Plural form.
4	204	face	muoðut	Plural form.
4	205	forehead	gallu	
4	207	jaw	oɑlul	
4	208	cheek	muohtu	
4	209	chin	gaibi	
4	210	eye	čɑlbmi	
4	212	eyebrow	gulbmi	
4	213	eyelid	čɑlbmeluopmɑ	
4	214	eyelash	r̃ɑmɑsguolgɑ	
4	215	blink	r̃ɑvkit	
4	220	ear	beɑllyi	
4	222	earwax	beɑllyegahčči	
4	230	nose	ɲunni	
4	231	nostril	ɲunner̃aigi	
4	232	mucus (nasal)	snuolgɑ	
4	240	mouth	ɲalbmi	
4	241	beak	ɲunni	
4	250	lip	bɑvssɑ	
4	260	tongue	ɲuovččɑ	
4	270	tooth	batni	
4	271	gums	ɑlgŋɑ	
4	272	molartooth	mattɑtbatni	
4	280	neck	čeɑbet	
4	281	nape of neck	niski	
4	290	throat	čottɑ	
4	300	shoulder	oɑlgetbeɑlle	
4	301	shoulderblade	beɑðbi	
4	302	collarbone	oɑlgedakti	
4	310	arm	giehtɑ	
4	312	armpit	gieðɑvuolli	
4	320	elbow	gɑr̃dɲil	
4	321	wrist	giehtɑr̃uohtɑs	
4	330	hand	giehtɑ	
4	340	finger	suor̃bmɑ	
4	342	thumb	beɑlgi	
4	344	fingernail	gɑd͜zd͜zɑ	
4	345	claw	gɑd͜zd͜zɑ	
4	350	leg	yuolgi	
4	351	thigh	bɑdyevahkka	
4	352	calf of leg	vahkka	
4	360	knee	čibbi	
4	370	foot	yuolgi	
4	372	heel	šušmi	
4	374	footprint	luoddɑ	
4	380	toe	yuolgesuor̃bmɑ	
4	392	wing	soɑdya	
4	393	feather	dolgi	
4	400	chest	rɑddi	
4	410	breast (of woman)	čiǰǰi	
4	412	nipple, teat	čiǰǰeoɑivi	
4	420	udder	r̃uoksi	
4	430	navel	nahpi	
4	440	heart	vaibmu	
4	441	lung	geɑhpis	
4	450	liver	vuoivvɑs	
4	451	kidney	monimɑt	Plural form.
4	452	spleen	davdi	
4	460	stomach	čoɑvyi	
4	461	intestines, guts	siskiluš	
4	462	waist	boɑgansɑdyi	
4	463	hip	spir̃ɑl	
4	464	buttocks	bɑhtɑ	
4	470	womb	goɑθθu	
4	490	testicle	ballu	
4	492	penis	buohčɑ	
4	510	breathe, breath	vuoigŋɑt; vuoigŋɑ	
4	520	yawn, gape	gavɑstit	
4	521	hiccough	ɲɑhkɑstit	
4	530	cough	gossɑt	
4	540	sneeze	gɑstit	
4	550	perspire	bivɑstɑt	
4	560	spit	čolgɑt	
4	570	vomit	vuovssɑdit	
4	580	bite	gaskit	
4	590	lick	ɲoɑllut	
4	591	dribble	goɑikut	
4	610	sleep	oɑððit	
4	612	snore	skuhr̃r̃ɑt	
4	620	dream	niegɑdit	
4	630	wake up	gohc̷c̷at	
4	640	break wind	buoskut	
4	650	urinate	goǰǰɑt	
4	660	defecate	bɑikit	
4	670	have sexual intercourse	ɑnɑšit	
4	680	shiver	spɑr̃r̃ɑt	
4	690	bathe	lavgut	
4	710	beget (of father)	sɑgɑhit	
4	720	born (to be)	r̃iegadit	
4	730	pregnant	ahpeheɑpme	
4	732	conceive	sɑhkɑnit	
4	740	live, living, life	eɑllit; eɑlli; eɑllin	
4	750	die, dead	yapmit; yapmɑn	
4	751	drowned	heɑvvɑnɑn	
4	760	kill	goddit	
4	770	corpse	r̃umɑš	
4	780	bury (the dead)	havdadit	
4	790	grave, tomb	havdi	
4	810	strong, mighty, powerful	gievr̃ɑ; famolɑš	
4	820	weak	heɑdyu	
4	830	well, health	deɑr̃vvɑš; deɑr̃vvɑšvuohtɑ	
4	840	sick, sickness	buod͜zus; buohc̷u	
4	841	fever	bahkkɑdavdɑ	
4	843	cold (catarrh)	nuor̃vu	
4	850	wound, sore	havvi	
4	853	swelling	bohtti	
4	854	itch	sɑŋaš	
4	855	blister	skoɑvhli	
4	856	boil (noun)	buogu	
4	857	pus	siedyɑ	
4	858	scar	ar̃pɑ	
4	860	cure, heal	dalkut	
4	870	physician	doɑvttir̃	
4	880	medicine, drug	dalkkɑs	
4	890	poison	mir̃ko	
4	910	tired, weary	vaibbɑs	
