#                 	                	                   	                	              	          	6.4.1.     	From the bases of the personal pronouns, the oldest possessive pronouns seem to have been mos, mine, ṇsmós, ours, twos, thine, usmós, yours, swos, own.                                                           
#                 	                	                   	                	              	          	6.4.2.     	The common Late Indo-European possessives were formed from the same bases with suffixes -(i)jo- in the singular, -(t)ero- in the plural; as, méwijos, menjos, my,ṇserós, our, téwijos, thy, userós, your, séwijos.
#                 	                	                   	                	              	          	6.4.3.     	Possessives are declined like adjectives of the first type, in -os, -ā, -om.                                                                                                                                      
# possessor-person	possessor-gender	possessor-plurality	possessed-gender	possessed-case	singular  	dual       	plural                                                                                                                                                                                                            
                  
2                 	neuter          	plural             	feminine        	vocative      	useréh₂   	useréh₂h₁e 	useréh₂es                                                                                                                                                                                                         
2                 	neuter          	plural             	feminine        	accusative    	userā́m   	useréh₂h₁e 	useréh₂m̥s                                                                                                                                                                                                        
2                 	neuter          	plural             	feminine        	genitive      	useréh₂s  	         	useréh₂oHom                                                                                                                                                                                                       
2                 	neuter          	plural             	feminine        	ablative      	useréh₂s  	         	useréh₂mos                                                                                                                                                                                                        
2                 	neuter          	plural             	feminine        	dative        	useréh₂ey 	         	useréh₂mos                                                                                                                                                                                                        
2                 	neuter          	plural             	feminine        	locative      	useréh₂i  	         	useréh₂su                                                                                                                                                                                                         
2                 	neuter          	plural             	feminine        	instrumental  	useréh₂h₁ 	         	useréh₂bʰi                                                                                                                                                                                                        
                  
2                 	neuter          	plural             	neuter          	nominative    	useróm    	useróyh₁ 	useréh₂                                                                                                                                                                                                           
2                 	neuter          	plural             	neuter          	vocative      	useróm    	useróyh₁ 	useréh₂                                                                                                                                                                                                           
2                 	neuter          	plural             	neuter          	accusative    	useróm    	useróyh₁ 	useréh₂                                                                                                                                                                                                           
2                 	neuter          	plural             	neuter          	genitive      	userósyo  	         	useróHom                                                                                                                                                                                                          
2                 	neuter          	plural             	neuter          	ablative      	useréad   	         	userómos                                                                                                                                                                                                          
2                 	neuter          	plural             	neuter          	dative        	useróey   	         	userómos                                                                                                                                                                                                          
2                 	neuter          	plural             	neuter          	locative      	useróy    	         	useróysu                                                                                                                                                                                                          
2                 	neuter          	plural             	neuter          	instrumental  	useróh₁   	         	userṓys                                                                                                                                                                                                           
                  
reflexive         	neuter          	singular           	masculine       	nominative    	séwijos   	séwijoh₁   	séwijoes                                                                                                                                                                                                          
reflexive         	neuter          	singular           	masculine       	vocative      	séwije    	séwijoh₁   	séwijoes                                                                                                                                                                                                          
reflexive         	neuter          	singular           	masculine       	accusative    	séwijom   	séwijoh₁   	séwijoms                                                                                                                                                                                                          
reflexive         	neuter          	singular           	masculine       	genitive      	séwijosyo 	         	séwijoHom                                                                                                                                                                                                         
reflexive         	neuter          	singular           	masculine       	ablative      	séwijead  	         	séwijomos                                                                                                                                                                                                         
reflexive         	neuter          	singular           	masculine       	dative        	séwijoey  	         	séwijomos                                                                                                                                                                                                         
reflexive         	neuter          	singular           	masculine       	locative      	séwijoy   	         	séwijoysu                                                                                                                                                                                                         
reflexive         	neuter          	singular           	masculine       	instrumental  	séwijoh₁  	         	séwijōys                                                                                                                                                                                                          
                  
reflexive         	neuter          	singular           	feminine        	nominative    	séwijeh₂  	séwijeh₂h₁e	séwijeh₂es                                                                                                                                                                                                        
