#declension 	ie-singular	ie-dual     	ie-plural   	collective 	emoji	emoji-property	en-noun  	preposition	gender	stem          	class    
nominative  	wlₒkʷos    	wlₒkʷoh₁    	wlₒkʷoes    	           	🐺    	🍖             	wolf     	by         	m     	o             	thematic 
locative    	gʰostḗy    	            	gʰostísu    	           	🦹    	💎             	enemy    	by         	f     	i             	athematic
bystrumental	gʰostíh₁   	            	gʰostíbʰi   	           	🦹    	💎             	enemy    	by         	f     	i             	athematic
nominative  	ǵénh₁mnₒ   	ǵénh₁mnih₁  	            	ǵn̥h₁mō    	🌰    	🌱             	seed     	by         	n     	n             	athematic
accusative  	ǵénh₁mnₒ   	ǵénh₁mnih₁  	            	ǵn̥h₁mō    	🌰    	🌱             	seed     	by         	n     	n             	athematic
vocative    	ǵénh₁mnₒ   	ǵénh₁mnih₁  	            	ǵn̥h₁mō    	🌰    	🌱             	seed     	by         	n     	n             	athematic
genitive    	ǵn̥h₁mnₒs  	            	            	ǵn̥h₁m̥nés 	🌰    	🌱             	seed     	by         	n     	n             	athematic
ablative    	ǵn̥h₁mnₒs  	            	            	ǵn̥h₁m̥nés 	🌰    	🌱             	seed     	by         	n     	n             	athematic
dative      	ǵn̥h₁mney  	            	            	ǵn̥h₁m̥néy 	🌰    	🌱             	seed     	by         	n     	n             	athematic
locative    	ǵn̥h₁mni   	            	            	ǵn̥h₁méni  	🌰    	🌱             	seed     	by         	n     	n             	athematic
instrumental	ǵn̥h₁mnₒh₁ 	            	            	ǵn̥h₁m̥néh₁	🌰    	🌱             	seed     	by         	n     	n             	athematic
nominative  	ph₂tḗr     	ph₂térh₁e   	ph₂téres    	           	👨‍👧‍👦	💎             	father   	by         	m     	r             	athematic
accusative  	ph₂térmₒ   	ph₂térh₁e   	ph₂térmₒs   	           	👨‍👧‍👦	💎             	father   	by         	m     	r             	athematic
vocative    	ph₂tér     	ph₂térh₁e   	ph₂téres    	           	👨‍👧‍👦	💎             	father   	by         	m     	r             	athematic
genitive    	ph₂trés    	            	ph₂tróHom   	           	👨‍👧‍👦	💎             	father   	by         	m     	r             	athematic
ablative    	ph₂trés    	            	ph₂trₒmós   	           	👨‍👧‍👦	💎             	father   	by         	m     	r             	athematic
dative      	ph₂tréy    	            	ph₂trₒmós   	           	👨‍👧‍👦	💎             	father   	by         	m     	r             	athematic
locative    	ph₂téri    	            	ph₂trₒsú    	           	👨‍👧‍👦	💎             	father   	by         	m     	r             	athematic
instrumental	ph₂tréh₁   	            	ph₂trₒbʰí   	           	👨‍👧‍👦	💎             	father   	by         	m     	r             	athematic
nominative  	wódrₒ      	            	            	wédōr      	💧    	🐟             	water    	by         	n     	heteroclitic  	athematic
accusative  	wódrₒ      	            	            	wédōr      	💧    	🐟             	water    	by         	n     	heteroclitic  	athematic
vocative    	wódrₒ      	            	            	wédōr      	💧    	🐟             	water    	by         	n     	heteroclitic  	athematic
genitive    	wédnₒs     	            	            	udnés      	💧    	🐟             	water    	by         	n     	heteroclitic  	athematic
ablative    	wédnₒs     	            	            	udnés      	💧    	🐟             	water    	by         	n     	heteroclitic  	athematic
dative      	wédney     	            	            	udnéy      	💧    	🐟             	water    	by         	n     	heteroclitic  	athematic
locative    	wédni      	            	            	udéni      	💧    	🐟             	water    	by         	n     	heteroclitic  	athematic
bystrumental	wédnₒh₁    	            	            	udnéh₁     	💧    	🐟             	water    	by         	n     	heteroclitic  	athematic
nominative  	gʷṓws      	gʷówh₁e     	gʷówes      	           	🐄    	💩             	cow      	on         	m     	root consonant	athematic
accusative  	gʷówm      	gʷówh₁e     	gʷówmₒs     	           	🐄    	💩             	cow      	on         	m     	root consonant	athematic
vocative    	gʷów       	gʷówh₁e     	gʷówes      	           	🐄    	💩             	cow      	on         	m     	root consonant	athematic
genitive    	gʷéws      	            	gʷéwoHom    	           	🐄    	💩             	cow      	on         	m     	root consonant	athematic
ablative    	gʷéws      	            	gʷéwmós     	           	🐄    	💩             	cow      	on         	m     	root consonant	athematic
dative      	gʷéwy      	            	gʷéwmós     	           	🐄    	💩             	cow      	on         	m     	root consonant	athematic
locative    	pédi       	            	gʷéwsú      	           	🐄    	💩             	cow      	on         	m     	root consonant	athematic
instrumental	gʷéwh₁     	            	gʷéwbʰí     	           	🐄    	💩             	cow      	on         	m     	root consonant	athematic
nominative  	péḱu       	péḱwih₁     	péḱuh₂      	           	🐖    	💩             	livestock	by         	n     	u             	athematic
accusative  	péḱu       	péḱwih₁     	péḱuh₂      	           	🐖    	💩             	livestock	by         	n     	u             	athematic
vocative    	péḱu       	péḱwih₁     	péḱuh₂      	           	🐖    	💩             	livestock	by         	n     	u             	athematic
genitive    	pḱéws      	            	pḱéwoHom    	           	🐖    	💩             	livestock	by         	n     	u             	athematic
ablative    	pḱéws      	            	pḱúmos      	           	🐖    	💩             	livestock	by         	n     	u             	athematic
dative      	pḱéwey     	            	pḱúmos      	           	🐖    	💩             	livestock	by         	n     	u             	athematic
locative    	pḱéwi      	            	pḱúsu       	           	🐖    	💩             	livestock	by         	n     	u             	athematic
instrumental	pḱúh₁      	            	pḱúbʰi      	           	🐖    	💩             	livestock	by         	n     	u             	athematic
nominative  	móri       	móryih₁     	mórih₂      	           	🌊    	🐟             	sea      	by         	n     	i             	athematic
accusative  	móri       	móryih₁     	mórih₂      	           	🌊    	🐟             	sea      	by         	n     	i             	athematic
vocative    	móri       	móryih₁     	mórih₂      	           	🌊    	🐟             	sea      	by         	n     	i             	athematic
genitive    	mₒréys     	            	mₒréyoHom   	           	🌊    	🐟             	sea      	by         	n     	i             	athematic
ablative    	mₒréys     	            	mₒrímos     	           	🌊    	🐟             	sea      	by         	n     	i             	athematic
dative      	mₒréyey    	            	mₒrímos     	           	🌊    	🐟             	sea      	by         	n     	i             	athematic
locative    	mₒrḗy      	            	mₒrísu      	           	🌊    	🐟             	sea      	by         	n     	i             	athematic
instrumental	mₒríh₁     	            	mₒríbʰi     	           	🌊    	🐟             	sea      	by         	n     	i             	athematic
nominative  	kéh₃tus    	kéh₃tuh₁e   	kéh₃tewes   	           	🤼    	🥊             	fight    	nearby     	m     	u             	athematic
accusative  	kéh₃tum    	kéh₃tuh₁e   	kéh₃tums    	           	🤼    	🥊             	fight    	nearby     	m     	u             	athematic
vocative    	kéh₃tu     	kéh₃tuh₁e   	kéh₃tewes   	           	🤼    	🥊             	fight    	nearby     	m     	u             	athematic
genitive    	kh₃téws    	            	kh₃téwoHom  	           	🤼    	🥊             	fight    	nearby     	m     	u             	athematic
ablative    	kh₃téws    	            	kh₃túmos    	           	🤼    	🥊             	fight    	nearby     	m     	u             	athematic
dative      	kh₃téwey   	            	kh₃túmos    	           	🤼    	🥊             	fight    	nearby     	m     	u             	athematic
locative    	kh₃téwi    	            	kh₃túsu     	           	🤼    	🥊             	fight    	nearby     	m     	u             	athematic
instrumental	kh₃túh₁    	            	kh₃túbʰi    	           	🤼    	🥊             	fight    	nearby     	m     	u             	athematic
nominative  	nébʰos     	nébʰesih₁   	nébʰōs      	           	☁️   	💧             	cloud    	in         	n     	s             	athematic
accusative  	nébʰos     	nébʰesih₁   	nébʰōs      	           	☁️   	💧             	cloud    	in         	n     	s             	athematic
vocative    	nébʰos     	nébʰesih₁   	nébʰōs      	           	☁️   	💧             	cloud    	in         	n     	s             	athematic
genitive    	nébʰesos   	            	nébʰesoHom  	           	☁️   	💧             	cloud    	in         	n     	s             	athematic
ablative    	nébʰesos   	            	nébʰesmos   	           	☁️   	💧             	cloud    	in         	n     	s             	athematic
dative      	nébʰesey   	            	nébʰesmos   	           	☁️   	💧             	cloud    	in         	n     	s             	athematic
locative    	nébʰesi    	            	nébʰesu     	           	☁️   	💧             	cloud    	in         	n     	s             	athematic
instrumental	nébʰesh₁   	            	nébʰesbʰi   	           	☁️   	💧             	cloud    	in         	n     	s             	athematic
nominative  	h₂éḱmō     	h₂éḱmonh₁e  	h₂éḱmones   	           	🪨    	💎             	stone    	by         	m     	n             	athematic
accusative  	h₂éḱmonmₒ  	h₂éḱmonh₁e  	h₂éḱmonmₒs  	           	🪨    	💎             	stone    	by         	m     	n             	athematic
vocative    	h₂éḱmon    	h₂éḱmonh₁e  	h₂éḱmones   	           	🪨    	💎             	stone    	by         	m     	n             	athematic
genitive    	h₂ḱnés     	            	h₂ḱm̥nₒóHom 	           	🪨    	💎             	stone    	by         	m     	n             	athematic
ablative    	h₂ḱnés     	            	h₂ḱmnₒós    	           	🪨    	💎             	stone    	by         	m     	n             	athematic
dative      	h₂ḱnéy     	            	h₂ḱmnₒós    	           	🪨    	💎             	stone    	by         	m     	n             	athematic
locative    	h₂ḱméni    	            	h₂ḱmnₒsú    	           	🪨    	💎             	stone    	by         	m     	n             	athematic
instrumental	h₂ḱnéh₁    	            	h₂ḱmnₒbʰí   	           	🪨    	💎             	stone    	by         	m     	n             	athematic
