# case      	person       	gender   	plurality	clitic  	pie-declined     	
ablative    	demonstrative	         	         	        	tósyeh₂s         	
dative      	demonstrative	         	         	        	tósyeh₂ey        	
locative    	demonstrative	         	         	        	tósyeh₂          	
instrumental	demonstrative	         	         	        	téh₂(e)h₁        	
nominative  	demonstrative	         	         	        	tód              	
accusative  	demonstrative	         	         	        	tód              	
genitive    	demonstrative	         	         	        	tósyo            	
ablative    	demonstrative	         	         	        	tósmead          	
dative      	demonstrative	         	         	        	tósmey           	
locative    	demonstrative	         	         	        	tósmi            	
instrumental	demonstrative	         	         	        	tónoh₁           
nominative  	demonstrative	         	         	        	                 
accusative  	demonstrative	         	         	        	                 
genitive    	demonstrative	         	         	        	                 
dative      	demonstrative	         	         	        	                 
nominative  	demonstrative	         	         	        	                 
accusative  	demonstrative	         	         	        	                 
genitive    	demonstrative	         	         	        	                 
dative      	demonstrative	         	         	        	                 
nominative  	demonstrative	         	         	        	                 
accusative  	demonstrative	         	         	        	                 
genitive    	demonstrative	         	         	        	                 
dative      	demonstrative	         	         	        	                 
nominative  	demonstrative	         	         	        	tóh₁             
accusative  	demonstrative	         	         	        	tóh₁             
genitive    	demonstrative	         	         	        	                 
ablative    	demonstrative	         	         	        	                 
dative      	demonstrative	         	         	        	                 
locative    	demonstrative	         	         	        	                 
instrumental	demonstrative	         	         	        	                 
nominative  	demonstrative	         	         	        	                 
accusative  	demonstrative	         	         	        	                 
genitive    	demonstrative	         	         	        	                 
ablative    	demonstrative	         	         	        	                 
dative      	demonstrative	         	         	        	                 
locative    	demonstrative	         	         	        	                 
instrumental	demonstrative	         	         	        	                 
nominative  	demonstrative	         	         	        	tóy              
accusative  	demonstrative	         	         	        	tóy              
genitive    	demonstrative	         	         	        	                 
ablative    	demonstrative	         	         	        	                 
dative      	demonstrative	         	         	        	                 
locative    	demonstrative	         	         	        	                 
instrumental	demonstrative	         	         	        	                 
nominative  	demonstrative	         	         	        	tóy              	
accusative  	demonstrative	         	         	        	tóms             	
genitive    	demonstrative	         	         	        	tóysoHom         	
ablative    	demonstrative	         	         	        	tóymos           	
dative      	demonstrative	         	         	        	tóymos           	
locative    	demonstrative	         	         	        	tóysu            	
instrumental	demonstrative	         	         	        	tṓys             	
nominative  	demonstrative	         	         	        	téh₂es           	
accusative  	demonstrative	         	         	        	téh₂m̥s          	
genitive    	demonstrative	         	         	        	téh₂soHom        	
ablative    	demonstrative	         	         	        	téh₂mos          	
dative      	demonstrative	         	         	        	téh₂mos          	
locative    	demonstrative	         	         	        	téh₂su           	
instrumental	demonstrative	         	         	        	téh₂bʰi          	
nominative  	demonstrative	         	         	        	téh₂             	
accusative  	demonstrative	         	         	        	téh₂             	
genitive    	demonstrative	         	         	        	tóysoHom         	
ablative    	demonstrative	         	         	        	tóymos           	
dative      	demonstrative	         	         	        	tóymos           	
locative    	demonstrative	         	         	        	tóysu            	
instrumental	demonstrative	         	         	        	tṓys             	
