frei 	 adjective 	 unimprisoned 	 free; unenslaved; unimprisoned
sms 	 noun 	 Seiner Majestät Schiff 	 SMS &amp;mdash; Seiner Majestät Schiff
digital 	 adjective 	 English 	 digital
digital 	 adjective 	 English 	 digital
um 	 conjunction 	 in order to 	 in order to, so as to
um 	 conjunction 	 so as to 	 in order to, so as to
um 	 adverb 	 around 	 around, about
um 	 adverb 	 about 	 around, about
um 	 adverb 	 changed 	 turned over, changed, from one state to another
pseudonym 	 adjective 	 pseudonymous 	 pseudonymous
absurd 	 adjective 	 English 	 absurd
abundant 	 adjective 	 English 	 abundant
ufo 	 noun 	 English 	 UFO
schadenfreude 	 noun 	 gloating 	 malicious enjoyment derived from observing someone else's misfortune; schadenfreude; gloating
schadenfreude 	 noun 	 enjoyment 	 malicious enjoyment derived from observing someone else's misfortune; schadenfreude; gloating
schadenfreude 	 noun 	 schadenfreude 	 malicious enjoyment derived from observing someone else's misfortune; schadenfreude; gloating
schadenfreude 	 noun 	 misfortune 	 malicious enjoyment derived from observing someone else's misfortune; schadenfreude; gloating
mental 	 adjective 	 English 	 mental
beige 	 adjective 	 English 	 beige
pink 	 adjective 	 shade 	 coloured in a strong shade of pink
pink 	 adjective 	 English 	 coloured in a strong shade of pink
pink 	 adjective 	 strong 	 coloured in a strong shade of pink
chinese 	 noun 	 China 	 person from China
dual 	 adjective 	 English 	 dual
parallel 	 adjective 	 English 	 parallel
rational 	 adjective 	 English 	 rational
irrational 	 adjective 	 English 	 irrational
an 	 adverb 	 onward 	 onward; on
an 	 adverb 	 on 	 onward; on
an 	 adjective 	 on 	 on
samstag 	 noun 	 Saturday 	 Saturday
vb 	 noun 	 Vereinbarung 	 Vereinbarung
vb 	 noun 	 Verhandlungsbasis 	 Verhandlungsbasis
her 	 adverb 	 hither 	 hither, to this place, to here, to me/us
her 	 adverb 	 ago 	 ago
all 	 determiner 	 English 	 all
all 	 determiner 	 every 	 every
arm 	 adjective 	 poor 	 poor
arm 	 adjective 	 poor 	 poor
arm 	 adjective 	 low 	 low
was 	 pronoun 	 what 	 what
was 	 pronoun 	 which 	 which
was 	 pronoun 	 that 	 that, which das, alles, etwas, nichts, and neuter substantival adjectives)
was 	 pronoun 	 which 	 that, which das, alles, etwas, nichts, and neuter substantival adjectives)
was 	 pronoun 	 that 	 that, which das)
was 	 pronoun 	 which 	 that, which das)
was 	 pronoun 	 something 	 something, anything etwas)
was 	 pronoun 	 anything 	 something, anything etwas)
was 	 determiner 	 kind 	 what; what kind of
was 	 determiner 	 what 	 what; what kind of
was 	 adverb 	 somewhat 	 a little, somewhat
was 	 adverb 	 a little 	 a little, somewhat
was 	 adverb 	 why 	 why, what for
was 	 adverb 	 what for 	 why, what for
nicht 	 adverb 	 not 	 not, non-
nicht 	 adverb 	 non- 	 not, non-
nicht 	 interjection 	 right 	 right?; is it?; is it not?
nicht 	 interjection 	 nicht 	 oder nicht
nicht 	 interjection 	 oder 	 oder nicht
warm 	 adjective 	 English 	 warm; mildly hot
warm 	 adjective 	 hot 	 warm; mildly hot
warm 	 adjective 	 gay 	 homosexual, gay
warm 	 adjective 	 homosexual 	 homosexual, gay
warm 	 adverb 	 utilities 	 including utilities
warm 	 adverb 	 including 	 including utilities
cool 	 adjective 	 English 	 cool
cool 	 adjective 	 English 	 cool, calm, easy-going
cool 	 adjective 	 calm 	 cool, calm, easy-going
cool 	 adjective 	 easy-going 	 cool, calm, easy-going
anterior 	 adjective 	 anterior 	 anterior
khaki 	 adjective 	 English 	 khaki
nb 	 noun 	 Neubau 	 Neubau
ns 	 noun 	 Nachschrift 	 Nachsatz, Nachschrift
ns 	 noun 	 Nachsatz 	 Nachsatz, Nachschrift
ns 	 noun 	 Nukleinsäure 	 Nukleinsäure
ns 	 noun 	 HS 	 Nebensatz contrast Hauptsatz, HS
ns 	 noun 	 Nebensatz 	 Nebensatz contrast Hauptsatz, HS
ns 	 noun 	 Hauptsatz 	 Nebensatz contrast Hauptsatz, HS
ns 	 noun 	 Nullstelle 	 Nullstelle
ns 	 noun 	 Nationalsozialismus 	 Nationalsozialismus
bs 	 noun 	 Bausoldat 	 Bausoldat
so 	 adverb 	 English 	 so, such, that
so 	 adverb 	 such 	 so, such, that
so 	 adverb 	 that 	 so, such, that
so 	 adverb 	 as 	 as wie in a statement of equality
so 	 adverb 	 that 	 thus, like this/that, in this/that way, in this/that manner
so 	 adverb 	 this 	 thus, like this/that, in this/that way, in this/that manner
so 	 adverb 	 thus 	 thus, like this/that, in this/that way, in this/that manner
so 	 adverb 	 manner 	 thus, like this/that, in this/that way, in this/that manner
so 	 adverb 	 like 	 thus, like this/that, in this/that way, in this/that manner
so 	 adverb 	 way 	 thus, like this/that, in this/that way, in this/that manner
so 	 adverb 	 then 	 then
so 	 adverb 	 expletive 	 expletive; sometimes intensifying, sometimes with no noticeable meaning
so 	 adverb 	 likeParticle 	 t=We went downstairs and, like, sat down here
so 	 conjunction 	 an 	 an, if
so 	 conjunction 	 if 	 an, if
so 	 pronoun 	 that 	 that, which, who
so 	 pronoun 	 which 	 that, which, who
so 	 pronoun 	 who 	 that, which, who
listen 	 verb 	 list 	 to list
me 	 noun 	 Mieteinnahmen 	 Mieteinnahmen
oral 	 adjective 	 mouth 	 Relating to the mouth
molar 	 adjective 	 English 	 molar
servus 	 interjection 	 hello 	 hello, hi
servus 	 interjection 	 hi 	 hello, hi
servus 	 interjection 	 farewell 	 goodbye, bye, farewell
servus 	 interjection 	 goodbye 	 goodbye, bye, farewell
servus 	 interjection 	 bye 	 goodbye, bye, farewell
servus 	 interjection 	 cheers 	 cheers
lose 	 adjective 	 loose 	 loose, slack
lose 	 adjective 	 slack 	 loose, slack
regnen 	 verb 	 rain 	 to rain
sehen 	 verb 	 see 	 to see; to have sight
sehen 	 verb 	 see 	 to see ; to perceive by vision
sehen 	 verb 	 find out 	 to realize; to notice; to see; to find out
sehen 	 verb 	 notice 	 to realize; to notice; to see; to find out
sehen 	 verb 	 realize 	 to realize; to notice; to see; to find out
sehen 	 verb 	 see 	 to realize; to notice; to see; to find out
sehen 	 verb 	 see 	 to meet ; to meet up; to see; but
sehen 	 verb 	 meet 	 to meet ; to meet up; to see; but
sehen 	 verb 	 watch 	 |also nach to look at; to watch; |nach often implies a turning of the head; other prepositions can be used depending on the context
sehen 	 verb 	 look 	 |also nach to look at; to watch; |nach often implies a turning of the head; other prepositions can be used depending on the context
sehen 	 verb 	 see to 	 to check on; to look after; to see to nach
sehen 	 verb 	 check on 	 to check on; to look after; to see to nach
sehen 	 verb 	 look after 	 to check on; to look after; to see to nach
sehen 	 verb 	 wait and see 	 to decide spontaneously and/or by personal preference; to wait and see
sehen 	 verb 	 decide 	 to decide spontaneously and/or by personal preference; to wait and see
ia 	 interjection 	 hee-haw 	 hee-haw
liberal 	 adjective 	 English 	 liberal; permissive; allowing personal freedoms
liberal 	 adjective 	 permissive 	 liberal; permissive; allowing personal freedoms
liberal 	 adjective 	 English 	 libertarian; liberal in the traditional sense see usage notes below
liberal 	 adjective 	 libertarian 	 libertarian; liberal in the traditional sense see usage notes below
down 	 adjective 	 down 	 down, depressed
down 	 adjective 	 depressed 	 down, depressed
down 	 adjective 	 down 	 down, not online
down 	 adjective 	 down 	 down, defeated, without health left
human 	 adjective 	 humane 	 humane
hier 	 adverb 	 here 	 here; in this place; refers to an environment one is currently in, or to something within reach
hier 	 adverb 	 there 	 there; right there; in that place; refers to something that is considered nearby, or can be seen and pointed at
hier 	 adverb 	 here 	 here
er 	 pronoun 	 he 	 he
er 	 pronoun 	 it 	 it )
muslim 	 noun 	 English 	 Muslim
befallen 	 verb 	 affect 	 to affect
befallen 	 verb 	 seize 	 to seize
befallen 	 verb 	 infest 	 to infest
bitten 	 verb 	 request 	 ] to ask, to beg, to plead, to request
bitten 	 verb 	 beg 	 ] to ask, to beg, to plead, to request
bitten 	 verb 	 plead 	 ] to ask, to beg, to plead, to request
bitten 	 verb 	 ask 	 ] to ask, to beg, to plead, to request
fallen 	 verb 	 fall 	 to fall; to drop
fallen 	 verb 	 drop 	 to fall; to drop
fallen 	 verb 	 fall 	 to die; to fall in battle; to die in battle; to be killed in action
fallen 	 verb 	 battle 	 to die; to fall in battle; to die in battle; to be killed in action
fallen 	 verb 	 in action 	 to die; to fall in battle; to die in battle; to be killed in action
fallen 	 verb 	 killed 	 to die; to fall in battle; to die in battle; to be killed in action
fallen 	 verb 	 die 	 to die; to fall in battle; to die in battle; to be killed in action
fallen 	 verb 	 in 	 to die; to fall in battle; to die in battle; to be killed in action
fallen 	 verb 	 be 	 to die; to fall in battle; to die in battle; to be killed in action
fallen 	 verb 	 s:de:Die Orgelpfeifen 	 * 1918, Elisabeth von Heyking, Die Orgelpfeifen, in: Zwei Erzählungen, Phillipp Reclam jun. Verlag, page 31
fallen 	 verb 	 w:de:Elisabeth von Heyking 	 * 1918, Elisabeth von Heyking, Die Orgelpfeifen, in: Zwei Erzählungen, Phillipp Reclam jun. Verlag, page 31
fallen 	 verb 	 fall 	 to fall, to collapse, to be overthrown
fallen 	 verb 	 collapse 	 to fall, to collapse, to be overthrown
fallen 	 verb 	 overthrown 	 to fall, to collapse, to be overthrown
fallen 	 verb 	 decrease 	 to become lower, to decrease, to decline
fallen 	 verb 	 decline 	 to become lower, to decrease, to decline
blond 	 adjective 	 fair 	 blond; fair; unlike English, not commonly used of anything other than hair
blond 	 adjective 	 English 	 blond; fair; unlike English, not commonly used of anything other than hair
blond 	 adjective 	 bright 	 bright; not brown or yeasty
blond 	 adjective 	 yeasty 	 bright; not brown or yeasty
blond 	 adjective 	 naive 	 stupid; naive
blond 	 adjective 	 stupid 	 stupid; naive
fit 	 adjective 	 English 	 fit
hold 	 adjective 	 friendly 	 friendly, comely, graceful
hold 	 adjective 	 comely 	 friendly, comely, graceful
hold 	 adjective 	 graceful 	 friendly, comely, graceful
hold 	 adjective 	 :w:Carl Spitteler 	 * 1907, Carl Spitteler, Die Mädchenfeinde, Siebentes Kapitel, Beim Narrenſtudenten
mal 	 adverb 	 times 	 times
legal 	 adjective 	 English 	 legal
ideal 	 adjective 	 English 	 ideal
verbal 	 adjective 	 English 	 verbal
ran 	 adverb 	 near 	 near, close to, over to
ran 	 adverb 	 over 	 near, close to, over to
ran 	 adverb 	 close 	 near, close to, over to
ambivalent 	 adjective 	 English 	 ambivalent
arid 	 adjective 	 English 	 arid
bourgeois 	 adjective 	 English 	 bourgeois
bourgeois 	 adjective 	 elitist 	 snobbish, elitist
bourgeois 	 adjective 	 snobbish 	 snobbish, elitist
stricken 	 verb 	 knit 	 to knit
stricken 	 verb 	 knot 	 to tie, to knot
stricken 	 verb 	 tie 	 to tie, to knot
betun 	 verb 	 strive 	 to care for, strive for
betun 	 verb 	 care for 	 to care for, strive for
bitter 	 adjective 	 English 	 bitter
bitter 	 adverb 	 bitterly 	 bitterly
taiwaner 	 noun 	 Taiwanese 	 Taiwanese; man living in Taiwan, or pertaining to Taiwan
taiwaner 	 noun 	 Taiwan 	 Taiwanese; man living in Taiwan, or pertaining to Taiwan
clean 	 adjective 	 drugfree 	 clean, drugfree
clean 	 adjective 	 clean 	 clean, drugfree
different 	 adjective 	 English 	 different
power 	 adjective 	 miserable 	 poor, miserable
power 	 adjective 	 poor 	 poor, miserable
rom 	 noun 	 Romani 	 Rom , Romani
rom 	 noun 	 English 	 Rom , Romani
du 	 pronoun 	 you 	 you thou, singular familiar
du 	 pronoun 	 thou 	 you thou, singular familiar
solid 	 adjective 	 English 	 solid
fluid 	 adjective 	 English 	 fluid
heavy 	 adjective 	 heavy 	 heavy; intense; serious; shocking
heavy 	 adjective 	 shocking 	 heavy; intense; serious; shocking
heavy 	 adjective 	 serious 	 heavy; intense; serious; shocking
heavy 	 adjective 	 intense 	 heavy; intense; serious; shocking
heavy 	 adjective 	 starkes Stück 	 ein starkes Stück
live 	 adverb 	 English 	 live
rotten 	 verb 	 rout 	 to form into a gang, to rout, to squad
rotten 	 verb 	 squad 	 to form into a gang, to rout, to squad
rotten 	 verb 	 gang 	 to form into a gang, to rout, to squad
rotten 	 verb 	 decay 	 to rot, to decay
rotten 	 verb 	 rot 	 to rot, to decay
fünf 	 numeral 	 five 	 five
horizontal 	 adjective 	 English 	 horizontal
analog 	 adjective 	 analogous 	 analogous
analog 	 adjective 	 English 	 analog
analog 	 adjective 	 electronic 	 material, not electronic or computerised
analog 	 adjective 	 computerised 	 material, not electronic or computerised
analog 	 adjective 	 material 	 material, not electronic or computerised
h 	 noun 	 hour 	 hour
still 	 adjective 	 quiet 	 quiet, silent
still 	 adjective 	 silent 	 quiet, silent
still 	 adverb 	 silently 	 quietly, silently
still 	 adverb 	 quietly 	 quietly, silently
gram 	 adjective 	 angry 	 angry
hammer 	 verb 	 haben 	 haben wir
hammer 	 verb 	 wir 	 haben wir
integer 	 adjective 	 with 	 with integrity, of integrity
integer 	 adjective 	 of 	 with integrity, of integrity
integer 	 adjective 	 integrity 	 with integrity, of integrity
bass 	 adjective 	 greatly 	 greatly
hindi 	 noun 	 English 	 the Hindi language
tibet 	 noun 	 English 	 Tibet
kannada 	 noun 	 English 	 one of the languages of India; Kannada
französisch 	 adjective 	 French 	 French
französisch 	 adjective 	 s:de:Zwei-plus-Vier-Vertrag 	 * 1990, Zwei-plus-Vier-Vertrag, in: Bundesgesetzblatt 1990, part 2, page 1326
französisch 	 adjective 	 w:de:Bundesgesetzblatt  	 * 1990, Zwei-plus-Vier-Vertrag, in: Bundesgesetzblatt 1990, part 2, page 1326
französisch 	 adjective 	 oral 	 Oral sex
französisch 	 adjective 	 sex 	 Oral sex
instrumental 	 adjective 	 English 	 instrumental
indolent 	 adjective 	 English 	 indolent
indolent 	 adjective 	 insensible 	 insensible to pain
han 	 verb 	 :w:Brothers Grimm 	 *1812, Brothers Grimm, Kinder- und Haus-Märchen, p.138 - Der gescheidte Hans
hart 	 adjective 	 hard 	 hard
hart 	 adjective 	 severe 	 severe, harsh
hart 	 adjective 	 harsh 	 severe, harsh
hart 	 adverb 	 hard 	 hard
hart 	 adverb 	 roughly 	 sharply, roughly, severely
hart 	 adverb 	 sharply 	 sharply, roughly, severely
hart 	 adverb 	 severely 	 sharply, roughly, severely
hart 	 adverb 	 close 	 close
happy 	 adjective 	 satisfied 	 glad; satisfied; momentarily happy
happy 	 adjective 	 glad 	 glad; satisfied; momentarily happy
happy 	 adjective 	 happy 	 glad; satisfied; momentarily happy
arrogant 	 adjective 	 English 	 arrogant
landen 	 verb 	 landEnglish 	 to land sein
landen 	 verb 	 landEnglish 	 to land haben
landen 	 verb 	 end up 	 to end up  sein
apfel 	 noun 	 apple 	 apple
alert 	 adjective 	 English 	 alert
astral 	 adjective 	 English 	 astral
vietnamese 	 noun 	 English 	 a Vietnamese person
vietnamese 	 noun 	 restaurant 	 a Vietnamese restaurant
kugel 	 noun 	 ball 	 ball 13th century
kugel 	 noun 	 projectile 	 bullet, projectile 15th century
kugel 	 noun 	 bullet 	 bullet, projectile 15th century
kugel 	 noun 	 cartridge 	 round, cartridge, bullet
kugel 	 noun 	 round 	 round, cartridge, bullet
kugel 	 noun 	 orb 	 orb, globe, celestial body 16th century
kugel 	 noun 	 globe 	 orb, globe, celestial body 16th century
kugel 	 noun 	 orb 	 sphere, orb 16th century
kugel 	 noun 	 sphere 	 sphere, orb 16th century
kugel 	 noun 	 roundel 	 roundel of any tincture
kugel 	 noun 	 scoop 	 scoop
original 	 adjective 	 English 	 original
fast 	 adverb 	 almost 	 almost; nearly
fast 	 adverb 	 nearly 	 almost; nearly
fast 	 adverb 	 hardly 	 hardly
oxygen 	 adjective 	 oxygenic 	 oxygenic
link 	 adjective 	 left 	 left
link 	 adjective 	 cunning 	 sly; cunning
link 	 adjective 	 sly 	 sly; cunning
link 	 adjective 	 dangerous 	 dangerous
queer 	 adjective 	 queer 	 queer
eng 	 adjective 	 narrow 	 narrow, tight
eng 	 adjective 	 tight 	 narrow, tight
parlament 	 noun 	 parliament 	 parliament
parlament 	 noun 	 legislative building 	 legislative building
abc 	 noun 	 alphabet 	 ABC, alphabet
abc 	 noun 	 English 	 ABC, alphabet
abc 	 adjective 	 NBC 	 NBC. atomare biologische und chemische
oh 	 interjection 	 English 	 oh
ah 	 interjection 	 understanding 	 expressing understanding
ah 	 interjection 	 contentment 	 expressing contentment
aha 	 interjection 	 English 	 aha
rein 	 adjective 	 clear 	 pure, clear, plain
rein 	 adjective 	 plain 	 pure, clear, plain
rein 	 adjective 	 pure 	 pure, clear, plain
rein 	 adverb 	 purely 	 purely
rein 	 adverb 	 inside 	 inside, in here
rein 	 adverb 	 inside 	 inside, in there
herz 	 noun 	 heart 	 heart
herz 	 noun 	 hearts 	 hearts
herz 	 noun 	 sweetheart 	 sweetheart, darling
herz 	 noun 	 darling 	 sweetheart, darling
langsam 	 adjective 	 slow 	 slow
langsam 	 adverb 	 slowly 	 slowly
ledig 	 adjective 	 unmarried 	 unmarried
ledig 	 adjective 	 rid 	 free; rid
ledig 	 adjective 	 free 	 free; rid
ledig 	 adjective 	 out of wedlock 	 born out of wedlock
ledig 	 adjective 	 empty 	 empty
rot 	 adjective 	 red 	 red
rot 	 adjective 	 socialist 	 red; pertaining to Marxism in the widest sense; social democratic; socialist; communist
rot 	 adjective 	 red 	 red; pertaining to Marxism in the widest sense; social democratic; socialist; communist
rot 	 adjective 	 communist 	 red; pertaining to Marxism in the widest sense; social democratic; socialist; communist
rot 	 adjective 	 social democratic 	 red; pertaining to Marxism in the widest sense; social democratic; socialist; communist
rot 	 adjective 	 Marxism 	 red; pertaining to Marxism in the widest sense; social democratic; socialist; communist
rot 	 adjective 	 w:SPD 	 pertaining to the social democratic SPD or the more rigidly socialist Linke
rot 	 adjective 	 w:The Left  	 pertaining to the social democratic SPD or the more rigidly socialist Linke
rot 	 adjective 	 red-haired 	 red-haired
rot 	 adjective 	 redskin 	 redskin; Native American; Indian
rot 	 adjective 	 Native American 	 redskin; Native American; Indian
rot 	 adjective 	 Indian 	 redskin; Native American; Indian
cd 	 noun 	 English 	 CD
elf 	 numeral 	 eleven 	 cardinal numbers eleven
null 	 numeral 	 nought 	 cardinal numbers zero; nil; nought; tennis love
null 	 numeral 	 love 	 cardinal numbers zero; nil; nought; tennis love
null 	 numeral 	 zero 	 cardinal numbers zero; nil; nought; tennis love
null 	 numeral 	 nil 	 cardinal numbers zero; nil; nought; tennis love
null 	 numeral 	 zero 	 zero; no
null 	 numeral 	 no 	 zero; no
null 	 numeral 	 kein 	 kein
null 	 adjective 	 null 	 null
buch 	 noun 	 book 	 book
buch 	 noun 	 books 	 books
buch 	 noun 	 omasum 	 omasum, the third compartment of the stomach of a ruminant
buch 	 noun 	 ruminant 	 omasum, the third compartment of the stomach of a ruminant
honig 	 noun 	 honey 	 honey
lunar 	 adjective 	 English 	 lunar
fisch 	 noun 	 fish 	 fish
fisch 	 noun 	 fish 	 fish
fisch 	 noun 	 fish 	 fish
feder 	 noun 	 feather 	 feather
feder 	 noun 	 spring 	 a spring of a machine or gadget
feder 	 noun 	 pen 	 a pen, used as a writing tool in ancient times
nerven 	 verb 	 annoy 	 to bug, to annoy
nerven 	 verb 	 bug 	 to bug, to annoy
nerven 	 verb 	 suck 	 to suck, to stink, to blow
nerven 	 verb 	 stink 	 to suck, to stink, to blow
nerven 	 verb 	 blow 	 to suck, to stink, to blow
straße 	 noun 	 street 	 street; road
straße 	 noun 	 road 	 street; road
straße 	 noun 	 carriageway 	 carriageway
straße 	 noun 	 public 	 figuratively public, any area accessible to anyone
straße 	 noun 	 general public 	 figuratively general public, using the locale to describe people not part of a specific group
straße 	 noun 	 streets 	 the streets, areas or groups of people of no income or criminal affiliation, or the leading of a life associated with these
straße 	 noun 	 strait 	 strait
straße 	 noun 	 straight 	 straight
ne 	 interjection 	 right 	 right?; is it?; is it not?; tag question
ne 	 interjection 	 tag question 	 right?; is it?; is it not?; tag question
sexual 	 adjective 	 sexual 	 sexual
mobil 	 adjective 	 mobile 	 mobile
links 	 adverb 	 left 	 on the left
links 	 adverb 	 inside out 	 inside out
impressum 	 noun 	 imprint 	 imprint
impressum 	 noun 	 masthead 	 masthead
impressum 	 noun 	 ownership 	 A statement detailing the authorship and ownership of a document or website
impressum 	 noun 	 website 	 A statement detailing the authorship and ownership of a document or website
impressum 	 noun 	 authorship 	 A statement detailing the authorship and ownership of a document or website
impressum 	 noun 	 document 	 A statement detailing the authorship and ownership of a document or website
na 	 interjection 	 so 	 well!, so!; used to introduce a statement
na 	 interjection 	 well 	 well!, so!; used to introduce a statement
na 	 interjection 	 och 	 oh, hm, huh, och, nu; expressing a  degree of surprise, doubt, or frustration
na 	 interjection 	 huh 	 oh, hm, huh, och, nu; expressing a  degree of surprise, doubt, or frustration
na 	 interjection 	 nu 	 oh, hm, huh, och, nu; expressing a  degree of surprise, doubt, or frustration
na 	 interjection 	 oh 	 oh, hm, huh, och, nu; expressing a  degree of surprise, doubt, or frustration
na 	 interjection 	 hm 	 oh, hm, huh, och, nu; expressing a  degree of surprise, doubt, or frustration
na 	 interjection 	 huh 	 huh?; used as a question marker, often implying that the speaker knows the answer
na 	 interjection 	 hi 	 hey!, hi!; used as a greeting, but with an interrogative intonation, as if saying “So? You see me there?”, or “So? How is everything?”
na 	 interjection 	 hey 	 hey!, hi!; used as a greeting, but with an interrogative intonation, as if saying “So? You see me there?”, or “So? How is everything?”
nah 	 adjective 	 near 	 near , nearby
nah 	 adjective 	 nearby 	 near , nearby
nah 	 adjective 	 s:de:Ellen Olestjerne 	 * 1903, Fanny zu Reventlow, Ellen Olestjerne, in Franziska Gräfin zu Reventlow: Gesammelte Werke, Albert Langen, page 573
nah 	 adverb 	 near 	 near
mo 	 noun 	 Monday 	 Montag "Monday&quot
universal 	 adjective 	 English 	 universal
vakuum 	 noun 	 vacuum 	 vacuum
terminal 	 adjective 	 English 	 terminal
es 	 pronoun 	 she 	 The third-person singular personal pronoun used to refer neuter nouns in the nominative and accusative cases — it , he or him , or she or her
es 	 pronoun 	 him 	 The third-person singular personal pronoun used to refer neuter nouns in the nominative and accusative cases — it , he or him , or she or her
es 	 pronoun 	 her 	 The third-person singular personal pronoun used to refer neuter nouns in the nominative and accusative cases — it , he or him , or she or her
