*	*	nominative	vocative	accusative 	genitive 	dative 	instrumental 	locative 	#	
friend	plural	carant-es	carant-es	carant-ās	carant-on	carant-obo, carand-bo	carant-obi, carand-bi	carant-obi, carand-bi	#	
tooth	singular 	dant	dant	dant	dant-os	dant-ē	dant-i	dant-i	#	dental-stem, neuter
tooth	dual 	dant-e	dant-e	dant-e	dant-ou, dant-ō	dant-obon, dand-bon	dant-obin, dand-bin	dant-obin, dand-bin	#	
tooth	plural	dant-ā	dant-ā	dant-ā	dant-on	dant-obo, dand-bo	dant-obi, dand-bi	dant-obi, dand-bi	#	
king	singular 	rīx-s	rīx-s	rīg-en	rīg-os	rīg-ē	rīg-i	rīg-i	#	velar-stem
king	dual 	rīg-e	rīg-e	rīg-e	rīg-ou, rīg-ō	rīg-(o)bon	rīg-(o)bin	rīg-(o)bin	#	
king	plural	rīg-es	rīg-es	rīg-ās	rīg-on	rīg-(o)bo	rīg-(o)bi	rīg-(o)bi	#	
mother	singular 	mātīr	mātīr	māter-en	mātr-os	mātr-ē	mātr-i	mātr-i	#	r-stem
mother	dual 	māter-e	māter-e	māter-e	mātr-ou, mātr-ō	mātr-ebon	mātr-ebin	mātr-ebin	#	
mother	plural	māter-es	māter-es	māter-ās	mātr-on	mātr-ebo	mātr-ebi	mātr-ebi	#	
sister	singular 	suiūr	suiūr	suior-en	suior-os	suior-ē	suior-i	suior-i	#	
sister	dual 	suior-e	suior-e	suior-e	suior-ou, suior-ō	suior-ebon	suior-ebin	suior-ebin	#	
sister	plural	suior-es	suior-es	suior-ās	suior-on	suior-ebo	suior-ebi	suior-ebi	#	
house	singular 	tegi-ā	tegi-a	tegi-in	tegi-iās	tegi-ī	tegi-ī, tegi-iā	tegi-ī	#	a-stem, regular?
house	dual 	tegi-ī, tegi-ii	tegi-ī, tegi-ii	tegi-ī, tegi-ii	tegi-iōs, tegi-ious	tegi-ābon	tegi-ābin	tegi-ābin	#	
house	plural	tegi-ās	tegi-ās	tegi-ās	tegi-ānon	tegi-ābo	tegi-ābi	tegi-ābi	#	
boat	singular 	naw-ā	naw-a	naw-in	naw-iās	naw-ī	naw-ī, naw-iā	naw-ī	#	a-stem, regular?
boat	dual 	naw-ī, naw-ii	naw-ī, naw-ii	naw-ī, naw-ii	naw-iōs, naw-ious	naw-ābon	naw-ābin	naw-ābin	#	
boat	plural	naw-ās	naw-ās	naw-ās	naw-ānon	naw-ābo	naw-ābi	naw-ābi	#	
man	singular 	uir-os	uir-e	uir-on	uir-i	uir-ū	uir-ū	uir-ē	#	o-stem, animate?
man	dual 	uir-ō	uir-ō	uir-ō	uir-ōs	uir-obon	uir-obin	uir-ou	#	
man	plural	uir-ii, uir-oi	uir-ūs	uir-ūs	uir-on(on)	uir-obo	uir-obi, uir-ūs	uir-obi	#	
fire	singular 	aid-us	aid-u	aid-un	aid-ous, -ōs	aid-ou, -ō	aid-ū	aid-ū	#	u-stem, animate?
fire	dual 	aid-ū	aid-ū	aid-ū	aid-ouō	aid-oubon	aid-oubin	aid-oubin	#	
fire	plural	aid-oues	aid-oues	aid-ūs	aid-uion	aid-oubo	aid-oubi	aid-oubi	#	
food	singular 	bet-on	bet-on	bet-on	bet-ii	bet-ū	bet-ū	bet-ē	#	o-stem, neuter
food	dual 	bet-oi	bet-oi	bet-oi	bet-iōs	bet-obon	bet-obin	bet-ou	#	
food	plural	bet-ā	bet-ā	bet-ā	bet-ion	bet-obo	bet-obi, bet-ūs	bet-obi	#	
meal	singular 	bet-on	bet-on	bet-on	bet-ii	bet-ū	bet-ū	bet-ē	#	o-stem, neuter
meal	dual 	bet-oi	bet-oi	bet-oi	bet-iōs	bet-obon	bet-obin	bet-ou	#	
meal	plural	bet-ā	bet-ā	bet-ā	bet-ion	bet-obo	bet-obi, bet-ūs	bet-obi	#	
work	singular 	uerg-on	uerg-on	uerg-on	uerg-ii	uerg-ū	uerg-ū	uerg-ē	#	o-stem, neuter
work	dual 	uerg-oi	uerg-oi	uerg-oi	uerg-iōs	uerg-obon	uerg-obin	uerg-ou	#	
work	plural	uerg-ā	uerg-ā	uerg-ā	uerg-ion	uerg-obo	uerg-obi, uerg-ūs	uerg-obi	#	
warmth	singular 	tess-is	tess-i	tess-in	tess-ēs, tess-eios	tess-ē	tess-ī	tess-ī	#	i-stem, animate
warmth	dual 	tess-ī	tess-ī	tess-ī	tess-iōs, tess-ious	tess-ibon	tess-ibin	tess-ibin	#	
warmth	plural	tess-ies, tess-īs, tess-eies	tess-īes, tess-īs, tess-eies	tess-īs	tess-ion	tess-ibo	tess-ibi	tess-ibi	#	
wind	singular 	auel-os	auel-e	auel-on	auel-i	auel-ū	auel-ū	auel-ē	#	o-stem, animate?
wind	dual 	auel-ō	auel-ō	auel-ō	auel-ōs	auel-obon	auel-obin	auel-ou	#	
wind	plural	auel-ii, auel-oi	auel-ūs	auel-ūs	auel-on(on)	auel-obo	auel-obi, auel-ūs	auel-obi	#	
water	singular 	dubr-on	dubr-on	dubr-on	dubr-ii	dubr-ū	dubr-ū	dubr-ē	#	o-stem, neuter
water	dual 	dubr-oi	dubr-oi	dubr-oi	dubr-iōs	dubr-obon	dubr-obin	dubr-ou	#	
water	plural	dubr-ā	dubr-ā	dubr-ā	dubr-ion	dubr-obo	dubr-obi, dubr-ūs	dubr-obi	#	
money	singular 	suteg-on	suteg-on	suteg-on	suteg-ii	suteg-ū	suteg-ū	suteg-ē	#	o-stem, neuter
money	dual 	suteg-oi	suteg-oi	suteg-oi	suteg-iōs	suteg-obon	suteg-obin	suteg-ou	#	
money	plural	suteg-ā	suteg-ā	suteg-ā	suteg-ion	suteg-obo	suteg-obi, suteg-ūs	suteg-obi	#	
monster	singular 	ang-us	ang-u	ang-un	ang-ous, -ōs	ang-ou, -ō	ang-ū	ang-ū	#	u-stem, animate
monster	dual 	ang-ū	ang-ū	ang-ū	ang-ouō	ang-oubon	ang-oubin	ang-oubin	#	"lit. ""snake, dragon"""
monster	plural	ang-oues	ang-oues	ang-ūs	ang-uion	ang-oubo	ang-oubi	ang-oubi	#	
clothing	singular 	karakall-ā	karakall-a	karakall-in	karakall-iās	karakall-ī	karakall-ī, karakall-iā	karakall-ī	#	a-stem, regular?
clothing	dual 	karakall-ī, karakall-ii	karakall-ī, karakall-ii	karakall-ī, karakall-ii	karakall-iōs, karakall-ious	karakall-ābon	karakall-ābin	karakall-ābin	#	"lit. ""tunic"""
clothing	plural	karakall-ās	karakall-ās	karakall-ās	karakall-ānon	karakall-ābo	karakall-ābi	karakall-ābi	#	
guard	singular 	solidury-os	solidury-e	solidury-on	solidury-i	solidury-ū	solidury-ū	solidury-ē	#	o-stem, animate?
guard	dual 	solidury-ō	solidury-ō	solidury-ō	solidury-ōs	solidury-obon	solidury-obin	solidury-ou	#	
guard	plural	solidury-ii, solidury-oi	solidury-ūs	solidury-ūs	solidury-on(on)	solidury-obo	solidury-obi, solidury-ūs	solidury-obi	#	
love	singular 	serk-ā	serk-a	serk-in	serk-iās	serk-ī	serk-ī, serk-iā	serk-ī	#	a-stem, regular?
love	dual 	serk-ī, serk-ii	serk-ī, serk-ii	serk-ī, serk-ii	serk-iōs, serk-ious	serk-ābon	serk-ābin	serk-ābin	#	
love	plural	serk-ās	serk-ās	serk-ās	serk-ānon	serk-ābo	serk-ābi	serk-ābi	#	
rope	singular 	sok-ā	sok-a	sok-in	sok-iās	sok-ī	sok-ī, sok-iā	sok-ī	#	a-stem, regular?
rope	dual 	sok-ī, sok-ii	sok-ī, sok-ii	sok-ī, sok-ii	sok-iōs, sok-ious	sok-ābon	sok-ābin	sok-ābin	#	
rope	plural	sok-ās	sok-ās	sok-ās	sok-ānon	sok-ābo	sok-ābi	sok-ābi	#	
way	singular 	mantl-i	mantl-i	mantl-i	mantl-ēs, mantl-eios	mantl-ē	mantl-ī	mantl-ī	#	i-stem, neuter?
way	dual 	mantl-ī	mantl-ī	mantl-ī	mantl-iōs, mantl-ious	mantl-ibon	mantl-ibin	mantl-ibin	#	
way	plural	mantl-iā	mantl-iā	mantl-iā	mantl-ion	mantl-ibo	mantl-ibi	mantl-ibi	#	
gift	singular 	dan-us	dan-u	dan-un	dan-ous, -ōs	dan-ou, -ō	dan-ū	dan-ū	#	u-stem, animate?
gift	dual 	dan-ū	dan-ū	dan-ū	dan-ouō	dan-oubon	dan-oubin	dan-oubin	#	
gift	plural	dan-oues	dan-oues	dan-ūs	dan-uion	dan-oubo	dan-oubi	dan-oubi	#	
animal	singular 	oxs-us	oxs-u	oxs-un	oxs-ous, -ōs	oxs-ou, -ō	oxs-ū	oxs-ū	#	u-stem, animate?
animal	dual 	oxs-ū	oxs-ū	oxs-ū	oxs-ouō	oxs-oubon	oxs-oubin	oxs-oubin	#	"lit. ""wild horned beast"""
animal	plural	oxs-oues	oxs-oues	oxs-ūs	oxs-uion	oxs-oubo	oxs-oubi	oxs-oubi	#	
sound	singular 	bruxt-us	bruxt-u	bruxt-un	bruxt-ous, -ōs	bruxt-ou, -ō	bruxt-ū	bruxt-ū	#	u-stem, animate?
sound	dual 	bruxt-ū	bruxt-ū	bruxt-ū	bruxt-ouō	bruxt-oubon	bruxt-oubin	bruxt-oubin	#	"lit. ""noise"""
sound	plural	bruxt-oues	bruxt-oues	bruxt-ūs	bruxt-uion	bruxt-oubo	bruxt-oubi	bruxt-oubi	#	
