*	*	*	*	nominative	genitive	dative	accusative	vocative	#	attic														
oak	dual 	feminine	greek	δρῠ́ε	δρῠοῖν	δρῠοῖν	δρῠ́ε	δρῠ́ε	#	3														
oak	dual 	feminine	latin	drúe	druoîn	druoîn	drúe	drúe	#	3														
oak	plural	feminine	greek	δρῠ́ες	δρῠῶν	δρῠσῐ́ / δρῠσῐ́ν	δρῦς / δρῠ́ᾰς	δρῠ́ες	#	3														
oak	plural	feminine	latin	drúes	druôn	drusí(n)	drûs / drúas	drúes	#	3														
									#															
city	singular 	feminine	greek	πόλῐς	πόλεως	πόλει	πόλῐν	πόλῐ	#	3														
city	singular 	feminine	latin	pólis	póleōs	pólei	pólin	póli	#	3														
city	dual 	feminine	greek	πόλει	πολέοιν	πολέοιν	πόλει	πόλει	#	3														
city	dual 	feminine	latin	pólei	poléoin	poléoin	pólei	pólei	#	3														
city	plural	feminine	greek	πόλεις	πόλεων	πόλεσῐ / πόλεσῐν	πόλεις	πόλεις	#	3														
city	plural	feminine	latin	póleis	póleōn	pólesi(n)	póleis	póleis	#	3														
									#															
axe	singular 	masculine	greek	πέλεκῠς	πελέκεως	πελέκει	πέλεκῠν	πέλεκῠ	#	3														
axe	singular 	masculine	latin	pélekus	pelékeōs	pelékei	pélekun	péleku	#	3														
axe	dual 	masculine	greek	πελέκει	πελεκέοιν	πελεκέοιν	πελέκει	πελέκει	#	3														
axe	dual 	masculine	latin	pelékei	pelekéoin	pelekéoin	pelékei	pelékei	#	3														
axe	plural	masculine	greek	πελέκεις	πελέκεων	πελέκεσῐ / πελέκεσῐν	πελέκεις	πελέκεις	#	3														
axe	plural	masculine	latin	pelékeis	pelékeōn	pelékesi(n)	pelékeis	pelékeis	#	3														
									#															
town	singular 	neuter	greek	ᾰ̓́στῠ	ᾰ̓́στεως	ᾰ̓́στει	ᾰ̓́στῠ	ᾰ̓́στῠ	#	3														
town	singular 	neuter	latin	ástu	ásteōs	ástei	ástu	ástu	#	3														
town	dual 	neuter	greek	ᾰ̓́στει	ᾰ̓στέοιν	ᾰ̓στέοιν	ᾰ̓́στει	ᾰ̓́στει	#	3														
town	dual 	neuter	latin	ástei	astéoin	astéoin	ástei	ástei	#	3														
