,,,Nominative,Accusative,Genitive,Prepositional,Dative,Instrumental,
big,animate,masculine,большо́й,большо́го,большо́го,большо́м,большо́му,больши́м,
big,animate,neuter,большо́е,большо́е,большо́го,большо́м,большо́му,больши́м,
big,animate,feminine,больша́я,большу́ю,большо́й,большо́й,большо́й,большо́й,
big,animate,plural,больши́е,больши́х ,больши́х ,больши́х ,больши́м,больши́ми ,
big,inanimate,masculine,большо́й,большо́й,большо́го,большо́м,большо́му,больши́м,
big,inanimate,neuter,большо́е,большо́е,большо́го,большо́м,большо́му,больши́м,
big,inanimate,feminine,больша́я,большу́ю,большо́й,большо́й,большо́й,большо́й,
big,inanimate,plural,больши́е,больши́е,больши́х ,больши́х ,больши́м,больши́ми ,
,,,,,,,,,
mom's,animate,masculine,ма́мин,"ма́миного, ма́мина","ма́миного, ма́мина",ма́мином,"ма́миному, ма́мину",ма́миным,
mom's,animate,neuter,ма́мино,ма́мино,"ма́миного, ма́мина",ма́мином,"ма́миному, ма́мину",ма́миным,
mom's,animate,feminine,ма́мина,ма́мину,ма́миной,ма́миной,ма́миной,ма́миной,
mom's,animate,plural,ма́мины,ма́миных ,ма́миных ,ма́миных ,ма́миным,ма́миными ,
mom's,inanimate,masculine,ма́мин,ма́мин,"ма́миного, ма́мина",ма́мином,"ма́миному, ма́мину",ма́миным,
mom's,inanimate,neuter,ма́мино,ма́мино,"ма́миного, ма́мина",ма́мином,"ма́миному, ма́мину",ма́миным,
mom's,inanimate,feminine,ма́мина,ма́мину,ма́миной,ма́миной,ма́миной,ма́миной,
mom's,inanimate,plural,ма́мины,ма́мины,ма́миных ,ма́миных ,ма́миным,ма́миными ,
,,,,,,,,,
fox's,animate,masculine,ли́сий,ли́сьего,ли́сьего,ли́сьем,ли́сьему,ли́сьим,
fox's,animate,neuter,ли́сье,ли́сье,ли́сьего,ли́сьем,ли́сьему,ли́сьим,
fox's,animate,feminine,ли́сья,ли́сью,ли́сьей,ли́сьей,ли́сьей,ли́сьей,
fox's,animate,plural,ли́сьи,ли́сьих ,ли́сьих ,ли́сьих ,ли́сьим,ли́сьими ,
fox's,inanimate,masculine,ли́сий,ли́сий,ли́сьего,ли́сьем,ли́сьему,ли́сьим,
fox's,inanimate,neuter,ли́сье,ли́сье,ли́сьего,ли́сьем,ли́сьему,ли́сьим,
fox's,inanimate,feminine,ли́сья,ли́сью,ли́сьей,ли́сьей,ли́сьей,ли́сьей,
fox's,inanimate,plural,ли́сьи,ли́сьи,ли́сьих ,ли́сьих ,ли́сьим,ли́сьими ,
