#english	lemma	part of speech	proto indo european		
I                   	I             	noun                 	éǵh₂(om)                         		
rain                	rain          	noun                 	h₂ekmon                          		
river               	river         	noun                 	h₂ékʷeh₂                         		
lake                	lake          	noun                 	léymō                            		
river               	river         	noun                 	h₂ep-                           		
sea                 	sea           	noun                 	móri                             		
salt                	salt          	noun                 	séh₂ls                           		
stone               	stone         	noun                 	h₂éḱmō                           		
sand                	sand          	noun                 	sámh₂dʰos                        		
dust                	dust          	noun                 	pers-                            		
earth               	earth         	noun                 	dʰéǵʰōm                          		
cloud               	cloud         	noun                 	nébʰos                           		
fog                 	fog           	noun                 	snewdʰ-                          		
sky                 	sky           	noun                 	dyḗws                            		
wind                	wind          	noun                 	ḱewero-, h₂wéh₁n̥ts              		
snow                	snow          	noun                 	snóygʷʰos                        		
ice                 	ice           	noun                 	yeǵ-                             		
smoke               	smoke         	noun                 	dʰuh₂mós                         		
fire                	fire          	noun                 	h₁eh₂ter-, h₁n̥gʷnis, péh₂wr̥    		
ash                 	ash           	noun                 	h₃és-no-, h₃és-i-                		
burn                	burn          	verb                 	dʰegʷʰ-, swel-, h₁ews-           		
road                	road          	noun                 	pónth₁s                          		
mountain            	mountain      	noun                 	men-, bʰerǵʰ-                    		
red                 	red           	adjective            	h₁rewdʰós                        		
green               	green         	adjective            	ǵʰelh₃-, gʰreh₁-                 		
yellow              	yellow        	adjective            	ǵʰelh₃-                          		
brown               	brown         	adjective            	bʰerh-		
black               	black         	adjective            	swordós, h₂ems-, kr̥snós         		
white               	white         	adjective            	h₂elbʰós                         		
grey                	grey          	adjective            	pelh-		
light               	light         	noun                	h₁lengʷʰ-		
darkness            	darkness      	noun                 	h₁régʷos, (s)ḱeh₃-, témhos		
night               	night         	noun                 	nókʷts                           		
day                 	day           	noun                 	h₂eǵh-, dei-n-                   		
morning             	morning       	noun                 	h₂éwsōs		
evening             	evening       	noun                 	wek(ʷ)speros		
yesterday           	yesterday     	noun                 	dʰǵʰyésteros, dʰǵʰyes-		
month               	month         	noun                 	mḗh₁n̥s		
year                	year          	noun                 	yeh₁-, wétos                     		
spring              	spring        	noun                 	wósr̥		
summer              	summer        	noun                  	semh₂-		
fall                	fall          	noun                  	(s)h₁es-		
winter              	winter        	noun                 	ǵʰéyōm		
warm                	warm          	adjective            	tep-, gʷʰer-                     		
cold                	cold          	adjective            	gel-                             		
full                	full          	adjective            	pl̥h₁nós                         		
new                 	new           	adjective            	néwos                            		
old                 	old           	adjective            	sénos                            		
good                	good          	adjective            	bʰed-, h₁su-, h₁wésus            		
bad                 	bad           	adjective            	h₂wap-, dus-                     		
rotten              	rotten        	adjective            	pu-                              		
dirty               	dirty         	adjective            	swerd-                           		
straight            	straight      	adjective            	h₃reǵtós                         		
round               	round         	adjective            	                                 		
sharp               	sharp         	adjective            	h₁edʰ-, h₂ḱrós                   		
dull                	dull          	adjective            	dʰwel-                           		
smooth              	smooth        	adjective            	gʰleh₂dʰ-		
wet                 	wet           	adjective            	wed-                             		
dry                 	dry           	adjective            	ters-                            		
correct             	correct       	adjective            	weh₁-                            		
near                	near          	adjective            	h₁opi, h₁epi, h₂énti             		
far                 	far           	adjective            	wi                               		
right               	right         	adjective            	deḱs-                            		
left                	left          	adjective            	leh₂ywós                         		
at                  	at            	preposition          	h₁epi, opi, h₂éd, h₃ebʰi, h₃bʰi  		
in                  	in            	preposition          	h₁en, h₁(e)ntér                  		
with                	with          	preposition          	ḱóm, pe, me                      		
and                 	and           	conjunction          	-kʷe, de, nu, h₁é                		
name                	name          	noun                 	h₁nómn̥                          		
cover               	cover         	verb                 	(es)t		
sweet               	sweet         	adjective            	swéh₂dus, délkus		
sour, salty         	sour          	adjective            	súhros		
bitter              	bitter        	adjective            	h₂eh₃mós		
grain               	grain         	noun                	ǵr̥h₂nóm, dʰohnéh₂		
apple               	apple         	noun                	h₂ébōl		
acorn               	acorn         	noun                 	gʷelh₂-		
juice               	juice         	noun                	sokʷós		
beer                	beer          	noun                	h₂elut-		
wine                	wine          	noun                	wéyh₁ō		
milk                	milk          	noun                	h₂melǵ-		
honey               	honey         	noun                	mélit, kn̥h₂ónks		
brother             	brother       	noun                	bʰréh₂tēr		
sister              	sister        	noun                 	swésōr		
son                 	son           	noun                  	suhnús		
daughter            	daughter      	noun                  	dʰugh₂tḗr		
uncle, grandfather  	grandfather   	noun                  	h₂éwh₂os		
niece, granddaughter	granddaughter 	noun                  	néptih₂		
nephew, grandson    	grandson      	noun                  	népōts		
silver              	silver        	noun                 	h₂r̥ǵn̥tóm		
gold                	gold          	noun                 	h₂eus		
bronze              	bronze        	noun                	h₂éyos		
charcoal            	charcoal      	noun                	h₁óngʷl̥		
turn                	turn          	verb                	kʷel-		
wheel               	wheel         	noun                 	kʷékʷlos		
axle                	axle          	noun                	h₂eḱs-		
vehicle             	vehicle       	noun                 	ḱr̥sós		
house               	house         	noun                 	dṓm		
dwelling            	dwelling      	noun                 	h₂wóstu		
door                	door          	noun                 	dʰwṓr		
breast              	breast        	noun                 	peg-, pstḗn		
buttocks, hip       	buttocks      	noun                 	ḱlównis		
vulva               	vulva         	noun                 	písdeh₂		
penis               	penis         	noun                	pes-		
testicle            	testicle      	noun                	h₄órǵʰis		
defecate            	defecate      	verb                 	kakka-		
urinate             	urinate       	verb                 	h₃méyǵʰeti		
copulate            	copulate      	verb                 	h₃yebʰ-		
fart                	fart          	verb                	perd-		
excrement           	excrement     	noun                 	múhtrom		
leech               	leech         	noun                	leech		
flea                	flea          	noun                 	plúsis		
bee                 	bee           	noun                 	bʰey-		
ant                 	ant           	noun                 	morwi-		
wasp                	wasp          	noun                 	wóps		
whale, shark        	shark         	noun                 	(s)kʷálos		
dragon, serpent     	dragon        	noun                 	h₁ógʷʰis		
eagle               	eagle         	noun                  	h₃érō		
crane               	crane         	noun                  	gerh₂ḗn		
sparrow             	sparrow       	noun                  	spḗr		
goose               	goose         	noun                 	ǵʰh₂éns		
duck                	duck          	noun                 	h₂énh₂ts		
woodpecker, magpie  	bird          	noun                  	(s)peyk-		
cow                 	cow           	noun                 	h₂eǵʰ-		
horse               	horse         	noun                	ǵʰéyos		
hog, pig, swine     	pig           	noun                 	suh-		
sheep               	sheep         	noun                 	h₂ówis		
goat                	goat          	noun                 	h₂eyǵ-		
cattle              	cattle        	noun                  	gʷṓws		
livestock           	livestock     	noun                 	péḱu		
flock, herd            	herd          	noun                 	h₂ger-		
dog                 	dog           	noun                 	ḱwṓ                              		
wolf                	wolf          	noun                 	wĺ̥kʷos                              		
bear                	bear          	noun                	h₂ŕ̥tḱos		
deer, elephant      	deer          	noun                	h₁el		
beaver              	beaver        	noun                	bʰébʰrus		
hedgehog            	hedgehog      	noun                	ǵʰḗr		
mouse               	mouse         	noun                 	múh₂s		
stallion            	stallion      	noun                 	h₁éḱwos		
mare                	mare          	noun                 	h₁éḱweh₂		
bull                	bull          	noun                	uksḗn, táwros		
she-cow             	cow           	noun                	woḱéh₂		
heifer              	heifer        	noun                	steríh₂s		
piglet              	piglet        	noun                 	pórḱos		
lamb                	lamb          	noun                	h₂egʷnós		
ram                 	ram           	noun                	wr̥h₁ḗn, moysós		
he-goat             	goat          	noun                 	kápros		
buck                	buck          	noun                 	bʰuǵ-		
nest                	nest          	noun                 	nisdós		
yoke                	yoke          	noun                 	yugóm		
hoof                	hoof          	noun                	ḱoph₂ós		
wool                	wool          	noun                	h₂wĺ̥h₁neh₂		
oak                 	oak           	noun                	pérkus		
ash tree            	tree         	noun                	heh₃s-		
alder               	alder         	noun                	wern-		
birch               	birch         	noun                	bʰerhǵós		
beech               	beech         	noun                	bʰeh₂ǵos		
elm                 	elm           	noun                	h₁élem		
fern                	fern          	noun                 	p(t)erh-		
moss                	moss          	noun                 	mews-		
cereal, barley      	barley        	noun                	yéwos, h₂élbʰit		
rye                 	rye           	noun                 	hrugʰís		
wheat               	wheat         	noun                 	puhrós		
awl                 	awl           	noun                 	h₁ólos		
adze                	adze          	noun                 	h₃edʰḗs		
