*	*	*	*	nominative	genitive	dative	accusative	vocative	#	epic												
axe	dual 	masculine	latin	pelékei 	pelekéoiin 	pelekéoiin 	pelékei 	pelékei 	#													
axe	plural	masculine	greek	πελέκεες	πελέκεων	πελέκεσσι / πελέκεσσιν	πελέκεᾰς	πελέκεες	#													
axe	plural	masculine	latin	pelékees	pelékeōn	pelékessi(n)	pelékeas	pelékees 	#													
									#													
town	singular 	neuter	greek	ᾰ̓́στῠ	ᾰ̓́στεος	ᾰ̓́στει	ᾰ̓́στῠ	ᾰ̓́στῠ	#													
town	singular 	neuter	latin	ástu 	ásteos 	ástei 	ástu 	ástu 	#													
town	dual 	neuter	greek	ᾰ̓́στει	ᾰ̓στέοιῐν	ᾰ̓στέοιῐν	ᾰ̓́στει	ᾰ̓́στει	#													
town	dual 	neuter	latin	ástei 	astéoiin 	astéoiin 	ástei 	ástei 	#													
town	plural	neuter	greek	ᾰ̓́στη / ᾰ̓́στεᾰ	ᾰ̓́στεων	ᾰ̓στέεσσῐ / ᾰ̓στέεσσῐν / ᾰ̓στέεσῐ / ᾰ̓στέεσῐν / ᾰ̓́στεσῐ / ᾰ̓́στεσῐν	ᾰ̓́στη / ᾰ̓́στεᾰ	ᾰ̓́στη / ᾰ̓́στεᾰ	#													
town	plural	neuter	latin	ástē / ástea	ásteōn	astéessi(n) / astéesi(n) / ástesi(n)	ástē / ástea	ástē / ástea 	#													
									#													
master	singular 	masculine	greek	βᾰσῐλεύς	βᾰσῐλῆος / βᾰσῐλέος	βᾰσῐλῆῐ̈ / βᾰσῐλέῐ̈	βᾰσῐλῆᾰ / βᾰσῐλέᾰ	βᾰσῐλεῦ	#													
master	singular 	masculine	latin	basileús 	basilêos / basiléos 	basilêï / basiléï 	basilêa / basiléa 	basileû 	#													
master	dual 	masculine	greek	βᾰσῐλῆε	βᾰσῐλήοιῐν	βᾰσῐλήοιῐν	βᾰσῐλῆε	βᾰσῐλῆε	#													
master	dual 	masculine	latin	basilêe 	basilḗoiin 	basilḗoiin 	basilêe 	basilêe 	#													
