*	*	*	*	nominative	genitive  	dative    	accusative	ablative  	vocative  	#	declension					
swift	masculine	superlative	plural	❕	❕	❕	❕	❕	❕	#						
swift	feminine	superlative	plural	❕	❕	❕	❕	❕	❕	#						
swift	neuter	superlative	plural	❕	❕	❕	❕	❕	❕	#						
jovial	masculine	positive	singular	alacer	alacris	alacrī	alacrem	alacrī	alacer 	#	3, three endings					
jovial	feminine	positive	singular	alacris	alacris	alacrī	alacrem	alacrī	alacris	#	3, three endings					
jovial	neuter	positive	singular	alacre	alacris	alacrī	alacre	alacrī	alacre	#	3, three endings					
jovial	masculine	positive	plural	alacrēs	alacrium	alacribus	alacrēs	alacribus	alacrēs 	#	3, three endings					
jovial	feminine	positive	plural	alacrēs	alacrium	alacribus	alacrēs	alacribus	alacrēs 	#	3, three endings					
jovial	neuter	positive	plural	alacria	alacrium	alacribus	alacria	alacribus	alacria	#	3, three endings					
jovial	masculine	comparative	singular	alacrior	alacriōris	alacriōrī	alacriōrem	alacriōre	alacrior 	#						
jovial	feminine	comparative	singular	alacrior	alacriōris	alacriōrī	alacriōrem	alacriōre	alacrior 	#						
jovial	neuter	comparative	singular	alacrior	alacriōris	alacriōrī	alacrius	alacriōre	alacrius	#						
jovial	masculine	comparative	plural	alacriōrēs	alacriōrum	alacriōribus	alacriōrēs	alacriōribus	alacriōrēs 	#						
jovial	feminine	comparative	plural	alacriōrēs	alacriōrum	alacriōribus	alacriōrēs	alacriōribus	alacriōrēs 	#						
jovial	neuter	comparative	plural	alacriōrēs	alacriōrum	alacriōribus	alacriōra	alacriōribus	alacriōra	#						
jovial	masculine	superlative	singular	alacerrimus	❔	❔	❔	❔	❔	#						
jovial	feminine	superlative	singular	❔	❔	❔	❔	❔	❔	#						
jovial	neuter	superlative	singular	❔	❔	❔	❔	❔	❔	#						
jovial	masculine	superlative	plural	❔	❔	❔	❔	❔	❔	#						
jovial	feminine	superlative	plural	❔	❔	❔	❔	❔	❔	#						
jovial	neuter	superlative	plural	❔	❔	❔	❔	❔	❔	#						
