direct	indicative	active	future	perfective	dūxerō	dūxeris	dūxerit	dūxerimus	dūxeritis	dūxerint									
direct	indicative	passive	present	simple	dūcor	dūceris, dūcere	dūcitur	dūcimur	dūciminī	dūcuntur									
direct	indicative	passive	past	imperfective	dūcēbar	dūcēbāris, dūcēbāre	dūcēbātur	dūcēbāmur	dūcēbāminī	dūcēbantur									
direct	indicative	passive	future	simple	dūcar	dūcēris, dūcēre	dūcētur	dūcēmur	dūcēminī	dūcentur									
direct	subjunctive	active	present	simple	dūcam	dūcās	dūcat	dūcāmus	dūcātis	dūcant									
direct	subjunctive	active	past	imperfective	dūcerem	dūcerēs	dūceret	dūcerēmus	dūcerētis	dūcerent									
direct	subjunctive	active	present	perfective	dūxerim	dūxerīs	dūxerit	dūxerīmus	dūxerītis	dūxerint									
direct	subjunctive	active	past	perfective	dūxissem	dūxissēs	dūxisset	dūxissēmus	dūxissētis	dūxissent									
direct	subjunctive	passive	present	simple	dūcar	dūcāris, dūcāre	dūcātur	dūcāmur	dūcāminī	dūcantur									
direct	subjunctive	passive	past	imperfective	dūcerer	dūcerēris, dūcerēre	dūcerētur	dūcerēmur	dūcerēminī	dūcerentur									
direct	imperative	active	present	simple	—	dūc, dūce	—	—	dūcite	—									
direct	imperative	active	future	simple	—	dūcitō	dūcitō	—	dūcitōte	dūcuntō									
direct	imperative	passive	present	simple	—	dūcere	—	—	dūciminī	—									
direct	imperative	passive	future	simple	—	dūcitor	dūcitor	—	—	dūcuntor									
displease	indicative	active	present	simple	displiceō	displicēs	displicet	displicēmus	displicētis	displicent									
displease	indicative	active	past	imperfective	displicēbam	displicēbās	displicēbat	displicēbāmus	displicēbātis	displicēbant									
displease	indicative	active	future	simple	displicēbō	displicēbis	displicēbit	displicēbimus	displicēbitis	displicēbunt									
displease	indicative	active	present	perfective	displicuī	displicuistī	displicuit	displicuimus	displicuistis	displicuērunt, displicuēre									
displease	indicative	active	past	perfective	displicueram	displicuerās	displicuerat	displicuerāmus	displicuerātis	displicuerant									
displease	indicative	active	future	perfective	displicuerō	displicueris	displicuerit	displicuerimus	displicueritis	displicuerint									
displease	indicative	passive	present	simple	displiceor	displicēris, displicēre	displicētur	displicēmur	displicēminī	displicentur									
displease	indicative	passive	past	imperfective	displicēbar	displicēbāris, displicēbāre	displicēbātur	displicēbāmur	displicēbāminī	displicēbantur									
displease	indicative	passive	future	simple	displicēbor	displicēberis, displicēbere	displicēbitur	displicēbimur	displicēbiminī	displicēbuntur									
displease	subjunctive	active	present	simple	displiceam	displiceās	displiceat	displiceāmus	displiceātis	displiceant									
displease	subjunctive	active	past	imperfective	displicērem	displicērēs	displicēret	displicērēmus	displicērētis	displicērent									
displease	subjunctive	active	present	perfective	displicuerim	displicuerīs	displicuerit	displicuerīmus	displicuerītis	displicuerint									
displease	subjunctive	active	past	perfective	displicuissem	displicuissēs	displicuisset	displicuissēmus	displicuissētis	displicuissent									
displease	subjunctive	passive	present	simple	displicear	displiceāris, displiceāre	displiceātur	displiceāmur	displiceāminī	displiceantur									
displease	subjunctive	passive	past	imperfective	displicērer	displicērēris, displicērēre	displicērētur	displicērēmur	displicērēminī	displicērentur									
displease	imperative	active	present	simple	—	displicē	—	—	displicēte	—									
displease	imperative	active	future	simple	—	displicētō	displicētō	—	displicētōte	displicentō									
displease	imperative	passive	present	simple	—	displicēre	—	—	displicēminī	—									
displease	imperative	passive	future	simple	—	displicētor	displicētor	—	—	displicentor									
eat	indicative	active	present	simple	edō	edis, ēs	edit, ēst	edimus	editis, ēstis	edunt									
eat	indicative	active	past	imperfective	edēbam	edēbās	edēbat	edēbāmus	edēbātis	edēbant									
eat	indicative	active	future	simple	edam	edēs	edet	edēmus	edētis	edent									
eat	indicative	active	present	perfective	ēdī	ēdistī	ēdit	ēdimus	ēdistis	ēdērunt, ēdēre									
eat	indicative	active	past	perfective	ēderam	ēderās	ēderat	ēderāmus	ēderātis	ēderant									
eat	indicative	active	future	perfective	ēderō	ēderis	ēderit	ēderimus	ēderitis	ēderint									
eat	indicative	passive	present	simple	edor	ederis, edere	editur, ēstur	edimur	ediminī	eduntur									
eat	indicative	passive	past	imperfective	edēbar	edēbāris, edēbāre	edēbātur	edēbāmur	edēbāminī	edēbantur									
eat	indicative	passive	future	simple	edar	edēris, edēre	edētur	edēmur	edēminī	edentur									
eat	subjunctive	active	present	simple	edam, edim	edās, edīs	edat, edit	edāmus, edīmus	edātis, edītis	edant, edint									
eat	subjunctive	active	past	imperfective	ederem, ēssem	ederēs, ēssēs	ederet, ēsset	ederēmus, ēssēmus	ederētis, ēssētis	ederent, ēssent									
eat	subjunctive	active	present	perfective	ēderim	ēderīs	ēderit	ēderīmus	ēderītis	ēderint									
eat	subjunctive	active	past	perfective	ēdissem	ēdissēs	ēdisset	ēdissēmus	ēdissētis	ēdissent									
eat	subjunctive	passive	present	simple	edar	edāris, edāre	edātur	edāmur	edāminī	edantur									
eat	subjunctive	passive	past	imperfective	ederer	ederēris, ederēre	ederētur	ederēmur	ederēminī	ederentur									
eat	imperative	active	present	simple	—	ede, ēs	—	—	edite, ēste	—									
eat	imperative	active	future	simple	—	editō, ēstō	editō, ēstō	—	editōte, ēstōte	eduntō									
eat	imperative	passive	present	simple	—	edere	—	—	ediminī	—									
eat	imperative	passive	future	simple	—	editor	editor	—	—	eduntor									
endure	indicative	active	present	simple	perpetior	perpeteris, perpetere	perpetitur	perpetimur	perpetiminī	perpetiuntur									
endure	indicative	active	past	imperfective	perpetiēbar	perpetiēbāris, perpetiēbāre	perpetiēbātur	perpetiēbāmur	perpetiēbāminī	perpetiēbantur									
endure	indicative	active	future	simple	perpetiar	perpetiēris, perpetiēre	perpetiētur	perpetiēmur	perpetiēminī	perpetientur									
endure	subjunctive	active	present	simple	perpetiar	perpetiāris, perpetiāre	perpetiātur	perpetiāmur	perpetiāminī	perpetiantur									
endure	subjunctive	active	past	imperfective	perpeterer	perpeterēris, perpeterēre	perpeterētur	perpeterēmur	perpeterēminī	perpeterentur									
endure	imperative	active	present	simple	—	perpetere	—	—	perpetiminī	—									
endure	imperative	active	future	simple	—	perpetitor	perpetitor	—	—	perpetiuntor									
fall	indicative	active	present	simple	cadō	cadis	cadit	cadimus	caditis	cadunt									
fall	indicative	active	past	imperfective	cadēbam	cadēbās	cadēbat	cadēbāmus	cadēbātis	cadēbant									
fall	indicative	active	future	simple	cadam	cadēs	cadet	cadēmus	cadētis	cadent									
fall	indicative	active	present	perfective	cecidī	cecidistī	cecidit	cecidimus	cecidistis	cecidērunt, cecidēre									
fall	indicative	active	past	perfective	cecideram	ceciderās	ceciderat	ceciderāmus	ceciderātis	ceciderant									
fall	indicative	active	future	perfective	ceciderō	cecideris	ceciderit	ceciderimus	cecideritis	ceciderint									
fall	indicative	passive	present	simple	—	—	caditur	—	—	—									
fall	indicative	passive	past	imperfective	—	—	cadēbātur	—	—	—									
fall	indicative	passive	future	simple	—	—	cadētur	—	—	—									
fall	indicative	passive	present	perfective	—	—	cāsum est	—	—	—									
fall	indicative	passive	past	perfective	—	—	cāsum erat	—	—	—									
fall	indicative	passive	future	perfective	—	—	cāsum erit	—	—	—									
fall	subjunctive	active	present	simple	cadam	cadās	cadat	cadāmus	cadātis	cadant									
