*	*	*	*	*	active	active	active	middle	middle	passive	passive	passive
fly		present	infinitive	infinitive					πέτεσθαι	πέτεσθαι	πέτεσθαι	πέτεσθαι
fly		present	participle	masculine					πετόμενος	πετόμενος	πετόμενος	πετόμενος
fly		present	participle	feminine					πετομένη	πετομένη	πετομένη	πετομένη
fly		present	participle	neuter					πετόμενον	πετόμενον	πετόμενον	πετόμενον
fly		future	infinitive	infinitive				πετήσεσθαι	πετήσεσθαι	πετασθήσεσθαι	πετασθήσεσθαι	πετασθήσεσθαι
fly		future	participle	masculine				πετησόμενος	πετησόμενος	πετασθησόμενος	πετασθησόμενος	πετασθησόμενος
fly		future	participle	feminine				πετησομένη	πετησομένη	πετασθησομένη	πετασθησομένη	πετασθησομένη
fly		future	participle	neuter				πετησόμενον	πετησόμενον	πετασθησόμενον	πετασθησόμενον	πετασθησόμενον
fly		future	infinitive	infinitive				πτήσεσθαι	πτήσεσθαι	πετασθήσεσθαι	πετασθήσεσθαι	πετασθήσεσθαι
fly		future	participle	masculine				πτησόμενος	πτησόμενος	πετασθησόμενος	πετασθησόμενος	πετασθησόμενος
fly		future	participle	feminine				πτησομένη	πτησομένη	πετασθησομένη	πετασθησομένη	πετασθησομένη
fly		future	participle	neuter				πτησόμενον	πτησόμενον	πετασθησόμενον	πετασθησόμενον	πετασθησόμενον
fly	past	finished	infinitive	infinitive				πτέσθαι	πτέσθαι	πετασθῆναι	πετασθῆναι	πετασθῆναι
fly	past	finished	participle	masculine				πτόμενος	πτόμενος	πετασθείς	πετασθείς	πετασθείς
fly	past	finished	participle	feminine				πτομένη	πτομένη	πετασθεῖσᾰ	πετασθεῖσᾰ	πετασθεῖσᾰ
fly	past	finished	participle	neuter				πτόμενον	πτόμενον	πετασθέν	πετασθέν	πετασθέν
fly	past	finished	infinitive	infinitive				πτᾰ́σθαι	πτᾰ́σθαι	πετασθῆναι	πετασθῆναι	πετασθῆναι
fly	past	finished	participle	masculine				πτᾰ́μενος	πτᾰ́μενος	πετασθείς	πετασθείς	πετασθείς
fly	past	finished	participle	feminine				πτᾰμένη	πτᾰμένη	πετασθεῖσᾰ	πετασθεῖσᾰ	πετασθεῖσᾰ
fly	past	finished	participle	neuter				πτᾰ́μενον	πτᾰ́μενον	πετασθέν	πετασθέν	πετασθέν
fly		perfect	infinitive	infinitive					πεποτῆσθαι	πεποτῆσθαι	πεποτῆσθαι	πεποτῆσθαι
fly		perfect	participle	masculine					πεποτημένος	πεποτημένος	πεποτημένος	πεποτημένος
fly		perfect	participle	feminine					πεποτημένη	πεποτημένη	πεποτημένη	πεποτημένη
fly		perfect	participle	neuter					πεποτημένον	πεποτημένον	πεποτημένον	πεποτημένον
see		present	infinitive	infinitive	βλέπειν	βλέπειν	βλέπειν	βλέπειν	βλέπεσθαι	βλέπεσθαι	βλέπεσθαι	βλέπεσθαι
see		present	participle	masculine	βλέπων	βλέπων	βλέπων	βλέπων	βλεπόμενος	βλεπόμενος	βλεπόμενος	βλεπόμενος
see		present	participle	feminine	βλέπουσᾰ	βλέπουσᾰ	βλέπουσᾰ	βλέπουσᾰ	βλεπομένη	βλεπομένη	βλεπομένη	βλεπομένη
see		present	participle	neuter	βλέπον	βλέπον	βλέπον	βλέπον	βλεπόμενον	βλεπόμενον	βλεπόμενον	βλεπόμενον
see		future	infinitive	infinitive				βλέψεσθαι	βλέψεσθαι			
see		future	participle	masculine				βλεψόμενος	βλεψόμενος			
see		future	participle	feminine				βλεψομένη	βλεψομένη			
see		future	participle	neuter				βλεψόμενον	βλεψόμενον			
