*	*	*	nominative  	vocative    	accusative  	genitive    	ablative    	dative      	locative    	instrumental	#	declension
old  	feminine	plural	ǵr̥h₂éntih₂es   	ǵr̥h₂éntih₂es   	ǵr̥h₂éntih₂m̥s  	ǵr̥h₂n̥tyéh₂oHom	ǵr̥h₂n̥tyéh₂mos 	ǵr̥h₂n̥tyéh₂mos 	ǵr̥h₂n̥tyéh₂su  	ǵr̥h₂n̥tyéh₂bʰi 	#	amphikinetic  
old  	neuter	singular	ǵérh₂ont      	ǵérh₂ont      	ǵérh₂ont      	ǵr̥h₂n̥tés    	ǵr̥h₂n̥tés    	ǵr̥h₂n̥téy    	ǵr̥h₂énti     	ǵr̥h₂n̥téh₁   	#	amphikinetic  
old  	neuter	dual	ǵérh₂ontih₁     	ǵérh₂ontih₁     	ǵérh₂ontih₁     	—	—	—	—	—	#	amphikinetic  
old  	neuter	plural	ǵérh₂onth₂      	ǵérh₂onth₂      	ǵérh₂onth₂      	ǵr̥h₂n̥tóHom    	ǵr̥h₂n̥tmós     	ǵr̥h₂n̥tmós     	ǵr̥h₂n̥tsú      	ǵr̥h₂n̥tbʰí     	#	amphikinetic  
upset	masculine	singular	tréystis      	tréysti       	tréystim      	tristéys      	tristéys      	tristéyey     	tristḗy       	tristíh₁      	#	proterokinetic
upset	masculine	dual	tréystih₁(e)    	tréystih₁(e)    	tréystih₁(e)    	—	—	—	—	—	#	proterokinetic
upset	masculine	plural	tréysteyes      	tréysteyes      	tréystims       	tristéyoHom     	tristímos       	tristímos       	tristísu        	tristíbʰi       	#	proterokinetic
upset	feminine	singular	tristéyih₂    	tristéyih₂    	tristéyih₂m̥  	tristiyéh₂s   	tristiyéh₂s   	tristiyéh₂ey  	tristiyéh₂i   	tristiyéh₂h₁  	#	proterokinetic
upset	feminine	dual	tristéyih₂h₁(e) 	tristéyih₂h₁(e) 	tristéyih₂h₁(e) 	—	—	—	—	—	#	proterokinetic
upset	feminine	plural	tristéyih₂es    	tristéyih₂es    	tristéyih₂m̥s   	tristiyéh₂oHom  	tristiyéh₂mos   	tristiyéh₂mos   	tristiyéh₂su    	tristiyéh₂bʰi   	#	proterokinetic
upset	neuter	singular	tréysti       	tréysti       	tréysti       	tristéys      	tristéys      	tristéyey     	tristḗy       	tristíh₁      	#	proterokinetic
upset	neuter	dual	tréystyih₁      	tréystyih₁      	tréystyih₁      	—	—	—	—	—	#	proterokinetic
upset	neuter	plural	tréystih₂       	tréystih₂       	tréystih₂       	tristéyoHom     	tristímos       	tristímos       	tristísu        	tristíbʰi       	#	proterokinetic
												
												
