*	*	*	*	indicative	indicative	imperative   	subjunctive     	optative        	
stretch	active	1     	dual     	tn̥nuwós          	tn̥nuwé        	—	tn̥néwowos      	tnn̥wih₁wé      	
stretch	active	2     	dual     	tn̥nutés          	tn̥nutóm       	tn̥nutóm     	tn̥néwetes      	tnn̥wih₁tóm     	
stretch	active	3     	dual     	tn̥nutés          	tn̥nutā´m      	tn̥nutā´m    	tn̥néwetes      	tnn̥wih₁tā´m    	
stretch	active	1     	plural   	tn̥numós          	tn̥numé        	—	tn̥néwomos      	tnn̥wih₁mé      	
stretch	active	2     	plural   	tn̥nuté           	tn̥nuté        	tn̥nuté      	tn̥néwete       	tnn̥wih₁té      	
stretch	active	3     	plural   	tnn̥wénti         	tnn̥wént       	tnn̥wéntu    	tn̥néwonti      	tnn̥wih₁ént     	
stretch	middle	1     	singular 	tn̥nuh₂ér         	tn̥nuh₂é       	—	tn̥néwoh₂er     	tnn̥wih₁h₂é     	
stretch	middle	2     	singular 	tn̥nuth₂ér        	tn̥nuth₂é      	tn̥nusó      	tn̥néweth₂er    	tnn̥wih₁th₂é    	
stretch	middle	3     	singular 	tn̥nutór          	tn̥nutó        	—	tn̥néwetor      	tnn̥wih₁tó      	
stretch	middle	1     	dual     	tn̥nuwósdʰh₂      	tn̥nuwédʰh₂    	—	tn̥néwowosdʰh₂  	tnn̥wih₁wédʰh₂  	
stretch	middle	2     	dual     	—	—	—	—	—	
stretch	middle	3     	dual     	—	—	—	—	—	
stretch	middle	1     	plural   	tn̥numósdʰh₂      	tn̥numédʰh₂    	—	tn̥néwomosdʰh₂  	tnn̥wih₁médʰh₂  	
stretch	middle	2     	plural   	tn̥nudʰh₂wé       	tn̥nudʰh₂wé    	tn̥nudʰh₂wé  	tn̥néwedʰh₂we   	tnn̥wih₁dʰh₂wé  	
stretch	middle	3     	plural   	tn̥nurór          	tn̥nuró        	—	tn̥néworor      	tnn̥wih₁ró      	
know	active	1     	singular 	wóydh₂e           	wóydh₂e        	—	wéydoh₂         	widyéh₁m̥       	
know	active	2     	singular 	wóydth₂e          	wóydth₂e       	wóyd         	wéydesi         	widyéh₁s        	
know	active	3     	singular 	wóyde             	wóyde          	wóydtu       	wéydeti         	widyéh₁t        	
know	active	1     	dual     	widwé             	widwé          	—	wéydowos        	widih₁wé        	
know	active	2     	dual     	—	—	widtóm       	wéydetes        	widih₁tóm       	
know	active	3     	dual     	—	—	widtā´m      	wéydetes        	widih₁tā´m      	
know	active	1     	plural   	widmé             	widmé          	—	wéydomos        	widih₁mé        	
know	active	2     	plural   	widé              	widé           	widté        	wéydete         	widih₁té        	
know	active	3     	plural   	widḗr             	widḗr          	widéntu      	wéydonti        	widih₁ént       	
sit	active	1     	singular 	sísdoh₂           	sísdom         	—	sísdōh₂         	sísdoyh₁m̥      	
sit	active	2     	singular 	sísdesi           	sísdes         	sísde        	sísdēsi         	sísdoys         	
sit	active	3     	singular 	sísdeti           	sísdet         	sísdetu      	sísdēti         	sísdoyt         	
sit	active	1     	dual     	sísdowos          	sísdowe        	—	sísdōwos        	sísdoywe        	
sit	active	2     	dual     	sísdetes          	sísdetom       	sísdetom     	sísdētes        	sísdoytom       	
sit	active	3     	dual     	sísdetes          	sísdetām       	sísdetām     	sísdētes        	sísdoytām       	
sit	active	1     	plural   	sísdomos          	sísdome        	—	sísdōmos        	sísdoyme        	
sit	active	2     	plural   	sísdete           	sísdete        	sísdete      	sísdēte         	sísdoyte        	
sit	active	3     	plural   	sísdonti          	sísdont        	sísdontu     	sísdōnti        	sísdoyh₁n̥t     	
protect	active	1     	singular 	h₂léksoh₂         	h₂léksom       	—	h₂léksōh₂       	h₂léksoyh₁m̥    	
protect	active	2     	singular 	h₂léksesi         	h₂lékses       	h₂lékse      	h₂léksēsi       	h₂léksoys       	
protect	active	3     	singular 	h₂lékseti         	h₂lékset       	h₂léksetu    	h₂léksēti       	h₂léksoyt       	
protect	active	1     	dual     	h₂léksowos        	h₂léksowe      	—	h₂léksōwos      	h₂léksoywe      	
protect	active	2     	dual     	h₂léksetes        	h₂léksetom     	h₂léksetom   	h₂léksētes      	h₂léksoytom     	
protect	active	3     	dual     	h₂léksetes        	h₂léksetām     	h₂léksetām   	h₂léksētes      	h₂léksoytām     	
protect	active	1     	plural   	h₂léksomos        	h₂léksome      	—	h₂léksōmos      	h₂léksoyme      	
protect	active	2     	plural   	h₂léksete         	h₂léksete      	h₂léksete    	h₂léksēte       	h₂léksoyte      	
protect	active	3     	plural   	h₂léksonti        	h₂léksont      	h₂léksontu   	h₂léksōnti      	h₂léksoyh₁n̥t   	
protect	middle	1     	singular 	h₂léksoh₂er       	h₂léksoh₂e     	—	h₂léksōh₂er     	h₂léksoyh₂e     	
protect	middle	2     	singular 	h₂lékseth₂er      	h₂lékseth₂e    	h₂lékseso    	h₂léksēth₂er    	h₂léksoyth₂e    	
protect	middle	3     	singular 	h₂léksetor        	h₂lékseto      	—	h₂léksētor      	h₂léksoyto      	
protect	middle	1     	dual     	h₂léksowosdʰh₂    	h₂léksowedʰh₂  	—	h₂léksōwosdʰh₂  	h₂léksoywedʰh₂  	
protect	middle	2     	dual     	—	—	—	—	—	
protect	middle	3     	dual     	—	—	—	—	—	
protect	middle	1     	plural   	h₂léksomosdʰh₂    	h₂léksomedʰh₂  	—	h₂léksōmosdʰh₂  	h₂léksoymedʰh₂  	
protect	middle	2     	plural   	h₂léksedʰh₂we     	h₂léksedʰh₂we  	h₂léksedʰh₂we	h₂léksēdʰh₂we   	h₂léksoydʰh₂we  	
protect	middle	3     	plural   	h₂léksoror        	h₂léksoro      	—	h₂léksōror      	h₂léksoyro      	
be red	active	1     	singular 	h₁rudʰéh₁mi       	h₁rudʰéh₁m̥    	—	h₁rudʰéh₁oh₂    	h₁rudʰéh₁yeh₁m̥ 	
be red	active	2     	singular 	h₁rudʰéh₁si       	h₁rudʰéh₁s     	h₁rudʰéh₁    	h₁rudʰéh₁esi    	h₁rudʰéh₁yeh₁s  	
be red	active	3     	singular 	h₁rudʰéh₁ti       	h₁rudʰéh₁t     	h₁rudʰéh₁tu  	h₁rudʰéh₁eti    	h₁rudʰéh₁yeh₁t  	
be red	active	1     	dual     	h₁rudʰéh₁wos      	h₁rudʰéh₁we    	—	h₁rudʰéh₁owos   	h₁rudʰéh₁ih₁we  	
be red	active	2     	dual     	h₁rudʰéh₁tes      	h₁rudʰéh₁tom   	h₁rudʰéh₁tom 	h₁rudʰéh₁etes   	h₁rudʰéh₁ih₁tom 	
be red	active	3     	dual     	h₁rudʰéh₁tes      	h₁rudʰéh₁tām   	h₁rudʰéh₁tām 	h₁rudʰéh₁etes   	h₁rudʰéh₁ih₁tām 	
be red	active	1     	plural   	h₁rudʰéh₁mos      	h₁rudʰéh₁me    	—	h₁rudʰéh₁omos   	h₁rudʰéh₁ih₁me  	
be red	active	2     	plural   	h₁rudʰéh₁te       	h₁rudʰéh₁te    	h₁rudʰéh₁te  	h₁rudʰéh₁ete    	h₁rudʰéh₁ih₁te  	
be red	active	3     	plural   	h₁rudʰéh₁n̥ti     	h₁rudʰéh₁n̥t   	h₁rudʰéh₁n̥tu	h₁rudʰéh₁onti   	h₁rudʰéh₁ih₁n̥t 	
set down	active	1     	singular 	sodéyoh₂          	sodéyom        	—	sodéyōh₂        	sodéyoyh₁m̥     	
set down	active	2     	singular 	sodéyesi          	sodéyes        	sodéye       	sodéyēsi        	sodéyoys        	
set down	active	3     	singular 	sodéyeti          	sodéyet        	sodéyetu     	sodéyēti        	sodéyoyt        	
set down	active	1     	dual     	sodéyowos         	sodéyowe       	—	sodéyōwos       	sodéyoywe       	
set down	active	2     	dual     	sodéyetes         	sodéyetom      	sodéyetom    	sodéyētes       	sodéyoytom      	
set down	active	3     	dual     	sodéyetes         	sodéyetām      	sodéyetām    	sodéyētes       	sodéyoytām      	
set down	active	1     	plural   	sodéyomos         	sodéyome       	—	sodéyōmos       	sodéyoyme       	
set down	active	2     	plural   	sodéyete          	sodéyete       	sodéyete     	sodéyēte        	sodéyoyte       	
set down	active	3     	plural   	sodéyonti         	sodéyont       	sodéyontu    	sodéyōnti       	sodéyoyh₁n̥t    	
set down	middle	1     	singular 	sodéyoh₂er        	sodéyoh₂e      	—	sodéyōh₂er      	sodéyoyh₂e      	
set down	middle	2     	singular 	sodéyeth₂er       	sodéyeth₂e     	sodéyeso     	sodéyēth₂er     	sodéyoyth₂e     	
set down	middle	3     	singular 	sodéyetor         	sodéyeto       	—	sodéyētor       	sodéyoyto       	
set down	middle	1     	dual     	sodéyowosdʰh₂     	sodéyowedʰh₂   	—	sodéyōwosdʰh₂   	sodéyoywedʰh₂   	
set down	middle	2     	dual     	—	—	—	—	—	
set down	middle	3     	dual     	—	—	—	—	—	
set down	middle	1     	plural   	sodéyomosdʰh₂     	sodéyomedʰh₂   	—	sodéyōmosdʰh₂   	sodéyoymedʰh₂   	
set down	middle	2     	plural   	sodéyedʰh₂we      	sodéyedʰh₂we   	sodéyedʰh₂we 	sodéyēdʰh₂we    	sodéyoydʰh₂we   	
set down	middle	3     	plural   	sodéyoror         	sodéyoro       	—	sodéyōror       	sodéyoyro       	
want to see	active	1     	singular 	wéydsoh₂          	wéydsom        	—	wéydsōh₂        	wéydsoyh₁m̥     	
want to see	active	2     	singular 	wéydsesi          	wéydses        	wéydse       	wéydsēsi        	wéydsoys        	
want to see	active	3     	singular 	wéydseti          	wéydset        	wéydsetu     	wéydsēti        	wéydsoyt        	
want to see	active	1     	dual     	wéydsowos         	wéydsowe       	—	wéydsōwos       	wéydsoywe       	
want to see	active	2     	dual     	wéydsetes         	wéydsetom      	wéydsetom    	wéydsētes       	wéydsoytom      	
want to see	active	3     	dual     	wéydsetes         	wéydsetām      	wéydsetām    	wéydsētes       	wéydsoytām      	
want to see	active	1     	plural   	wéydsomos         	wéydsome       	—	wéydsōmos       	wéydsoyme       	
want to see	active	2     	plural   	wéydsete          	wéydsete       	wéydsete     	wéydsēte        	wéydsoyte       	
want to see	active	3     	plural   	wéydsonti         	wéydsont       	wéydsontu    	wéydsōnti       	wéydsoyh₁n̥t    	
want to see	middle	1     	singular 	wéydsoh₂er        	wéydsoh₂e      	—	wéydsōh₂er      	wéydsoyh₂e      	
want to see	middle	2     	singular 	wéydseth₂er       	wéydseth₂e     	wéydseso     	wéydsēth₂er     	wéydsoyth₂e     	
want to see	middle	3     	singular 	wéydsetor         	wéydseto       	—	wéydsētor       	wéydsoyto       	
want to see	middle	1     	dual     	wéydsowosdʰh₂     	wéydsowedʰh₂   	—	wéydsōwosdʰh₂   	wéydsoywedʰh₂   	
want to see	middle	2     	dual     	—	—	—	—	—	
want to see	middle	3     	dual     	—	—	—	—	—	
