*	*	*	*	nominative 	accusative 	genitive 	dative 	instrumental 	#						
red	strong	plural	masculine 	basƿe 	basƿe 	basora 	basƿum 	basƿum 	#	-u stem					
red	strong	plural	feminine 	basƿa, basƿe 	basƿa, basƿe 	basora 	basƿum 	basƿum 	#	-u stem					
red	strong	plural	neuter	basu, baso	basu, baso	basora	basƿum	basƿum 	#	-u stem					
red	weak	singular	masculine 	basƿa 	basƿan 	basƿan 	basƿan 	basƿan 	#	-u stem					
red	weak	singular	feminine 	basƿe 	basƿan 	basƿan 	basƿan 	basƿan 	#	-u stem					
red	weak	singular	neuter	basƿe	basƿe	basƿan	basƿan	basƿan	#	-u stem					
red	weak	plural	masculine 	basƿan 	basƿan 	basora, basƿena 	basƿum 	basƿum 	#	-u stem					
red	weak	plural	feminine 	basƿan 	basƿan 	basora, basƿena 	basƿum 	basƿum 	#	-u stem					
red	weak	plural	neuter	basƿan	basƿan	basora, basƿena	basƿum	basƿum 	#	-u stem					
green	strong	singular	masculine 	grēne 	grēnne 	grēnes 	grēnum 	grēne 	#	-e stem					
green	strong	singular	feminine 	grēnu, grēno 	grēne 	grēnre 	grēnre 	grēnre 	#	-e stem					
green	strong	singular	neuter	grēne	grēne	grēnes	grēnum	grēne	#	-e stem					
green	strong	plural	masculine 	grēne 	grēne 	grēnra 	grēnum 	grēnum 	#	-e stem					
green	strong	plural	feminine 	grēna, grēne 	grēna, grēne 	grēnra 	grēnum 	grēnum 	#	-e stem					
green	strong	plural	neuter	grēnu, grēno	grēnu, grēno	grēnra	grēnum	grēnum 	#	-e stem					
green	weak	singular	masculine 	grēna 	grēnan 	grēnan 	grēnan 	grēnan 	#	-e stem					
green	weak	singular	feminine 	grēne 	grēnan 	grēnan 	grēnan 	grēnan 	#	-e stem					
green	weak	singular	neuter	grēne	grēne	grēnan	grēnan	grēnan	#	-e stem					
green	weak	plural	masculine 	grēnan 	grēnan 	grēnra, grēnena 	grēnum 	grēnum 	#	-e stem					
green	weak	plural	feminine 	grēnan 	grēnan 	grēnra, grēnena 	grēnum 	grēnum 	#	-e stem					
green	weak	plural	neuter	grēnan	grēnan	grēnra, grēnena	grēnum	grēnum 	#	-e stem					
															
															
															
															
