#			mood->	indicative	indicative	indicative	subjunctive     	optative        	participle    	
#verb	voice	person	plurality	present	past	imperative   				
do	middle	3     	singular 	dʰédʰh₁tor        	dʰédʰh₁to      	             	dʰédʰeh₁etor    	dʰédʰh₁ih₁to    	dʰédʰh₁mₒh₁nos	
do	middle	1     	dual     	dʰédʰh₁wosdʰh₂    	dʰédʰh₁wedʰh₂  	             	dʰédʰeh₁owosdʰh₂	dʰédʰh₁ih₁wedʰh₂	dʰédʰh₁mₒh₁nos	
do	middle	2     	dual     	                  	               	             	                	                	dʰédʰh₁mₒh₁nos	
do	middle	3     	dual     	                  	               	             	                	                	dʰédʰh₁mₒh₁nos	
do	middle	1     	plural   	dʰédʰh₁mosdʰh₂    	dʰédʰh₁medʰh₂  	             	dʰédʰeh₁omosdʰh₂	dʰédʰh₁ih₁medʰh₂	dʰédʰh₁mₒh₁nos	
do	middle	2     	plural   	dʰédʰh₁dʰh₂we     	dʰédʰh₁dʰh₂we  	dʰédʰh₁dʰh₂we	dʰédʰeh₁edʰh₂we 	dʰédʰh₁ih₁dʰh₂we	dʰédʰh₁mₒh₁nos	
do	middle	3     	plural   	dʰédʰh₁ror        	dʰédʰh₁ro      	             	dʰédʰeh₁oror    	dʰédʰh₁ih₁ro    	dʰédʰh₁mₒh₁nos	
ask	active	1     	singular 	prₒsḱóh₂          	prₒsḱóm        	             	prₒsḱṓh₂        	prₒsḱóyh₁mₒ     	prₒsḱónts     	
ask	active	2     	singular 	prₒsḱési          	prₒsḱés        	prₒsḱé       	prₒsḱḗsi        	prₒsḱóys        	prₒsḱónts     	
ask	active	3     	singular 	prₒsḱéti          	prₒsḱét        	prₒsḱétu     	prₒsḱḗti        	prₒsḱóyt        	prₒsḱónts     	
ask	active	1     	dual     	prₒsḱówos         	prₒsḱówe       	             	prₒsḱṓwos       	prₒsḱóywe       	prₒsḱónts     	
ask	active	2     	dual     	prₒsḱétes         	prₒsḱétom      	prₒsḱétom    	prₒsḱḗtes       	prₒsḱóytom      	prₒsḱónts     	
ask	active	3     	dual     	prₒsḱétes         	prₒsḱétām      	prₒsḱétām    	prₒsḱḗtes       	prₒsḱóytām      	prₒsḱónts     	
ask	active	1     	plural   	prₒsḱómos         	prₒsḱóme       	             	prₒsḱṓmos       	prₒsḱóyme       	prₒsḱónts     	
ask	active	2     	plural   	prₒsḱéte          	prₒsḱéte       	prₒsḱéte     	prₒsḱḗte        	prₒsḱóyte       	prₒsḱónts     	
ask	active	3     	plural   	prₒsḱónti         	prₒsḱónt       	prₒsḱóntu    	prₒsḱṓnti       	prₒsḱóyh₁nₒt    	prₒsḱónts     	
ask	middle	1     	singular 	prₒsḱóh₂er        	prₒsḱóh₂e      	             	prₒsḱṓh₂er      	prₒsḱóyh₂e      	prₒsḱómnos    	
ask	middle	2     	singular 	prₒsḱéth₂er       	prₒsḱéth₂e     	prₒsḱéso     	prₒsḱḗth₂er     	prₒsḱóyth₂e     	prₒsḱómnos    	
ask	middle	3     	singular 	prₒsḱétor         	prₒsḱéto       	             	prₒsḱḗtor       	prₒsḱóyto       	prₒsḱómnos    	
ask	middle	1     	dual     	prₒsḱówosdʰh₂     	prₒsḱówedʰh₂   	             	prₒsḱṓwosdʰh₂   	prₒsḱóywedʰh₂   	prₒsḱómnos    	
ask	middle	2     	dual     	                  	               	             	                	                	prₒsḱómnos    	
ask	middle	3     	dual     	                  	               	             	                	                	prₒsḱómnos    	
ask	middle	1     	plural   	prₒsḱómosdʰh₂     	prₒsḱómedʰh₂   	             	prₒsḱṓmosdʰh₂   	prₒsḱóymedʰh₂   	prₒsḱómnos    	
ask	middle	2     	plural   	prₒsḱédʰh₂we      	prₒsḱédʰh₂we   	prₒsḱédʰh₂we 	prₒsḱḗdʰh₂we    	prₒsḱóydʰh₂we   	prₒsḱómnos    	
ask	middle	3     	plural   	prₒsḱóror         	prₒsḱóro       	             	prₒsḱṓror       	prₒsḱóyro       	prₒsḱómnos    	
stretch	active	1     	singular 	tnₒnéwmi          	tnₒnḗm         	             	tnₒnéwoh₂       	tnₒnuyéh₁mₒ     	tnnₒwónts     	
stretch	active	2     	singular 	tnₒnéwsi          	tnₒnéws        	tnₒnéw       	tnₒnéwesi       	tnₒnuyéh₁s      	tnnₒwónts     	
stretch	active	3     	singular 	tnₒnéwti          	tnₒnéwt        	tnₒnéwtu     	tnₒnéweti       	tnₒnuyéh₁t      	tnnₒwónts     	
stretch	active	1     	dual     	tnₒnuwós          	tnₒnuwé        	             	tnₒnéwowos      	tnnₒwih₁wé      	tnnₒwónts     	
stretch	active	2     	dual     	tnₒnutés          	tnₒnutóm       	tnₒnutóm     	tnₒnéwetes      	tnnₒwih₁tóm     	tnnₒwónts     	
stretch	active	3     	dual     	tnₒnutés          	tnₒnutā´m      	tnₒnutā´m    	tnₒnéwetes      	tnnₒwih₁tā´m    	tnnₒwónts     	
stretch	active	1     	plural   	tnₒnumós          	tnₒnumé        	             	tnₒnéwomos      	tnnₒwih₁mé      	tnnₒwónts     	
stretch	active	2     	plural   	tnₒnuté           	tnₒnuté        	tnₒnuté      	tnₒnéwete       	tnnₒwih₁té      	tnnₒwónts     	
stretch	active	3     	plural   	tnnₒwénti         	tnnₒwént       	tnnₒwéntu    	tnₒnéwonti      	tnnₒwih₁ént     	tnnₒwónts     	
stretch	middle	1     	singular 	tnₒnuh₂ér         	tnₒnuh₂é       	             	tnₒnéwoh₂er     	tnnₒwih₁h₂é     	tnnₒwmₒh₁nós  	
stretch	middle	2     	singular 	tnₒnuth₂ér        	tnₒnuth₂é      	tnₒnusó      	tnₒnéweth₂er    	tnnₒwih₁th₂é    	tnnₒwmₒh₁nós  	
stretch	middle	3     	singular 	tnₒnutór          	tnₒnutó        	             	tnₒnéwetor      	tnnₒwih₁tó      	tnnₒwmₒh₁nós  	
stretch	middle	1     	dual     	tnₒnuwósdʰh₂      	tnₒnuwédʰh₂    	             	tnₒnéwowosdʰh₂  	tnnₒwih₁wédʰh₂  	tnnₒwmₒh₁nós  	
stretch	middle	2     	dual     	                  	               	             	                	                	tnnₒwmₒh₁nós  	
stretch	middle	3     	dual     	                  	               	             	                	                	tnnₒwmₒh₁nós  	
stretch	middle	1     	plural   	tnₒnumósdʰh₂      	tnₒnumédʰh₂    	             	tnₒnéwomosdʰh₂  	tnnₒwih₁médʰh₂  	tnnₒwmₒh₁nós  	
stretch	middle	2     	plural   	tnₒnudʰh₂wé       	tnₒnudʰh₂wé    	tnₒnudʰh₂wé  	tnₒnéwedʰh₂we   	tnnₒwih₁dʰh₂wé  	tnnₒwmₒh₁nós  	
stretch	middle	3     	plural   	tnₒnurór          	tnₒnuró        	             	tnₒnéworor      	tnnₒwih₁ró      	tnnₒwmₒh₁nós  	
know	active	1     	singular 	wóydh₂e           	wóydh₂e        	             	wéydoh₂         	widyéh₁mₒ       	widwṓs        	
know	active	2     	singular 	wóydth₂e          	wóydth₂e       	wóyd         	wéydesi         	widyéh₁s        	widwṓs        	
know	active	3     	singular 	wóyde             	wóyde          	wóydtu       	wéydeti         	widyéh₁t        	widwṓs        	
know	active	1     	dual     	widwé             	widwé          	             	wéydowos        	widih₁wé        	widwṓs        	
know	active	2     	dual     	                  	               	widtóm       	wéydetes        	widih₁tóm       	widwṓs        	
know	active	3     	dual     	                  	               	widtā´m      	wéydetes        	widih₁tā´m      	widwṓs        	
know	active	1     	plural   	widmé             	widmé          	             	wéydomos        	widih₁mé        	widwṓs        	
know	active	2     	plural   	widé              	widé           	widté        	wéydete         	widih₁té        	widwṓs        	
know	active	3     	plural   	widḗr             	widḗr          	widéntu      	wéydonti        	widih₁ént       	widwṓs        	
know	active	1     	singular 	sísdoh₂           	sísdom         	             	sísdōh₂         	sísdoyh₁mₒ      	sísdonts      	
sit	active	2     	singular 	sísdesi           	sísdes         	sísde        	sísdēsi         	sísdoys         	sísdonts      	
sit	active	3     	singular 	sísdeti           	sísdet         	sísdetu      	sísdēti         	sísdoyt         	sísdonts      	
sit	active	1     	dual     	sísdowos          	sísdowe        	             	sísdōwos        	sísdoywe        	sísdonts      	
sit	active	2     	dual     	sísdetes          	sísdetom       	sísdetom     	sísdētes        	sísdoytom       	sísdonts      	
sit	active	3     	dual     	sísdetes          	sísdetām       	sísdetām     	sísdētes        	sísdoytām       	sísdonts      	
sit	active	1     	plural   	sísdomos          	sísdome        	             	sísdōmos        	sísdoyme        	sísdonts      	
sit	active	2     	plural   	sísdete           	sísdete        	sísdete      	sísdēte         	sísdoyte        	sísdonts      	
sit	active	3     	plural   	sísdonti          	sísdont        	sísdontu     	sísdōnti        	sísdoyh₁nₒt     	sísdonts      	
protect	active	1     	singular 	h₂léksoh₂         	h₂léksom       	             	h₂léksōh₂       	h₂léksoyh₁mₒ    	h₂léksonts    	
protect	active	2     	singular 	h₂léksesi         	h₂lékses       	h₂lékse      	h₂léksēsi       	h₂léksoys       	h₂léksonts    	
protect	active	3     	singular 	h₂lékseti         	h₂lékset       	h₂léksetu    	h₂léksēti       	h₂léksoyt       	h₂léksonts    	
protect	active	1     	dual     	h₂léksowos        	h₂léksowe      	             	h₂léksōwos      	h₂léksoywe      	h₂léksonts    	
protect	active	2     	dual     	h₂léksetes        	h₂léksetom     	h₂léksetom   	h₂léksētes      	h₂léksoytom     	h₂léksonts    	
protect	active	3     	dual     	h₂léksetes        	h₂léksetām     	h₂léksetām   	h₂léksētes      	h₂léksoytām     	h₂léksonts    	
protect	active	1     	plural   	h₂léksomos        	h₂léksome      	             	h₂léksōmos      	h₂léksoyme      	h₂léksonts    	
protect	active	2     	plural   	h₂léksete         	h₂léksete      	h₂léksete    	h₂léksēte       	h₂léksoyte      	h₂léksonts    	
protect	active	3     	plural   	h₂léksonti        	h₂léksont      	h₂léksontu   	h₂léksōnti      	h₂léksoyh₁nₒt   	h₂léksonts    	
protect	middle	1     	singular 	h₂léksoh₂er       	h₂léksoh₂e     	             	h₂léksōh₂er     	h₂léksoyh₂e     	h₂léksomnos   	
protect	middle	2     	singular 	h₂lékseth₂er      	h₂lékseth₂e    	h₂lékseso    	h₂léksēth₂er    	h₂léksoyth₂e    	h₂léksomnos   	
protect	middle	3     	singular 	h₂léksetor        	h₂lékseto      	             	h₂léksētor      	h₂léksoyto      	h₂léksomnos   	
protect	middle	1     	dual     	h₂léksowosdʰh₂    	h₂léksowedʰh₂  	             	h₂léksōwosdʰh₂  	h₂léksoywedʰh₂  	h₂léksomnos   	
protect	middle	2     	dual     	                  	               	             	                	                	h₂léksomnos   	
protect	middle	3     	dual     	                  	               	             	                	                	h₂léksomnos   	
protect	middle	1     	plural   	h₂léksomosdʰh₂    	h₂léksomedʰh₂  	             	h₂léksōmosdʰh₂  	h₂léksoymedʰh₂  	h₂léksomnos   	
protect	middle	2     	plural   	h₂léksedʰh₂we     	h₂léksedʰh₂we  	h₂léksedʰh₂we	h₂léksēdʰh₂we   	h₂léksoydʰh₂we  	h₂léksomnos   	
protect	middle	3     	plural   	h₂léksoror        	h₂léksoro      	             	h₂léksōror      	h₂léksoyro      	h₂léksomnos   	
be red	active	1     	singular 	h₁rudʰéh₁mi       	h₁rudʰéh₁mₒ    	             	h₁rudʰéh₁oh₂    	h₁rudʰéh₁yeh₁mₒ 	h₁rudʰéh₁nₒts 	
be red	active	2     	singular 	h₁rudʰéh₁si       	h₁rudʰéh₁s     	h₁rudʰéh₁    	h₁rudʰéh₁esi    	h₁rudʰéh₁yeh₁s  	h₁rudʰéh₁nₒts 	
be red	active	3     	singular 	h₁rudʰéh₁ti       	h₁rudʰéh₁t     	h₁rudʰéh₁tu  	h₁rudʰéh₁eti    	h₁rudʰéh₁yeh₁t  	h₁rudʰéh₁nₒts 	
be red	active	1     	dual     	h₁rudʰéh₁wos      	h₁rudʰéh₁we    	             	h₁rudʰéh₁owos   	h₁rudʰéh₁ih₁we  	h₁rudʰéh₁nₒts 	
be red	active	2     	dual     	h₁rudʰéh₁tes      	h₁rudʰéh₁tom   	h₁rudʰéh₁tom 	h₁rudʰéh₁etes   	h₁rudʰéh₁ih₁tom 	h₁rudʰéh₁nₒts 	
be red	active	3     	dual     	h₁rudʰéh₁tes      	h₁rudʰéh₁tām   	h₁rudʰéh₁tām 	h₁rudʰéh₁etes   	h₁rudʰéh₁ih₁tām 	h₁rudʰéh₁nₒts 	
be red	active	1     	plural   	h₁rudʰéh₁mos      	h₁rudʰéh₁me    	             	h₁rudʰéh₁omos   	h₁rudʰéh₁ih₁me  	h₁rudʰéh₁nₒts 	
be red	active	2     	plural   	h₁rudʰéh₁te       	h₁rudʰéh₁te    	h₁rudʰéh₁te  	h₁rudʰéh₁ete    	h₁rudʰéh₁ih₁te  	h₁rudʰéh₁nₒts 	
be red	active	3     	plural   	h₁rudʰéh₁nₒti     	h₁rudʰéh₁nₒt   	h₁rudʰéh₁nₒtu	h₁rudʰéh₁onti   	h₁rudʰéh₁ih₁nₒt 	h₁rudʰéh₁nₒts 	
set down	active	1     	singular 	sodéyoh₂          	sodéyom        	             	sodéyōh₂        	sodéyoyh₁mₒ     	sodéyonts     	
set down	active	2     	singular 	sodéyesi          	sodéyes        	sodéye       	sodéyēsi        	sodéyoys        	sodéyonts     	
set down	active	3     	singular 	sodéyeti          	sodéyet        	sodéyetu     	sodéyēti        	sodéyoyt        	sodéyonts     	
set down	active	1     	dual     	sodéyowos         	sodéyowe       	             	sodéyōwos       	sodéyoywe       	sodéyonts     	
set down	active	2     	dual     	sodéyetes         	sodéyetom      	sodéyetom    	sodéyētes       	sodéyoytom      	sodéyonts     	
set down	active	3     	dual     	sodéyetes         	sodéyetām      	sodéyetām    	sodéyētes       	sodéyoytām      	sodéyonts     	
set down	active	1     	plural   	sodéyomos         	sodéyome       	             	sodéyōmos       	sodéyoyme       	sodéyonts     	
set down	active	2     	plural   	sodéyete          	sodéyete       	sodéyete     	sodéyēte        	sodéyoyte       	sodéyonts     	
set down	active	3     	plural   	sodéyonti         	sodéyont       	sodéyontu    	sodéyōnti       	sodéyoyh₁nₒt    	sodéyonts     	
set down	middle	1     	singular 	sodéyoh₂er        	sodéyoh₂e      	             	sodéyōh₂er      	sodéyoyh₂e      	sodéyomnos    	
set down	middle	2     	singular 	sodéyeth₂er       	sodéyeth₂e     	sodéyeso     	sodéyēth₂er     	sodéyoyth₂e     	sodéyomnos    	
set down	middle	3     	singular 	sodéyetor         	sodéyeto       	             	sodéyētor       	sodéyoyto       	sodéyomnos    	
set down	middle	1     	dual     	sodéyowosdʰh₂     	sodéyowedʰh₂   	             	sodéyōwosdʰh₂   	sodéyoywedʰh₂   	sodéyomnos    	
set down	middle	2     	dual     	                  	               	             	                	                	sodéyomnos    	
set down	middle	3     	dual     	                  	               	             	                	                	sodéyomnos    	
set down	middle	1     	plural   	sodéyomosdʰh₂     	sodéyomedʰh₂   	             	sodéyōmosdʰh₂   	sodéyoymedʰh₂   	sodéyomnos    	
set down	middle	2     	plural   	sodéyedʰh₂we      	sodéyedʰh₂we   	sodéyedʰh₂we 	sodéyēdʰh₂we    	sodéyoydʰh₂we   	sodéyomnos    	
set down	middle	3     	plural   	sodéyoror         	sodéyoro       	             	sodéyōror       	sodéyoyro       	sodéyomnos    	
want to see	active	1     	singular 	wéydsoh₂          	wéydsom        	             	wéydsōh₂        	wéydsoyh₁mₒ     	wéydsonts     	
want to see	active	2     	singular 	wéydsesi          	wéydses        	wéydse       	wéydsēsi        	wéydsoys        	wéydsonts     	
want to see	active	3     	singular 	wéydseti          	wéydset        	wéydsetu     	wéydsēti        	wéydsoyt        	wéydsonts     	
want to see	active	1     	dual     	wéydsowos         	wéydsowe       	             	wéydsōwos       	wéydsoywe       	wéydsonts     	
want to see	active	2     	dual     	wéydsetes         	wéydsetom      	wéydsetom    	wéydsētes       	wéydsoytom      	wéydsonts     	
want to see	active	3     	dual     	wéydsetes         	wéydsetām      	wéydsetām    	wéydsētes       	wéydsoytām      	wéydsonts     	
want to see	active	1     	plural   	wéydsomos         	wéydsome       	             	wéydsōmos       	wéydsoyme       	wéydsonts     	
