*	*	*	*	present	past																					
swim	subjunctive		plural	swimmen	swummen																					
swim	imperative		singular	swimm																						
swim	imperative		plural	swimmaþ																						
swim	participle			swimmende	(ġe)swummen																					
walk	infinitive			gān	gānne																					
walk	indicative	1	singular	gā	ēode																					
walk	indicative	2	singular	gǣst	ēodest																					
walk	indicative	3	singular	gǣþ	ēode																					
walk	indicative		plural	gāþ	ēodon																					
walk	subjunctive		singular	gā	ēode																					
walk	subjunctive		plural	gān	ēoden																					
walk	imperative		singular	gā																						
walk	imperative		plural	gāþ																						
walk	participle			gānde	(ġe)gān																					
work	infinitive			wyrċan	wyrċenne																					
work	indicative	1	singular	wyrċe	worhte																					
work	indicative	2	singular	wyrċest, wyrcst	worhtest																					
work	indicative	3	singular	wyrċeþ, wyrcþ	worhte																					
work	indicative		plural	wyrċaþ	worhton																					
work	subjunctive		singular	wyrċe	worhte																					
work	subjunctive		plural	wyrċen	worhten																					
work	imperative		singular	wyrċ																						
work	imperative		plural	wyrċaþ																						
work	participle			wyrċende	(ġe)worht																					
do	infinitive			dōn	dōnne																					
do	indicative	1	singular	dō	dyde																					
do	indicative	2	singular	dēst	dydest																					
do	indicative	3	singular	dēþ	dyde																					
do	indicative		plural	dōþ	dydon																					
do	subjunctive		singular	dō	dyde																					
do	subjunctive		plural	dōn	dyden																					
do	imperative		singular	dō																						
do	imperative		plural	dōþ																						
do	participle			dōnde	(ġe)dōn																					
go	infinitive			gān	gānne																					
go	indicative	1	singular	gā	ēode																					
go	indicative	2	singular	gǣst	ēodest																					
go	indicative	3	singular	gǣþ	ēode																					
go	indicative		plural	gāþ	ēodon																					
go	subjunctive		singular	gā	ēode																					
go	subjunctive		plural	gān	ēoden																					
go	imperative		singular	gā																						
go	imperative		plural	gāþ																						
go	participle			gānde	(ġe)gān																					
want	infinitive			willan	willenne																					
want	indicative	1	singular	wille	wolde																					
want	indicative	2	singular	wilt	woldest																					
want	indicative	3	singular	wile	wolde																					
want	indicative		plural	willaþ	woldon																					
want	subjunctive		singular	wille	wolde																					
want	subjunctive		plural	willen	wolden																					
want	imperative		singular	—																						
want	imperative		plural	—																						
want	participle			willende	—																					
steal	infinitive			stelan	stelenne																					
steal	indicative	1	singular	stele	stæl																					
steal	indicative	2	singular	stilest, stilst	stǣle																					
steal	indicative	3	singular	stileþ, stilþ	stæl																					
steal	indicative		plural	stelaþ	stǣlon																					
steal	subjunctive		singular	stele	stǣle																					
steal	subjunctive		plural	stelen	stǣlen																					
steal	imperative		singular	stel																						
steal	imperative		plural	stelaþ																						
steal	participle			stelende	(ġe)stolen																					
share	infinitive			dǣlan	dǣlenne																					
share	indicative	1	singular	dǣle	dǣlde																					
share	indicative	2	singular	dǣlest, dǣlst	dǣldest																					
share	indicative	3	singular	dǣleþ, dǣlþ	dǣlde																					
share	indicative		plural	dǣlaþ	dǣldon																					
share	subjunctive		singular	dǣle	dǣlde																					
share	subjunctive		plural	dǣlen	dǣlden																					
share	imperative		singular	dǣl																						
share	imperative		plural	dǣlaþ																						
share	participle			dǣlende	(ġe)dǣled																					
tame	infinitive			tēman	tēmenne																					
tame	indicative	1	singular	tēme	tēmde																					
tame	indicative	2	singular	tēmest, tēmst	tēmdest																					
tame	indicative	3	singular	tēmeþ, tēmþ	tēmde																					
tame	indicative		plural	tēmaþ	tēmdon																					
tame	subjunctive		singular	tēme	tēmde																					
tame	subjunctive		plural	tēmen	tēmden																					
tame	imperative		singular	tēm																						
tame	imperative		plural	tēmaþ																						
tame	participle			tēmende	(ġe)tēmed																					
move	infinitive			styrian	styrienne																					
move	indicative	1	singular	styrie	styrede																					
move	indicative	2	singular	styrest	styredest																					
move	indicative	3	singular	styreþ	styrede																					
move	indicative		plural	styriaþ	styredon																					
move	subjunctive		singular	styrie	styrede																					
move	subjunctive		plural	styrien	styreden																					
move	imperative		singular	styre																						
move	imperative		plural	styriaþ																						
move	participle			styriende	(ġe)styred																					
love	infinitive			lufian	lufienne																					
love	indicative	1	singular	lufiġe	lufode																					
love	indicative	2	singular	lufast	lufodest																					
love	indicative	3	singular	lufaþ	lufode																					
love	indicative		plural	lufiaþ	lufodon																					
love	subjunctive		singular	lufiġe	lufode																					
love	subjunctive		plural	lufiġen	lufoden																					
love	imperative		singular	lufa																						
love	imperative		plural	lufiaþ																						
love	participle			lufiende	(ġe)lufod																					
have	infinitive			habban	hæbbenne																					
have	indicative	1	singular	hæbbe	hæfde																					
have	indicative	2	singular	hæfst	hæfdest																					
have	indicative	3	singular	hæfþ	hæfde																					
have	indicative		plural	habbaþ	hæfdon																					
have	subjunctive		singular	hæbbe	hæfde																					
have	subjunctive		plural	hæbben	hæfden																					
have	imperative		singular	hafa																						
have	imperative		plural	habbaþ																						
have	participle			hæbbende	(ġe)hæfd																					
live	infinitive			libban	libbenne																					
live	indicative	1	singular	libbe	lifde																					
live	indicative	2	singular	leofast	lifdest																					
live	indicative	3	singular	leofaþ	lifde																					
live	indicative		plural	libbaþ	lifdon																					
live	subjunctive		singular	libbe	lifde																					
live	subjunctive		plural	libben	lifden																					
live	imperative		singular	leofa																						
live	imperative		plural	libbaþ																						
live	participle			libbende	(ġe)lifd																					
say	infinitive			seċġan	seċġenne																					
say	indicative	1	singular	seċġe	sæġde																					
say	indicative	2	singular	sæġst	sæġdest																					
say	indicative	3	singular	sæġþ	sæġde																					
say	indicative		plural	seċġaþ	sæġdon																					
say	subjunctive		singular	seċġe	sæġde																					
say	subjunctive		plural	seċġen	sæġden																					
say	imperative		singular	sæġe																						
say	imperative		plural	seċġaþ																						
say	participle			seċġende	(ġe)sæġd																					
think	infinitive			hyċġan	hyċġenne																					
think	indicative	1	singular	hyċġe	hogde																					
think	indicative	2	singular	hyġst	hogdest																					
think	indicative	3	singular	hyġþ	hogde																					
think	indicative		plural	hyċġaþ	hogdon																					
think	subjunctive		singular	hyċġe	hogde																					
think	subjunctive		plural	hyċġen	hogden																					
think	imperative		singular	hyġe																						
think	imperative		plural	hyċġaþ																						
think	participle			hyċġende	(ġe)hogod																					
